GCCSA_NAME21	Ancestry	responses
No usual address (NSW)		3848
No usual address (NSW)	Australian	2884
No usual address (NSW)	Australian Aboriginal	667
No usual address (NSW)	Chinese	265
No usual address (NSW)	Croatian	38
No usual address (NSW)	Dutch	123
No usual address (NSW)	English	2713
No usual address (NSW)	Filipino	83
No usual address (NSW)	French	83
No usual address (NSW)	German	307
No usual address (NSW)	Greek	80
No usual address (NSW)	Hungarian	34
No usual address (NSW)	Indian	81
No usual address (NSW)	Irish	819
No usual address (NSW)	Italian	232
No usual address (NSW)	Korean	22
No usual address (NSW)	Lebanese	72
No usual address (NSW)	Macedonian	24
No usual address (NSW)	Maltese	44
No usual address (NSW)	Maori	58
No usual address (NSW)	NZ	70
No usual address (NSW)	(Other)	933
No usual address (NSW)	Polish	54
No usual address (NSW)	Russian	31
No usual address (NSW)	Samoan	32
No usual address (NSW)	Scottish	747
No usual address (NSW)	Serbian	15
No usual address (NSW)	South African	32
No usual address (NSW)	Spanish	46
No usual address (NSW)	Sri Lankan	8
No usual address (NSW)	Vietnamese	50
No usual address (NSW)	Welsh	57
Greater Sydney		310332
Greater Sydney	Australian	1167633
Greater Sydney	Australian Aboriginal	86194
Greater Sydney	Chinese	552684
Greater Sydney	Croatian	44032
Greater Sydney	Dutch	48726
Greater Sydney	English	1244700
Greater Sydney	Filipino	130622
Greater Sydney	French	34334
Greater Sydney	German	122909
Greater Sydney	Greek	124484
Greater Sydney	Hungarian	19767
Greater Sydney	Indian	237217
Greater Sydney	Irish	401090
Greater Sydney	Italian	223635
Greater Sydney	Korean	69228
Greater Sydney	Lebanese	170780
Greater Sydney	Macedonian	28919
Greater Sydney	Maltese	63435
Greater Sydney	Maori	28378
Greater Sydney	NZ	35500
Greater Sydney	(Other)	1051658
Greater Sydney	Polish	42024
Greater Sydney	Russian	29349
Greater Sydney	Samoan	30502
Greater Sydney	Scottish	315681
Greater Sydney	Serbian	29801
Greater Sydney	South African	31164
Greater Sydney	Spanish	39999
Greater Sydney	Sri Lankan	18829
Greater Sydney	Vietnamese	118647
Greater Sydney	Welsh	25055
Rest of NSW		197132
Rest of NSW	Australian	1137037
Rest of NSW	Australian Aboriginal	172738
Rest of NSW	Chinese	28688
Rest of NSW	Croatian	10696
Rest of NSW	Dutch	38258
Rest of NSW	English	1157568
Rest of NSW	Filipino	22097
Rest of NSW	French	14223
Rest of NSW	German	119315
Rest of NSW	Greek	17054
Rest of NSW	Hungarian	6654
Rest of NSW	Indian	23789
Rest of NSW	Irish	333430
Rest of NSW	Italian	77954
Rest of NSW	Korean	3239
Rest of NSW	Lebanese	7427
Rest of NSW	Macedonian	14834
Rest of NSW	Maltese	15475
Rest of NSW	Maori	11277
Rest of NSW	NZ	17032
Rest of NSW	(Other)	182144
Rest of NSW	Polish	17700
Rest of NSW	Russian	6168
Rest of NSW	Samoan	3541
Rest of NSW	Scottish	303919
Rest of NSW	Serbian	6249
Rest of NSW	South African	8351
Rest of NSW	Spanish	10382
Rest of NSW	Sri Lankan	2286
Rest of NSW	Vietnamese	5329
Rest of NSW	Welsh	19759
No usual address (Vic.)		3662
No usual address (Vic.)	Australian	1876
No usual address (Vic.)	Australian Aboriginal	235
No usual address (Vic.)	Chinese	203
No usual address (Vic.)	Croatian	18
No usual address (Vic.)	Dutch	131
No usual address (Vic.)	English	1951
No usual address (Vic.)	Filipino	62
No usual address (Vic.)	French	44
No usual address (Vic.)	German	250
No usual address (Vic.)	Greek	74
No usual address (Vic.)	Hungarian	17
No usual address (Vic.)	Indian	102
No usual address (Vic.)	Irish	629
No usual address (Vic.)	Italian	223
No usual address (Vic.)	Korean	4
No usual address (Vic.)	Lebanese	41
No usual address (Vic.)	Macedonian	18
No usual address (Vic.)	Maltese	53
No usual address (Vic.)	Maori	58
No usual address (Vic.)	NZ	63
No usual address (Vic.)	(Other)	818
No usual address (Vic.)	Polish	51
No usual address (Vic.)	Russian	18
No usual address (Vic.)	Samoan	23
No usual address (Vic.)	Scottish	568
No usual address (Vic.)	Serbian	22
No usual address (Vic.)	South African	14
No usual address (Vic.)	Spanish	26
No usual address (Vic.)	Sri Lankan	24
No usual address (Vic.)	Vietnamese	51
No usual address (Vic.)	Welsh	43
Migratory - Offshore - Shipping (Vic.)		27
Migratory - Offshore - Shipping (Vic.)	English	7
Migratory - Offshore - Shipping (Vic.)	Filipino	3
Migratory - Offshore - Shipping (Vic.)	Scottish	3
Greater Melbourne		265428
Greater Melbourne	Australian	1151311
Greater Melbourne	Australian Aboriginal	32072
Greater Melbourne	Chinese	409290
Greater Melbourne	Croatian	42295
Greater Melbourne	Dutch	73197
Greater Melbourne	English	1257395
Greater Melbourne	Filipino	82470
Greater Melbourne	French	28418
Greater Melbourne	German	140553
Greater Melbourne	Greek	171485
Greater Melbourne	Hungarian	20541
Greater Melbourne	Indian	260694
Greater Melbourne	Irish	408492
Greater Melbourne	Italian	323661
