GCCSA_NAME21	DwellingStructure	MortgageRepayment.min	occupied_private_dwellings_being_purchased
Greater Sydney		0	26
Greater Sydney		5400	9
Greater Sydney		7200	5
Greater Sydney		9600	10
Greater Sydney		12000	30
Greater Sydney		16800	52
Greater Sydney		21600	119
Greater Sydney		28800	122
Greater Sydney		36000	101
Greater Sydney		48000	100
Greater Sydney	(Other)	0	66
Greater Sydney	(Other)	3600	16
Greater Sydney	(Other)	5400	9
Greater Sydney	(Other)	7200	19
Greater Sydney	(Other)	9600	33
Greater Sydney	(Other)	12000	74
Greater Sydney	(Other)	16800	100
Greater Sydney	(Other)	21600	175
Greater Sydney	(Other)	28800	99
Greater Sydney	(Other)	36000	113
Greater Sydney	(Other)	48000	144
Greater Sydney	Flat/apartment	0	4953
Greater Sydney	Flat/apartment	3600	1145
Greater Sydney	Flat/apartment	5400	1083
Greater Sydney	Flat/apartment	7200	1957
Greater Sydney	Flat/apartment	9600	2776
Greater Sydney	Flat/apartment	12000	9367
Greater Sydney	Flat/apartment	16800	13554
Greater Sydney	Flat/apartment	21600	27411
Greater Sydney	Flat/apartment	28800	18331
Greater Sydney	Flat/apartment	36000	16446
Greater Sydney	Flat/apartment	48000	12237
Greater Sydney	Semi-detached, row/terrace house, townhouse etc.	0	3423
Greater Sydney	Semi-detached, row/terrace house, townhouse etc.	3600	841
Greater Sydney	Semi-detached, row/terrace house, townhouse etc.	5400	775
Greater Sydney	Semi-detached, row/terrace house, townhouse etc.	7200	1202
Greater Sydney	Semi-detached, row/terrace house, townhouse etc.	9600	1650
Greater Sydney	Semi-detached, row/terrace house, townhouse etc.	12000	5037
Greater Sydney	Semi-detached, row/terrace house, townhouse etc.	16800	6835
Greater Sydney	Semi-detached, row/terrace house, townhouse etc.	21600	13015
Greater Sydney	Semi-detached, row/terrace house, townhouse etc.	28800	9316
Greater Sydney	Semi-detached, row/terrace house, townhouse etc.	36000	11439
Greater Sydney	Semi-detached, row/terrace house, townhouse etc.	48000	14514
Greater Sydney	Separate house	0	20268
