GCCSA_NAME21	Age	MaxSchoolingCompleted	Sex	adults
No usual address (NSW)	35-44	Year 9	M	54
No usual address (NSW)	35-44	Year 10	F	84
No usual address (NSW)	35-44	Year 10	M	167
No usual address (NSW)	35-44	Year 11	F	37
No usual address (NSW)	35-44	Year 11	M	38
No usual address (NSW)	35-44	Year 12	F	286
No usual address (NSW)	35-44	Year 12	M	306
No usual address (NSW)	45-54		F	206
No usual address (NSW)	45-54		M	449
No usual address (NSW)	45-54	Did not go to school	F	9
No usual address (NSW)	45-54	Did not go to school	M	3
No usual address (NSW)	45-54	Year 8 or below	F	21
No usual address (NSW)	45-54	Year 8 or below	M	39
No usual address (NSW)	45-54	Year 9	F	25
No usual address (NSW)	45-54	Year 9	M	53
No usual address (NSW)	45-54	Year 10	F	123
No usual address (NSW)	45-54	Year 10	M	162
No usual address (NSW)	45-54	Year 11	F	37
No usual address (NSW)	45-54	Year 11	M	47
No usual address (NSW)	45-54	Year 12	F	247
No usual address (NSW)	45-54	Year 12	M	253
No usual address (NSW)	55-64		F	153
No usual address (NSW)	55-64		M	313
No usual address (NSW)	55-64	Did not go to school	F	3
No usual address (NSW)	55-64	Did not go to school	M	10
No usual address (NSW)	55-64	Year 8 or below	F	11
No usual address (NSW)	55-64	Year 8 or below	M	33
No usual address (NSW)	55-64	Year 9	F	40
No usual address (NSW)	55-64	Year 9	M	60
No usual address (NSW)	55-64	Year 10	F	216
No usual address (NSW)	55-64	Year 10	M	276
No usual address (NSW)	55-64	Year 11	F	46
No usual address (NSW)	55-64	Year 11	M	44
No usual address (NSW)	55-64	Year 12	F	230
No usual address (NSW)	55-64	Year 12	M	207
No usual address (NSW)	65-74		F	72
No usual address (NSW)	65-74		M	141
No usual address (NSW)	65-74	Did not go to school	F	7
No usual address (NSW)	65-74	Did not go to school	M	3
No usual address (NSW)	65-74	Year 8 or below	F	24
No usual address (NSW)	65-74	Year 8 or below	M	56
No usual address (NSW)	65-74	Year 9	F	42
No usual address (NSW)	65-74	Year 9	M	68
No usual address (NSW)	65-74	Year 10	F	128
No usual address (NSW)	65-74	Year 10	M	168
No usual address (NSW)	65-74	Year 11	F	14
No usual address (NSW)	65-74	Year 11	M	37
No usual address (NSW)	65-74	Year 12	F	115
No usual address (NSW)	65-74	Year 12	M	183
No usual address (NSW)	75-84		F	22
No usual address (NSW)	75-84		M	44
No usual address (NSW)	75-84	Did not go to school	M	3
No usual address (NSW)	75-84	Year 8 or below	F	11
No usual address (NSW)	75-84	Year 8 or below	M	19
No usual address (NSW)	75-84	Year 9	F	5
No usual address (NSW)	75-84	Year 9	M	13
No usual address (NSW)	75-84	Year 10	F	28
No usual address (NSW)	75-84	Year 10	M	44
No usual address (NSW)	75-84	Year 11	F	3
No usual address (NSW)	75-84	Year 11	M	10
No usual address (NSW)	75-84	Year 12	F	27
No usual address (NSW)	75-84	Year 12	M	36
No usual address (NSW)	85+		F	14
No usual address (NSW)	85+		M	10
No usual address (NSW)	85+	Did not go to school	F	4
No usual address (NSW)	85+	Year 10	F	12
No usual address (NSW)	85+	Year 10	M	4
No usual address (NSW)	85+	Year 12	F	4
No usual address (NSW)	85+	Year 12	M	4
Greater Sydney	15-19		F	5824
Greater Sydney	15-19		M	6560
Greater Sydney	15-19	Did not go to school	F	91
Greater Sydney	15-19	Did not go to school	M	130
Greater Sydney	15-19	Year 8 or below	F	259
Greater Sydney	15-19	Year 8 or below	M	440
Greater Sydney	15-19	Year 9	F	1089
Greater Sydney	15-19	Year 9	M	2114
Greater Sydney	15-19	Year 10	F	5774
Greater Sydney	15-19	Year 10	M	11087
Greater Sydney	15-19	Year 11	F	3816
Greater Sydney	15-19	Year 11	M	5666
Greater Sydney	15-19	Year 12	F	41658
Greater Sydney	15-19	Year 12	M	38492
Greater Sydney	20-24		F	8685
Greater Sydney	20-24		M	10504
Greater Sydney	20-24	Did not go to school	F	459
Greater Sydney	20-24	Did not go to school	M	703
Greater Sydney	20-24	Year 8 or below	F	430
Greater Sydney	20-24	Year 8 or below	M	676
Greater Sydney	20-24	Year 9	F	1098
Greater Sydney	20-24	Year 9	M	2052
Greater Sydney	20-24	Year 10	F	7712
Greater Sydney	20-24	Year 10	M	12985
Greater Sydney	20-24	Year 11	F	6264
Greater Sydney	20-24	Year 11	M	9261
Greater Sydney	20-24	Year 12	F	141490
Greater Sydney	20-24	Year 12	M	139738
Greater Sydney	25-34		F	23909
Greater Sydney	25-34		M	26895
Greater Sydney	25-34	Did not go to school	F	2660
Greater Sydney	25-34	Did not go to school	M	3326
Greater Sydney	25-34	Year 8 or below	F	2199
Greater Sydney	25-34	Year 8 or below	M	3271
Greater Sydney	25-34	Year 9	F	3909
Greater Sydney	25-34	Year 9	M	5467
Greater Sydney	25-34	Year 10	F	24170
Greater Sydney	25-34	Year 10	M	36106
Greater Sydney	25-34	Year 11	F	12603
Greater Sydney	25-34	Year 11	M	16195
Greater Sydney	25-34	Year 12	F	340328
Greater Sydney	25-34	Year 12	M	309282
Greater Sydney	35-44		F	19511
Greater Sydney	35-44		M	22109
Greater Sydney	35-44	Did not go to school	F	3081
Greater Sydney	35-44	Did not go to school	M	3358
Greater Sydney	35-44	Year 8 or below	F	3778
Greater Sydney	35-44	Year 8 or below	M	4750
Greater Sydney	35-44	Year 9	F	5247
Greater Sydney	35-44	Year 9	M	6866
Greater Sydney	35-44	Year 10	F	27628
Greater Sydney	35-44	Year 10	M	38485
Greater Sydney	35-44	Year 11	F	12014
Greater Sydney	35-44	Year 11	M	14577
Greater Sydney	35-44	Year 12	F	320603
Greater Sydney	35-44	Year 12	M	294950
Greater Sydney	45-54		F	14578
Greater Sydney	45-54		M	16547
Greater Sydney	45-54	Did not go to school	F	4726
Greater Sydney	45-54	Did not go to school	M	3817
Greater Sydney	45-54	Year 8 or below	F	6257
Greater Sydney	45-54	Year 8 or below	M	6454
Greater Sydney	45-54	Year 9	F	7866
Greater Sydney	45-54	Year 9	M	9213
Greater Sydney	45-54	Year 10	F	54176
Greater Sydney	45-54	Year 10	M	59516
Greater Sydney	45-54	Year 11	F	13776
Greater Sydney	45-54	Year 11	M	14326
Greater Sydney	45-54	Year 12	F	238575
Greater Sydney	45-54	Year 12	M	216469
Greater Sydney	55-64		F	13274
Greater Sydney	55-64		M	14389
Greater Sydney	55-64	Did not go to school	F	7111
Greater Sydney	55-64	Did not go to school	M	5297
Greater Sydney	55-64	Year 8 or below	F	12135
Greater Sydney	55-64	Year 8 or below	M	10289
Greater Sydney	55-64	Year 9	F	12297
Greater Sydney	55-64	Year 9	M	11397
Greater Sydney	55-64	Year 10	F	73487
Greater Sydney	55-64	Year 10	M	68511
Greater Sydney	55-64	Year 11	F	11792
Greater Sydney	55-64	Year 11	M	12161
Greater Sydney	55-64	Year 12	F	165896
Greater Sydney	55-64	Year 12	M	160232
Greater Sydney	65-74		F	13759
Greater Sydney	65-74		M	12616
Greater Sydney	65-74	Did not go to school	F	7373
Greater Sydney	65-74	Did not go to school	M	4874
Greater Sydney	65-74	Year 8 or below	F	19917
Greater Sydney	65-74	Year 8 or below	M	15240
Greater Sydney	65-74	Year 9	F	18737
Greater Sydney	65-74	Year 9	M	14510
Greater Sydney	65-74	Year 10	F	60885
Greater Sydney	65-74	Year 10	M	43461
Greater Sydney	65-74	Year 11	F	7859
Greater Sydney	65-74	Year 11	M	7289
Greater Sydney	65-74	Year 12	F	101638
Greater Sydney	65-74	Year 12	M	110547
Greater Sydney	75-84		F	13622
Greater Sydney	75-84		M	10993
Greater Sydney	75-84	Did not go to school	F	6370
Greater Sydney	75-84	Did not go to school	M	3701
Greater Sydney	75-84	Year 8 or below	F	18252
Greater Sydney	75-84	Year 8 or below	M	14088
Greater Sydney	75-84	Year 9	F	13722
Greater Sydney	75-84	Year 9	M	10644
Greater Sydney	75-84	Year 10	F	35638
Greater Sydney	75-84	Year 10	M	24743
Greater Sydney	75-84	Year 11	F	4634
Greater Sydney	75-84	Year 11	M	3943
Greater Sydney	75-84	Year 12	F	41556
Greater Sydney	75-84	Year 12	M	47248
Greater Sydney	85+		F	13205
Greater Sydney	85+		M	6837
Greater Sydney	85+	Did not go to school	F	4325
Greater Sydney	85+	Did not go to school	M	2018
Greater Sydney	85+	Year 8 or below	F	11126
Greater Sydney	85+	Year 8 or below	M	6710
Greater Sydney	85+	Year 9	F	7127
Greater Sydney	85+	Year 9	M	3742
Greater Sydney	85+	Year 10	F	13689
Greater Sydney	85+	Year 10	M	7387
Greater Sydney	85+	Year 11	F	1682
Greater Sydney	85+	Year 11	M	1155
Greater Sydney	85+	Year 12	F	13682
Greater Sydney	85+	Year 12	M	12922
Rest of NSW	15-19		F	4812
Rest of NSW	15-19		M	5375
Rest of NSW	15-19	Did not go to school	F	61
Rest of NSW	15-19	Did not go to school	M	81
Rest of NSW	15-19	Year 8 or below	F	367
Rest of NSW	15-19	Year 8 or below	M	648
Rest of NSW	15-19	Year 9	F	1658
Rest of NSW	15-19	Year 9	M	2644
Rest of NSW	15-19	Year 10	F	7003
Rest of NSW	15-19	Year 10	M	11229
Rest of NSW	15-19	Year 11	F	4055
Rest of NSW	15-19	Year 11	M	5910
Rest of NSW	15-19	Year 12	F	17334
Rest of NSW	15-19	Year 12	M	14189
Rest of NSW	20-24		F	4875
Rest of NSW	20-24		M	6394
Rest of NSW	20-24	Did not go to school	F	113
Rest of NSW	20-24	Did not go to school	M	150
Rest of NSW	20-24	Year 8 or below	F	328
Rest of NSW	20-24	Year 8 or below	M	532
Rest of NSW	20-24	Year 9	F	1283
Rest of NSW	20-24	Year 9	M	2197
Rest of NSW	20-24	Year 10	F	8458
Rest of NSW	20-24	Year 10	M	12929
Rest of NSW	20-24	Year 11	F	6225
Rest of NSW	20-24	Year 11	M	8650
Rest of NSW	20-24	Year 12	F	52987
Rest of NSW	20-24	Year 12	M	46945
Rest of NSW	25-34		F	10895
Rest of NSW	25-34		M	14332
Rest of NSW	25-34	Did not go to school	F	468
Rest of NSW	25-34	Did not go to school	M	568
Rest of NSW	25-34	Year 8 or below	F	1207
Rest of NSW	25-34	Year 8 or below	M	1890
Rest of NSW	25-34	Year 9	F	3915
Rest of NSW	25-34	Year 9	M	4922
Rest of NSW	25-34	Year 10	F	25308
Rest of NSW	25-34	Year 10	M	35977
Rest of NSW	25-34	Year 11	F	10914
Rest of NSW	25-34	Year 11	M	13214
Rest of NSW	25-34	Year 12	F	113841
Rest of NSW	25-34	Year 12	M	90903
Rest of NSW	35-44		F	10402
Rest of NSW	35-44		M	13074
Rest of NSW	35-44	Did not go to school	F	529
Rest of NSW	35-44	Did not go to school	M	591
Rest of NSW	35-44	Year 8 or below	F	1662
Rest of NSW	35-44	Year 8 or below	M	2566
Rest of NSW	35-44	Year 9	F	4554
Rest of NSW	35-44	Year 9	M	5952
Rest of NSW	35-44	Year 10	F	27475
Rest of NSW	35-44	Year 10	M	37392
Rest of NSW	35-44	Year 11	F	10992
Rest of NSW	35-44	Year 11	M	12546
Rest of NSW	35-44	Year 12	F	110291
Rest of NSW	35-44	Year 12	M	85391
Rest of NSW	45-54		F	10271
Rest of NSW	45-54		M	12760
Rest of NSW	45-54	Did not go to school	F	634
Rest of NSW	45-54	Did not go to school	M	692
Rest of NSW	45-54	Year 8 or below	F	2544
Rest of NSW	45-54	Year 8 or below	M	3846
Rest of NSW	45-54	Year 9	F	7590
Rest of NSW	45-54	Year 9	M	8886
Rest of NSW	45-54	Year 10	F	51810
Rest of NSW	45-54	Year 10	M	57523
Rest of NSW	45-54	Year 11	F	12860
Rest of NSW	45-54	Year 11	M	12520
Rest of NSW	45-54	Year 12	F	92928
Rest of NSW	45-54	Year 12	M	73035
Rest of NSW	55-64		F	11521
Rest of NSW	55-64		M	13155
Rest of NSW	55-64	Did not go to school	F	778
Rest of NSW	55-64	Did not go to school	M	852
Rest of NSW	55-64	Year 8 or below	F	6356
Rest of NSW	55-64	Year 8 or below	M	7961
Rest of NSW	55-64	Year 9	F	14243
Rest of NSW	55-64	Year 9	M	14637
Rest of NSW	55-64	Year 10	F	79891
Rest of NSW	55-64	Year 10	M	79587
Rest of NSW	55-64	Year 11	F	12709
Rest of NSW	55-64	Year 11	M	11166
Rest of NSW	55-64	Year 12	F	70329
Rest of NSW	55-64	Year 12	M	57602
Rest of NSW	65-74		F	12728
Rest of NSW	65-74		M	13086
Rest of NSW	65-74	Did not go to school	F	912
Rest of NSW	65-74	Did not go to school	M	975
Rest of NSW	65-74	Year 8 or below	F	12358
Rest of NSW	65-74	Year 8 or below	M	14612
Rest of NSW	65-74	Year 9	F	23252
Rest of NSW	65-74	Year 9	M	21908
Rest of NSW	65-74	Year 10	F	67680
Rest of NSW	65-74	Year 10	M	55022
Rest of NSW	65-74	Year 11	F	8800
Rest of NSW	65-74	Year 11	M	8540
Rest of NSW	65-74	Year 12	F	50880
Rest of NSW	65-74	Year 12	M	57289
Rest of NSW	75-84		F	12433
Rest of NSW	75-84		M	10226
Rest of NSW	75-84	Did not go to school	F	924
Rest of NSW	75-84	Did not go to school	M	824
Rest of NSW	75-84	Year 8 or below	F	11708
Rest of NSW	75-84	Year 8 or below	M	12435
Rest of NSW	75-84	Year 9	F	16524
Rest of NSW	75-84	Year 9	M	15321
Rest of NSW	75-84	Year 10	F	37164
Rest of NSW	75-84	Year 10	M	27576
Rest of NSW	75-84	Year 11	F	4877
Rest of NSW	75-84	Year 11	M	4248
Rest of NSW	75-84	Year 12	F	22412
Rest of NSW	75-84	Year 12	M	24958
Rest of NSW	85+		F	9227
Rest of NSW	85+		M	5137
Rest of NSW	85+	Did not go to school	F	717
Rest of NSW	85+	Did not go to school	M	416
Rest of NSW	85+	Year 8 or below	F	9115
Rest of NSW	85+	Year 8 or below	M	6044
Rest of NSW	85+	Year 9	F	8264
Rest of NSW	85+	Year 9	M	4680
Rest of NSW	85+	Year 10	F	12327
Rest of NSW	85+	Year 10	M	6668
Rest of NSW	85+	Year 11	F	1488
Rest of NSW	85+	Year 11	M	1076
Rest of NSW	85+	Year 12	F	6720
Rest of NSW	85+	Year 12	M	6198
No usual address (Vic.)	15-19		F	84
No usual address (Vic.)	15-19		M	91
No usual address (Vic.)	15-19	Did not go to school	F	3
No usual address (Vic.)	15-19	Year 8 or below	F	3
No usual address (Vic.)	15-19	Year 8 or below	M	13
No usual address (Vic.)	15-19	Year 9	F	15
No usual address (Vic.)	15-19	Year 9	M	11
No usual address (Vic.)	15-19	Year 10	F	26
No usual address (Vic.)	15-19	Year 10	M	34
No usual address (Vic.)	15-19	Year 11	F	12
No usual address (Vic.)	15-19	Year 11	M	9
No usual address (Vic.)	15-19	Year 12	F	44
No usual address (Vic.)	15-19	Year 12	M	32
No usual address (Vic.)	20-24		F	89
No usual address (Vic.)	20-24		M	118
No usual address (Vic.)	20-24	Did not go to school	M	4
No usual address (Vic.)	20-24	Year 8 or below	F	5
No usual address (Vic.)	20-24	Year 8 or below	M	12
No usual address (Vic.)	20-24	Year 9	F	16
No usual address (Vic.)	20-24	Year 9	M	14
No usual address (Vic.)	20-24	Year 10	F	26
No usual address (Vic.)	20-24	Year 10	M	29
No usual address (Vic.)	20-24	Year 11	F	25
No usual address (Vic.)	20-24	Year 11	M	32
No usual address (Vic.)	20-24	Year 12	F	164
No usual address (Vic.)	20-24	Year 12	M	135
No usual address (Vic.)	25-34		F	306
No usual address (Vic.)	25-34		M	390
No usual address (Vic.)	25-34	Did not go to school	F	5
No usual address (Vic.)	25-34	Did not go to school	M	3
No usual address (Vic.)	25-34	Year 8 or below	F	12
No usual address (Vic.)	25-34	Year 8 or below	M	17
No usual address (Vic.)	25-34	Year 9	F	20
No usual address (Vic.)	25-34	Year 9	M	37
No usual address (Vic.)	25-34	Year 10	F	65
No usual address (Vic.)	25-34	Year 10	M	78
No usual address (Vic.)	25-34	Year 11	F	53
No usual address (Vic.)	25-34	Year 11	M	63
No usual address (Vic.)	25-34	Year 12	F	419
No usual address (Vic.)	25-34	Year 12	M	358
No usual address (Vic.)	35-44		F	347
No usual address (Vic.)	35-44		M	525
No usual address (Vic.)	35-44	Did not go to school	F	4
No usual address (Vic.)	35-44	Did not go to school	M	3
No usual address (Vic.)	35-44	Year 8 or below	F	13
No usual address (Vic.)	35-44	Year 8 or below	M	19
No usual address (Vic.)	35-44	Year 9	F	30
No usual address (Vic.)	35-44	Year 9	M	38
No usual address (Vic.)	35-44	Year 10	F	63
No usual address (Vic.)	35-44	Year 10	M	108
No usual address (Vic.)	35-44	Year 11	F	39
No usual address (Vic.)	35-44	Year 11	M	55
No usual address (Vic.)	35-44	Year 12	F	238
No usual address (Vic.)	35-44	Year 12	M	251
No usual address (Vic.)	45-54		F	180
No usual address (Vic.)	45-54		M	458
No usual address (Vic.)	45-54	Did not go to school	F	4
No usual address (Vic.)	45-54	Did not go to school	M	7
No usual address (Vic.)	45-54	Year 8 or below	F	9
No usual address (Vic.)	45-54	Year 8 or below	M	27
No usual address (Vic.)	45-54	Year 9	F	14
No usual address (Vic.)	45-54	Year 9	M	55
No usual address (Vic.)	45-54	Year 10	F	58
No usual address (Vic.)	45-54	Year 10	M	89
No usual address (Vic.)	45-54	Year 11	F	46
No usual address (Vic.)	45-54	Year 11	M	76
No usual address (Vic.)	45-54	Year 12	F	166
No usual address (Vic.)	45-54	Year 12	M	199
No usual address (Vic.)	55-64		F	117
No usual address (Vic.)	55-64		M	289
No usual address (Vic.)	55-64	Did not go to school	F	4
No usual address (Vic.)	55-64	Did not go to school	M	5
No usual address (Vic.)	55-64	Year 8 or below	F	10
No usual address (Vic.)	55-64	Year 8 or below	M	17
No usual address (Vic.)	55-64	Year 9	F	23
No usual address (Vic.)	55-64	Year 9	M	38
No usual address (Vic.)	55-64	Year 10	F	84
No usual address (Vic.)	55-64	Year 10	M	97
No usual address (Vic.)	55-64	Year 11	F	53
No usual address (Vic.)	55-64	Year 11	M	76
No usual address (Vic.)	55-64	Year 12	F	144
No usual address (Vic.)	55-64	Year 12	M	119
No usual address (Vic.)	65-74		F	69
No usual address (Vic.)	65-74		M	130
No usual address (Vic.)	65-74	Did not go to school	M	3
No usual address (Vic.)	65-74	Year 8 or below	F	16
No usual address (Vic.)	65-74	Year 8 or below	M	25
No usual address (Vic.)	65-74	Year 9	F	17
No usual address (Vic.)	65-74	Year 9	M	29
No usual address (Vic.)	65-74	Year 10	F	44
No usual address (Vic.)	65-74	Year 10	M	65
No usual address (Vic.)	65-74	Year 11	F	27
No usual address (Vic.)	65-74	Year 11	M	32
No usual address (Vic.)	65-74	Year 12	F	42
No usual address (Vic.)	65-74	Year 12	M	102
No usual address (Vic.)	75-84		F	7
No usual address (Vic.)	75-84		M	25
No usual address (Vic.)	75-84	Year 8 or below	F	11
No usual address (Vic.)	75-84	Year 8 or below	M	13
No usual address (Vic.)	75-84	Year 9	F	7
No usual address (Vic.)	75-84	Year 9	M	9
No usual address (Vic.)	75-84	Year 10	F	12
No usual address (Vic.)	75-84	Year 10	M	17
No usual address (Vic.)	75-84	Year 11	F	9
No usual address (Vic.)	75-84	Year 12	F	18
No usual address (Vic.)	75-84	Year 12	M	19
No usual address (Vic.)	85+		F	10
No usual address (Vic.)	85+		M	6
No usual address (Vic.)	85+	Year 8 or below	F	9
No usual address (Vic.)	85+	Year 8 or below	M	3
No usual address (Vic.)	85+	Year 9	F	5
No usual address (Vic.)	85+	Year 12	M	4
Migratory - Offshore - Shipping (Vic.)	35-44		M	11
Migratory - Offshore - Shipping (Vic.)	35-44	Year 12	M	7
Migratory - Offshore - Shipping (Vic.)	45-54		M	3
Migratory - Offshore - Shipping (Vic.)	55-64		F	3
Migratory - Offshore - Shipping (Vic.)	55-64		M	7
Greater Melbourne	15-19		F	5113
Greater Melbourne	15-19		M	5624
Greater Melbourne	15-19	Did not go to school	F	126
Greater Melbourne	15-19	Did not go to school	M	186
Greater Melbourne	15-19	Year 8 or below	F	436
Greater Melbourne	15-19	Year 8 or below	M	809
Greater Melbourne	15-19	Year 9	F	953
Greater Melbourne	15-19	Year 9	M	1835
Greater Melbourne	15-19	Year 10	F	3032
Greater Melbourne	15-19	Year 10	M	5974
Greater Melbourne	15-19	Year 11	F	3200
Greater Melbourne	15-19	Year 11	M	5457
Greater Melbourne	15-19	Year 12	F	37078
Greater Melbourne	15-19	Year 12	M	34031
Greater Melbourne	20-24		F	7534
Greater Melbourne	20-24		M	8930
Greater Melbourne	20-24	Did not go to school	F	570
Greater Melbourne	20-24	Did not go to school	M	849
Greater Melbourne	20-24	Year 8 or below	F	669
Greater Melbourne	20-24	Year 8 or below	M	1038
Greater Melbourne	20-24	Year 9	F	1082
Greater Melbourne	20-24	Year 9	M	1933
Greater Melbourne	20-24	Year 10	F	4863
Greater Melbourne	20-24	Year 10	M	8688
Greater Melbourne	20-24	Year 11	F	6191
Greater Melbourne	20-24	Year 11	M	9997
Greater Melbourne	20-24	Year 12	F	138827
Greater Melbourne	20-24	Year 12	M	136608
Greater Melbourne	25-34		F	21010
Greater Melbourne	25-34		M	23202
Greater Melbourne	25-34	Did not go to school	F	2859
Greater Melbourne	25-34	Did not go to school	M	3387
Greater Melbourne	25-34	Year 8 or below	F	2928
Greater Melbourne	25-34	Year 8 or below	M	3892
Greater Melbourne	25-34	Year 9	F	3750
Greater Melbourne	25-34	Year 9	M	6524
Greater Melbourne	25-34	Year 10	F	15144
Greater Melbourne	25-34	Year 10	M	25447
Greater Melbourne	25-34	Year 11	F	15439
Greater Melbourne	25-34	Year 11	M	22750
Greater Melbourne	25-34	Year 12	F	336647
Greater Melbourne	25-34	Year 12	M	304967
Greater Melbourne	35-44		F	16644
Greater Melbourne	35-44		M	18220
Greater Melbourne	35-44	Did not go to school	F	3699
Greater Melbourne	35-44	Did not go to school	M	3553
Greater Melbourne	35-44	Year 8 or below	F	4600
Greater Melbourne	35-44	Year 8 or below	M	5268
Greater Melbourne	35-44	Year 9	F	5007
Greater Melbourne	35-44	Year 9	M	7637
Greater Melbourne	35-44	Year 10	F	16569
Greater Melbourne	35-44	Year 10	M	27257
Greater Melbourne	35-44	Year 11	F	14510
Greater Melbourne	35-44	Year 11	M	21060
Greater Melbourne	35-44	Year 12	F	309873
Greater Melbourne	35-44	Year 12	M	280526
Greater Melbourne	45-54		F	13068
Greater Melbourne	45-54		M	14424
Greater Melbourne	45-54	Did not go to school	F	4643
Greater Melbourne	45-54	Did not go to school	M	3737
Greater Melbourne	45-54	Year 8 or below	F	6499
Greater Melbourne	45-54	Year 8 or below	M	6004
Greater Melbourne	45-54	Year 9	F	8181
Greater Melbourne	45-54	Year 9	M	10753
Greater Melbourne	45-54	Year 10	F	26706
Greater Melbourne	45-54	Year 10	M	36170
Greater Melbourne	45-54	Year 11	F	33074
Greater Melbourne	45-54	Year 11	M	37971
Greater Melbourne	45-54	Year 12	F	230268
Greater Melbourne	45-54	Year 12	M	196961
Greater Melbourne	55-64		F	11678
Greater Melbourne	55-64		M	12210
Greater Melbourne	55-64	Did not go to school	F	5939
Greater Melbourne	55-64	Did not go to school	M	4319
Greater Melbourne	55-64	Year 8 or below	F	10666
Greater Melbourne	55-64	Year 8 or below	M	8927
Greater Melbourne	55-64	Year 9	F	12896
Greater Melbourne	55-64	Year 9	M	13565
Greater Melbourne	55-64	Year 10	F	37036
Greater Melbourne	55-64	Year 10	M	41219
Greater Melbourne	55-64	Year 11	F	43669
Greater Melbourne	55-64	Year 11	M	41291
Greater Melbourne	55-64	Year 12	F	151143
Greater Melbourne	55-64	Year 12	M	134832
Greater Melbourne	65-74		F	12351
Greater Melbourne	65-74		M	10916
Greater Melbourne	65-74	Did not go to school	F	6087
Greater Melbourne	65-74	Did not go to school	M	4062
Greater Melbourne	65-74	Year 8 or below	F	22085
Greater Melbourne	65-74	Year 8 or below	M	14883
Greater Melbourne	65-74	Year 9	F	16841
Greater Melbourne	65-74	Year 9	M	13960
Greater Melbourne	65-74	Year 10	F	37754
Greater Melbourne	65-74	Year 10	M	29455
Greater Melbourne	65-74	Year 11	F	27704
Greater Melbourne	65-74	Year 11	M	22451
Greater Melbourne	65-74	Year 12	F	91745
Greater Melbourne	65-74	Year 12	M	94241
Greater Melbourne	75-84		F	11714
Greater Melbourne	75-84		M	9388
Greater Melbourne	75-84	Did not go to school	F	6057
Greater Melbourne	75-84	Did not go to school	M	3585
Greater Melbourne	75-84	Year 8 or below	F	27495
Greater Melbourne	75-84	Year 8 or below	M	18773
Greater Melbourne	75-84	Year 9	F	11899
Greater Melbourne	75-84	Year 9	M	9922
Greater Melbourne	75-84	Year 10	F	22339
Greater Melbourne	75-84	Year 10	M	16745
Greater Melbourne	75-84	Year 11	F	12137
Greater Melbourne	75-84	Year 11	M	8681
Greater Melbourne	75-84	Year 12	F	35844
Greater Melbourne	75-84	Year 12	M	40205
Greater Melbourne	85+		F	9898
Greater Melbourne	85+		M	5256
Greater Melbourne	85+	Did not go to school	F	4041
Greater Melbourne	85+	Did not go to school	M	1903
Greater Melbourne	85+	Year 8 or below	F	16696
Greater Melbourne	85+	Year 8 or below	M	9664
Greater Melbourne	85+	Year 9	F	5828
Greater Melbourne	85+	Year 9	M	3278
Greater Melbourne	85+	Year 10	F	8535
Greater Melbourne	85+	Year 10	M	4924
Greater Melbourne	85+	Year 11	F	4010
Greater Melbourne	85+	Year 11	M	2326
Greater Melbourne	85+	Year 12	F	12483
Greater Melbourne	85+	Year 12	M	11107
Rest of Vic.	15-19		F	2506
Rest of Vic.	15-19		M	2676
Rest of Vic.	15-19	Did not go to school	F	36
Rest of Vic.	15-19	Did not go to school	M	61
Rest of Vic.	15-19	Year 8 or below	F	304
Rest of Vic.	15-19	Year 8 or below	M	554
Rest of Vic.	15-19	Year 9	F	689
Rest of Vic.	15-19	Year 9	M	1246
