GCCSA_NAME21	Age	persons
No usual address (NSW)	0-4	460
No usual address (NSW)	5-14	798
No usual address (NSW)	15-19	532
No usual address (NSW)	20-24	829
No usual address (NSW)	25-34	2187
No usual address (NSW)	35-44	1859
No usual address (NSW)	45-54	1678
No usual address (NSW)	55-64	1648
No usual address (NSW)	65-74	1055
No usual address (NSW)	75-84	277
No usual address (NSW)	85+	49
Greater Sydney	0-4	312364
Greater Sydney	5-14	650843
Greater Sydney	15-19	294764
Greater Sydney	20-24	343064
Greater Sydney	25-34	811314
Greater Sydney	35-44	777748
Greater Sydney	45-54	667167
Greater Sydney	55-64	579166
Greater Sydney	65-74	439467
Greater Sydney	75-84	249517
Greater Sydney	85+	105729
Rest of NSW	0-4	155229
Rest of NSW	5-14	350305
Rest of NSW	15-19	162601
Rest of NSW	20-24	152295
Rest of NSW	25-34	328523
Rest of NSW	35-44	323565
Rest of NSW	45-54	348104
Rest of NSW	55-64	380961
Rest of NSW	65-74	348204
Rest of NSW	75-84	201734
Rest of NSW	85+	78115
No usual address (Vic.)	0-4	414
No usual address (Vic.)	5-14	730
No usual address (Vic.)	15-19	459
No usual address (Vic.)	20-24	671
No usual address (Vic.)	25-34	1819
No usual address (Vic.)	35-44	1736
No usual address (Vic.)	45-54	1393
No usual address (Vic.)	55-64	1074
No usual address (Vic.)	65-74	613
No usual address (Vic.)	75-84	152
No usual address (Vic.)	85+	29
Migratory - Offshore - Shipping (Vic.)	25-34	6
Migratory - Offshore - Shipping (Vic.)	35-44	16
Migratory - Offshore - Shipping (Vic.)	45-54	3
Migratory - Offshore - Shipping (Vic.)	55-64	14
Migratory - Offshore - Shipping (Vic.)	65-74	4
Greater Melbourne	0-4	290649
Greater Melbourne	5-14	600934
Greater Melbourne	15-19	274698
Greater Melbourne	20-24	328543
Greater Melbourne	25-34	788689
Greater Melbourne	35-44	735102
Greater Melbourne	45-54	629107
Greater Melbourne	55-64	529975
Greater Melbourne	65-74	405027
Greater Melbourne	75-84	234998
Greater Melbourne	85+	100021
Rest of Vic.	0-4	84837
Rest of Vic.	5-14	191896
Rest of Vic.	15-19	88042
Rest of Vic.	20-24	81124
Rest of Vic.	25-34	184984
Rest of Vic.	35-44	181883
Rest of Vic.	45-54	196379
Rest of Vic.	55-64	215485
Rest of Vic.	65-74	199919
Rest of Vic.	75-84	109653
Rest of Vic.	85+	42424
No usual address (Qld)	0-4	504
No usual address (Qld)	5-14	932
No usual address (Qld)	15-19	566
No usual address (Qld)	20-24	934
No usual address (Qld)	25-34	2649
No usual address (Qld)	35-44	2077
No usual address (Qld)	45-54	1929
No usual address (Qld)	55-64	2468
No usual address (Qld)	65-74	2124
No usual address (Qld)	75-84	444
No usual address (Qld)	85+	44
Migratory - Offshore - Shipping (Qld)	20-24	16
Migratory - Offshore - Shipping (Qld)	25-34	49
Migratory - Offshore - Shipping (Qld)	35-44	64
Migratory - Offshore - Shipping (Qld)	45-54	45
Migratory - Offshore - Shipping (Qld)	55-64	5
Migratory - Offshore - Shipping (Qld)	65-74	3
Greater Brisbane	0-4	150503
Greater Brisbane	5-14	333644
Greater Brisbane	15-19	157117
Greater Brisbane	20-24	174643
Greater Brisbane	25-34	374070
Greater Brisbane	35-44	360339
Greater Brisbane	45-54	329053
Greater Brisbane	55-64	273801
Greater Brisbane	65-74	214163
Greater Brisbane	75-84	116022
Greater Brisbane	85+	42879
Rest of Qld	0-4	141447
Rest of Qld	5-14	337289
Rest of Qld	15-19	155824
Rest of Qld	20-24	148151
Rest of Qld	25-34	324954
Rest of Qld	35-44	325336
Rest of Qld	45-54	343100
Rest of Qld	55-64	339019
Rest of Qld	65-74	287170
Rest of Qld	75-84	158531
Rest of Qld	85+	54209
No usual address (SA)	0-4	140
No usual address (SA)	5-14	262
No usual address (SA)	15-19	186
No usual address (SA)	20-24	206
No usual address (SA)	25-34	627
No usual address (SA)	35-44	534
No usual address (SA)	45-54	478
No usual address (SA)	55-64	513
No usual address (SA)	65-74	359
No usual address (SA)	75-84	64
No usual address (SA)	85+	11
Migratory - Offshore - Shipping (SA)	35-44	3
Migratory - Offshore - Shipping (SA)	45-54	5
Greater Adelaide	0-4	74749
Greater Adelaide	5-14	162790
Greater Adelaide	15-19	78280
Greater Adelaide	20-24	91070
Greater Adelaide	25-34	193712
Greater Adelaide	35-44	184652
Greater Adelaide	45-54	175064
Greater Adelaide	55-64	168406
Greater Adelaide	65-74	140746
Greater Adelaide	75-84	81558
Greater Adelaide	85+	36258
Rest of SA	0-4	19344
Rest of SA	5-14	45857
Rest of SA	15-19	20686
Rest of SA	20-24	17897
Rest of SA	25-34	40951
Rest of SA	35-44	41473
Rest of SA	45-54	49086
Rest of SA	55-64	58227
Rest of SA	65-74	55238
Rest of SA	75-84	31032
Rest of SA	85+	11053
No usual address (WA)	0-4	300
No usual address (WA)	5-14	473
No usual address (WA)	15-19	261
No usual address (WA)	20-24	562
No usual address (WA)	25-34	1512
No usual address (WA)	35-44	1543
No usual address (WA)	45-54	1313
No usual address (WA)	55-64	1144
No usual address (WA)	65-74	758
No usual address (WA)	75-84	155
No usual address (WA)	85+	30
Migratory - Offshore - Shipping (WA)	15-19	6
Migratory - Offshore - Shipping (WA)	20-24	31
Migratory - Offshore - Shipping (WA)	25-34	116
Migratory - Offshore - Shipping (WA)	35-44	170
Migratory - Offshore - Shipping (WA)	45-54	109
Migratory - Offshore - Shipping (WA)	55-64	62
Migratory - Offshore - Shipping (WA)	65-74	18
Greater Perth	0-4	129598
Greater Perth	5-14	271642
Greater Perth	15-19	123315
Greater Perth	20-24	132631
Greater Perth	25-34	303907
Greater Perth	35-44	306917
