GCCSA_NAME21	Age.min	Sex	persons
No usual address (NSW)	0	F	33
No usual address (NSW)	0	M	51
No usual address (NSW)	1	F	46
No usual address (NSW)	1	M	55
No usual address (NSW)	2	F	37
No usual address (NSW)	2	M	50
No usual address (NSW)	3	F	50
No usual address (NSW)	3	M	48
No usual address (NSW)	4	F	38
No usual address (NSW)	4	M	45
No usual address (NSW)	5	F	44
No usual address (NSW)	5	M	39
No usual address (NSW)	6	F	45
No usual address (NSW)	6	M	44
No usual address (NSW)	7	F	46
No usual address (NSW)	7	M	34
No usual address (NSW)	8	F	45
No usual address (NSW)	8	M	49
No usual address (NSW)	9	F	50
No usual address (NSW)	9	M	42
No usual address (NSW)	10	F	44
No usual address (NSW)	10	M	28
No usual address (NSW)	11	F	41
No usual address (NSW)	11	M	41
No usual address (NSW)	12	F	33
No usual address (NSW)	12	M	28
No usual address (NSW)	13	F	43
No usual address (NSW)	13	M	48
No usual address (NSW)	14	F	26
No usual address (NSW)	14	M	34
No usual address (NSW)	15	F	50
No usual address (NSW)	15	M	33
No usual address (NSW)	16	F	49
No usual address (NSW)	16	M	47
No usual address (NSW)	17	F	60
No usual address (NSW)	17	M	51
No usual address (NSW)	18	F	67
No usual address (NSW)	18	M	58
No usual address (NSW)	19	F	60
No usual address (NSW)	19	M	62
No usual address (NSW)	20	F	70
No usual address (NSW)	20	M	60
No usual address (NSW)	21	F	87
No usual address (NSW)	21	M	75
No usual address (NSW)	22	F	77
No usual address (NSW)	22	M	91
No usual address (NSW)	23	F	90
No usual address (NSW)	23	M	89
No usual address (NSW)	24	F	99
No usual address (NSW)	24	M	91
No usual address (NSW)	25	F	106
No usual address (NSW)	25	M	115
No usual address (NSW)	26	F	103
No usual address (NSW)	26	M	122
No usual address (NSW)	27	F	117
No usual address (NSW)	27	M	101
No usual address (NSW)	28	F	123
No usual address (NSW)	28	M	120
No usual address (NSW)	29	F	82
No usual address (NSW)	29	M	127
No usual address (NSW)	30	F	109
No usual address (NSW)	30	M	117
No usual address (NSW)	31	F	99
No usual address (NSW)	31	M	111
No usual address (NSW)	32	F	99
No usual address (NSW)	32	M	143
No usual address (NSW)	33	F	87
No usual address (NSW)	33	M	103
No usual address (NSW)	34	F	98
No usual address (NSW)	34	M	102
No usual address (NSW)	35	F	77
No usual address (NSW)	35	M	124
No usual address (NSW)	36	F	79
No usual address (NSW)	36	M	90
No usual address (NSW)	37	F	87
No usual address (NSW)	37	M	129
No usual address (NSW)	38	F	68
No usual address (NSW)	38	M	117
No usual address (NSW)	39	F	78
No usual address (NSW)	39	M	103
No usual address (NSW)	40	F	79
No usual address (NSW)	40	M	111
No usual address (NSW)	41	F	61
No usual address (NSW)	41	M	101
No usual address (NSW)	42	F	79
No usual address (NSW)	42	M	134
No usual address (NSW)	43	F	72
No usual address (NSW)	43	M	94
No usual address (NSW)	44	F	62
No usual address (NSW)	44	M	105
No usual address (NSW)	45	F	63
No usual address (NSW)	45	M	101
No usual address (NSW)	46	F	76
No usual address (NSW)	46	M	104
No usual address (NSW)	47	F	68
No usual address (NSW)	47	M	130
No usual address (NSW)	48	F	65
No usual address (NSW)	48	M	117
No usual address (NSW)	49	F	64
No usual address (NSW)	49	M	97
No usual address (NSW)	50	F	75
No usual address (NSW)	50	M	106
No usual address (NSW)	51	F	66
No usual address (NSW)	51	M	78
No usual address (NSW)	52	F	69
No usual address (NSW)	52	M	113
No usual address (NSW)	53	F	49
No usual address (NSW)	53	M	84
No usual address (NSW)	54	F	72
No usual address (NSW)	54	M	82
No usual address (NSW)	55	F	62
No usual address (NSW)	55	M	103
No usual address (NSW)	56	F	65
No usual address (NSW)	56	M	88
No usual address (NSW)	57	F	65
No usual address (NSW)	57	M	99
No usual address (NSW)	58	F	70
No usual address (NSW)	58	M	111
No usual address (NSW)	59	F	96
No usual address (NSW)	59	M	87
No usual address (NSW)	60	F	78
No usual address (NSW)	60	M	112
No usual address (NSW)	61	F	61
No usual address (NSW)	61	M	85
No usual address (NSW)	62	F	78
No usual address (NSW)	62	M	102
No usual address (NSW)	63	F	50
No usual address (NSW)	63	M	78
No usual address (NSW)	64	F	74
No usual address (NSW)	64	M	91
No usual address (NSW)	65	F	48
No usual address (NSW)	65	M	81
No usual address (NSW)	66	F	71
No usual address (NSW)	66	M	74
No usual address (NSW)	67	F	36
No usual address (NSW)	67	M	94
No usual address (NSW)	68	F	41
No usual address (NSW)	68	M	78
No usual address (NSW)	69	F	36
No usual address (NSW)	69	M	75
No usual address (NSW)	70	F	46
No usual address (NSW)	70	M	70
No usual address (NSW)	71	F	30
No usual address (NSW)	71	M	55
No usual address (NSW)	72	F	39
No usual address (NSW)	72	M	42
No usual address (NSW)	73	F	25
No usual address (NSW)	73	M	32
No usual address (NSW)	74	F	26
No usual address (NSW)	74	M	50
No usual address (NSW)	75	F	17
No usual address (NSW)	75	M	43
No usual address (NSW)	76	F	11
No usual address (NSW)	76	M	29
No usual address (NSW)	77	F	13
No usual address (NSW)	77	M	18
No usual address (NSW)	78	F	17
No usual address (NSW)	78	M	18
No usual address (NSW)	79	F	7
No usual address (NSW)	79	M	17
No usual address (NSW)	80	F	39
No usual address (NSW)	80	M	48
No usual address (NSW)	85	F	17
No usual address (NSW)	90	M	11
No usual address (NSW)	95	F	4
Greater Sydney	0	F	29689
Greater Sydney	0	M	31675
Greater Sydney	1	F	30414
Greater Sydney	1	M	31807
Greater Sydney	2	F	30254
Greater Sydney	2	M	32305
Greater Sydney	3	F	30081
Greater Sydney	3	M	32130
Greater Sydney	4	F	31127
Greater Sydney	4	M	32877
Greater Sydney	5	F	31910
Greater Sydney	5	M	33542
Greater Sydney	6	F	31439
Greater Sydney	6	M	33569
Greater Sydney	7	F	32167
Greater Sydney	7	M	33624
Greater Sydney	8	F	32235
Greater Sydney	8	M	34117
Greater Sydney	9	F	32307
Greater Sydney	9	M	34165
Greater Sydney	10	F	31667
Greater Sydney	10	M	33599
Greater Sydney	11	F	31703
Greater Sydney	11	M	33650
Greater Sydney	12	F	31222
Greater Sydney	12	M	32902
Greater Sydney	13	F	31153
Greater Sydney	13	M	32775
Greater Sydney	14	F	30592
Greater Sydney	14	M	32508
Greater Sydney	15	F	29496
Greater Sydney	15	M	31471
Greater Sydney	16	F	28600
Greater Sydney	16	M	30756
Greater Sydney	17	F	28033
Greater Sydney	17	M	30100
Greater Sydney	18	F	28197
Greater Sydney	18	M	29923
Greater Sydney	19	F	28204
Greater Sydney	19	M	29979
Greater Sydney	20	F	30544
Greater Sydney	20	M	32880
