GCCSA_NAME21	PrivateDwelling	Sex	persons
Migratory - Offshore - Shipping (NSW)	0	F	4
Migratory - Offshore - Shipping (NSW)	0	M	31
Greater Sydney	0	F	142913
Greater Sydney	0	M	146871
Greater Sydney	1	F	2492251
Greater Sydney	1	M	2428194
Rest of NSW	0	F	117597
Rest of NSW	0	M	128673
Rest of NSW	1	F	1325379
Rest of NSW	1	M	1270615
Migratory - Offshore - Shipping (Vic.)	0	F	72
Migratory - Offshore - Shipping (Vic.)	0	M	493
Greater Melbourne	0	F	131153
Greater Melbourne	0	M	131136
Greater Melbourne	1	F	2351077
Greater Melbourne	1	M	2276623
Rest of Vic.	0	F	63869
Rest of Vic.	0	M	66717
Rest of Vic.	1	F	734721
Rest of Vic.	1	M	704134
Migratory - Offshore - Shipping (Qld)	0	F	54
Migratory - Offshore - Shipping (Qld)	0	M	303
Migratory - Offshore - Shipping (Qld)	1	M	3
Greater Brisbane	0	F	70608
Greater Brisbane	0	M	74008
Greater Brisbane	1	F	1209886
Greater Brisbane	1	M	1158609
Rest of Qld	0	F	143994
Rest of Qld	0	M	172794
Rest of Qld	1	F	1212993
Rest of Qld	1	M	1152496
Migratory - Offshore - Shipping (SA)	0	M	34
Greater Adelaide	0	F	35654
Greater Adelaide	0	M	32983
Greater Adelaide	1	F	667725
Greater Adelaide	1	M	640203
Rest of SA	0	F	19286
Rest of SA	0	M	26255
Rest of SA	1	F	176408
Rest of SA	1	M	174716
Migratory - Offshore - Shipping (WA)	0	F	390
Migratory - Offshore - Shipping (WA)	0	M	2846
Migratory - Offshore - Shipping (WA)	1	F	4
Migratory - Offshore - Shipping (WA)	1	M	10
Greater Perth	0	F	53273
Greater Perth	0	M	56080
Greater Perth	1	F	1005735
Greater Perth	1	M	956168
Rest of WA	0	F	51879
Rest of WA	0	M	90574
Rest of WA	1	F	228715
Rest of WA	1	M	223691
Migratory - Offshore - Shipping (Tas.)	0	F	72
Migratory - Offshore - Shipping (Tas.)	0	M	294
Greater Hobart	0	F	7740
Greater Hobart	0	M	7714
Greater Hobart	1	F	118198
Greater Hobart	1	M	112094
Rest of Tas.	0	F	11485
Rest of Tas.	0	M	11889
Rest of Tas.	1	F	144089
Rest of Tas.	1	M	139287
Migratory - Offshore - Shipping (NT)	0	F	65
Migratory - Offshore - Shipping (NT)	0	M	407
Migratory - Offshore - Shipping (NT)	1	M	8
Greater Darwin	0	F	12623
Greater Darwin	0	M	15258
Greater Darwin	1	F	63473
Greater Darwin	1	M	61798
Rest of NT	0	F	13244
Rest of NT	0	M	16663
Rest of NT	1	F	39351
Rest of NT	1	M	38411
Australian Capital Territory	0	F	13671
Australian Capital Territory	0	M	14221
Australian Capital Territory	1	F	215447
Australian Capital Territory	1	M	208970
Other Territories	0	F	696
Other Territories	0	M	1079
Other Territories	1	F	1844
Other Territories	1	M	1809
