GCCSA_NAME21	medianTotalFamilyIncome
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	
Greater Sydney	123448
Rest of NSW	96304
No usual address (Vic.)	
Migratory - Offshore - Shipping (Vic.)	
Greater Melbourne	116636
Rest of Vic.	94016
No usual address (Qld)	
Migratory - Offshore - Shipping (Qld)	143000
Greater Brisbane	113100
Rest of Qld	97136
No usual address (SA)	
Migratory - Offshore - Shipping (SA)	
Greater Adelaide	103376
Rest of SA	79300
No usual address (WA)	
Migratory - Offshore - Shipping (WA)	71500
Greater Perth	117468
Rest of WA	104676
No usual address (Tas.)	
Migratory - Offshore - Shipping (Tas.)	
Greater Hobart	99840
Rest of Tas.	81224
No usual address (NT)	
Migratory - Offshore - Shipping (NT)	
Greater Darwin	129220
Rest of NT	73164
No usual address (ACT)	
Migratory - Offshore - Shipping (ACT)	
Australian Capital Territory	149344
No usual address (OT)	
Migratory - Offshore - Shipping (OT)	
Other Territories	98280
