GCCSA_NAME21	Age5yr	Indigenous	Sex	persons
Greater Sydney	50-54	0	F	157307
Greater Sydney	50-54	0	M	148889
Greater Sydney	50-54	1	F	2361
Greater Sydney	50-54	1	M	2026
Greater Sydney	55-59		F	5208
Greater Sydney	55-59		M	5919
Greater Sydney	55-59	0	F	146846
Greater Sydney	55-59	0	M	141868
Greater Sydney	55-59	1	F	1956
Greater Sydney	55-59	1	M	1693
Greater Sydney	60-64		F	4584
Greater Sydney	60-64		M	4919
Greater Sydney	60-64	0	F	136349
Greater Sydney	60-64	0	M	126860
Greater Sydney	60-64	1	F	1556
Greater Sydney	60-64	1	M	1414
Greater Sydney	65+		F	20290
Greater Sydney	65+		M	16047
Greater Sydney	65+	0	F	406282
Greater Sydney	65+	0	M	346690
Greater Sydney	65+	1	F	2949
Greater Sydney	65+	1	M	2458
Rest of NSW	0-4		F	4106
Rest of NSW	0-4		M	4252
Rest of NSW	0-4	0	F	61608
Rest of NSW	0-4	0	M	64899
Rest of NSW	0-4	1	F	9858
Rest of NSW	0-4	1	M	10508
Rest of NSW	5-9		F	5238
Rest of NSW	5-9		M	5507
Rest of NSW	5-9	0	F	67616
Rest of NSW	5-9	0	M	71576
Rest of NSW	5-9	1	F	10236
Rest of NSW	5-9	1	M	11137
Rest of NSW	10-14		F	5391
Rest of NSW	10-14		M	5717
Rest of NSW	10-14	0	F	71305
Rest of NSW	10-14	0	M	75174
Rest of NSW	10-14	1	F	10475
Rest of NSW	10-14	1	M	10928
Rest of NSW	15-19		F	4752
Rest of NSW	15-19		M	5203
Rest of NSW	15-19	0	F	65112
Rest of NSW	15-19	0	M	69100
Rest of NSW	15-19	1	F	9071
Rest of NSW	15-19	1	M	9359
Rest of NSW	20-24		F	4446
Rest of NSW	20-24		M	5049
Rest of NSW	20-24	0	F	62362
Rest of NSW	20-24	0	M	65057
Rest of NSW	20-24	1	F	7576
Rest of NSW	20-24	1	M	7802
Rest of NSW	25-29		F	4800
Rest of NSW	25-29		M	5044
Rest of NSW	25-29	0	F	69308
Rest of NSW	25-29	0	M	68810
Rest of NSW	25-29	1	F	6683
Rest of NSW	25-29	1	M	6683
Rest of NSW	30-34		F	4830
Rest of NSW	30-34		M	4991
Rest of NSW	30-34	0	F	75230
Rest of NSW	30-34	0	M	70756
Rest of NSW	30-34	1	F	5777
Rest of NSW	30-34	1	M	5622
Rest of NSW	35-39		F	4919
Rest of NSW	35-39		M	4932
Rest of NSW	35-39	0	F	74995
Rest of NSW	35-39	0	M	71111
Rest of NSW	35-39	1	F	5049
Rest of NSW	35-39	1	M	4810
Rest of NSW	40-44		F	4658
Rest of NSW	40-44		M	4804
Rest of NSW	40-44	0	F	71939
Rest of NSW	40-44	0	M	67838
Rest of NSW	40-44	1	F	4422
Rest of NSW	40-44	1	M	4086
Rest of NSW	45-49		F	4807
Rest of NSW	45-49		M	5092
Rest of NSW	45-49	0	F	78188
Rest of NSW	45-49	0	M	74107
Rest of NSW	45-49	1	F	4853
Rest of NSW	45-49	1	M	4284
Rest of NSW	50-54		F	4489
Rest of NSW	50-54		M	5100
Rest of NSW	50-54	0	F	81592
Rest of NSW	50-54	0	M	76567
Rest of NSW	50-54	1	F	4813
Rest of NSW	50-54	1	M	4228
Rest of NSW	55-59		F	4955
Rest of NSW	55-59		M	5392
Rest of NSW	55-59	0	F	86211
Rest of NSW	55-59	0	M	81213
Rest of NSW	55-59	1	F	4274
Rest of NSW	55-59	1	M	3782
Rest of NSW	60-64		F	4688
Rest of NSW	60-64		M	5247
Rest of NSW	60-64	0	F	92067
Rest of NSW	60-64	0	M	86093
Rest of NSW	60-64	1	F	3702
Rest of NSW	60-64	1	M	3338
Rest of NSW	65+		F	18865
Rest of NSW	65+		M	16851
Rest of NSW	65+	0	F	305227
