GCCSA_NAME21	Age5yr	ChildrenEverBorn	females
No usual address (NSW)	15-19		93
No usual address (NSW)	15-19	0	171
No usual address (NSW)	15-19	1	8
No usual address (NSW)	20-24		147
No usual address (NSW)	20-24	0	219
No usual address (NSW)	20-24	1	27
No usual address (NSW)	20-24	2	21
No usual address (NSW)	20-24	3	4
No usual address (NSW)	25-29		170
No usual address (NSW)	25-29	0	277
No usual address (NSW)	25-29	1	43
No usual address (NSW)	25-29	2	21
No usual address (NSW)	25-29	3	14
No usual address (NSW)	25-29	4	6
No usual address (NSW)	30-34		175
No usual address (NSW)	30-34	0	184
No usual address (NSW)	30-34	1	51
No usual address (NSW)	30-34	2	46
No usual address (NSW)	30-34	3	17
No usual address (NSW)	30-34	4	12
No usual address (NSW)	30-34	5	5
No usual address (NSW)	35-39		153
No usual address (NSW)	35-39	0	104
No usual address (NSW)	35-39	1	37
No usual address (NSW)	35-39	2	45
No usual address (NSW)	35-39	3	27
No usual address (NSW)	35-39	4	5
No usual address (NSW)	35-39	5	4
No usual address (NSW)	35-39	6	9
No usual address (NSW)	40-44		149
No usual address (NSW)	40-44	0	87
No usual address (NSW)	40-44	1	19
No usual address (NSW)	40-44	2	48
No usual address (NSW)	40-44	3	16
No usual address (NSW)	40-44	4	12
No usual address (NSW)	40-44	5	9
No usual address (NSW)	40-44	6	9
No usual address (NSW)	45-49		121
No usual address (NSW)	45-49	0	59
No usual address (NSW)	45-49	1	39
No usual address (NSW)	45-49	2	54
No usual address (NSW)	45-49	3	24
No usual address (NSW)	45-49	4	20
No usual address (NSW)	45-49	5	10
No usual address (NSW)	45-49	6	9
No usual address (NSW)	50-54		91
No usual address (NSW)	50-54	0	68
No usual address (NSW)	50-54	1	33
No usual address (NSW)	50-54	2	59
No usual address (NSW)	50-54	3	44
No usual address (NSW)	50-54	4	14
No usual address (NSW)	50-54	5	10
No usual address (NSW)	50-54	6	10
No usual address (NSW)	55-59		96
No usual address (NSW)	55-59	0	65
No usual address (NSW)	55-59	1	34
No usual address (NSW)	55-59	2	87
No usual address (NSW)	55-59	3	44
No usual address (NSW)	55-59	4	22
No usual address (NSW)	55-59	5	4
No usual address (NSW)	60-64		64
No usual address (NSW)	60-64	0	46
No usual address (NSW)	60-64	1	28
No usual address (NSW)	60-64	2	110
No usual address (NSW)	60-64	3	57
No usual address (NSW)	60-64	4	24
No usual address (NSW)	60-64	5	7
No usual address (NSW)	60-64	6	3
No usual address (NSW)	65-69		53
No usual address (NSW)	65-69	0	24
No usual address (NSW)	65-69	1	29
No usual address (NSW)	65-69	2	61
No usual address (NSW)	65-69	3	44
No usual address (NSW)	65-69	4	17
No usual address (NSW)	65-69	5	5
No usual address (NSW)	65-69	6	7
No usual address (NSW)	70-74		18
No usual address (NSW)	70-74	0	14
No usual address (NSW)	70-74	1	10
No usual address (NSW)	70-74	2	60
No usual address (NSW)	70-74	3	42
No usual address (NSW)	70-74	4	11
No usual address (NSW)	70-74	5	12
No usual address (NSW)	70-74	6	3
No usual address (NSW)	75-79		17
No usual address (NSW)	75-79	0	3
No usual address (NSW)	75-79	1	4
No usual address (NSW)	75-79	2	22
No usual address (NSW)	75-79	3	15
No usual address (NSW)	75-79	4	11
No usual address (NSW)	75-79	5	3
No usual address (NSW)	80-84		12
No usual address (NSW)	80-84	0	5
No usual address (NSW)	80-84	2	5
No usual address (NSW)	80-84	3	7
No usual address (NSW)	80-84	4	4
No usual address (NSW)	85+		13
No usual address (NSW)	85+	0	3
No usual address (NSW)	85+	2	3
No usual address (NSW)	85+	3	7
No usual address (NSW)	85+	4	5
No usual address (NSW)	85+	6	6
Greater Sydney	15-19		11054
Greater Sydney	15-19	0	130950
Greater Sydney	15-19	1	430
Greater Sydney	15-19	2	74
Greater Sydney	15-19	3	6
Greater Sydney	15-19	4	5
Greater Sydney	15-19	5	8
Greater Sydney	15-19	6	11
Greater Sydney	20-24		13301
Greater Sydney	20-24	0	144972
Greater Sydney	20-24	1	5745
Greater Sydney	20-24	2	2036
Greater Sydney	20-24	3	396
Greater Sydney	20-24	4	83
Greater Sydney	20-24	5	8
Greater Sydney	20-24	6	29
Greater Sydney	25-29		15058
Greater Sydney	25-29	0	144060
Greater Sydney	25-29	1	20766
Greater Sydney	25-29	2	11693
Greater Sydney	25-29	3	3634
Greater Sydney	25-29	4	954
Greater Sydney	25-29	5	225
Greater Sydney	25-29	6	102
Greater Sydney	30-34		13229
Greater Sydney	30-34	0	101399
Greater Sydney	30-34	1	45044
Greater Sydney	30-34	2	36952
Greater Sydney	30-34	3	12072
Greater Sydney	30-34	4	3618
Greater Sydney	30-34	5	913
Greater Sydney	30-34	6	452
Greater Sydney	35-39		11343
Greater Sydney	35-39	0	54226
Greater Sydney	35-39	1	43461
Greater Sydney	35-39	2	66873
Greater Sydney	35-39	3	23493
Greater Sydney	35-39	4	6930
Greater Sydney	35-39	5	2038
Greater Sydney	35-39	6	1125
Greater Sydney	40-44		8995
Greater Sydney	40-44	0	33496
Greater Sydney	40-44	1	30596
Greater Sydney	40-44	2	67777
Greater Sydney	40-44	3	28512
Greater Sydney	40-44	4	8902
Greater Sydney	40-44	5	2723
Greater Sydney	40-44	6	1747
Greater Sydney	45-49		7989
Greater Sydney	45-49	0	29121
Greater Sydney	45-49	1	26957
Greater Sydney	45-49	2	65762
Greater Sydney	45-49	3	30519
Greater Sydney	45-49	4	9852
Greater Sydney	45-49	5	3011
Greater Sydney	45-49	6	1943
Greater Sydney	50-54		7181
Greater Sydney	50-54	0	26075
Greater Sydney	50-54	1	25596
Greater Sydney	50-54	2	61203
Greater Sydney	50-54	3	30055
Greater Sydney	50-54	4	10013
Greater Sydney	50-54	5	3130
Greater Sydney	50-54	6	1987
Greater Sydney	55-59		6703
Greater Sydney	55-59	0	22887
Greater Sydney	55-59	1	23685
Greater Sydney	55-59	2	56650
Greater Sydney	55-59	3	28946
Greater Sydney	55-59	4	9963
Greater Sydney	55-59	5	3133
Greater Sydney	55-59	6	2041
Greater Sydney	60-64		6314
Greater Sydney	60-64	0	19710
Greater Sydney	60-64	1	22221
Greater Sydney	60-64	2	50217
Greater Sydney	60-64	3	28215
Greater Sydney	60-64	4	10327
Greater Sydney	60-64	5	3297
Greater Sydney	60-64	6	2191
Greater Sydney	65-69		6047
Greater Sydney	65-69	0	15270
Greater Sydney	65-69	1	18413
Greater Sydney	65-69	2	42909
Greater Sydney	65-69	3	25499
Greater Sydney	65-69	4	9881
Greater Sydney	65-69	5	3094
Greater Sydney	65-69	6	2222
Greater Sydney	70-74		6286
Greater Sydney	70-74	0	11497
Greater Sydney	70-74	1	12504
Greater Sydney	70-74	2	39009
Greater Sydney	70-74	3	23706
Greater Sydney	70-74	4	9226
Greater Sydney	70-74	5	2921
Greater Sydney	70-74	6	2109
Greater Sydney	75-79		6031
Greater Sydney	75-79	0	7308
Greater Sydney	75-79	1	7207
Greater Sydney	75-79	2	26847
Greater Sydney	75-79	3	18011
Greater Sydney	75-79	4	7669
Greater Sydney	75-79	5	2639
Greater Sydney	75-79	6	2093
Greater Sydney	80-84		5926
Greater Sydney	80-84	0	4326
Greater Sydney	80-84	1	4435
Greater Sydney	80-84	2	16813
Greater Sydney	80-84	3	13083
Greater Sydney	80-84	4	6479
Greater Sydney	80-84	5	2594
Greater Sydney	80-84	6	2553
Greater Sydney	85+		11907
Greater Sydney	85+	0	4814
Greater Sydney	85+	1	5138
Greater Sydney	85+	2	15383
Greater Sydney	85+	3	12678
Greater Sydney	85+	4	7346
Greater Sydney	85+	5	3472
Greater Sydney	85+	6	4173
Rest of NSW	15-19		8105
Rest of NSW	15-19	0	70064
Rest of NSW	15-19	1	658
Rest of NSW	15-19	2	83
Rest of NSW	15-19	3	18
Rest of NSW	15-19	4	4
Rest of NSW	15-19	5	5
Rest of NSW	15-19	6	11
Rest of NSW	20-24		6706
Rest of NSW	20-24	0	58786
Rest of NSW	20-24	1	5824
Rest of NSW	20-24	2	2407
Rest of NSW	20-24	3	518
Rest of NSW	20-24	4	92
Rest of NSW	20-24	5	12
Rest of NSW	20-24	6	33
Rest of NSW	25-29		6289
Rest of NSW	25-29	0	46418
Rest of NSW	25-29	1	13115
Rest of NSW	25-29	2	9981
Rest of NSW	25-29	3	3632
Rest of NSW	25-29	4	997
Rest of NSW	25-29	5	255
Rest of NSW	25-29	6	111
Rest of NSW	30-34		5836
Rest of NSW	30-34	0	27517
Rest of NSW	30-34	1	17007
Rest of NSW	30-34	2	21685
Rest of NSW	30-34	3	9550
Rest of NSW	30-34	4	2912
Rest of NSW	30-34	5	836
Rest of NSW	30-34	6	484
Rest of NSW	35-39		5616
Rest of NSW	35-39	0	15249
Rest of NSW	35-39	1	12750
Rest of NSW	35-39	2	28661
Rest of NSW	35-39	3	15036
Rest of NSW	35-39	4	5114
Rest of NSW	35-39	5	1502
Rest of NSW	35-39	6	1037
Rest of NSW	40-44		5240
Rest of NSW	40-44	0	11157
Rest of NSW	40-44	1	10144
Rest of NSW	40-44	2	28470
Rest of NSW	40-44	3	16559
Rest of NSW	40-44	4	6150
Rest of NSW	40-44	5	1903
Rest of NSW	40-44	6	1404
Rest of NSW	45-49		5530
Rest of NSW	45-49	0	11157
Rest of NSW	45-49	1	10519
Rest of NSW	45-49	2	31002
Rest of NSW	45-49	3	18761
Rest of NSW	45-49	4	7098
Rest of NSW	45-49	5	2202
Rest of NSW	45-49	6	1563
Rest of NSW	50-54		5291
Rest of NSW	50-54	0	12060
Rest of NSW	50-54	1	10432
Rest of NSW	50-54	2	32144
Rest of NSW	50-54	3	19748
Rest of NSW	50-54	4	7427
Rest of NSW	50-54	5	2291
Rest of NSW	50-54	6	1487
Rest of NSW	55-59		5809
Rest of NSW	55-59	0	12351
Rest of NSW	55-59	1	10409
Rest of NSW	55-59	2	33214
Rest of NSW	55-59	3	21607
Rest of NSW	55-59	4	8166
Rest of NSW	55-59	5	2382
Rest of NSW	55-59	6	1503
Rest of NSW	60-64		5824
Rest of NSW	60-64	0	12016
Rest of NSW	60-64	1	9859
Rest of NSW	60-64	2	34675
Rest of NSW	60-64	3	24214
Rest of NSW	60-64	4	9787
Rest of NSW	60-64	5	2689
Rest of NSW	60-64	6	1391
Rest of NSW	65-69		5901
Rest of NSW	65-69	0	9934
Rest of NSW	65-69	1	8322
Rest of NSW	65-69	2	31954
Rest of NSW	65-69	3	23215
Rest of NSW	65-69	4	9335
Rest of NSW	65-69	5	2505
Rest of NSW	65-69	6	1268
Rest of NSW	70-74		6156
Rest of NSW	70-74	0	7731
Rest of NSW	70-74	1	6795
Rest of NSW	70-74	2	29643
Rest of NSW	70-74	3	21115
Rest of NSW	70-74	4	8935
Rest of NSW	70-74	5	2526
Rest of NSW	70-74	6	1357
Rest of NSW	75-79		5750
Rest of NSW	75-79	0	5079
Rest of NSW	75-79	1	4351
Rest of NSW	75-79	2	19655
Rest of NSW	75-79	3	15888
Rest of NSW	75-79	4	7538
Rest of NSW	75-79	5	2416
Rest of NSW	75-79	6	1513
Rest of NSW	80-84		5259
Rest of NSW	80-84	0	3147
Rest of NSW	80-84	1	2440
Rest of NSW	80-84	2	10966
Rest of NSW	80-84	3	10895
Rest of NSW	80-84	4	6589
Rest of NSW	80-84	5	2629
Rest of NSW	80-84	6	1968
Rest of NSW	85+		7712
Rest of NSW	85+	0	3122
Rest of NSW	85+	1	3043
Rest of NSW	85+	2	10106
Rest of NSW	85+	3	10316
Rest of NSW	85+	4	7107
Rest of NSW	85+	5	3372
Rest of NSW	85+	6	3097
No usual address (Vic.)	15-19		86
No usual address (Vic.)	15-19	0	142
No usual address (Vic.)	15-19	1	3
No usual address (Vic.)	20-24		94
No usual address (Vic.)	20-24	0	187
No usual address (Vic.)	20-24	1	28
No usual address (Vic.)	20-24	2	8
No usual address (Vic.)	20-24	3	3
No usual address (Vic.)	25-29		148
