GCCSA_NAME21	Age5yr	Indigenous	persons
No usual address (NSW)	0-4		118
No usual address (NSW)	0-4	0	230
No usual address (NSW)	0-4	1	119
No usual address (NSW)	5-9		155
No usual address (NSW)	5-9	0	195
No usual address (NSW)	5-9	1	82
No usual address (NSW)	10-14		136
No usual address (NSW)	10-14	0	178
No usual address (NSW)	10-14	1	57
No usual address (NSW)	15-19		106
No usual address (NSW)	15-19	0	334
No usual address (NSW)	15-19	1	94
No usual address (NSW)	20-24		101
No usual address (NSW)	20-24	0	612
No usual address (NSW)	20-24	1	116
No usual address (NSW)	25-29		152
No usual address (NSW)	25-29	0	832
No usual address (NSW)	25-29	1	129
No usual address (NSW)	30-34		123
No usual address (NSW)	30-34	0	829
No usual address (NSW)	30-34	1	121
No usual address (NSW)	35-39		125
No usual address (NSW)	35-39	0	710
No usual address (NSW)	35-39	1	117
No usual address (NSW)	40-44		111
No usual address (NSW)	40-44	0	689
No usual address (NSW)	40-44	1	97
No usual address (NSW)	45-49		125
No usual address (NSW)	45-49	0	648
No usual address (NSW)	45-49	1	99
No usual address (NSW)	50-54		107
No usual address (NSW)	50-54	0	627
No usual address (NSW)	50-54	1	66
No usual address (NSW)	55-59		129
No usual address (NSW)	55-59	0	662
No usual address (NSW)	55-59	1	46
No usual address (NSW)	60-64		114
No usual address (NSW)	60-64	0	664
No usual address (NSW)	60-64	1	32
No usual address (NSW)	65+		176
No usual address (NSW)	65+	0	1153
No usual address (NSW)	65+	1	49
Greater Sydney	0-4		12417
Greater Sydney	0-4	0	290192
Greater Sydney	0-4	1	9754
Greater Sydney	5-9		14283
Greater Sydney	5-9	0	305136
Greater Sydney	5-9	1	9658
Greater Sydney	10-14		13029
Greater Sydney	10-14	0	298993
Greater Sydney	10-14	1	9748
Greater Sydney	15-19		11616
Greater Sydney	15-19	0	274149
Greater Sydney	15-19	1	8994
Greater Sydney	20-24		15957
Greater Sydney	20-24	0	318610
Greater Sydney	20-24	1	8488
Greater Sydney	25-29		20374
Greater Sydney	25-29	0	365584
Greater Sydney	25-29	1	7571
Greater Sydney	30-34		19945
Greater Sydney	30-34	0	391805
Greater Sydney	30-34	1	6028
Greater Sydney	35-39		18618
Greater Sydney	35-39	0	389705
Greater Sydney	35-39	1	5082
Greater Sydney	40-44		15255
Greater Sydney	40-44	0	344579
Greater Sydney	40-44	1	4503
Greater Sydney	45-49		13396
Greater Sydney	45-49	0	326626
Greater Sydney	45-49	1	4694
Greater Sydney	50-54		11864
Greater Sydney	50-54	0	306201
Greater Sydney	50-54	1	4387
Greater Sydney	55-59		11125
Greater Sydney	55-59	0	288711
Greater Sydney	55-59	1	3650
Greater Sydney	60-64		9505
Greater Sydney	60-64	0	263210
Greater Sydney	60-64	1	2967
Greater Sydney	65+		36336
Greater Sydney	65+	0	752973
Greater Sydney	65+	1	5411
Rest of NSW	0-4		8356
Rest of NSW	0-4	0	126502
Rest of NSW	0-4	1	20373
Rest of NSW	5-9		10743
Rest of NSW	5-9	0	139194
Rest of NSW	5-9	1	21375
Rest of NSW	10-14		11112
Rest of NSW	10-14	0	146483
Rest of NSW	10-14	1	21410
Rest of NSW	15-19		9960
Rest of NSW	15-19	0	134214
Rest of NSW	15-19	1	18423
Rest of NSW	20-24		9497
Rest of NSW	20-24	0	127422
Rest of NSW	20-24	1	15376
Rest of NSW	25-29		9840
Rest of NSW	25-29	0	138109
Rest of NSW	25-29	1	13364
Rest of NSW	30-34		9825
Rest of NSW	30-34	0	145983
Rest of NSW	30-34	1	11396
Rest of NSW	35-39		9856
Rest of NSW	35-39	0	146114
Rest of NSW	35-39	1	9860
Rest of NSW	40-44		9464
Rest of NSW	40-44	0	139772
Rest of NSW	40-44	1	8506
Rest of NSW	45-49		9898
Rest of NSW	45-49	0	152294
Rest of NSW	45-49	1	9136
Rest of NSW	50-54		9584
Rest of NSW	50-54	0	158152
Rest of NSW	50-54	1	9044
Rest of NSW	55-59		10348
Rest of NSW	55-59	0	167427
