SA2_NAME21	Age	ProvidedUnpaidDisabilityAssistance	Sex	adults
Braidwood	15-19		F	10
Braidwood	15-19		M	6
Braidwood	15-19	0	F	73
Braidwood	15-19	0	M	78
Braidwood	15-19	1	F	3
Braidwood	15-19	1	M	3
Braidwood	20-24		F	4
Braidwood	20-24		M	4
Braidwood	20-24	0	F	44
Braidwood	20-24	0	M	59
Braidwood	20-24	1	F	9
Braidwood	20-24	1	M	5
Braidwood	25-34		F	17
Braidwood	25-34		M	17
Braidwood	25-34	0	F	139
Braidwood	25-34	0	M	160
Braidwood	25-34	1	F	23
Braidwood	25-34	1	M	8
Braidwood	35-44		F	16
Braidwood	35-44		M	24
Braidwood	35-44	0	F	176
Braidwood	35-44	0	M	174
Braidwood	35-44	1	F	39
Braidwood	35-44	1	M	23
Braidwood	45-54		F	25
Braidwood	45-54		M	22
Braidwood	45-54	0	F	251
Braidwood	45-54	0	M	256
Braidwood	45-54	1	F	38
Braidwood	45-54	1	M	45
Braidwood	55-64		F	31
Braidwood	55-64		M	41
Braidwood	55-64	0	F	278
Braidwood	55-64	0	M	295
Braidwood	55-64	1	F	85
Braidwood	55-64	1	M	56
Braidwood	65-74		F	28
Braidwood	65-74		M	23
Braidwood	65-74	0	F	246
Braidwood	65-74	0	M	248
Braidwood	65-74	1	F	46
Braidwood	65-74	1	M	49
Braidwood	75-84		F	20
Braidwood	75-84		M	15
Braidwood	75-84	0	F	132
Braidwood	75-84	0	M	161
Braidwood	75-84	1	F	30
Braidwood	75-84	1	M	14
Braidwood	85+		F	7
Braidwood	85+		M	3
Braidwood	85+	0	F	38
Braidwood	85+	0	M	30
Braidwood	85+	1	M	6
Karabar	15-19		F	21
Karabar	15-19		M	19
Karabar	15-19	0	F	214
Karabar	15-19	0	M	217
Karabar	15-19	1	F	17
Karabar	15-19	1	M	14
Karabar	20-24		F	14
Karabar	20-24		M	16
Karabar	20-24	0	F	200
Karabar	20-24	0	M	252
Karabar	20-24	1	F	18
Karabar	20-24	1	M	14
Karabar	25-34		F	57
Karabar	25-34		M	57
Karabar	25-34	0	F	519
Karabar	25-34	0	M	546
Karabar	25-34	1	F	52
Karabar	25-34	1	M	34
Karabar	35-44		F	43
Karabar	35-44		M	45
Karabar	35-44	0	F	437
Karabar	35-44	0	M	443
Karabar	35-44	1	F	94
Karabar	35-44	1	M	67
Karabar	45-54		F	31
Karabar	45-54		M	26
Karabar	45-54	0	F	438
Karabar	45-54	0	M	445
Karabar	45-54	1	F	119
Karabar	45-54	1	M	89
Karabar	55-64		F	31
Karabar	55-64		M	44
Karabar	55-64	0	F	404
Karabar	55-64	0	M	419
Karabar	55-64	1	F	121
Karabar	55-64	1	M	78
