SA2_NAME16	Sex	persons
Braidwood	F	2117
Braidwood	M	2234
Karabar	F	4255
Karabar	M	4264
Queanbeyan	F	5638
Queanbeyan	M	5704
Queanbeyan - East	F	2440
Queanbeyan - East	M	2647
Queanbeyan West - Jerrabomberra	F	6413
Queanbeyan West - Jerrabomberra	M	6331
Googong	F	3134
Googong	M	3093
Queanbeyan Surrounds	F	8131
Queanbeyan Surrounds	M	8405
Bombala	F	1229
Bombala	M	1223
Cooma	F	3321
Cooma	M	3436
Cooma Surrounds	F	1659
Cooma Surrounds	M	1811
Jindabyne - Berridale	F	3839
Jindabyne - Berridale	M	4196
Batemans Bay	F	4384
Batemans Bay	M	4196
Batemans Bay - South	F	4646
Batemans Bay - South	M	4295
Bega - Tathra	F	4560
Bega - Tathra	M	4310
Bega-Eden Hinterland	F	4686
Bega-Eden Hinterland	M	4878
Broulee - Tomakin	F	1968
Broulee - Tomakin	M	1823
Deua - Wadbilliga	F	16
Deua - Wadbilliga	M	25
Eden	F	1757
Eden	M	1667
Eurobodalla Hinterland	F	1722
Eurobodalla Hinterland	M	1801
Merimbula - Tura Beach	F	5977
Merimbula - Tura Beach	M	5536
Moruya - Tuross Head	F	4307
Moruya - Tuross Head	M	4292
Narooma - Bermagui	F	5082
Narooma - Bermagui	M	4804
Goulburn	F	12355
Goulburn	M	12212
Goulburn Surrounds	F	6715
Goulburn Surrounds	M	7128
Yass	F	3493
Yass	M	3271
Yass Surrounds	F	6381
Yass Surrounds	M	6330
Young	F	5715
Young	M	5291
Young Surrounds	F	3777
Young Surrounds	M	3898
Avoca Beach - Copacabana	F	3781
Avoca Beach - Copacabana	M	3729
Box Head - MacMasters Beach	F	5621
Box Head - MacMasters Beach	M	5417
Calga - Kulnura	F	2274
Calga - Kulnura	M	2445
Erina - Green Point	F	7861
Erina - Green Point	M	6897
Gosford - Springfield	F	10903
Gosford - Springfield	M	10309
Kariong	F	3211
Kariong	M	3272
Kincumber - Picketts Valley	F	4149
Kincumber - Picketts Valley	M	3465
Narara	F	3658
Narara	M	3499
Niagara Park - Lisarow	F	4176
Niagara Park - Lisarow	M	4026
Point Clare - Koolewong	F	3362
Point Clare - Koolewong	M	3202
Saratoga - Davistown	F	3662
Saratoga - Davistown	M	3500
Terrigal - North Avoca	F	7534
Terrigal - North Avoca	M	7315
Umina - Booker Bay - Patonga	F	12927
Umina - Booker Bay - Patonga	M	11766
Wamberal - Forresters Beach	F	5469
Wamberal - Forresters Beach	M	5205
Woy Woy - Blackwall	F	7508
Woy Woy - Blackwall	M	6835
Wyoming	F	5940
Wyoming	M	5481
Bateau Bay - Killarney Vale	F	11942
Bateau Bay - Killarney Vale	M	10884
Blue Haven - San Remo	F	5769
Blue Haven - San Remo	M	5521
Budgewoi - Buff Point - Halekulani	F	4969
Budgewoi - Buff Point - Halekulani	M	4759
Chittaway Bay - Tumbi Umbi	F	8273
Chittaway Bay - Tumbi Umbi	M	7736
Gorokan - Kanwal - Charmhaven	F	11571
Gorokan - Kanwal - Charmhaven	M	10790
Jilliby - Yarramalong	F	1684
Jilliby - Yarramalong	M	1732
Lake Munmorah - Mannering Park	F	5696
Lake Munmorah - Mannering Park	M	5263
Ourimbah - Fountaindale	F	2459
Ourimbah - Fountaindale	M	2460
Summerland Point - Gwandalan	F	3235
Summerland Point - Gwandalan	M	3258
The Entrance	F	8207
The Entrance	M	7630
Toukley - Norah Head	F	5048
Toukley - Norah Head	M	4868
Tuggerah - Kangy Angy	F	2732
Tuggerah - Kangy Angy	M	2500
Warnervale - Wadalba	F	10415
Warnervale - Wadalba	M	9640
Wyong	F	4563
Wyong	M	4557
Bathurst - East	F	6235
Bathurst - East	M	6096
Bathurst Surrounds	F	3277
Bathurst Surrounds	M	3634
Oberon	F	2307
Oberon	M	2531
Bathurst - South	F	5189
Bathurst - South	M	5565
Bathurst - West	F	7367
Bathurst - West	M	6946
Condobolin	F	3187
Condobolin	M	3191
Cowra	F	4746
Cowra	M	4526
Cowra Surrounds	F	2862
Cowra Surrounds	M	2860
Forbes	F	5052
Forbes	M	4970
Grenfell	F	1753
Grenfell	M	1840
Parkes (NSW)	F	5567
Parkes (NSW)	M	5350
Parkes Surrounds	F	1541
Parkes Surrounds	M	1715
West Wyalong	F	2744
West Wyalong	M	2776
Lithgow	F	6163
Lithgow	M	6226
Lithgow Surrounds	F	4150
Lithgow Surrounds	M	4299
Mudgee	F	6433
Mudgee	M	6134
Mudgee Surrounds - East	F	1651
Mudgee Surrounds - East	M	1749
Mudgee Surrounds - West	F	5341
Mudgee Surrounds - West	M	5726
Blayney	F	3783
Blayney	M	3735
Orange	F	9840
Orange	M	9185
Orange - North	F	11744
Orange - North	M	11150
Orange Surrounds	F	5842
Orange Surrounds	M	5990
Grafton	F	9983
Grafton	M	9273
Grafton Surrounds	F	7886
Grafton Surrounds	M	8986
Maclean - Yamba - Iluka	F	8969
Maclean - Yamba - Iluka	M	8559
Bellingen	F	3204
Bellingen	M	2958
Coffs Harbour - North	F	9473
Coffs Harbour - North	M	8628
Coffs Harbour - South	F	6038
Coffs Harbour - South	M	5266
Coramba - Nana Glen - Bucca	F	1938
Coramba - Nana Glen - Bucca	M	2016
Dorrigo	F	1610
Dorrigo	M	1636
Korora - Emerald Beach	F	5253
Korora - Emerald Beach	M	5004
Sawtell - Boambee	F	10414
Sawtell - Boambee	M	9645
Urunga	F	2503
