SA2_NAME16	medianRent
Braidwood	17160
Karabar	18200
Queanbeyan	17160
Queanbeyan - East	16120
Queanbeyan West - Jerrabomberra	22360
Googong	27612
Queanbeyan Surrounds	24180
Bombala	10400
Cooma	15080
Cooma Surrounds	15080
Jindabyne - Berridale	19760
Batemans Bay	17160
Batemans Bay - South	18200
Bega - Tathra	16640
Bega-Eden Hinterland	13780
Broulee - Tomakin	18720
Deua - Wadbilliga	
Eden	14040
Eurobodalla Hinterland	15600
Merimbula - Tura Beach	17680
Moruya - Tuross Head	16120
Narooma - Bermagui	15080
Goulburn	16640
Goulburn Surrounds	15600
Yass	17680
Yass Surrounds	20800
Young	13000
Young Surrounds	11440
Avoca Beach - Copacabana	27040
Box Head - MacMasters Beach	23400
Calga - Kulnura	18200
Erina - Green Point	21320
Gosford - Springfield	20280
Kariong	23400
Kincumber - Picketts Valley	20800
Narara	21840
Niagara Park - Lisarow	22100
Point Clare - Koolewong	20800
Saratoga - Davistown	23920
Terrigal - North Avoca	27040
Umina - Booker Bay - Patonga	20800
Wamberal - Forresters Beach	26000
Woy Woy - Blackwall	19760
Wyoming	20800
Bateau Bay - Killarney Vale	20800
Blue Haven - San Remo	20800
Budgewoi - Buff Point - Halekulani	18720
Chittaway Bay - Tumbi Umbi	22100
Gorokan - Kanwal - Charmhaven	18720
Jilliby - Yarramalong	22880
Lake Munmorah - Mannering Park	19760
Ourimbah - Fountaindale	20800
Summerland Point - Gwandalan	20540
The Entrance	18980
Toukley - Norah Head	18200
Tuggerah - Kangy Angy	22100
Warnervale - Wadalba	25740
Wyong	18720
Bathurst - East	18720
Bathurst Surrounds	14196
Oberon	14560
Bathurst - South	15340
Bathurst - West	18200
Condobolin	9360
Cowra	11960
Cowra Surrounds	10920
Forbes	11960
Grenfell	10296
Parkes (NSW)	13520
Parkes Surrounds	9360
West Wyalong	10400
Lithgow	14040
Lithgow Surrounds	14040
Mudgee	18876
Mudgee Surrounds - East	11960
Mudgee Surrounds - West	14560
Wollangambe - Wollemi	
Blayney	14040
Orange	15600
Orange - North	19500
Orange Surrounds	13520
Grafton	15600
Grafton Surrounds	15600
Maclean - Yamba - Iluka	18720
Bellingen	19240
Coffs Harbour - North	18460
Coffs Harbour - South	18720
Coramba - Nana Glen - Bucca	18980
Dorrigo	14560
Korora - Emerald Beach	23816
Sawtell - Boambee	19240
Urunga	18200
Woolgoolga - Arrawarra	19760
Bourke - Brewarrina	8320
Cobar	9880
Coonamble	9880
Nyngan - Warren	10400
Walgett - Lightning Ridge	9308
Broken Hill	11440
Far West	7800
Coonabarabran	10400
Dubbo - East	15340
Dubbo - South	16640
Dubbo - West	16640
Dubbo Surrounds	13780
Gilgandra	10400
Narromine	12480
Wellington	11960
Branxton - Greta - Pokolbin	20800
Cessnock	16640
Cessnock Surrounds	18720
Dungog	15600
Kurri Kurri - Abermain	17940
Singleton	17160
Singleton Surrounds	18720
Maitland	20280
Maitland - North	21840
East Maitland - Metford	18200
Rutherford (North) - Aberglasslyn	20800
Rutherford (South) - Telarah	17160
Tenambit - East Maitland	18720
Thornton - Millers Forest	21840
Anna Bay	20800
Lemon Tree Passage - Tanilba Bay	18980
Nelson Bay Peninsula	20280
Raymond Terrace	16640
Seaham - Woodville	19760
Tea Gardens - Hawks Nest	18200
Williamtown - Medowie - Karuah	20800
Muswellbrook	16120
Muswellbrook Surrounds	14560
Scone	15080
Scone Surrounds	13000
Dapto - Avondale	20280
Horsley - Kembla Grange	26000
Port Kembla Industrial	
Unanderra - Mount Kembla	18460
Berkeley - Lake Heights - Cringila	18200
Port Kembla - Warrawong	15600
Windang - Primbee	17940
Illawarra Catchment Reserve	14040
Albion Park - Macquarie Pass	24960
Albion Park Rail	20280
Kiama	24960
Kiama Downs - Minnamurra	25480
Kiama Hinterland - Gerringong	26000
Shellharbour - Flinders	26520
Shellharbour - Oak Flats	22100
Warilla	18200
Balgownie - Fairy Meadow	19760
Corrimal - Tarrawanna - Bellambi	17160
Figtree - Keiraville	21320
Helensburgh	27560
Thirroul - Austinmer - Coalcliff	28600
Woonona - Bulli - Russell Vale	20280
Wollongong - East	21320
Wollongong - West	19760
Bulahdelah - Stroud	15600
Forster	17680
Forster-Tuncurry Surrounds	18200
Tuncurry	16120
Kempsey	14820
Kempsey Surrounds	15600
Macksville - Scotts Head	17160
Nambucca Heads	14820
Nambucca Heads Surrounds	15600
South West Rocks	17160
Lord Howe Island	16120
Laurieton - Bonny Hills	18408
Port Macquarie - West	20020
Port Macquarie Surrounds	15600
Wauchope	18720
Port Macquarie - East	18200
Port Macquarie - South	21840
Gloucester	14300
Old Bar - Manning Point - Red Head	18720
Taree	15080
Taree Surrounds	16120
Wingham	15912
Albury - East	16640
Albury - North	13936
Albury - South	13000
Albury Surrounds	11544
Lavington	13000
Hay	9100
Wentworth - Buronga	10400
Wentworth-Balranald Region	10400
