SA2_NAME16	AustCitizen	Sex	persons
Braidwood	0	F	241
Braidwood	0	M	256
Braidwood	1	F	1876
Braidwood	1	M	1978
Karabar	0	F	461
Karabar	0	M	473
Karabar	1	F	3794
Karabar	1	M	3791
Queanbeyan	0	F	1027
Queanbeyan	0	M	1128
Queanbeyan	1	F	4611
Queanbeyan	1	M	4576
Queanbeyan - East	0	F	378
Queanbeyan - East	0	M	459
Queanbeyan - East	1	F	2062
Queanbeyan - East	1	M	2188
Queanbeyan West - Jerrabomberra	0	F	444
Queanbeyan West - Jerrabomberra	0	M	454
Queanbeyan West - Jerrabomberra	1	F	5969
Queanbeyan West - Jerrabomberra	1	M	5877
Googong	0	F	269
Googong	0	M	246
Googong	1	F	2865
Googong	1	M	2847
Queanbeyan Surrounds	0	F	587
Queanbeyan Surrounds	0	M	655
Queanbeyan Surrounds	1	F	7544
Queanbeyan Surrounds	1	M	7750
Bombala	0	F	146
Bombala	0	M	134
Bombala	1	F	1083
Bombala	1	M	1089
Cooma	0	F	401
Cooma	0	M	609
Cooma	1	F	2920
Cooma	1	M	2827
Cooma Surrounds	0	F	204
Cooma Surrounds	0	M	196
Cooma Surrounds	1	F	1455
Cooma Surrounds	1	M	1615
Jindabyne - Berridale	0	F	530
Jindabyne - Berridale	0	M	522
Jindabyne - Berridale	1	F	3309
Jindabyne - Berridale	1	M	3674
Batemans Bay	0	F	448
Batemans Bay	0	M	439
Batemans Bay	1	F	3936
Batemans Bay	1	M	3757
Batemans Bay - South	0	F	491
Batemans Bay - South	0	M	482
Batemans Bay - South	1	F	4155
Batemans Bay - South	1	M	3813
Bega - Tathra	0	F	446
Bega - Tathra	0	M	415
Bega - Tathra	1	F	4114
Bega - Tathra	1	M	3895
Bega-Eden Hinterland	0	F	435
Bega-Eden Hinterland	0	M	495
Bega-Eden Hinterland	1	F	4251
Bega-Eden Hinterland	1	M	4383
Broulee - Tomakin	0	F	154
Broulee - Tomakin	0	M	127
Broulee - Tomakin	1	F	1814
Broulee - Tomakin	1	M	1696
Deua - Wadbilliga	0	F	-1
Deua - Wadbilliga	0	M	4
Deua - Wadbilliga	1	F	17
Deua - Wadbilliga	1	M	21
Eden	0	F	214
Eden	0	M	205
