SA2_NAME16	MotorVehicles.min	occupied_private_dwellings
Braidwood		18
Braidwood	0	33
Braidwood	1	502
Braidwood	2	703
Braidwood	3	299
Braidwood	4	167
Karabar		50
Karabar	0	146
Karabar	1	1005
Karabar	2	1121
Karabar	3	471
Karabar	4	280
Queanbeyan		56
Queanbeyan	0	364
Queanbeyan	1	2397
Queanbeyan	2	1490
Queanbeyan	3	387
Queanbeyan	4	225
Queanbeyan - East		36
Queanbeyan - East	0	137
Queanbeyan - East	1	1048
Queanbeyan - East	2	699
Queanbeyan - East	3	221
Queanbeyan - East	4	131
Queanbeyan West - Jerrabomberra		33
Queanbeyan West - Jerrabomberra	0	72
Queanbeyan West - Jerrabomberra	1	1007
Queanbeyan West - Jerrabomberra	2	1912
Queanbeyan West - Jerrabomberra	3	773
Queanbeyan West - Jerrabomberra	4	507
Googong		14
Googong	0	3
Googong	1	343
Googong	2	1197
Googong	3	261
Googong	4	102
Queanbeyan Surrounds		51
Queanbeyan Surrounds	0	40
Queanbeyan Surrounds	1	871
Queanbeyan Surrounds	2	2182
Queanbeyan Surrounds	3	1188
Queanbeyan Surrounds	4	1042
Bombala		22
Bombala	0	38
Bombala	1	314
Bombala	2	363
Bombala	3	166
Bombala	4	80
Cooma		44
Cooma	0	194
Cooma	1	1087
Cooma	2	942
Cooma	3	305
Cooma	4	166
Cooma Surrounds		18
Cooma Surrounds	0	29
Cooma Surrounds	1	307
Cooma Surrounds	2	497
Cooma Surrounds	3	254
Cooma Surrounds	4	170
Jindabyne - Berridale		50
Jindabyne - Berridale	0	53
Jindabyne - Berridale	1	723
Jindabyne - Berridale	2	1050
Jindabyne - Berridale	3	479
Jindabyne - Berridale	4	382
Batemans Bay		60
Batemans Bay	0	230
Batemans Bay	1	1438
Batemans Bay	2	1206
Batemans Bay	3	358
Batemans Bay	4	172
Batemans Bay - South		65
Batemans Bay - South	0	151
Batemans Bay - South	1	1462
Batemans Bay - South	2	1426
Batemans Bay - South	3	402
Batemans Bay - South	4	187
Bega - Tathra		72
Bega - Tathra	0	201
Bega - Tathra	1	1269
Bega - Tathra	2	1367
Bega - Tathra	3	452
Bega - Tathra	4	197
Bega-Eden Hinterland		65
Bega-Eden Hinterland	0	50
Bega-Eden Hinterland	1	990
Bega-Eden Hinterland	2	1537
Bega-Eden Hinterland	3	657
Bega-Eden Hinterland	4	395
Broulee - Tomakin		25
Broulee - Tomakin	0	44
Broulee - Tomakin	1	577
Broulee - Tomakin	2	594
Broulee - Tomakin	3	178
Broulee - Tomakin	4	103
Deua - Wadbilliga	2	5
Deua - Wadbilliga	4	4
Eden		37
Eden	0	106
Eden	1	545
Eden	2	490
Eden	3	147
Eden	4	61
Eurobodalla Hinterland		22
Eurobodalla Hinterland	0	12
Eurobodalla Hinterland	1	355
Eurobodalla Hinterland	2	535
Eurobodalla Hinterland	3	232
Eurobodalla Hinterland	4	164
Merimbula - Tura Beach		64
Merimbula - Tura Beach	0	181
Merimbula - Tura Beach	1	2002
Merimbula - Tura Beach	2	1850
Merimbula - Tura Beach	3	530
Merimbula - Tura Beach	4	241
Moruya - Tuross Head		64
Moruya - Tuross Head	0	131
Moruya - Tuross Head	1	1275
Moruya - Tuross Head	2	1390
Moruya - Tuross Head	3	453
Moruya - Tuross Head	4	269
Narooma - Bermagui		74
Narooma - Bermagui	0	190
Narooma - Bermagui	1	1730
Narooma - Bermagui	2	1583
Narooma - Bermagui	3	447
Narooma - Bermagui	4	179
Goulburn		158
Goulburn	0	710
Goulburn	1	3600
Goulburn	2	3204
Goulburn	3	1168
Goulburn	4	640
Goulburn Surrounds		94
Goulburn Surrounds	0	87
Goulburn Surrounds	1	1128
Goulburn Surrounds	2	1926
Goulburn Surrounds	3	1033
Goulburn Surrounds	4	784
Yass		36
Yass	0	116
Yass	1	833
Yass	2	936
Yass	3	378
Yass	4	224
Yass Surrounds		42
Yass Surrounds	0	27
Yass Surrounds	1	693
Yass Surrounds	2	1679
Yass Surrounds	3	940
Yass Surrounds	4	804
Young		103
Young	0	290
Young	1	1521
Young	2	1445
Young	3	546
Young	4	305
Young Surrounds		80
Young Surrounds	0	98
Young Surrounds	1	892
Young Surrounds	2	1087
Young Surrounds	3	484
Young Surrounds	4	352
Avoca Beach - Copacabana		25
Avoca Beach - Copacabana	0	35
Avoca Beach - Copacabana	1	661
Avoca Beach - Copacabana	2	1177
Avoca Beach - Copacabana	3	406
Avoca Beach - Copacabana	4	224
Box Head - MacMasters Beach		43
Box Head - MacMasters Beach	0	133
Box Head - MacMasters Beach	1	1370
Box Head - MacMasters Beach	2	1753
Box Head - MacMasters Beach	3	568
Box Head - MacMasters Beach	4	355
Calga - Kulnura		32
Calga - Kulnura	0	45
Calga - Kulnura	1	406
Calga - Kulnura	2	542
Calga - Kulnura	3	303
Calga - Kulnura	4	310
Erina - Green Point		98
Erina - Green Point	0	434
Erina - Green Point	1	2188
Erina - Green Point	2	1797
Erina - Green Point	3	673
Erina - Green Point	4	413
Gosford - Springfield		135
Gosford - Springfield	0	1093
Gosford - Springfield	1	4320
Gosford - Springfield	2	2731
Gosford - Springfield	3	652
Gosford - Springfield	4	295
Kariong		15
Kariong	0	49
Kariong	1	556
Kariong	2	913
Kariong	3	337
Kariong	4	219
Kincumber - Picketts Valley		37
Kincumber - Picketts Valley	0	242
Kincumber - Picketts Valley	1	1232
Kincumber - Picketts Valley	2	970
Kincumber - Picketts Valley	3	333
Kincumber - Picketts Valley	4	186
Narara		26
Narara	0	100
Narara	1	796
Narara	2	1038
Narara	3	364
Narara	4	189
Niagara Park - Lisarow		33
Niagara Park - Lisarow	0	100
Niagara Park - Lisarow	1	825
Niagara Park - Lisarow	2	1139
Niagara Park - Lisarow	3	397
Niagara Park - Lisarow	4	306
Point Clare - Koolewong		23
Point Clare - Koolewong	0	170
Point Clare - Koolewong	1	1001
Point Clare - Koolewong	2	911
Point Clare - Koolewong	3	277
Point Clare - Koolewong	4	138
Saratoga - Davistown		21
Saratoga - Davistown	0	106
Saratoga - Davistown	1	822
Saratoga - Davistown	2	1111
Saratoga - Davistown	3	400
Saratoga - Davistown	4	229
Terrigal - North Avoca		57
Terrigal - North Avoca	0	175
Terrigal - North Avoca	1	1702
Terrigal - North Avoca	2	2354
Terrigal - North Avoca	3	707
Terrigal - North Avoca	4	438
Umina - Booker Bay - Patonga		184
Umina - Booker Bay - Patonga	0	950
Umina - Booker Bay - Patonga	1	4614
Umina - Booker Bay - Patonga	2	3260
Umina - Booker Bay - Patonga	3	887
Umina - Booker Bay - Patonga	4	380
Wamberal - Forresters Beach		30
Wamberal - Forresters Beach	0	73
Wamberal - Forresters Beach	1	1045
Wamberal - Forresters Beach	2	1552
Wamberal - Forresters Beach	3	561
Wamberal - Forresters Beach	4	399
Woy Woy - Blackwall		125
Woy Woy - Blackwall	0	808
Woy Woy - Blackwall	1	2790
Woy Woy - Blackwall	2	1658
Woy Woy - Blackwall	3	498
Woy Woy - Blackwall	4	219
Wyoming		56
Wyoming	0	309
Wyoming	1	1783
Wyoming	2	1511
Wyoming	3	420
Wyoming	4	233
Bateau Bay - Killarney Vale		112
Bateau Bay - Killarney Vale	0	538
Bateau Bay - Killarney Vale	1	2807
Bateau Bay - Killarney Vale	2	3268
Bateau Bay - Killarney Vale	3	1054
Bateau Bay - Killarney Vale	4	564
Blue Haven - San Remo		50
Blue Haven - San Remo	0	140
Blue Haven - San Remo	1	1336
Blue Haven - San Remo	2	1539
Blue Haven - San Remo	3	561
Blue Haven - San Remo	4	286
Budgewoi - Buff Point - Halekulani		69
Budgewoi - Buff Point - Halekulani	0	204
Budgewoi - Buff Point - Halekulani	1	1604
Budgewoi - Buff Point - Halekulani	2	1380
Budgewoi - Buff Point - Halekulani	3	440
Budgewoi - Buff Point - Halekulani	4	240
Chittaway Bay - Tumbi Umbi		67
Chittaway Bay - Tumbi Umbi	0	199
Chittaway Bay - Tumbi Umbi	1	1723
Chittaway Bay - Tumbi Umbi	2	2303
Chittaway Bay - Tumbi Umbi	3	855
Chittaway Bay - Tumbi Umbi	4	561
Gorokan - Kanwal - Charmhaven		201
Gorokan - Kanwal - Charmhaven	0	627
Gorokan - Kanwal - Charmhaven	1	3366
Gorokan - Kanwal - Charmhaven	2	2872
Gorokan - Kanwal - Charmhaven	3	930
Gorokan - Kanwal - Charmhaven	4	564
Jilliby - Yarramalong		12
Jilliby - Yarramalong	1	135
Jilliby - Yarramalong	2	363
Jilliby - Yarramalong	3	238
Jilliby - Yarramalong	4	290
Lake Munmorah - Mannering Park		55
Lake Munmorah - Mannering Park	0	168
Lake Munmorah - Mannering Park	1	2167
Lake Munmorah - Mannering Park	2	1460
Lake Munmorah - Mannering Park	3	484
Lake Munmorah - Mannering Park	4	306
Ourimbah - Fountaindale		21
Ourimbah - Fountaindale	0	36
Ourimbah - Fountaindale	1	471
Ourimbah - Fountaindale	2	705
Ourimbah - Fountaindale	3	266
Ourimbah - Fountaindale	4	220
Summerland Point - Gwandalan		23
Summerland Point - Gwandalan	0	59
Summerland Point - Gwandalan	1	795
Summerland Point - Gwandalan	2	1035
Summerland Point - Gwandalan	3	348
Summerland Point - Gwandalan	4	211
The Entrance		131
The Entrance	0	670
The Entrance	1	3178
The Entrance	2	2142
The Entrance	3	550
The Entrance	4	310
Toukley - Norah Head		63
Toukley - Norah Head	0	353
Toukley - Norah Head	1	1818
Toukley - Norah Head	2	1279
Toukley - Norah Head	3	425
Toukley - Norah Head	4	213
Tuggerah - Kangy Angy		20
Tuggerah - Kangy Angy	0	71
Tuggerah - Kangy Angy	1	649
Tuggerah - Kangy Angy	2	696
Tuggerah - Kangy Angy	3	263
Tuggerah - Kangy Angy	4	172
Warnervale - Wadalba		71
Warnervale - Wadalba	0	199
Warnervale - Wadalba	1	1793
