SA2_NAME16	BornAust	persons
Braidwood	0	536
Braidwood	1	3422
Karabar	0	1477
Karabar	1	6522
Queanbeyan	0	3040
Queanbeyan	1	7697
Queanbeyan - East	0	1259
Queanbeyan - East	1	3593
Queanbeyan West - Jerrabomberra	0	2188
Queanbeyan West - Jerrabomberra	1	10156
Googong	0	1206
Googong	1	4808
Queanbeyan Surrounds	0	2101
Queanbeyan Surrounds	1	13507
Bombala	0	198
Bombala	1	2005
Cooma	0	1105
Cooma	1	5264
Cooma Surrounds	0	403
Cooma Surrounds	1	2749
Jindabyne - Berridale	0	1153
Jindabyne - Berridale	1	6316
Batemans Bay	0	1266
Batemans Bay	1	6678
Batemans Bay - South	0	1432
Batemans Bay - South	1	6762
Bega - Tathra	0	851
Bega - Tathra	1	7348
Bega-Eden Hinterland	0	1056
Bega-Eden Hinterland	1	7727
Broulee - Tomakin	0	459
Broulee - Tomakin	1	3081
Deua - Wadbilliga	0	3
Deua - Wadbilliga	1	28
Eden	0	396
Eden	1	2692
Eurobodalla Hinterland	0	369
Eurobodalla Hinterland	1	2753
Merimbula - Tura Beach	0	1680
Merimbula - Tura Beach	1	9158
Moruya - Tuross Head	0	1030
Moruya - Tuross Head	1	6785
Narooma - Bermagui	0	1425
Narooma - Bermagui	1	7644
Goulburn	0	2659
Goulburn	1	20465
Goulburn Surrounds	0	1286
Goulburn Surrounds	1	11310
Yass	0	627
Yass	1	5796
Yass Surrounds	0	1424
Yass Surrounds	1	10538
Young	0	900
Young	1	9329
Young Surrounds	0	509
Young Surrounds	1	6402
Avoca Beach - Copacabana	0	1420
Avoca Beach - Copacabana	1	5857
Box Head - MacMasters Beach	0	1849
Box Head - MacMasters Beach	1	8766
Calga - Kulnura	0	757
Calga - Kulnura	1	3526
Erina - Green Point	0	3141
Erina - Green Point	1	11044
Gosford - Springfield	0	5178
Gosford - Springfield	1	14848
Kariong	0	1202
Kariong	1	5109
Kincumber - Picketts Valley	0	1276
Kincumber - Picketts Valley	1	5977
Narara	0	1388
Narara	1	5596
Niagara Park - Lisarow	0	1367
Niagara Park - Lisarow	1	6642
Point Clare - Koolewong	0	1451
Point Clare - Koolewong	1	4889
Saratoga - Davistown	0	973
Saratoga - Davistown	1	5935
Terrigal - North Avoca	0	3044
Terrigal - North Avoca	1	11169
Umina - Booker Bay - Patonga	0	4232
Umina - Booker Bay - Patonga	1	18973
Wamberal - Forresters Beach	0	1603
Wamberal - Forresters Beach	1	8690
Woy Woy - Blackwall	0	2712
Woy Woy - Blackwall	1	10776
Wyoming	0	2208
Wyoming	1	8654
Bateau Bay - Killarney Vale	0	2548
Bateau Bay - Killarney Vale	1	19040
Blue Haven - San Remo	0	1123
Blue Haven - San Remo	1	9718
Budgewoi - Buff Point - Halekulani	0	1017
Budgewoi - Buff Point - Halekulani	1	8121
Chittaway Bay - Tumbi Umbi	0	1963
Chittaway Bay - Tumbi Umbi	1	13497
Gorokan - Kanwal - Charmhaven	0	2768
Gorokan - Kanwal - Charmhaven	1	18056
Jilliby - Yarramalong	0	380
Jilliby - Yarramalong	1	2886
Lake Munmorah - Mannering Park	0	1290
Lake Munmorah - Mannering Park	1	9045
Ourimbah - Fountaindale	0	786
Ourimbah - Fountaindale	1	3955
Summerland Point - Gwandalan	0	688
Summerland Point - Gwandalan	1	5524
The Entrance	0	2278
The Entrance	1	12437
Toukley - Norah Head	0	1126
Toukley - Norah Head	1	8130
Tuggerah - Kangy Angy	0	1007
Tuggerah - Kangy Angy	1	4025
Warnervale - Wadalba	0	3417
Warnervale - Wadalba	1	15862
Wyong	0	1486
Wyong	1	6957
Bathurst - East	0	1048
Bathurst - East	1	10712
Bathurst Surrounds	0	538
Bathurst Surrounds	1	5894
Oberon	0	531
Oberon	1	3667
Bathurst - South	0	1539
Bathurst - South	1	8566
Bathurst - West	0	1281
Bathurst - West	1	12372
Condobolin	0	309
Condobolin	1	5242
Cowra	0	653
Cowra	1	7958
Cowra Surrounds	0	381
Cowra Surrounds	1	4680
Forbes	0	438
Forbes	1	8595
Grenfell	0	200
Grenfell	1	3082
Parkes (NSW)	0	658
Parkes (NSW)	1	9472
Parkes Surrounds	0	143
Parkes Surrounds	1	2782
West Wyalong	0	314
West Wyalong	1	4664
Lithgow	0	1306
Lithgow	1	10177
Lithgow Surrounds	0	797
Lithgow Surrounds	1	6927
Mudgee	0	1051
Mudgee	1	10826
Mudgee Surrounds - East	0	313
Mudgee Surrounds - East	1	2688
Mudgee Surrounds - West	0	804
Mudgee Surrounds - West	1	9148
Blayney	0	468
Blayney	1	6548
Orange	0	1931
Orange	1	15777
Orange - North	0	2578
Orange - North	1	19290
Orange Surrounds	0	714
Orange Surrounds	1	10205
Grafton	0	1141
Grafton	1	16785
Grafton Surrounds	0	1410
Grafton Surrounds	1	14057
Maclean - Yamba - Iluka	0	1869
Maclean - Yamba - Iluka	1	14445
Bellingen	0	952
Bellingen	1	4701
Coffs Harbour - North	0	2946
Coffs Harbour - North	1	13941
Coffs Harbour - South	0	2192
Coffs Harbour - South	1	8154
Coramba - Nana Glen - Bucca	0	438
Coramba - Nana Glen - Bucca	1	3212
Dorrigo	0	351
Dorrigo	1	2545
Korora - Emerald Beach	0	1646
Korora - Emerald Beach	1	8279
Sawtell - Boambee	0	2293
Sawtell - Boambee	1	16728
Urunga	0	476
Urunga	1	4067
Woolgoolga - Arrawarra	0	2674
Woolgoolga - Arrawarra	1	11035
Bourke - Brewarrina	0	160
Bourke - Brewarrina	1	2652
Cobar	0	302
Cobar	1	3177
Coonamble	0	126
Coonamble	1	3226
Nyngan - Warren	0	267
Nyngan - Warren	1	3843
Walgett - Lightning Ridge	0	451
Walgett - Lightning Ridge	1	3620
Broken Hill	0	907
Broken Hill	1	15119
Far West	0	91
