SA2_NAME16	Age	MaritalStatus	Registered	adults
Braidwood	15-19	Never married		149
Braidwood	20-24	Married	0	26
Braidwood	20-24	Married	1	5
Braidwood	20-24	Never married		74
Braidwood	25-34	Married	0	97
Braidwood	25-34	Married	1	98
Braidwood	25-34	Never married		111
Braidwood	35-44	Married	0	81
Braidwood	35-44	Married	1	208
Braidwood	35-44	Never married		103
Braidwood	45-54	Married	0	113
Braidwood	45-54	Married	1	313
Braidwood	45-54	Never married		140
Braidwood	55-64	Married	0	117
Braidwood	55-64	Married	1	389
Braidwood	55-64	Never married		167
Braidwood	65-74	Married	0	66
Braidwood	65-74	Married	1	321
Braidwood	65-74	Never married		184
Braidwood	75-84	Married	0	21
Braidwood	75-84	Married	1	188
Braidwood	75-84	Never married		117
Braidwood	85+	Married	0	3
Braidwood	85+	Married	1	24
Braidwood	85+	Never married		41
Karabar	15-19	Married	0	4
Karabar	15-19	Never married		453
Karabar	20-24	Married	0	85
Karabar	20-24	Married	1	24
Karabar	20-24	Never married		360
Karabar	25-34	Married	0	280
Karabar	25-34	Married	1	408
Karabar	25-34	Never married		453
Karabar	35-44	Married	0	179
Karabar	35-44	Married	1	548
Karabar	35-44	Never married		324
Karabar	45-54	Married	0	135
Karabar	45-54	Married	1	596
Karabar	45-54	Never married		334
Karabar	55-64	Married	0	73
Karabar	55-64	Married	1	609
Karabar	55-64	Never married		321
Karabar	65-74	Married	0	42
Karabar	65-74	Married	1	430
Karabar	65-74	Never married		215
Karabar	75-84	Married	0	6
Karabar	75-84	Married	1	170
Karabar	75-84	Never married		172
Karabar	85+	Married	1	33
Karabar	85+	Never married		47
Queanbeyan	15-19	Married	0	17
Queanbeyan	15-19	Never married		385
Queanbeyan	20-24	Married	0	138
Queanbeyan	20-24	Married	1	26
Queanbeyan	20-24	Never married		464
Queanbeyan	25-34	Married	0	447
Queanbeyan	25-34	Married	1	814
Queanbeyan	25-34	Never married		901
Queanbeyan	35-44	Married	0	226
Queanbeyan	35-44	Married	1	757
Queanbeyan	35-44	Never married		553
Queanbeyan	45-54	Married	0	156
Queanbeyan	45-54	Married	1	523
Queanbeyan	45-54	Never married		604
Queanbeyan	55-64	Married	0	103
Queanbeyan	55-64	Married	1	443
Queanbeyan	55-64	Never married		603
Queanbeyan	65-74	Married	0	35
Queanbeyan	65-74	Married	1	375
Queanbeyan	65-74	Never married		378
Queanbeyan	75-84	Married	0	4
Queanbeyan	75-84	Married	1	182
Queanbeyan	75-84	Never married		240
Queanbeyan	85+	Married	1	67
Queanbeyan	85+	Never married		124
Queanbeyan - East	15-19	Never married		176
Queanbeyan - East	20-24	Married	0	56
Queanbeyan - East	20-24	Married	1	24
Queanbeyan - East	20-24	Never married		239
Queanbeyan - East	25-34	Married	0	237
Queanbeyan - East	25-34	Married	1	334
Queanbeyan - East	25-34	Never married		407
Queanbeyan - East	35-44	Married	0	77
Queanbeyan - East	35-44	Married	1	349
Queanbeyan - East	35-44	Never married		274
Queanbeyan - East	45-54	Married	0	70
Queanbeyan - East	45-54	Married	1	294
Queanbeyan - East	45-54	Never married		255
Queanbeyan - East	55-64	Married	0	47
Queanbeyan - East	55-64	Married	1	245
Queanbeyan - East	55-64	Never married		262
Queanbeyan - East	65-74	Married	0	18
Queanbeyan - East	65-74	Married	1	178
Queanbeyan - East	65-74	Never married		164
Queanbeyan - East	75-84	Married	0	6
Queanbeyan - East	75-84	Married	1	87
Queanbeyan - East	75-84	Never married		86
Queanbeyan - East	85+	Married	1	13
Queanbeyan - East	85+	Never married		37
Queanbeyan West - Jerrabomberra	15-19	Married	0	6
Queanbeyan West - Jerrabomberra	15-19	Never married		895
Queanbeyan West - Jerrabomberra	20-24	Married	0	66
Queanbeyan West - Jerrabomberra	20-24	Married	1	19
Queanbeyan West - Jerrabomberra	20-24	Never married		601
Queanbeyan West - Jerrabomberra	25-34	Married	0	300
Queanbeyan West - Jerrabomberra	25-34	Married	1	550
Queanbeyan West - Jerrabomberra	25-34	Never married		518
Queanbeyan West - Jerrabomberra	35-44	Married	0	211
Queanbeyan West - Jerrabomberra	35-44	Married	1	1212
Queanbeyan West - Jerrabomberra	35-44	Never married		303
Queanbeyan West - Jerrabomberra	45-54	Married	0	224
Queanbeyan West - Jerrabomberra	45-54	Married	1	1509
Queanbeyan West - Jerrabomberra	45-54	Never married		354
Queanbeyan West - Jerrabomberra	55-64	Married	0	108
Queanbeyan West - Jerrabomberra	55-64	Married	1	1112
Queanbeyan West - Jerrabomberra	55-64	Never married		346
Queanbeyan West - Jerrabomberra	65-74	Married	0	32
Queanbeyan West - Jerrabomberra	65-74	Married	1	522
Queanbeyan West - Jerrabomberra	65-74	Never married		190
Queanbeyan West - Jerrabomberra	75-84	Married	1	182
Queanbeyan West - Jerrabomberra	75-84	Never married		121
Queanbeyan West - Jerrabomberra	85+	Married	1	37
Queanbeyan West - Jerrabomberra	85+	Never married		40
Googong	15-19	Never married		252
Googong	20-24	Married	0	55
Googong	20-24	Married	1	10
Googong	20-24	Never married		143
Googong	25-34	Married	0	328
Googong	25-34	Married	1	725
Googong	25-34	Never married		190
Googong	35-44	Married	0	170
Googong	35-44	Married	1	983
Googong	35-44	Never married		118
Googong	45-54	Married	0	72
Googong	45-54	Married	1	505
Googong	45-54	Never married		79
Googong	55-64	Married	0	9
Googong	55-64	Married	1	195
Googong	55-64	Never married		60
Googong	65-74	Married	0	3
Googong	65-74	Married	1	100
Googong	65-74	Never married		38
Googong	75-84	Married	1	35
Googong	75-84	Never married		13
Queanbeyan Surrounds	15-19	Married	0	4
Queanbeyan Surrounds	15-19	Never married		949
Queanbeyan Surrounds	20-24	Married	0	97
Queanbeyan Surrounds	20-24	Married	1	23
Queanbeyan Surrounds	20-24	Never married		595
Queanbeyan Surrounds	25-34	Married	0	402
Queanbeyan Surrounds	25-34	Married	1	590
Queanbeyan Surrounds	25-34	Never married		476
Queanbeyan Surrounds	35-44	Married	0	312
