SA2_NAME21	CountryOfBirth	persons
Braidwood		473
Braidwood	AUS	3422
Braidwood	CAN	6
Braidwood	CHN	4
Braidwood	DEU	22
Braidwood	EGY	3
Braidwood	FRA	10
Braidwood	GBR	206
Braidwood	GRC	3
Braidwood	HKG	4
Braidwood	IDN	7
Braidwood	IND	5
Braidwood	IRL	6
Braidwood	IRN	3
Braidwood	IRQ	6
Braidwood	ITA	4
Braidwood	LBN	7
Braidwood	MYS	5
Braidwood	NLD	18
Braidwood	NPL	7
Braidwood	NZL	67
Braidwood	PHL	19
Braidwood	PNG	3
Braidwood	POL	3
Braidwood	THA	7
Braidwood	USA	19
Braidwood	ZAF	12
Karabar		714
Karabar	AUS	6522
Karabar	BGD	4
Karabar	BIH	15
Karabar	CAN	7
Karabar	CHL	4
Karabar	CHN	27
Karabar	DEU	35
Karabar	EGY	8
Karabar	FJI	30
Karabar	FRA	6
Karabar	GBR	164
Karabar	GRC	22
Karabar	HKG	5
Karabar	HRV	47
Karabar	IDN	9
Karabar	IND	134
Karabar	IRL	15
Karabar	IRN	5
Karabar	ITA	86
Karabar	JPN	5
Karabar	KHM	7
Karabar	KOR	5
Karabar	LBN	8
Karabar	LKA	3
Karabar	MKD	182
Karabar	MLT	11
Karabar	MMR	4
Karabar	MYS	20
Karabar	NLD	9
Karabar	NPL	44
Karabar	NZL	116
Karabar	PHL	88
Karabar	PNG	5
Karabar	POL	9
Karabar	SGP	3
Karabar	THA	19
Karabar	USA	33
Karabar	VNM	22
Karabar	WSM	21
Karabar	ZAF	9
Queanbeyan		919
Queanbeyan	AFG	4
Queanbeyan	AUS	7697
Queanbeyan	BGD	74
Queanbeyan	BIH	8
Queanbeyan	BRA	17
Queanbeyan	CAN	29
Queanbeyan	CHN	57
Queanbeyan	DEU	63
Queanbeyan	EGY	19
Queanbeyan	FJI	40
Queanbeyan	FRA	7
Queanbeyan	GBR	245
Queanbeyan	GRC	73
Queanbeyan	HKG	9
Queanbeyan	HRV	44
Queanbeyan	IDN	34
Queanbeyan	IND	510
Queanbeyan	IRL	18
Queanbeyan	IRN	13
Queanbeyan	IRQ	3
Queanbeyan	ITA	100
Queanbeyan	JPN	5
Queanbeyan	KHM	3
Queanbeyan	KOR	25
Queanbeyan	LBN	7
Queanbeyan	LKA	25
Queanbeyan	MKD	152
Queanbeyan	MLT	23
Queanbeyan	MMR	15
Queanbeyan	MUS	5
Queanbeyan	MYS	20
Queanbeyan	NLD	36
Queanbeyan	NPL	332
Queanbeyan	NZL	177
Queanbeyan	PAK	97
Queanbeyan	PHL	227
Queanbeyan	PNG	14
Queanbeyan	POL	14
Queanbeyan	SGP	8
Queanbeyan	THA	32
Queanbeyan	TUR	3
Queanbeyan	TWN	5
Queanbeyan	USA	32
Queanbeyan	VNM	19
Queanbeyan	WSM	5
Queanbeyan	ZAF	32
Queanbeyan	ZWE	20
Queanbeyan - East		362
Queanbeyan - East	AFG	7
Queanbeyan - East	AUS	3593
Queanbeyan - East	BGD	60
Queanbeyan - East	BIH	3
Queanbeyan - East	BRA	3
Queanbeyan - East	CAN	13
Queanbeyan - East	CHL	8
Queanbeyan - East	CHN	18
Queanbeyan - East	DEU	25
Queanbeyan - East	EGY	14
Queanbeyan - East	FJI	23
Queanbeyan - East	FRA	5
Queanbeyan - East	GBR	162
Queanbeyan - East	GRC	4
Queanbeyan - East	HKG	3
Queanbeyan - East	HRV	26
Queanbeyan - East	IDN	18
Queanbeyan - East	IND	233
Queanbeyan - East	IRL	3
Queanbeyan - East	IRQ	6
Queanbeyan - East	ITA	18
Queanbeyan - East	JPN	3
Queanbeyan - East	KHM	3
Queanbeyan - East	KOR	10
Queanbeyan - East	LKA	8
Queanbeyan - East	MKD	59
Queanbeyan - East	MYS	12
Queanbeyan - East	NLD	4
Queanbeyan - East	NPL	66
Queanbeyan - East	NZL	77
Queanbeyan - East	PAK	24
Queanbeyan - East	PHL	86
Queanbeyan - East	PNG	7
Queanbeyan - East	POL	7
Queanbeyan - East	SGP	5
Queanbeyan - East	THA	20
Queanbeyan - East	TWN	8
Queanbeyan - East	USA	40
Queanbeyan - East	VNM	6
Queanbeyan - East	WSM	5
Queanbeyan - East	ZAF	24
Queanbeyan - East	ZWE	12
Queanbeyan West - Jerrabomberra		677
Queanbeyan West - Jerrabomberra	AUS	10156
Queanbeyan West - Jerrabomberra	BGD	5
Queanbeyan West - Jerrabomberra	BIH	11
Queanbeyan West - Jerrabomberra	BRA	12
Queanbeyan West - Jerrabomberra	CAN	32
Queanbeyan West - Jerrabomberra	CHL	11
Queanbeyan West - Jerrabomberra	CHN	69
Queanbeyan West - Jerrabomberra	DEU	57
Queanbeyan West - Jerrabomberra	EGY	8
Queanbeyan West - Jerrabomberra	FJI	31
Queanbeyan West - Jerrabomberra	FRA	19
Queanbeyan West - Jerrabomberra	GBR	398
Queanbeyan West - Jerrabomberra	GRC	20
Queanbeyan West - Jerrabomberra	HKG	15
Queanbeyan West - Jerrabomberra	HRV	36
Queanbeyan West - Jerrabomberra	IDN	24
Queanbeyan West - Jerrabomberra	IND	157
Queanbeyan West - Jerrabomberra	IRL	19
Queanbeyan West - Jerrabomberra	IRN	13
Queanbeyan West - Jerrabomberra	IRQ	4
Queanbeyan West - Jerrabomberra	ITA	69
Queanbeyan West - Jerrabomberra	JPN	5
Queanbeyan West - Jerrabomberra	KHM	5
Queanbeyan West - Jerrabomberra	KOR	7
Queanbeyan West - Jerrabomberra	LBN	9
Queanbeyan West - Jerrabomberra	LKA	38
Queanbeyan West - Jerrabomberra	MKD	113
