SA2_NAME16	DwellingStructure	DwellingSubtype	NumberBedrooms.min	occupied_private_dwellings
Braidwood			1	5
Braidwood			2	4
Braidwood		1 storey	2	24
Braidwood		1 storey	3	31
Braidwood	(Other)		0	4
Braidwood	(Other)		1	10
Braidwood	(Other)		2	8
Braidwood	(Other)		3	10
Braidwood	(Other)		4	3
Braidwood	Separate house			23
Braidwood	Separate house		0	27
Braidwood	Separate house		1	92
Braidwood	Separate house		2	305
Braidwood	Separate house		3	687
Braidwood	Separate house		4	375
Braidwood	Separate house		5	69
Braidwood	Separate house		6	33
Karabar		1 storey	1	23
Karabar		1 storey	2	135
Karabar		1 storey	3	126
Karabar		1 storey	4	4
Karabar		2 storeys or more		7
Karabar		2 storeys or more	1	13
Karabar		2 storeys or more	2	77
Karabar		2 storeys or more	3	120
Karabar		2 storeys or more	4	15
Karabar	Flat/apartment	1 or 2 storey block	1	19
Karabar	Flat/apartment	1 or 2 storey block	2	26
Karabar	Flat/apartment	3 storey block	0	8
Karabar	Flat/apartment	3 storey block	1	13
Karabar	Flat/apartment	3 storey block	2	16
Karabar	Flat/apartment	Attached to a house	3	5
Karabar	Separate house			39
Karabar	Separate house		0	3
Karabar	Separate house		1	18
Karabar	Separate house		2	112
Karabar	Separate house		3	1231
Karabar	Separate house		4	847
Karabar	Separate house		5	157
Karabar	Separate house		6	61
Queanbeyan			1	3
Queanbeyan		1 storey		5
Queanbeyan		1 storey	1	75
Queanbeyan		1 storey	2	304
Queanbeyan		1 storey	3	195
Queanbeyan		1 storey	4	3
Queanbeyan		2 storeys or more		5
Queanbeyan		2 storeys or more	1	64
Queanbeyan		2 storeys or more	2	269
Queanbeyan		2 storeys or more	3	219
Queanbeyan		2 storeys or more	4	7
Queanbeyan		2 storeys or more	6	4
Queanbeyan	(Other)		0	4
Queanbeyan	(Other)		1	7
Queanbeyan	(Other)		2	4
Queanbeyan	(Other)		3	4
Queanbeyan	Flat/apartment	1 or 2 storey block		13
Queanbeyan	Flat/apartment	1 or 2 storey block	0	6
Queanbeyan	Flat/apartment	1 or 2 storey block	1	290
Queanbeyan	Flat/apartment	1 or 2 storey block	2	271
Queanbeyan	Flat/apartment	1 or 2 storey block	3	24
Queanbeyan	Flat/apartment	1 or 2 storey block	4	4
Queanbeyan	Flat/apartment	3 storey block	0	8
Queanbeyan	Flat/apartment	3 storey block	1	81
Queanbeyan	Flat/apartment	3 storey block	2	246
Queanbeyan	Flat/apartment	3 storey block	3	17
Queanbeyan	Flat/apartment	4-8 storey block		11
Queanbeyan	Flat/apartment	4-8 storey block	1	137
Queanbeyan	Flat/apartment	4-8 storey block	2	466
Queanbeyan	Flat/apartment	4-8 storey block	3	30
Queanbeyan	Flat/apartment	9 or more storey block	1	17
Queanbeyan	Flat/apartment	9 or more storey block	2	58
Queanbeyan	Flat/apartment	9 or more storey block	3	6
Queanbeyan	Flat/apartment	Attached to a house	2	5
Queanbeyan	Flat/apartment	Attached to a house	3	5
Queanbeyan	Separate house			23
Queanbeyan	Separate house		1	18
Queanbeyan	Separate house		2	240
Queanbeyan	Separate house		3	1036
Queanbeyan	Separate house		4	559
Queanbeyan	Separate house		5	135
Queanbeyan	Separate house		6	36
Queanbeyan - East			1	4
Queanbeyan - East		1 storey		6
Queanbeyan - East		1 storey	1	21
Queanbeyan - East		1 storey	2	162
Queanbeyan - East		1 storey	3	58
Queanbeyan - East		1 storey	4	5
Queanbeyan - East		2 storeys or more		3
Queanbeyan - East		2 storeys or more	1	27
Queanbeyan - East		2 storeys or more	2	281
Queanbeyan - East		2 storeys or more	3	131
Queanbeyan - East		2 storeys or more	4	8
Queanbeyan - East	Flat/apartment	1 or 2 storey block		10
Queanbeyan - East	Flat/apartment	1 or 2 storey block	0	10
Queanbeyan - East	Flat/apartment	1 or 2 storey block	1	135
Queanbeyan - East	Flat/apartment	1 or 2 storey block	2	122
Queanbeyan - East	Flat/apartment	1 or 2 storey block	3	23
Queanbeyan - East	Flat/apartment	1 or 2 storey block	4	4
Queanbeyan - East	Flat/apartment	3 storey block	1	43
Queanbeyan - East	Flat/apartment	3 storey block	2	96
Queanbeyan - East	Flat/apartment	4-8 storey block		4
Queanbeyan - East	Flat/apartment	4-8 storey block	1	76
Queanbeyan - East	Flat/apartment	4-8 storey block	2	206
Queanbeyan - East	Flat/apartment	4-8 storey block	3	9
Queanbeyan - East	Separate house			7
Queanbeyan - East	Separate house		1	6
Queanbeyan - East	Separate house		2	53
Queanbeyan - East	Separate house		3	302
Queanbeyan - East	Separate house		4	356
Queanbeyan - East	Separate house		5	85
Queanbeyan - East	Separate house		6	27
Queanbeyan West - Jerrabomberra			1	4
Queanbeyan West - Jerrabomberra			2	3
Queanbeyan West - Jerrabomberra		1 storey		8
Queanbeyan West - Jerrabomberra		1 storey	1	3
Queanbeyan West - Jerrabomberra		1 storey	2	209
Queanbeyan West - Jerrabomberra		1 storey	3	203
Queanbeyan West - Jerrabomberra		1 storey	4	38
Queanbeyan West - Jerrabomberra		2 storeys or more	1	4
Queanbeyan West - Jerrabomberra		2 storeys or more	2	64
Queanbeyan West - Jerrabomberra		2 storeys or more	3	108
Queanbeyan West - Jerrabomberra		2 storeys or more	4	24
Queanbeyan West - Jerrabomberra		2 storeys or more	5	3
Queanbeyan West - Jerrabomberra	(Other)		1	6
Queanbeyan West - Jerrabomberra	Flat/apartment	1 or 2 storey block	0	4
Queanbeyan West - Jerrabomberra	Flat/apartment	1 or 2 storey block	1	35
Queanbeyan West - Jerrabomberra	Flat/apartment	1 or 2 storey block	2	25
Queanbeyan West - Jerrabomberra	Flat/apartment	1 or 2 storey block	3	16
Queanbeyan West - Jerrabomberra	Flat/apartment	3 storey block	2	7
Queanbeyan West - Jerrabomberra	Separate house			20
Queanbeyan West - Jerrabomberra	Separate house		1	9
Queanbeyan West - Jerrabomberra	Separate house		2	41
Queanbeyan West - Jerrabomberra	Separate house		3	943
Queanbeyan West - Jerrabomberra	Separate house		4	1968
Queanbeyan West - Jerrabomberra	Separate house		5	482
Queanbeyan West - Jerrabomberra	Separate house		6	88
Googong		1 storey	3	9
Googong		2 storeys or more	1	9
Googong		2 storeys or more	2	26
Googong		2 storeys or more	3	62
Googong	Flat/apartment	3 storey block	2	10
Googong	Flat/apartment	3 storey block	3	3
Googong	Separate house			14
Googong	Separate house		1	18
Googong	Separate house		2	24
Googong	Separate house		3	347
Googong	Separate house		4	1221
Googong	Separate house		5	162
Googong	Separate house		6	12
Queanbeyan Surrounds			2	5
Queanbeyan Surrounds		1 storey	2	19
Queanbeyan Surrounds		1 storey	3	19
Queanbeyan Surrounds		1 storey	4	3
Queanbeyan Surrounds		2 storeys or more	3	16
Queanbeyan Surrounds		2 storeys or more	4	4
