SA2_NAME21	BornAust	Sex	persons
Braidwood	0	F	286
Braidwood	0	M	251
Braidwood	1	F	1646
Braidwood	1	M	1782
Karabar	0	F	761
Karabar	0	M	721
Karabar	1	F	3230
Karabar	1	M	3287
Queanbeyan	0	F	1491
Queanbeyan	0	M	1548
Queanbeyan	1	F	3838
Queanbeyan	1	M	3858
Queanbeyan - East	0	F	598
Queanbeyan - East	0	M	658
Queanbeyan - East	1	F	1740
Queanbeyan - East	1	M	1852
Queanbeyan West - Jerrabomberra	0	F	1093
Queanbeyan West - Jerrabomberra	0	M	1097
Queanbeyan West - Jerrabomberra	1	F	5117
Queanbeyan West - Jerrabomberra	1	M	5041
Googong	0	F	594
Googong	0	M	606
Googong	1	F	2428
Googong	1	M	2378
Queanbeyan Surrounds	0	F	1081
Queanbeyan Surrounds	0	M	1020
Queanbeyan Surrounds	1	F	6618
Queanbeyan Surrounds	1	M	6885
Bombala	0	F	109
Bombala	0	M	87
Bombala	1	F	995
Bombala	1	M	1011
Cooma	0	F	568
Cooma	0	M	542
Cooma	1	F	2577
Cooma	1	M	2681
Cooma Surrounds	0	F	204
Cooma Surrounds	0	M	196
Cooma Surrounds	1	F	1302
Cooma Surrounds	1	M	1445
Jindabyne - Berridale	0	F	585
Jindabyne - Berridale	0	M	572
Jindabyne - Berridale	1	F	2992
Jindabyne - Berridale	1	M	3329
Batemans Bay	0	F	663
Batemans Bay	0	M	599
Batemans Bay	1	F	3401
Batemans Bay	1	M	3280
Batemans Bay - South	0	F	777
Batemans Bay - South	0	M	648
Batemans Bay - South	1	F	3491
Batemans Bay - South	1	M	3263
Bega - Tathra	0	F	469
Bega - Tathra	0	M	383
Bega - Tathra	1	F	3749
Bega - Tathra	1	M	3603
Bega-Eden Hinterland	0	F	532
Bega-Eden Hinterland	0	M	516
Bega-Eden Hinterland	1	F	3780
Bega-Eden Hinterland	1	M	3947
Broulee - Tomakin	0	F	244
Broulee - Tomakin	0	M	213
Broulee - Tomakin	1	F	1586
Broulee - Tomakin	1	M	1491
Deua - Wadbilliga	1	F	15
Deua - Wadbilliga	1	M	16
Eden	0	F	212
Eden	0	M	182
Eden	1	F	1379
Eden	1	M	1320
Eurobodalla Hinterland	0	F	177
Eurobodalla Hinterland	0	M	190
Eurobodalla Hinterland	1	F	1345
Eurobodalla Hinterland	1	M	1408
Merimbula - Tura Beach	0	F	911
Merimbula - Tura Beach	0	M	768
Merimbula - Tura Beach	1	F	4718
Merimbula - Tura Beach	1	M	4434
Moruya - Tuross Head	0	F	543
Moruya - Tuross Head	0	M	488
Moruya - Tuross Head	1	F	3385
Moruya - Tuross Head	1	M	3399
Narooma - Bermagui	0	F	747
Narooma - Bermagui	0	M	670
Narooma - Bermagui	1	F	3912
Narooma - Bermagui	1	M	3728
Goulburn	0	F	1304
Goulburn	0	M	1359
Goulburn	1	F	10357
Goulburn	1	M	10105
Goulburn Surrounds	0	F	631
Goulburn Surrounds	0	M	658
Goulburn Surrounds	1	F	5497
Goulburn Surrounds	1	M	5815
Yass	0	F	337
Yass	0	M	291
Yass	1	F	2998
Yass	1	M	2794
Yass Surrounds	0	F	726
Yass Surrounds	0	M	698
Yass Surrounds	1	F	5294
Yass Surrounds	1	M	5246
Young	0	F	473
Young	0	M	434
Young	1	F	4862
Young	1	M	4468
Young Surrounds	0	F	282
Young Surrounds	0	M	227
Young Surrounds	1	F	3138
Young Surrounds	1	M	3263
Avoca Beach - Copacabana	0	F	701
Avoca Beach - Copacabana	0	M	719
Avoca Beach - Copacabana	1	F	2972
Avoca Beach - Copacabana	1	M	2883
Box Head - MacMasters Beach	0	F	933
Box Head - MacMasters Beach	0	M	918
Box Head - MacMasters Beach	1	F	4478
Box Head - MacMasters Beach	1	M	4293
Calga - Kulnura	0	F	352
Calga - Kulnura	0	M	404
Calga - Kulnura	1	F	1705
Calga - Kulnura	1	M	1820
Erina - Green Point	0	F	1683
Erina - Green Point	0	M	1459
Erina - Green Point	1	F	5849
Erina - Green Point	1	M	5193
Gosford - Springfield	0	F	2706
Gosford - Springfield	0	M	2477
Gosford - Springfield	1	F	7602
Gosford - Springfield	1	M	7249
Kariong	0	F	626
Kariong	0	M	577
Kariong	1	F	2498
Kariong	1	M	2615
Kincumber - Picketts Valley	0	F	693
Kincumber - Picketts Valley	0	M	578
Kincumber - Picketts Valley	1	F	3238
Kincumber - Picketts Valley	1	M	2739
Narara	0	F	728
Narara	0	M	664
Narara	1	F	2841
Narara	1	M	2751
Niagara Park - Lisarow	0	F	728
Niagara Park - Lisarow	0	M	642
Niagara Park - Lisarow	1	F	3361
Niagara Park - Lisarow	1	M	3283
Point Clare - Koolewong	0	F	775
Point Clare - Koolewong	0	M	680
Point Clare - Koolewong	1	F	2455
Point Clare - Koolewong	1	M	2431
Saratoga - Davistown	0	F	504
Saratoga - Davistown	0	M	466
Saratoga - Davistown	1	F	3031
Saratoga - Davistown	1	M	2905
Terrigal - North Avoca	0	F	1575
Terrigal - North Avoca	0	M	1468
Terrigal - North Avoca	1	F	5658
Terrigal - North Avoca	1	M	5515
Umina - Booker Bay - Patonga	0	F	2249
Umina - Booker Bay - Patonga	0	M	1983
Umina - Booker Bay - Patonga	1	F	9905
Umina - Booker Bay - Patonga	1	M	9068
Wamberal - Forresters Beach	0	F	806
Wamberal - Forresters Beach	0	M	802
Wamberal - Forresters Beach	1	F	4466
Wamberal - Forresters Beach	1	M	4225
