SA2_NAME21	medianTotalHouseholdIncome
Braidwood	74308
Karabar	103428
Queanbeyan	88556
Queanbeyan - East	93392
Queanbeyan West - Jerrabomberra	156728
Googong	174876
Queanbeyan Surrounds	152152
Bombala	65156
Cooma	71604
Cooma Surrounds	82992
Jindabyne - Berridale	99372
Batemans Bay	58240
Batemans Bay - South	63180
Bega - Tathra	66352
Bega-Eden Hinterland	63440
Broulee - Tomakin	71656
Deua - Wadbilliga	45500
Eden	52676
Eurobodalla Hinterland	67080
Merimbula - Tura Beach	64220
Moruya - Tuross Head	59800
Narooma - Bermagui	52884
Goulburn	73736
Goulburn Surrounds	78832
Yass	90428
Yass Surrounds	133900
Young	60840
Young Surrounds	60788
Avoca Beach - Copacabana	118352
Box Head - MacMasters Beach	92300
Calga - Kulnura	92404
Erina - Green Point	74568
Gosford - Springfield	75920
Kariong	114400
Kincumber - Picketts Valley	69836
Narara	101400
Niagara Park - Lisarow	103324
Point Clare - Koolewong	89284
Saratoga - Davistown	91520
Terrigal - North Avoca	110760
Umina - Booker Bay - Patonga	69108
Wamberal - Forresters Beach	113776
Woy Woy - Blackwall	65572
Wyoming	74360
Bateau Bay - Killarney Vale	78780
Blue Haven - San Remo	77844
Budgewoi - Buff Point - Halekulani	64064
Chittaway Bay - Tumbi Umbi	93756
Gorokan - Kanwal - Charmhaven	64428
Jilliby - Yarramalong	133900
Lake Munmorah - Mannering Park	56108
Ourimbah - Fountaindale	104572
Summerland Point - Gwandalan	73476
The Entrance	61152
Toukley - Norah Head	60164
Tuggerah - Kangy Angy	93340
Warnervale - Wadalba	105144
Wyong	63128
Bathurst - East	92976
Bathurst Surrounds	95420
Oberon	71812
Bathurst - South	62296
Bathurst - West	92976
Condobolin	62816
Cowra	56056
Cowra Surrounds	60164
Forbes	65364
Grenfell	54236
Parkes (NSW)	72228
Parkes Surrounds	62660
West Wyalong	68848
Lithgow	56576
Lithgow Surrounds	72436
Mudgee	90584
Mudgee Surrounds - East	46280
Mudgee Surrounds - West	73528
Wollangambe - Wollemi	
Blayney	80496
Orange	69784
Orange - North	104104
Orange Surrounds	93548
Grafton	58500
Grafton Surrounds	62036
Maclean - Yamba - Iluka	56108
Bellingen	68484
Coffs Harbour - North	65364
Coffs Harbour - South	63388
Coramba - Nana Glen - Bucca	87152
Dorrigo	48828
Korora - Emerald Beach	97916
Sawtell - Boambee	70304
Urunga	61256
Woolgoolga - Arrawarra	69992
Bourke - Brewarrina	70616
Cobar	88504
Coonamble	65572
Nyngan - Warren	70044
Walgett - Lightning Ridge	51532
Broken Hill	60996
Far West	57356
Coonabarabran	56108
Dubbo - East	87308
Dubbo - South	86424
Dubbo - West	84552
Dubbo Surrounds	101504
Gilgandra	59852
Narromine	68588
Wellington	59956
