SA2_NAME21	persons
Braidwood	4343
Karabar	8517
Queanbeyan	11342
Queanbeyan - East	5085
Queanbeyan West - Jerrabomberra	12744
Googong	6224
Queanbeyan Surrounds	16539
Bombala	2454
Cooma	6761
Cooma Surrounds	3472
Jindabyne - Berridale	8035
Batemans Bay	8581
Batemans Bay - South	8938
Bega - Tathra	8872
Bega-Eden Hinterland	9557
Broulee - Tomakin	3792
Deua - Wadbilliga	43
Eden	3425
Eurobodalla Hinterland	3525
Merimbula - Tura Beach	11513
Moruya - Tuross Head	8600
Narooma - Bermagui	9888
Goulburn	24565
Goulburn Surrounds	13839
Yass	6763
Yass Surrounds	12713
Young	11004
Young Surrounds	7677
Avoca Beach - Copacabana	7513
Box Head - MacMasters Beach	11042
Calga - Kulnura	4716
Erina - Green Point	14758
Gosford - Springfield	21204
Kariong	6485
Kincumber - Picketts Valley	7615
Narara	7157
Niagara Park - Lisarow	8205
Point Clare - Koolewong	6571
Saratoga - Davistown	7160
Terrigal - North Avoca	14849
Umina - Booker Bay - Patonga	24697
Wamberal - Forresters Beach	10675
Woy Woy - Blackwall	14346
Wyoming	11423
Bateau Bay - Killarney Vale	22825
Blue Haven - San Remo	11290
Budgewoi - Buff Point - Halekulani	9728
Chittaway Bay - Tumbi Umbi	16006
Gorokan - Kanwal - Charmhaven	22362
Jilliby - Yarramalong	3420
Lake Munmorah - Mannering Park	10960
Ourimbah - Fountaindale	4928
Summerland Point - Gwandalan	6492
The Entrance	15839
Toukley - Norah Head	9909
Tuggerah - Kangy Angy	5229
Warnervale - Wadalba	20051
Wyong	9120
Bathurst - East	12330
Bathurst Surrounds	6909
Oberon	4834
Bathurst - South	10752
Bathurst - West	14313
Condobolin	6372
Cowra	9273
Cowra Surrounds	5716
Forbes	10020
Grenfell	3597
Parkes (NSW)	10919
Parkes Surrounds	3262
West Wyalong	5525
Lithgow	12385
Lithgow Surrounds	8448
Mudgee	12563
Mudgee Surrounds - East	3398
Mudgee Surrounds - West	11072
Blayney	7517
Orange	19023
Orange - North	22895
Orange Surrounds	11830
Grafton	19255
Grafton Surrounds	16875
Maclean - Yamba - Iluka	17533
Bellingen	6168
Coffs Harbour - North	18099
Coffs Harbour - South	11305
Coramba - Nana Glen - Bucca	3950
Dorrigo	3250
Korora - Emerald Beach	10262
Sawtell - Boambee	20066
Urunga	4907
Woolgoolga - Arrawarra	14463
Bourke - Brewarrina	3428
Cobar	4129
Coonamble	3926
Nyngan - Warren	4591
Walgett - Lightning Ridge	5534
Broken Hill	17588
Far West	2288
Coonabarabran	7921
Dubbo - East	10633
Dubbo - South	19628
Dubbo - West	10317
Dubbo Surrounds	5963
Gilgandra	4398
Narromine	6458
Wellington	8769
Branxton - Greta - Pokolbin	12770
Cessnock	23495
Cessnock Surrounds	9145
Dungog	9541
Kurri Kurri - Abermain	20631
Singleton	17018
Singleton Surrounds	5332
Maitland	8611
Maitland - North	8727
East Maitland - Metford	17981
Rutherford (North) - Aberglasslyn	17730
Rutherford (South) - Telarah	7976
Tenambit - East Maitland	10091
Thornton - Millers Forest	15899
Anna Bay	6449
Lemon Tree Passage - Tanilba Bay	6887
Nelson Bay Peninsula	21972
Raymond Terrace	14588
Seaham - Woodville	5693
Tea Gardens - Hawks Nest	5804
Williamtown - Medowie - Karuah	15020
Muswellbrook	12272
Muswellbrook Surrounds	4083
Scone	6035
Scone Surrounds	8194
Dapto - Avondale	24195
Horsley - Kembla Grange	12155
Port Kembla Industrial	5
Unanderra - Mount Kembla	15280
Berkeley - Lake Heights - Cringila	14200
Port Kembla - Warrawong	9740
Windang - Primbee	4239
Illawarra Catchment Reserve	9
Albion Park - Macquarie Pass	19026
Albion Park Rail	6920
Kiama	8786
Kiama Downs - Minnamurra	6063
Kiama Hinterland - Gerringong	8136
Shellharbour - Flinders	19341
Shellharbour - Oak Flats	10590
Warilla	20397
Balgownie - Fairy Meadow	21519
Corrimal - Tarrawanna - Bellambi	16041
Figtree - Keiraville	22773
Helensburgh	9135
Thirroul - Austinmer - Coalcliff	11957
Woonona - Bulli - Russell Vale	20761
Wollongong - East	16020
Wollongong - West	16551
Bulahdelah - Stroud	5235
Forster	14709
Forster-Tuncurry Surrounds	6988
Tuncurry	6376
Kempsey	15654
Kempsey Surrounds	9472
Macksville - Scotts Head	5189
Nambucca Heads	7111
Nambucca Heads Surrounds	8102
South West Rocks	5628
Lord Howe Island	445
Laurieton - Bonny Hills	18484
Port Macquarie - West	21147
Port Macquarie Surrounds	5301
Wauchope	12796
Port Macquarie - East	11764
Port Macquarie - South	17284
Gloucester	5310
Old Bar - Manning Point - Red Head	12476
Taree	21123
Taree Surrounds	13044
Wingham	5395
Albury - East	17831
Albury - North	10527
Albury - South	10519
Albury Surrounds	12507
Lavington	15665
Hay	2897
Wentworth - Buronga	6511
Wentworth-Balranald Region	3648
Corowa	5595
Corowa Surrounds	7262
Deniliquin	7038
Deniliquin Surrounds	6837
Moama	6930
Tocumwal - Finley - Jerilderie	9778
Armidale	23967
Armidale Surrounds - North	4527
Armidale Surrounds - South	5894
Walcha	3144
Glen Innes	8931
Inverell	12057
Inverell Surrounds - East	5200
Inverell Surrounds - West	5734
Tenterfield	6810
Moree	7845
Moree Surrounds	5356
Narrabri	6898
Narrabri Surrounds	4616
Gunnedah	9745
Gunnedah Surrounds	4369
Quirindi	7551
Tamworth - East	21360
Tamworth - North	16517
Tamworth - West	5998
Tamworth Surrounds	19038
Belmont - Bennetts Green	17864
Belmont South - Blacksmiths	5680
Charlestown - Dudley	25254
Glendale - Cardiff - Hillsborough	24588
Mount Hutton - Windale	9504
Redhead	3785
Swansea - Caves Beach	12559
Valentine - Eleebana	12568
Warners Bay - Boolaroo	14694
Bolton Point - Teralba	10135
Bonnells Bay - Silverwater	9691
Edgeworth - Cameron Park	16375
Morisset - Cooranbong	18129
Toronto - Awaba	13961
Wangi Wangi - Rathmines	9467
West Wallsend - Barnsley - Killingworth	7254
Adamstown - Kotara	16600
Beresfield - Hexham	8561
Hamilton - Broadmeadow	12772
Lambton - New Lambton	17343
Maryland - Fletcher - Minmi	16429
Mayfield - Warabrook	15526
Merewether - The Junction	14506
Newcastle - Cooks Hill	12805
Newcastle Port - Kooragang	31
Shortland - Jesmond	12593
Stockton - Fullerton Cove	8824
Wallsend - Elermore Vale	20958
Waratah - North Lambton	12883
Wickham - Carrington - Tighes Hill	9171
Ballina	18629
Ballina Surrounds	18327
Bangalow	6958
Brunswick Heads - Ocean Shores	9170
Byron Bay	10914
Evans Head	5643
Lennox Head - Skennars Head	9236
Mullumbimby	8896
Casino	12298
Casino Surrounds	7381
Goonellabah	13591
Kyogle	7611
Lismore	15229
Lismore Surrounds	15786
Kingscliff - Fingal Head	14818
Murwillumbah	9501
Murwillumbah Surrounds	10352
Pottsville	14086
Tweed Heads	20563
Banora Point	16320
Terranora - North Tumbulgum	3324
Tweed Heads South	8423
Griffith (NSW)	20569
Griffith Surrounds	12760
Leeton	10330
Narrandera	5905
Tumbarumba	3522
Tumut	6667
Tumut Surrounds	4744
Cootamundra	7705
Gundagai	3715
Junee	6351
Temora	6603
Wagga Wagga - East	16921
Wagga Wagga - North	5605
Wagga Wagga - South	22522
Wagga Wagga - West	11962
