SA2_NAME21	MaxSchoolingCompleted	adults
Braidwood	Did not go to school	14
Braidwood	Year 8	103
Braidwood	Year 9	230
Braidwood	Year 10	897
Braidwood	Year 11	225
Braidwood	Year 12	1832
Karabar	Did not go to school	43
Karabar	Year 8	366
Karabar	Year 9	410
Karabar	Year 10	1567
Karabar	Year 11	449
Karabar	Year 12	3569
Queanbeyan	Did not go to school	83
Queanbeyan	Year 8	410
Queanbeyan	Year 9	425
Queanbeyan	Year 10	1793
Queanbeyan	Year 11	559
Queanbeyan	Year 12	5739
Queanbeyan - East	Did not go to school	27
Queanbeyan - East	Year 8	116
Queanbeyan - East	Year 9	175
Queanbeyan - East	Year 10	729
Queanbeyan - East	Year 11	264
Queanbeyan - East	Year 12	2749
Queanbeyan West - Jerrabomberra	Did not go to school	18
Queanbeyan West - Jerrabomberra	Year 8	258
Queanbeyan West - Jerrabomberra	Year 9	376
Queanbeyan West - Jerrabomberra	Year 10	1748
Queanbeyan West - Jerrabomberra	Year 11	615
Queanbeyan West - Jerrabomberra	Year 12	6681
Googong	Did not go to school	13
Googong	Year 8	37
Googong	Year 9	111
Googong	Year 10	514
Googong	Year 11	280
Googong	Year 12	3216
Queanbeyan Surrounds	Did not go to school	22
Queanbeyan Surrounds	Year 8	305
Queanbeyan Surrounds	Year 9	591
Queanbeyan Surrounds	Year 10	2493
Queanbeyan Surrounds	Year 11	783
Queanbeyan Surrounds	Year 12	8340
Bombala	Did not go to school	14
Bombala	Year 8	135
Bombala	Year 9	191
Bombala	Year 10	583
Bombala	Year 11	161
Bombala	Year 12	746
Cooma	Did not go to school	29
Cooma	Year 8	283
Cooma	Year 9	397
Cooma	Year 10	1543
Cooma	Year 11	380
Cooma	Year 12	2447
Cooma Surrounds	Year 8	106
Cooma Surrounds	Year 9	204
Cooma Surrounds	Year 10	843
Cooma Surrounds	Year 11	205
Cooma Surrounds	Year 12	1275
Jindabyne - Berridale	Did not go to school	17
Jindabyne - Berridale	Year 8	139
Jindabyne - Berridale	Year 9	265
Jindabyne - Berridale	Year 10	1365
Jindabyne - Berridale	Year 11	458
Jindabyne - Berridale	Year 12	3949
Batemans Bay	Did not go to school	28
Batemans Bay	Year 8	382
Batemans Bay	Year 9	629
Batemans Bay	Year 10	2392
Batemans Bay	Year 11	552
Batemans Bay	Year 12	2662
Batemans Bay - South	Did not go to school	24
Batemans Bay - South	Year 8	354
Batemans Bay - South	Year 9	641
Batemans Bay - South	Year 10	2236
Batemans Bay - South	Year 11	591
Batemans Bay - South	Year 12	3183
Bega - Tathra	Did not go to school	14
Bega - Tathra	Year 8	330
Bega - Tathra	Year 9	519
Bega - Tathra	Year 10	2023
Bega - Tathra	Year 11	657
Bega - Tathra	Year 12	3149
Bega-Eden Hinterland	Did not go to school	22
Bega-Eden Hinterland	Year 8	356
Bega-Eden Hinterland	Year 9	564
Bega-Eden Hinterland	Year 10	2338
Bega-Eden Hinterland	Year 11	660
Bega-Eden Hinterland	Year 12	3421
Broulee - Tomakin	Did not go to school	11
Broulee - Tomakin	Year 8	94
Broulee - Tomakin	Year 9	231
Broulee - Tomakin	Year 10	810
Broulee - Tomakin	Year 11	235
Broulee - Tomakin	Year 12	1624
Deua - Wadbilliga	Year 8	4
Deua - Wadbilliga	Year 10	9
Deua - Wadbilliga	Year 11	6
Deua - Wadbilliga	Year 12	18
Eden	Did not go to school	14
Eden	Year 8	183
Eden	Year 9	301
Eden	Year 10	855
Eden	Year 11	314
Eden	Year 12	923
Eurobodalla Hinterland	Did not go to school	8
Eurobodalla Hinterland	Year 8	109
Eurobodalla Hinterland	Year 9	247
Eurobodalla Hinterland	Year 10	892
Eurobodalla Hinterland	Year 11	220
Eurobodalla Hinterland	Year 12	1256
Merimbula - Tura Beach	Did not go to school	21
Merimbula - Tura Beach	Year 8	403
Merimbula - Tura Beach	Year 9	692
Merimbula - Tura Beach	Year 10	2590
Merimbula - Tura Beach	Year 11	1066
Merimbula - Tura Beach	Year 12	4570
Moruya - Tuross Head	Did not go to school	18
Moruya - Tuross Head	Year 8	322
Moruya - Tuross Head	Year 9	625
Moruya - Tuross Head	Year 10	2140
Moruya - Tuross Head	Year 11	587
Moruya - Tuross Head	Year 12	3073
Narooma - Bermagui	Did not go to school	19
Narooma - Bermagui	Year 8	388
Narooma - Bermagui	Year 9	664
Narooma - Bermagui	Year 10	2300
Narooma - Bermagui	Year 11	709
Narooma - Bermagui	Year 12	3725
Goulburn	Did not go to school	94
Goulburn	Year 8	1035
Goulburn	Year 9	1728
Goulburn	Year 10	5941
Goulburn	Year 11	1361
Goulburn	Year 12	8012
Goulburn Surrounds	Did not go to school	41
Goulburn Surrounds	Year 8	560
Goulburn Surrounds	Year 9	953
Goulburn Surrounds	Year 10	3607
Goulburn Surrounds	Year 11	787
Goulburn Surrounds	Year 12	4544
Yass	Did not go to school	26
Yass	Year 8	214
Yass	Year 9	367
Yass	Year 10	1439
Yass	Year 11	396
Yass	Year 12	2667
Yass Surrounds	Did not go to school	13
Yass Surrounds	Year 8	270
Yass Surrounds	Year 9	491
Yass Surrounds	Year 10	2011
Yass Surrounds	Year 11	628
Yass Surrounds	Year 12	6158
Young	Did not go to school	50
Young	Year 8	509
Young	Year 9	817
Young	Year 10	2913
Young	Year 11	739
Young	Year 12	3050
Young Surrounds	Did not go to school	28
Young Surrounds	Year 8	351
Young Surrounds	Year 9	602
Young Surrounds	Year 10	1975
Young Surrounds	Year 11	454
Young Surrounds	Year 12	2267
Avoca Beach - Copacabana	Did not go to school	17
Avoca Beach - Copacabana	Year 8	109
Avoca Beach - Copacabana	Year 9	257
Avoca Beach - Copacabana	Year 10	1292
Avoca Beach - Copacabana	Year 11	408
Avoca Beach - Copacabana	Year 12	3699
Box Head - MacMasters Beach	Did not go to school	14
Box Head - MacMasters Beach	Year 8	247
Box Head - MacMasters Beach	Year 9	564
Box Head - MacMasters Beach	Year 10	2433
Box Head - MacMasters Beach	Year 11	587
Box Head - MacMasters Beach	Year 12	4923
Calga - Kulnura	Did not go to school	14
Calga - Kulnura	Year 8	141
Calga - Kulnura	Year 9	303
Calga - Kulnura	Year 10	1114
Calga - Kulnura	Year 11	261
Calga - Kulnura	Year 12	1843
Erina - Green Point	Did not go to school	46
Erina - Green Point	Year 8	449
Erina - Green Point	Year 9	877
Erina - Green Point	Year 10	3294
Erina - Green Point	Year 11	771
Erina - Green Point	Year 12	6145
Gosford - Springfield	Did not go to school	76
Gosford - Springfield	Year 8	511
Gosford - Springfield	Year 9	995
Gosford - Springfield	Year 10	4010
Gosford - Springfield	Year 11	1177
Gosford - Springfield	Year 12	10002
Kariong	Did not go to school	12
Kariong	Year 8	129
Kariong	Year 9	298
Kariong	Year 10	1341
Kariong	Year 11	365
Kariong	Year 12	2736
Kincumber - Picketts Valley	Did not go to school	18
Kincumber - Picketts Valley	Year 8	173
Kincumber - Picketts Valley	Year 9	490
Kincumber - Picketts Valley	Year 10	1837
Kincumber - Picketts Valley	Year 11	427
Kincumber - Picketts Valley	Year 12	2874
Narara	Did not go to school	21
Narara	Year 8	176
Narara	Year 9	371
Narara	Year 10	1480
Narara	Year 11	388
Narara	Year 12	3049
Niagara Park - Lisarow	Did not go to school	33
Niagara Park - Lisarow	Year 8	197
Niagara Park - Lisarow	Year 9	441
Niagara Park - Lisarow	Year 10	1701
Niagara Park - Lisarow	Year 11	449
Niagara Park - Lisarow	Year 12	3483
Point Clare - Koolewong	Did not go to school	15
Point Clare - Koolewong	Year 8	135
Point Clare - Koolewong	Year 9	330
Point Clare - Koolewong	Year 10	1323
Point Clare - Koolewong	Year 11	356
Point Clare - Koolewong	Year 12	2950
Saratoga - Davistown	Did not go to school	13
Saratoga - Davistown	Year 8	130
Saratoga - Davistown	Year 9	414
Saratoga - Davistown	Year 10	1767
Saratoga - Davistown	Year 11	418
Saratoga - Davistown	Year 12	2882
Terrigal - North Avoca	Did not go to school	18
Terrigal - North Avoca	Year 8	235
Terrigal - North Avoca	Year 9	566
Terrigal - North Avoca	Year 10	2673
Terrigal - North Avoca	Year 11	795
Terrigal - North Avoca	Year 12	7222
Umina - Booker Bay - Patonga	Did not go to school	105
Umina - Booker Bay - Patonga	Year 8	784
Umina - Booker Bay - Patonga	Year 9	1745
Umina - Booker Bay - Patonga	Year 10	6090
Umina - Booker Bay - Patonga	Year 11	1370
Umina - Booker Bay - Patonga	Year 12	9004
Wamberal - Forresters Beach	Did not go to school	13
Wamberal - Forresters Beach	Year 8	185
Wamberal - Forresters Beach	Year 9	490
Wamberal - Forresters Beach	Year 10	2024
Wamberal - Forresters Beach	Year 11	555
Wamberal - Forresters Beach	Year 12	4896
Woy Woy - Blackwall	Did not go to school	66
Woy Woy - Blackwall	Year 8	571
Woy Woy - Blackwall	Year 9	1157
Woy Woy - Blackwall	Year 10	3474
Woy Woy - Blackwall	Year 11	808
Woy Woy - Blackwall	Year 12	5270
Wyoming	Did not go to school	22
Wyoming	Year 8	325
Wyoming	Year 9	668
Wyoming	Year 10	2477
Wyoming	Year 11	649
Wyoming	Year 12	4483
Bateau Bay - Killarney Vale	Did not go to school	58
Bateau Bay - Killarney Vale	Year 8	749
Bateau Bay - Killarney Vale	Year 9	1433
Bateau Bay - Killarney Vale	Year 10	5673
Bateau Bay - Killarney Vale	Year 11	1277
Bateau Bay - Killarney Vale	Year 12	7806
Blue Haven - San Remo	Did not go to school	32
Blue Haven - San Remo	Year 8	418
Blue Haven - San Remo	Year 9	954
Blue Haven - San Remo	Year 10	3072
Blue Haven - San Remo	Year 11	828
Blue Haven - San Remo	Year 12	2995
Budgewoi - Buff Point - Halekulani	Did not go to school	19
