SA2_NAME21	AgeStudent	Sex	students
Braidwood	0-4	F	32
Braidwood	0-4	M	32
Braidwood	5-14	F	189
Braidwood	5-14	M	250
Braidwood	15-19	F	58
Braidwood	15-19	M	66
Braidwood	20-24	F	19
Braidwood	20-24	M	10
Braidwood	25+	F	100
Braidwood	25+	M	39
Karabar	0-4	F	57
Karabar	0-4	M	68
Karabar	5-14	F	452
Karabar	5-14	M	546
Karabar	15-19	F	174
Karabar	15-19	M	177
Karabar	20-24	F	70
Karabar	20-24	M	69
Karabar	25+	F	205
Karabar	25+	M	131
Queanbeyan	0-4	F	69
Queanbeyan	0-4	M	83
Queanbeyan	5-14	F	481
Queanbeyan	5-14	M	524
Queanbeyan	15-19	F	138
Queanbeyan	15-19	M	166
Queanbeyan	20-24	F	123
Queanbeyan	20-24	M	105
Queanbeyan	25+	F	407
Queanbeyan	25+	M	334
Queanbeyan - East	0-4	F	39
Queanbeyan - East	0-4	M	48
Queanbeyan - East	5-14	F	206
Queanbeyan - East	5-14	M	242
Queanbeyan - East	15-19	F	68
Queanbeyan - East	15-19	M	71
Queanbeyan - East	20-24	F	58
Queanbeyan - East	20-24	M	50
Queanbeyan - East	25+	F	186
Queanbeyan - East	25+	M	148
Queanbeyan West - Jerrabomberra	0-4	F	117
Queanbeyan West - Jerrabomberra	0-4	M	138
Queanbeyan West - Jerrabomberra	5-14	F	848
Queanbeyan West - Jerrabomberra	5-14	M	942
Queanbeyan West - Jerrabomberra	15-19	F	399
Queanbeyan West - Jerrabomberra	15-19	M	394
Queanbeyan West - Jerrabomberra	20-24	F	162
Queanbeyan West - Jerrabomberra	20-24	M	151
Queanbeyan West - Jerrabomberra	25+	F	312
Queanbeyan West - Jerrabomberra	25+	M	228
Googong	0-4	F	108
Googong	0-4	M	137
Googong	5-14	F	498
Googong	5-14	M	497
Googong	15-19	F	99
Googong	15-19	M	116
Googong	20-24	F	45
Googong	20-24	M	41
Googong	25+	F	187
Googong	25+	M	151
Queanbeyan Surrounds	0-4	F	151
Queanbeyan Surrounds	0-4	M	115
Queanbeyan Surrounds	5-14	F	1030
Queanbeyan Surrounds	5-14	M	1137
Queanbeyan Surrounds	15-19	F	390
Queanbeyan Surrounds	15-19	M	426
Queanbeyan Surrounds	20-24	F	159
Queanbeyan Surrounds	20-24	M	140
Queanbeyan Surrounds	25+	F	400
