SA2_NAME16	EduInstitutionType	Sex	students
Braidwood		F	185
Braidwood		M	202
Braidwood	Infants/Primary	F	140
Braidwood	Infants/Primary	M	191
Braidwood	Pre-school	F	33
Braidwood	Pre-school	M	43
Braidwood	Secondary	F	91
Braidwood	Secondary	M	94
Braidwood	Technical or Further Educational Institution	F	49
Braidwood	Technical or Further Educational Institution	M	39
Braidwood	University or other tertiary	F	62
Braidwood	University or other tertiary	M	22
Karabar		F	306
Karabar		M	287
Karabar	Infants/Primary	F	321
Karabar	Infants/Primary	M	383
Karabar	Pre-school	F	50
Karabar	Pre-school	M	74
Karabar	Secondary	F	258
Karabar	Secondary	M	281
Karabar	Technical or Further Educational Institution	F	119
Karabar	Technical or Further Educational Institution	M	126
Karabar	University or other tertiary	F	174
Karabar	University or other tertiary	M	95
Queanbeyan		F	386
Queanbeyan		M	381
Queanbeyan	Infants/Primary	F	332
Queanbeyan	Infants/Primary	M	387
Queanbeyan	Pre-school	F	69
Queanbeyan	Pre-school	M	101
Queanbeyan	Secondary	F	227
Queanbeyan	Secondary	M	238
Queanbeyan	Technical or Further Educational Institution	F	205
Queanbeyan	Technical or Further Educational Institution	M	200
Queanbeyan	University or other tertiary	F	289
Queanbeyan	University or other tertiary	M	201
Queanbeyan - East		F	130
Queanbeyan - East		M	163
Queanbeyan - East	Infants/Primary	F	141
Queanbeyan - East	Infants/Primary	M	186
Queanbeyan - East	Pre-school	F	50
Queanbeyan - East	Pre-school	M	44
Queanbeyan - East	Secondary	F	101
Queanbeyan - East	Secondary	M	102
Queanbeyan - East	Technical or Further Educational Institution	F	94
Queanbeyan - East	Technical or Further Educational Institution	M	97
Queanbeyan - East	University or other tertiary	F	128
Queanbeyan - East	University or other tertiary	M	97
Queanbeyan West - Jerrabomberra		F	249
Queanbeyan West - Jerrabomberra		M	229
Queanbeyan West - Jerrabomberra	Infants/Primary	F	580
Queanbeyan West - Jerrabomberra	Infants/Primary	M	658
Queanbeyan West - Jerrabomberra	Pre-school	F	127
Queanbeyan West - Jerrabomberra	Pre-school	M	161
Queanbeyan West - Jerrabomberra	Secondary	F	529
Queanbeyan West - Jerrabomberra	Secondary	M	563
Queanbeyan West - Jerrabomberra	Technical or Further Educational Institution	F	161
Queanbeyan West - Jerrabomberra	Technical or Further Educational Institution	M	144
Queanbeyan West - Jerrabomberra	University or other tertiary	F	388
Queanbeyan West - Jerrabomberra	University or other tertiary	M	286
Googong		F	148
Googong		M	150
Googong	Infants/Primary	F	367
Googong	Infants/Primary	M	362
Googong	Pre-school	F	119
Googong	Pre-school	M	154
Googong	Secondary	F	189
