SA2_NAME21	Landlord	Rent.min	occupied_private_dwellings_being_rented
Braidwood	(Other)	11812	3
Braidwood	Person not in same household	5250	7
Braidwood	Person not in same household	7875	15
Braidwood	Person not in same household	10500	10
Braidwood	Person not in same household	11812	13
Braidwood	Person not in same household	14437	19
Braidwood	Person not in same household	18375	17
Braidwood	Person not in same household	23625	7
Braidwood	Real estate agent	7875	3
Braidwood	Real estate agent	10500	7
Braidwood	Real estate agent	11812	6
Braidwood	Real estate agent	14437	29
Braidwood	Real estate agent	18375	47
Braidwood	Real estate agent	23625	33
Braidwood	Real estate agent	28875	4
Braidwood	Real estate agent	39375	5
Braidwood	State or territory housing authority	5250	8
Karabar	(Other)	5250	5
Karabar	(Other)	10500	5
Karabar	(Other)	11812	3
Karabar	(Other)	14437	10
Karabar	(Other)	18375	5
Karabar	(Other)	23625	4
Karabar	Co-op/church group etc	7875	11
Karabar	Co-op/church group etc	10500	5
Karabar	Co-op/church group etc	11812	10
Karabar	Co-op/church group etc	14437	10
Karabar	Co-op/church group etc	18375	4
Karabar	Person not in same household	5250	4
Karabar	Person not in same household	7875	6
Karabar	Person not in same household	10500	3
Karabar	Person not in same household	11812	8
Karabar	Person not in same household	14437	19
Karabar	Person not in same household	18375	45
Karabar	Person not in same household	23625	25
Karabar	Person not in same household	28875	16
Karabar	Person not in same household	34125	4
Karabar	Real estate agent	5250	4
Karabar	Real estate agent	10500	14
Karabar	Real estate agent	11812	47
Karabar	Real estate agent	14437	22
Karabar	Real estate agent	18375	95
Karabar	Real estate agent	23625	102
Karabar	Real estate agent	28875	52
Karabar	Real estate agent	34125	15
Karabar	Real estate agent	39375	5
Karabar	Real estate agent	44625	3
Karabar	State or territory housing authority	52	6
Karabar	State or territory housing authority	3937	10
Karabar	State or territory housing authority	5250	70
Karabar	State or territory housing authority	7875	58
Karabar	State or territory housing authority	10500	29
Karabar	State or territory housing authority	11812	33
Karabar	State or territory housing authority	14437	30
Karabar	State or territory housing authority	18375	26
Karabar	State or territory housing authority	23625	16
Karabar	State or territory housing authority	28875	5
Queanbeyan		14437	3
Queanbeyan	(Other)	10500	7
Queanbeyan	(Other)	11812	17
Queanbeyan	(Other)	14437	19
Queanbeyan	(Other)	18375	11
Queanbeyan	(Other)	23625	6
Queanbeyan	Co-op/church group etc	52	3
Queanbeyan	Co-op/church group etc	5250	3
Queanbeyan	Co-op/church group etc	7875	33
Queanbeyan	Co-op/church group etc	10500	19
Queanbeyan	Co-op/church group etc	11812	15
Queanbeyan	Co-op/church group etc	14437	8
Queanbeyan	Co-op/church group etc	18375	5
Queanbeyan	Person not in same household	3937	4
Queanbeyan	Person not in same household	5250	13
Queanbeyan	Person not in same household	7875	28
Queanbeyan	Person not in same household	10500	35
Queanbeyan	Person not in same household	11812	52
Queanbeyan	Person not in same household	14437	66
Queanbeyan	Person not in same household	18375	101
Queanbeyan	Person not in same household	23625	56
Queanbeyan	Person not in same household	28875	16
Queanbeyan	Person not in same household	34125	5
Queanbeyan	Person not in same household	39375	8
Queanbeyan	Real estate agent	5250	9
Queanbeyan	Real estate agent	7875	31
Queanbeyan	Real estate agent	10500	69
Queanbeyan	Real estate agent	11812	225
Queanbeyan	Real estate agent	14437	355
Queanbeyan	Real estate agent	18375	376
Queanbeyan	Real estate agent	23625	259
Queanbeyan	Real estate agent	28875	80
Queanbeyan	Real estate agent	34125	16
Queanbeyan	Real estate agent	39375	4
Queanbeyan	Real estate agent	49875	6
Queanbeyan	State or territory housing authority	52	6
Queanbeyan	State or territory housing authority	3937	16
Queanbeyan	State or territory housing authority	5250	57
Queanbeyan	State or territory housing authority	7875	16
Queanbeyan	State or territory housing authority	10500	3
Queanbeyan	State or territory housing authority	11812	5
Queanbeyan	State or territory housing authority	14437	5
Queanbeyan	State or territory housing authority	18375	7
Queanbeyan - East	(Other)	5250	3
Queanbeyan - East	(Other)	11812	28
Queanbeyan - East	(Other)	14437	15
Queanbeyan - East	(Other)	18375	7
Queanbeyan - East	Co-op/church group etc	3937	3
Queanbeyan - East	Co-op/church group etc	5250	5
Queanbeyan - East	Co-op/church group etc	7875	11
Queanbeyan - East	Co-op/church group etc	14437	4
Queanbeyan - East	Person not in same household	5250	5
Queanbeyan - East	Person not in same household	7875	14
Queanbeyan - East	Person not in same household	10500	16
Queanbeyan - East	Person not in same household	11812	24
Queanbeyan - East	Person not in same household	14437	23
Queanbeyan - East	Person not in same household	18375	39
Queanbeyan - East	Person not in same household	23625	26
Queanbeyan - East	Person not in same household	28875	6
Queanbeyan - East	Person not in same household	39375	4
Queanbeyan - East	Real estate agent	5250	3
Queanbeyan - East	Real estate agent	7875	17
Queanbeyan - East	Real estate agent	10500	48
Queanbeyan - East	Real estate agent	11812	126
Queanbeyan - East	Real estate agent	14437	163
Queanbeyan - East	Real estate agent	18375	142
Queanbeyan - East	Real estate agent	23625	105
Queanbeyan - East	Real estate agent	28875	19
Queanbeyan - East	Real estate agent	34125	9
Queanbeyan - East	Real estate agent	39375	6
Queanbeyan - East	State or territory housing authority	52	4
Queanbeyan - East	State or territory housing authority	5250	15
Queanbeyan - East	State or territory housing authority	7875	6
Queanbeyan - East	State or territory housing authority	11812	10
Queanbeyan - East	State or territory housing authority	14437	3
Queanbeyan - East	State or territory housing authority	18375	3
Queanbeyan West - Jerrabomberra	(Other)	5250	6
Queanbeyan West - Jerrabomberra	(Other)	7875	4
Queanbeyan West - Jerrabomberra	(Other)	10500	3
Queanbeyan West - Jerrabomberra	(Other)	11812	21
Queanbeyan West - Jerrabomberra	(Other)	14437	62
Queanbeyan West - Jerrabomberra	(Other)	18375	86
Queanbeyan West - Jerrabomberra	(Other)	23625	8
Queanbeyan West - Jerrabomberra	(Other)	34125	6
Queanbeyan West - Jerrabomberra	(Other)	39375	5
Queanbeyan West - Jerrabomberra	Co-op/church group etc	7875	5
Queanbeyan West - Jerrabomberra	Co-op/church group etc	11812	3
Queanbeyan West - Jerrabomberra	Co-op/church group etc	14437	3
Queanbeyan West - Jerrabomberra	Person not in same household	5250	4
Queanbeyan West - Jerrabomberra	Person not in same household	7875	3
Queanbeyan West - Jerrabomberra	Person not in same household	10500	7
Queanbeyan West - Jerrabomberra	Person not in same household	11812	5
Queanbeyan West - Jerrabomberra	Person not in same household	14437	23
Queanbeyan West - Jerrabomberra	Person not in same household	18375	36
Queanbeyan West - Jerrabomberra	Person not in same household	23625	43
Queanbeyan West - Jerrabomberra	Person not in same household	28875	25
Queanbeyan West - Jerrabomberra	Person not in same household	34125	9
Queanbeyan West - Jerrabomberra	Person not in same household	39375	6
Queanbeyan West - Jerrabomberra	Real estate agent	10500	13
Queanbeyan West - Jerrabomberra	Real estate agent	11812	15
Queanbeyan West - Jerrabomberra	Real estate agent	14437	30
Queanbeyan West - Jerrabomberra	Real estate agent	18375	87
Queanbeyan West - Jerrabomberra	Real estate agent	23625	125
Queanbeyan West - Jerrabomberra	Real estate agent	28875	100
Queanbeyan West - Jerrabomberra	Real estate agent	34125	81
Queanbeyan West - Jerrabomberra	Real estate agent	39375	25
Queanbeyan West - Jerrabomberra	Real estate agent	44625	11
Queanbeyan West - Jerrabomberra	Real estate agent	49875	7
Queanbeyan West - Jerrabomberra	State or territory housing authority	3937	6
Queanbeyan West - Jerrabomberra	State or territory housing authority	5250	21
Queanbeyan West - Jerrabomberra	State or territory housing authority	7875	17
Queanbeyan West - Jerrabomberra	State or territory housing authority	10500	5
Queanbeyan West - Jerrabomberra	State or territory housing authority	11812	12
Queanbeyan West - Jerrabomberra	State or territory housing authority	14437	9
Queanbeyan West - Jerrabomberra	State or territory housing authority	18375	14
Queanbeyan West - Jerrabomberra	State or territory housing authority	23625	8
Googong	(Other)	11812	25
Googong	(Other)	14437	47
Googong	(Other)	18375	61
Googong	(Other)	28875	4
Googong	Person not in same household	11812	3
Googong	Person not in same household	14437	4
Googong	Person not in same household	18375	5
Googong	Person not in same household	23625	11
Googong	Person not in same household	28875	4
Googong	Person not in same household	34125	11
Googong	Person not in same household	39375	4
Googong	Real estate agent	14437	3
Googong	Real estate agent	18375	12
Googong	Real estate agent	23625	16
Googong	Real estate agent	28875	35
Googong	Real estate agent	34125	77
Googong	Real estate agent	39375	45
Googong	State or territory housing authority	11812	3
Googong	State or territory housing authority	14437	3
Googong	State or territory housing authority	18375	3
Queanbeyan Surrounds	(Other)	5250	3
Queanbeyan Surrounds	(Other)	11812	5
Queanbeyan Surrounds	(Other)	14437	4
Queanbeyan Surrounds	(Other)	18375	8
Queanbeyan Surrounds	(Other)	23625	4
Queanbeyan Surrounds	(Other)	28875	4
Queanbeyan Surrounds	Person not in same household	52	5
Queanbeyan Surrounds	Person not in same household	5250	12
Queanbeyan Surrounds	Person not in same household	7875	5
Queanbeyan Surrounds	Person not in same household	10500	14
Queanbeyan Surrounds	Person not in same household	11812	18
Queanbeyan Surrounds	Person not in same household	14437	35
Queanbeyan Surrounds	Person not in same household	18375	37
Queanbeyan Surrounds	Person not in same household	23625	36
Queanbeyan Surrounds	Person not in same household	28875	22
Queanbeyan Surrounds	Person not in same household	34125	9
Queanbeyan Surrounds	Person not in same household	39375	4
Queanbeyan Surrounds	Real estate agent	11812	10
Queanbeyan Surrounds	Real estate agent	14437	18
Queanbeyan Surrounds	Real estate agent	18375	49
Queanbeyan Surrounds	Real estate agent	23625	77
Queanbeyan Surrounds	Real estate agent	28875	43
Queanbeyan Surrounds	Real estate agent	34125	50
Queanbeyan Surrounds	Real estate agent	39375	16
