SA2_NAME16	medianTotalFamilyIncome
Wallsend - Elermore Vale	99684
Waratah - North Lambton	111020
Wickham - Carrington - Tighes Hill	125944
Ballina	81276
Ballina Surrounds	98332
Bangalow	119184
Brunswick Heads - Ocean Shores	92092
Byron Bay	108732
Evans Head	75764
Lennox Head - Skennars Head	119392
Mullumbimby	85176
Casino	72124
Casino Surrounds	73736
Goonellabah	90116
Kyogle	69940
Lismore	84344
Lismore Surrounds	94848
Kingscliff - Fingal Head	107900
Murwillumbah	75972
Murwillumbah Surrounds	84084
Pottsville	92924
Tweed Heads	79560
Banora Point	85072
Terranora - North Tumbulgum	114816
Tweed Heads South	70200
Griffith (NSW)	102648
Griffith Surrounds	101556
Leeton	95056
Narrandera	78624
Tumbarumba	85644
Tumut	83980
Tumut Surrounds	94692
Cootamundra	74152
Gundagai	93860
Junee	92612
Temora	81120
Wagga Wagga - East	108576
Wagga Wagga - North	121264
Wagga Wagga - South	105040
Wagga Wagga - West	91156
Wagga Wagga Surrounds	106912
Berry - Kangaroo Valley	99580
Callala Bay - Currarong	77740
Culburra Beach	76752
Ettrema - Sassafras - Budawang	97500
Huskisson - Vincentia	102232
North Nowra - Bomaderry	88660
Nowra	83148
St Georges Basin - Erowal Bay	70668
Sussex Inlet - Berrara	64376
Tomerong - Wandandian - Woollamia	98800
Ulladulla	75296
Ulladulla Surrounds	72228
Bowral	113464
Hill Top - Colo Vale	109408
Mittagong	110136
Moss Vale - Berrima	104780
Robertson - Fitzroy Falls	118716
Southern Highlands	101244
Baulkham Hills - East	139360
Baulkham Hills (West) - Bella Vista	155428
Glenhaven	160472
West Pennant Hills	170872
Castle Hill - Central	138268
Castle Hill - East	151892
Castle Hill - North	151268
Castle Hill - South	141024
Castle Hill - West	176956
Cherrybrook	161096
Kellyville - East	160628
Kellyville - West	165412
Dural - Kenthurst - Wisemans Ferry	144404
Galston - Laughtondale	140920
Bilpin - Colo - St Albans	110344
Kurrajong Heights - Ebenezer	125268
Pitt Town - McGraths Hill	133328
Box Hill - Nelson	154908
North Kellyville	166712
Rouse Hill - Beaumont Hills	167856
Blacktown (East) - Kings Park	101348
Blacktown (North) - Marayong	101088
Doonside - Woodcroft	109616
Lalor Park - Kings Langley	118300
Blacktown - South	102648
Blacktown - West	103012
Seven Hills - Prospect	113308
Toongabbie - West	114452
Glenwood	156468
Acacia Gardens	145600
Quakers Hill	128752
Kellyville Ridge - The Ponds	166348
Marsden Park - Shanes Park	142636
Riverstone	124852
Schofields (West) - Colebee	160888
Schofields - East	145236
Stanhope Gardens - Parklea	156884
Bidwill - Hebersham - Emerton	71240
Glendenning - Dean Park	110760
Hassall Grove - Plumpton	112424
Lethbridge Park - Tregear	86424
Mount Druitt - Whalan	80236
Prospect Reservoir	117000
Rooty Hill - Minchinbury	111592
Banksmeadow	133692
Botany	147888
Pagewood - Hillsdale - Daceyville	117988
Port Botany Industrial	194948
Sydney Airport	240448
Eastlakes	98436
Mascot	124488
Petersham - Stanmore	170092
Sydenham - Tempe - St Peters	160784
Marrickville - North	153972
Marrickville - South	130364
Darlinghurst	203476
Erskineville - Alexandria	191620
Glebe - Forest Lodge	166504
Potts Point - Woolloomooloo	185380
Surry Hills	184652
Camperdown - Darlington	177736
Chippendale	119808
Newtown (NSW)	176020
Pyrmont	157820
Redfern	166816
Rosebery - Beaconsfield	149916
Sydney (North) - Millers Point	179400
Sydney (South) - Haymarket	107016
Ultimo	114244
Waterloo	140348
Zetland	138840
Bondi - Tamarama - Bronte	197184
Bondi Beach - North Bondi	198172
Bondi Junction - Waverly	184808
Centennial Park	
Dover Heights	188448
Paddington - Moore Park	238628
Rose Bay - Vaucluse - Watsons Bay	238680
Woollahra	237432
Bellevue Hill	234260
Double Bay - Darling Point	223756
Kensington (NSW)	142636
Kingsford	130728
Maroubra - North	159068
Maroubra - South	137228
Maroubra - West	133224
Randwick - North	169728
Randwick - South	168636
Coogee - Clovelly	196508
Malabar - La Perouse	149500
Matraville - Chifley	135096
South Coogee	188500
Bass Hill - Georges Hall	84240
Chullora	127244
Condell Park	88816
Padstow	117780
Revesby	114452
Yagoona - Birrong	83096
Bankstown - North	75140
Bankstown - South	74672
Greenacre - North	88608
Greenacre - South	81588
Panania (North) - Milperra	120120
Panania (South) - Picnic Point	130728
Belmore - Belfield	95940
Punchbowl	77428
Roselands	100620
Lakemba	66820
Wiley Park	68900
Campsie - North	81744
Campsie - South	76024
Canterbury - South	106236
Earlwood	129272
Kingsgrove - North	110500
Narwee - Beverly Hills	102804
Oatley - Hurstville Grove	145496
Peakhurst - Lugarno	127660
Riverwood	80756
South Hurstville - Blakehurst	115492
Hurstville - Central	90116
Hurstville - North	98072
Mortdale - Oatley	134784
Penshurst	100984
Kingsgrove (South) - Bardwell Park	121576
Kogarah	115388
Kogarah Bay - Carlton - Allawah	113932
Monterey - Brighton-le-Sands - Kyeemagh	110812
Rockdale - Banksia	106496
Sans Souci - Ramsgate	123136
Arncliffe - Bardwell Valley	114504
Bexley - North	112060
Bexley - South	102960
Wolli Creek	121524
Concord - Mortlake - Cabarita	147680
Drummoyne - Rodd Point	179192
Five Dock - Abbotsford	155064
Concord West - North Strathfield	141024
Rhodes	125008
Balmain	239356
Lilyfield - Rozelle	218764
Annandale (NSW)	203060
Leichhardt	184132
Canterbury (North) - Ashbury	125372
Croydon Park - Enfield	119652
Dulwich Hill - Lewisham	150020
Haberfield - Summer Hill	168584
Homebush	112788
Strathfield South	121732
Ashfield - North	115128
Ashfield - South	121264
Burwood (NSW)	97500
Croydon	124644
Strathfield - East	112840
Strathfield - West	159432
Chatswood (West) - Lane Cove North	160888
St Leonards - Naremburn	191048
Artarmon	158548
Castle Cove - Northbridge	241332
Chatswood - East	126516
Greenwich - Riverview	241696
Lane Cove	178568
Willoughby	188760
Asquith - Mount Colah	143832
Berowra - Brooklyn - Cowan	149656
Normanhurst - Thornleigh - Westleigh	164164
Hornsby - East	111852
Hornsby - West	132080
Wahroonga (West) - Waitara	129116
Gordon - Killara	161356
Lindfield - Roseville	187096
Pymble	198120
St Ives	172328
Turramurra	179920
Wahroonga (East) - Warrawee	190476
Cremorne - Cammeray	203060
Crows Nest - Waverton	188604
Neutral Bay - Kirribilli	191568
North Sydney - Lavender Bay	198172
Mosman - North	216008
Mosman - South	237588
Balgowlah - Clontarf - Seaforth	227136
Manly - Fairlight	220740
Avalon - Palm Beach	155012
Bayview - Elanora Heights	160628
Newport - Bilgola	159484
Mona Vale - Warriewood (North)	145912
North Narrabeen - Warriewood (South)	157092
Beacon Hill - Narraweena	144144
Cromer	145600
Forestville - Killarney Heights	173056
Freshwater - Brookvale	171756
Manly Vale - Allambie Heights	171912
Terrey Hills - Duffys Forest	165256
Belrose	162292
Collaroy - Collaroy Plateau	158028
Dee Why (South) - North Curl Curl	162604
Dee Why - North	124800
Frenchs Forest - Oxford Falls	171652
Narrabeen - Wheeler Heights	140192
Camden - Ellis Lane	128076
Currans Hill	120900
Elderslie - Narellan	127764
Harrington Park	153296
Mount Annan	131144
Spring Farm	130156
Bradbury - Wedderburn	91364
Campbelltown - Woodbine	99788
Claymore - Eagle Vale - Raby	101504
Holsworthy Military Area	143000
Leumeah - Minto Heights	97500
Minto - St Andrews	98696
Rosemeadow - Glen Alpine	96408
Denham Court - Bardia	130416
Glenfield	114556
Ingleburn	99372
Macquarie Fields	82160
Bargo	109252
Douglas Park - Appin	136448
Picton - Tahmoor - Buxton	112788
The Oaks - Oakdale	121992
Blackheath - Megalong Valley	94328
Blaxland - Warrimoo - Lapstone	137904
Blue Mountains - North	71500
Katoomba - Leura	93080
Lawson - Hazelbrook - Linden	110708
Springwood - Winmalee	124904
Wentworth Falls	102856
Blue Mountains - South	
Cambridge Park	104832
Emu Plains - Leonay	128440
Glenmore Park - Regentville	134576
Jamisontown - South Penrith	108732
Kingswood - Werrington	107744
Mulgoa - Luddenham - Orchard Hills	146796
Penrith	96200
Warragamba - Silverdale	130260
Cranebrook - Castlereagh	119808
Jordan Springs - Llandilo	130312
Richmond - Clarendon	105196
Windsor - Bligh Park	111228
Yarramundi - Londonderry	118924
Erskine Park	124644
St Clair	113516
Colyton - Oxley Park	92040
St Marys - North St Marys	87516
Rookwood Cemetery	97448
Auburn - Central	74048
Auburn - North	74828
Auburn - South	76752
Berala	83720
Lidcombe	96512
Regents Park	81900
Silverwater - Newington	131352
Wentworth Point - Sydney Olympic Park	117780
Ermington - Rydalmere	117520
Oatlands - Dundas Valley	112840
Carlingford - East	121056
Carlingford - West	112736
Chester Hill - Sefton	82004
Fairfield - East	72488
Granville - Clyde	85696
Guildford - South Granville	73008
Guildford West - Merrylands West	86476
Smithfield Industrial	84500
Yennora Industrial	49348
Greystanes - South	111800
Merrylands - Holroyd	86736
Pemulwuy - Greystanes (North)	133068
South Wentworthville	102336
North Parramatta	117728
North Rocks	135460
Northmead	124852
Toongabbie - Constitution Hill	119444
Winston Hills	140556
Pendle Hill - Girraween	119184
Wentworthville - Westmead	122512
Parramatta - North	123760
Parramatta - South	106652
Rosehill - Harris Park	102700
Pennant Hills - Cheltenham	165724
Epping (East) - North Epping	143260
Epping (NSW) - West	125736
Gladesville - Huntleys Point	165256
Hunters Hill - Woolwich	238368
Macquarie Park - Marsfield	121680
North Ryde - East Ryde	154648
West Ryde - Meadowbank	125840
Putney	171756
Denistone	144560
Eastwood	113516
Ryde - North	125320
Ryde - South	130000
Ashcroft - Busby - Miller	64064
Austral - Greendale	109980
Badgerys Creek	108316
Cecil Hills	121992
Green Valley	90636
Hinchinbrook	103636
Hoxton Park - Carnes Hill - Horningsea Park	117468
West Hoxton - Middleton Grange	125216
Cobbitty - Bringelly	125892
Gledswood Hills - Gregory Hills	136708
Leppington - Catherine Field	121836
Oran Park	123812
Bonnyrigg Heights - Bonnyrigg	83772
Bossley Park - Abbotsbury	96512
Cabramatta - Lansvale	68172
Cabramatta West - Mount Pritchard	79040
Canley Vale - Canley Heights	75660
Edensor Park	93860
Fairfield	64636
Fairfield - West	73268
Greenfield Park - Prairiewood	78988
Horsley Park - Kemps Creek	128596
Smithfield - Wetherill Park	79612
St Johns Park - Wakeley	81952
Wetherill Park Industrial	181948
Casula	99684
Chipping Norton - Moorebank	118248
Holsworthy - Wattle Grove	137904
Lurnea - Cartwright	69160
Warwick Farm	73060
Edmondson Park	136188
Liverpool - East	79300
Liverpool - West	73840
Prestons	119132
Gymea - Grays Point	150644
Miranda - Yowie Bay	128440
Sylvania - Taren Point	125320
Caringbah	131612
Caringbah South	165308
Cronulla - Kurnell - Bundeena	139464
Lilli Pilli - Port Hacking - Dolans Bay	189592
Woolooware - Burraneer	168636
Heathcote - Waterfall	135772
Illawong - Alfords Point	151320
Menai - Lucas Heights - Woronora	150592
Oyster Bay - Como - Jannali	161356
Royal National Park	84500
Sutherland - Kirrawee	130728
Engadine	135200
Loftus - Yarrawarrah	146432
Woronora Heights	167180
Migratory - Offshore - Shipping (NSW)	
No usual address (NSW)	
Alfredton	115336
Ballarat	118352
Buninyong	118040
Delacombe	96460
Smythes Creek	116272
Wendouree - Miners Rest	78884
Ballarat East - Warrenheip	82108
Ballarat North - Invermay	115284
Canadian - Mount Clear	93600
Sebastopol - Redan	70824
Bacchus Marsh Surrounds	106756
Creswick - Clunes	84500
Daylesford	92768
Gordon (Vic.)	109772
Avoca	66872
Beaufort	80704
Golden Plains - North	91936
Maryborough (Vic.)	63440
Maryborough Surrounds	68796
Bendigo	86580
California Gully - Eaglehawk	79456
East Bendigo - Kennington	100308
Flora Hill - Spring Gully	101764
Kangaroo Flat - Golden Square	82160
Maiden Gully	122616
Strathfieldsaye	125372
White Hills - Ascot	100932
Bendigo Surrounds - South	114244
Castlemaine	87152
Castlemaine Surrounds	90792
Heathcote	75400
Kyneton	108472
Woodend	132444
Bendigo Surrounds - North	91884
Loddon	71500
Bannockburn	120900
Golden Plains - South	109356
Winchelsea	112424
Belmont	107640
Geelong	114972
Geelong West - Hamlyn Heights	122980
Highton	133900
Lara	115804
Leopold	101712
Newcomb - Moolap	76596
Newtown (Vic.)	148772
North Geelong - Bell Park	94224
Charlemont	115232
Corio - Lovely Banks	74360
Grovedale - Mount Duneed	110656
Norlane	63856
Clifton Springs	92768
Lorne - Anglesea	110604
Portarlington	74308
Point Lonsdale - Queenscliff	102180
Torquay	136604
Barwon Heads - Armstrong Creek	124748
Ocean Grove	120640
Alexandra	79456
Euroa	76908
Kilmore - Broadford	101348
Mansfield (Vic.)	88816
Nagambie	91260
Seymour	77116
Seymour Surrounds	110552
Upper Yarra Valley	71500
Yea	82784
Benalla	79092
Benalla Surrounds	84552
Rutherglen	94016
Wangaratta	90064
Wangaratta Surrounds	96044
Beechworth	98748
Bright - Mount Beauty	94952
Chiltern - Indigo Valley	99580
Myrtleford	86996
Towong	86164
West Wodonga	99060
Yackandandah	110500
Baranduda - Leneva	117832
Wodonga	83512
Drouin	93548
Mount Baw Baw Region	92664
Trafalgar (Vic.)	95992
Warragul	103636
Alps - East	
Bairnsdale	78832
Bruthen - Omeo	84188
Lake King	
Lakes Entrance	68484
Orbost	66560
Paynesville	68328
Foster	76232
French Island	54600
Korumburra	89700
Leongatha	90688
Phillip Island	77480
Wilsons Promontory	123448
Wonthaggi - Inverloch	76960
Churchill	89180
Moe - Newborough	74932
Morwell	65676
Yallourn North - Glengarry	103688
Traralgon - East	96044
Traralgon - West	108264
Alps - West	58448
Longford - Loch Sport	76752
Maffra	89752
Rosedale	95524
Sale	92404
Yarram	69836
Brunswick East	147368
Brunswick West	132028
Pascoe Vale South	143572
Brunswick - North	141336
Brunswick - South	149760
Coburg - East	125476
Coburg - West	137540
Alphington - Fairfield	163176
Thornbury	140920
Northcote - East	164528
Northcote - West	166556
Ascot Vale	157248
Flemington	115492
Moonee Ponds	152152
Essendon (West) - Aberfeldie	152152
Essendon - East	150592
Carlton	107328
Docklands	128024
East Melbourne	194116
Flemington Racecourse	160316
Kensington (Vic.)	159276
Parkville	133484
South Yarra - West	170768
West Melbourne - Industrial	
Melbourne CBD - East	116896
Melbourne CBD - North	79040
Melbourne CBD - West	101140
North Melbourne	128700
Royal Botanic Gardens Victoria	364000
Southbank (West) - South Wharf	139412
Southbank - East	124020
West Melbourne - Residential	124644
Albert Park	173420
Elwood	166920
Port Melbourne	170820
St Kilda East	150488
Port Melbourne Industrial	154284
South Melbourne	160732
St Kilda - Central	141388
St Kilda - West	144924
Armadale	175552
Prahran - Windsor	161876
Toorak	203008
South Yarra - North	152620
South Yarra - South	160472
Abbotsford	157248
Carlton North - Princes Hill	160212
Collingwood	146484
Fitzroy	159744
Fitzroy North	166764
Clifton Hill - Alphington	183716
Richmond (South) - Cremorne	182832
Richmond - North	138528
Ashburton (Vic.)	177944
Balwyn	132912
Balwyn North	141752
Camberwell	171288
Glen Iris - East	185692
Hawthorn East	166556
Kew East	164632
Surrey Hills (West) - Canterbury	183976
Hawthorn - North	183872
Hawthorn - South	162032
Kew - South	174928
Kew - West	169468
Bulleen	114712
Doncaster	101764
Templestowe	125788
Templestowe Lower	116012
Doncaster East - North	112216
Doncaster East - South	102908
Blackburn	132964
Blackburn South	123292
Box Hill	99528
Box Hill North	119808
Burwood (Vic.)	110188
Burwood East	102544
Surrey Hills (East) - Mont Albert	160784
Beaumaris	171392
Brighton (Vic.)	198016
Brighton East	177892
Highett (West) - Cheltenham	154700
Hampton	175916
Sandringham - Black Rock	172120
Bentleigh - McKinnon	148876
Carnegie	131924
Caulfield - North	156624
Caulfield - South	155376
Elsternwick	167232
Hughesdale	132080
Murrumbeena	145496
Ormond - Glen Huntly	138840
Bentleigh East - North	138112
Bentleigh East - South	136604
Aspendale Gardens - Waterways	132548
Braeside	117000
Carrum - Patterson Lakes	123240
Chelsea - Bonbeach	125372
Chelsea Heights	120276
Highett (East) - Cheltenham	128440
Edithvale - Aspendale	140712
Mentone	135408
Moorabbin - Heatherton	130676
Moorabbin Airport	
Mordialloc - Parkdale	145964
Malvern - Glen Iris	181376
Malvern East	171184
Bundoora - East	102232
Greensborough	128804
Heidelberg - Rosanna	144144
Heidelberg West	111228
Ivanhoe	158132
Ivanhoe East - Eaglemont	184548
Montmorency - Briar Hill	132548
Viewbank - Yallambie	129324
Watsonia	125320
Kingsbury	108732
Preston - East	118924
Preston - West	127660
Reservoir - North East	102856
Reservoir - North West	88452
Reservoir - South East	99320
Reservoir - South West	114972
Eltham	147836
Hurstbridge	124904
Kinglake	108004
Panton Hill - St Andrews	129116
Plenty - Yarrambat	145704
Research - North Warrandyte	158756
Wattle Glen - Diamond Creek	142168
Bundoora - North	117312
Bundoora - West	87828
Mill Park - North	106756
Mill Park - South	98176
Thomastown	72124
Wallan	110604
Whittlesea	110812
Epping - East	95264
Epping - South	83148
Epping (Vic.) - West	101608
South Morang - North	121992
South Morang - South	111644
Wollert	105404
Doreen - North	121784
Doreen - South	117572
Lalor - East	72332
Lalor - West	82836
Mernda - North	109356
Mernda - South	112996
Airport West	119184
Essendon Airport	
Keilor	116064
Niddrie - Essendon West	143416
Strathmore	153712
Avondale Heights	106028
Keilor East	117364
Gisborne	138112
Macedon	148720
Riddells Creek	124436
Romsey	116324
Coburg North	123760
Fawkner	87932
Gowanbrae	134004
Hadfield	96928
Glenroy - East	95160
Glenroy - West	109304
Oak Park	136396
Pascoe Vale	128440
Sunbury	120380
Diggers Rest	116532
Sunbury - South	112788
Sunbury - West	116012
Broadmeadows	66560
Campbellfield - Coolaroo	64740
Gladstone Park - Westmeadows	100672
Greenvale - Bulla	120380
Meadow Heights	69784
Melbourne Airport	181948
Tullamarine	93288
Craigieburn - Central	86528
Craigieburn - North	105404
Craigieburn - South	98020
Mickleham - Yuroke	103168
Craigieburn - North West	95940
Craigieburn - West	93496
Roxburgh Park (South) - Somerton	88660
Roxburgh Park - North	82680
Bayswater	102700
Knoxfield - Scoresby	113256
Lysterfield	150072
Rowville - Central	119860
Rowville - North	130780
Rowville - South	130468
Wantirna	109512
Wantirna South	111852
Boronia	103844
Ferntree Gully - North	107692
Ferntree Gully (South) - Upper Ferntree Gully	115908
The Basin	119132
Donvale - Park Orchards	141284
Warrandyte - Wonga Park	158652
Bayswater North	113724
Croydon Hills - Warranwood	139048
Ringwood	112164
Ringwood East	125008
Ringwood North	137228
Croydon - East	105924
Croydon - West	115492
Croydon South	115856
Forest Hill	110240
Mitcham (Vic.)	129324
Nunawading	124436
Vermont	122408
Vermont South	113308
Belgrave - Selby	128856
Chirnside Park	120432
Healesville - Yarra Glen	102492
Kilsyth	106600
Lilydale - Coldstream	113828
Monbulk - Silvan	113308
Montrose	124176
Mooroolbark	116740
Mount Dandenong - Olinda	126464
Mount Evelyn	117676
Upwey - Tecoma	128804
Wandin - Seville	115960
Yarra Valley	93184
Emerald - Cockatoo	124904
Beaconsfield - Officer	120744
Bunyip - Garfield	112424
Koo Wee Rup	109408
Pakenham - North East	97708
Pakenham - North West	106808
Pakenham - South East	78468
Pakenham - South West	101868
Berwick - North	120172
Doveton	72332
Hallam	84916
Narre Warren North	137280
Endeavour Hills - North	103584
Endeavour Hills - South	98436
Narre Warren - North East	108316
Narre Warren - South West	94068
Berwick - South East	127712
Berwick - South West	117936
Cranbourne	87620
Cranbourne South	120328
Cranbourne West	103168
Lynbrook - Lyndhurst	118872
Pearcedale - Tooradin	110552
Narre Warren South - East	122200
Narre Warren South - West	106236
Clyde North - North	122564
Clyde North - South	113932
Cranbourne East - North	103220
Cranbourne East - South	105872
Cranbourne North - East	113516
Cranbourne North - West	94588
Hampton Park - East	86008
Hampton Park - West	81848
Clarinda - Oakleigh South	101400
Clayton South	90636
Dandenong North	85280
Dingley Village	121420
Noble Park North	89544
Springvale	76440
Springvale South	77896
Noble Park - East	83720
Noble Park - West	78052
Dandenong - North	72748
Dandenong - South	73528
Keysborough - North	83720
Keysborough - South	127660
Ashwood - Chadstone	127348
Glen Waverley - East	113360
Glen Waverley - West	111072
Mount Waverley - North	122356
Mount Waverley - South	125216
Mulgrave	110968
Oakleigh - Huntingdale	121212
Wheelers Hill	110448
Clayton (North) - Notting Hill	84760
Clayton - Central	96512
Ardeer - Albion	90116
Cairnlea	103896
Delahey	86684
Keilor Downs	91624
Kings Park (Vic.)	69108
St Albans - North	68120
St Albans - South	69004
Sunshine	93912
Sunshine North	77532
Sunshine West	79716
Sydenham	105196
Taylors Lakes	122564
Deer Park	82472
Derrimut	115336
Altona	128700
Altona Meadows	101192
Altona North	113672
Newport	167076
Seabrook	114452
Williamstown	168220
Braybrook	101244
Footscray	119392
Maribyrnong	124956
Seddon - Kingsville	163748
West Footscray - Tottenham	134472
Yarraville	167232
Bacchus Marsh	112112
Melton West	93288
Rockbank - Mount Cottrell	113932
Taylors Hill	122200
Burnside	106808
Burnside Heights	115440
Caroline Springs	118404
Brookfield	93756
Cobblebank - Strathtulloh	106964
Eynesbury - Exford	139724
Fraser Rise - Plumpton	121524
Hillside	121264
Kurunjang - Toolern Vale	91780
Melton	67756
Melton South - Weir Views	78572
Hoppers Crossing - North	99216
Hoppers Crossing - South	87672
Laverton	116532
