SA2_NAME16	medianTotalFamilyIncome
Werribee - South	113204
Point Cook - East	127140
Point Cook - South	133952
Werribee - East	83928
Werribee - West	112944
Manor Lakes - Quandong	120900
Point Cook - North East	122876
Point Cook - North West	130208
Tarneit (West) - Mount Cottrell	106444
Tarneit - Central	110604
Tarneit - North	110292
Tarneit - South	101816
Truganina - North	116428
Truganina - South East	120744
Truganina - South West	100932
Wyndham Vale - North	102024
Wyndham Vale - South	99424
Carrum Downs	103636
Frankston	100932
Frankston North	85436
Frankston South	128648
Langwarrin	118248
Seaford (Vic.)	108212
Skye - Sandhurst	123656
Dromana	93288
Flinders	134836
Hastings - Somers	95628
Mount Eliza	153712
Mount Martha	129012
Point Nepean	96356
Rosebud - McCrae	78676
Somerville	110708
Mornington - East	105196
Mornington - West	102388
Ararat	83616
Ararat Surrounds	93184
Horsham	94640
Horsham Surrounds	104364
Nhill Region	82732
St Arnaud	72748
Stawell	80808
West Wimmera	86060
Yarriambiack	77220
Irymple	106080
Merbein	85540
Mildura Surrounds	87256
Red Cliffs	87464
Mildura - North	77168
Mildura - South	92768
Buloke	76336
Gannawarra	73840
Kerang	73424
Robinvale	76336
Swan Hill	93704
Swan Hill Surrounds	87464
Echuca	90532
Kyabram	83096
Lockington - Gunbower	88816
Rochester	79664
Rushworth	72176
Cobram	75400
Moira	82108
Numurkah	82004
Yarrawonga	75140
Mooroopna	75660
Shepparton - North	101660
Shepparton Surrounds - East	102284
Shepparton Surrounds - West	92560
Kialla	114400
Shepparton - South East	70564
Glenelg (Vic.)	86008
Hamilton (Vic.)	85904
Portland	80652
Southern Grampians	91260
Camperdown	79716
Colac	88452
Colac Surrounds	96876
Corangamite - North	84864
Corangamite - South	91676
Otway	79144
Moyne - East	99060
Moyne - West	99372
Warrnambool - North	98384
Warrnambool - South	98748
Migratory - Offshore - Shipping (Vic.)	
No usual address (Vic.)	
Alexandra Hills	107536
Belmont - Gumdale	144768
Birkdale	118404
Capalaba	108316
Thorneside	102076
Wellington Point	126412
Cleveland	103896
Ormiston	121316
Redland Bay	114972
Sheldon - Mount Cotton	139724
Thornlands	123656
Victoria Point	100516
North Stradbroke Island	79768
Southern Moreton Bay Islands	49608
Brisbane Port - Lytton	
Manly - Lota	135616
Manly West	125372
Murarrie	139776
Tingalpa	120692
Wakerley	164632
Wynnum	126048
Wynnum West - Hemmant	113776
Bald Hills	114244
Bridgeman Downs	158600
Carseldine	121368
Everton Park	128128
McDowall	140816
Aspley	121836
Chermside	98072
Chermside West	126776
Geebung	132652
Kedron - Gordon Park	149864
Stafford	125736
Stafford Heights	128804
Wavell Heights	161356
Boondall	113308
Brisbane Airport	143000
Eagle Farm - Pinkenba	134836
Northgate - Virginia	144352
Nudgee - Banyo	136240
Nundah	126308
Bracken Ridge	111748
Brighton (Qld)	126048
Deagon	118716
Sandgate - Shorncliffe	144144
Taigum - Fitzgibbon	101764
Zillmere	91312
Camp Hill	181896
Cannon Hill	148304
Carina	128544
Carina Heights	122668
Carindale	142428
Annerley	126984
Coorparoo	147628
Fairfield - Dutton Park	136032
Greenslopes	133432
Holland Park	154128
Holland Park West	146224
Woolloongabba	124124
Yeronga	150592
Eight Mile Plains	106860
Macgregor (Qld)	87308
Mansfield (Qld)	116896
Mount Gravatt	128076
Rochedale - Burbank	135980
Upper Mount Gravatt	106964
Wishart	113932
Coopers Plains	97916
Moorooka	127504
Robertson	96356
Salisbury - Nathan	131300
Tarragindi	172276
Algester	97032
Calamvale - Stretton	101868
Pallara - Willawong	123760
Parkinson - Drewvale	116584
Rocklea - Acacia Ridge	84500
Kuraby	111852
Runcorn	94120
Sunnybank	83408
Sunnybank Hills	93860
Jindalee - Mount Ommaney	136760
Middle Park - Jamboree Heights	121940
Riverhills	120068
Seventeen Mile Rocks - Sinnamon Park	147836
Westlake	148616
Bellbowrie - Moggill	134576
Brookfield - Kenmore Hills	187252
Chapel Hill	167804
Fig Tree Pocket	219752
Kenmore	151424
Pinjarra Hills - Pullenvale	185796
Chelmer - Graceville	190580
Corinda	147420
Indooroopilly	129896
Sherwood	151996
St Lucia	124228
Taringa	128908
Enoggera	136396
Enoggera Reservoir	103948
Keperra	110656
Mitchelton	147784
Mount Coot-tha	
The Gap	153556
Upper Kedron - Ferny Grove	143728
Brisbane City	125788
Fortitude Valley	117520
Highgate Hill	137852
Kangaroo Point	139100
New Farm	164424
South Brisbane	119340
Spring Hill	120692
West End	140920
Balmoral	178204
Bulimba	189748
East Brisbane	140400
Hawthorne	205140
Morningside - Seven Hills	151840
Norman Park	180856
Albion	135356
Alderley	162344
Ascot	169208
Clayfield	147264
Grange	199472
Hamilton (Qld)	154388
Hendra	188812
Kelvin Grove - Herston	120692
Newmarket	160888
Newstead - Bowen Hills	151632
Wilston	206388
Windsor	150956
Wooloowin - Lutwyche	147628
Ashgrove	189436
Auchenflower	158080
Bardon	217672
Paddington - Milton	176332
Red Hill (Qld)	175500
Toowong	136656
Brinsmead	123448
Clifton Beach - Kewarra Beach	103168
Freshwater - Stratford	118040
Redlynch	125060
Trinity Beach - Smithfield	109876
Yorkeys Knob - Machans Beach	90688
Bentley Park	101296
Cairns City	93288
Earlville - Bayview Heights	102284
Edmonton	97656
Gordonvale - Trinity	107016
Kanimbla - Mooroobool	102440
Lamb Range	143000
Manoora	69576
Manunda	76544
Mount Sheridan	104936
Westcourt - Bungalow	78728
White Rock	82576
Whitfield - Edge Hill	115284
Woree	73684
Babinda	86736
Innisfail	74152
Johnstone	80704
Tully	75400
Wooroonooran	117000
Yarrabah	47372
Daintree	79040
Port Douglas	96252
Atherton	84240
Herberton	61464
Kuranda	85488
Malanda - Yungaburra	79768
Mareeba	83564
Balonne	88608
Chinchilla	100360
Goondiwindi	103740
Inglewood - Waggamba	71812
Miles - Wandoan	84656
Roma	112892
Roma Surrounds	97344
Tara	62140
Crows Nest - Rosalie	70876
Jondaryan	84656
Millmerran	78104
Pittsworth	89648
Wambo	91312
Clifton - Greenmount	84708
Southern Downs - East	77428
Southern Downs - West	69420
Stanthorpe	70356
Stanthorpe Surrounds	70044
Warwick	73996
Central Highlands - East	120588
Central Highlands - West	114660
Emerald	130520
Berserker	78936
Bouldercombe	87048
Emu Park	75712
Frenchville - Mount Archer	111540
Glenlee - Rockyview	130728
Gracemere	96564
Lakes Creek	87932
Mount Morgan	57252
Norman Gardens	110604
Park Avenue	86060
Parkhurst - Kawana	107120
Rockhampton - West	98488
Rockhampton City	72592
Rockhampton Surrounds - East	99424
Rockhampton Surrounds - North	100152
Rockhampton Surrounds - West	112320
Shoalwater Bay	71500
The Range - Allenstown	117676
Yeppoon	107380
Banana	107380
Biloela	116584
Agnes Water - Miriam Vale	66404
Boyne Island - Tannum Sands	119340
Callemondah	49348
Clinton - New Auckland	113620
Gladstone	88972
Gladstone Hinterland	114504
Kin Kora - Sun Valley	105248
South Trees	
Telina - Toolooa	114504
West Gladstone	90324
Broadbeach Waters	123552
Burleigh Heads	111332
Burleigh Waters	110916
Mermaid Beach - Broadbeach	110968
Mermaid Waters	110136
Miami	118040
Coolangatta	92924
Currumbin - Tugun	108836
Currumbin Waters	104364
Elanora	106184
Palm Beach	115388
Arundel	97656
Biggera Waters	85644
Coombabah	75972
Labrador	79716
Paradise Point - Hollywell	114816
Runaway Bay	96304
Guanaba - Springbrook	102804
Tamborine - Canungra	102648
Currumbin Valley - Tallebudgera	120328
Mudgeeraba - Bonogin	113308
Reedy Creek - Andrews	121888
Carrara	98592
Highland Park	98592
Nerang - Mount Nathan	99892
Pacific Pines - Gaven	110188
Worongary - Tallai	119132
Coomera	103324
Helensvale	114972
Hope Island	114816
Jacobs Well - Alberton	109304
Oxenford - Maudsland	113724
Ormeau (East) - Stapylton	110916
Ormeau (West) - Yatala	118924
Pimpama - North	101296
Pimpama - South	96460
Upper Coomera (South) - Wongawallan	124540
Upper Coomera - North	102596
Willow Vale - Pimpama (West)	107432
Clear Island Waters	105820
Merrimac	98332
Varsity Lakes	100932
Robina - East	109252
Robina - West	95732
Ashmore	104364
Molendinar	97812
Parkwood	109356
Southport - North	76492
Southport - South	88244
Benowa	111696
Bundall	118768
Main Beach	117988
Surfers Paradise - North	87516
Surfers Paradise - South	89960
Darra - Sumner	99008
Durack	84968
Inala - Richlands	66300
Oxley (Qld)	130780
Wacol	68068
Doolandella	100204
Forest Lake - Ellen Grove	109252
Boonah	86268
Esk	66352
Lake Manchester - England Creek	
Lockyer Valley - East	84344
Lowood	84500
Rosewood	95888
Brassall	90376
Bundamba	84916
Churchill - Yamanto	100932
Ipswich - Central	98592
Ipswich - East	84500
Ipswich - North	126308
Karalee - Barellan Point	136084
Karana Downs	134576
Leichhardt - One Mile	71396
North Ipswich - Tivoli	87620
Raceview	97864
Ripley	118612
Riverview	66664
Camira - Gailes	102492
Carole Park	117000
Collingwood Park - Redbank	95888
Goodna	78000
New Chum	
Redbank Plains	84448
Springfield	118092
Springfield Lakes	120796
Augustine Heights - Brookwater	153400
Bellbird Park	104104
Beaudesert	76492
Beenleigh	79820
Eagleby	67028
Edens Landing - Holmview	99372
Mount Warren Park	94848
Wolffdene - Bahrs Scrub	113308
Boronia Heights - Park Ridge	86112
Browns Plains	82940
Chambers Flat - Logan Reserve	96200
Crestmead	80756
Greenbank Military Camp	
Hillcrest	102804
Marsden	76596
Munruben - Park Ridge South	115804
Regents Park - Heritage Park	104104
Logan Village	115700
Flagstone (East) - Riverbend	114088
Flagstone (West) - New Beith	129844
Greenbank - North Maclean	109096
Jimboomba - Glenlogan	114712
Yarrabilba	86008
Bethania - Waterford	82108
Cornubia - Carbrook	130156
Loganholme - Tanah Merah	106444
Loganlea	78260
Shailer Park	123812
Waterford West	76908
Daisy Hill	115752
Kingston (Qld)	67860
Logan Central	59800
Rochedale South - Priestdale	111956
Slacks Creek	76648
Springwood	106600
Underwood	109720
Woodridge	62244
Bowen	92248
Broadsound - Nebo	135876
Clermont	119392
Collinsville	89440
Moranbah	173004
Andergrove - Beaconsfield	107640
East Mackay	114660
Eimeo - Rural View	129428
Eungella Hinterland	169000
Mackay	95004
Mackay Harbour	133692
Mount Pleasant - Glenella	133640
North Mackay	94588
Ooralea - Bakers Creek	123396
Pioneer Valley	119288
Sarina	108576
Seaforth - Calen	106548
Shoal Point - Bucasia	120432
Slade Point	99008
South Mackay	104988
Walkerston - Eton	120744
West Mackay	116272
Airlie - Whitsundays	103480
Cape Conway	
Proserpine	93184
Beachmere - Sandstone Point	72124
Bribie Island	63908
Burpengary - East	121784
Caboolture - South	73892
Elimbah	113620
Morayfield - East	85540
Wamuran	108576
Caboolture - East	79248
Caboolture - West	83096
Kilcoy	80028
Woodford - D'Aguilar	94432
Burpengary	101504
Deception Bay	76440
Morayfield	110760
Narangba	118716
Upper Caboolture	114452
Clontarf	96460
Margate - Woody Point	88764
Redcliffe	79404
Rothwell - Kippa-Ring	83824
Moreton Island	84500
Scarborough - Newport	112580
Albany Creek	132860
Cashmere	131456
Dayboro	128388
Eatons Hill	148824
The Hills District	135304
Samford Valley	154752
Murrumba Downs - Griffin	110448
Dakabin	98592
Kallangur	88140
Mango Hill	117832
North Lakes	117416
Bray Park	99476
Lawnton	96408
Petrie	108472
Strathpine - Brendale	91936
Aurukun	40820
Cape York	65156
Croydon - Etheridge	78624
Kowanyama - Pormpuraaw	46904
Northern Peninsula	66924
Tablelands	78624
Torres	101452
Torres Strait Islands	47996
Weipa	170716
Carpentaria	60268
Mount Isa	137904
Mount Isa Surrounds	120328
Northern Highlands	100308
Barcaldine - Blackall	95004
Charleville	91832
Far Central West	109668
Far South West	74672
Longreach	108888
Buderim - North	108732
Buderim - South	113204
Mountain Creek	107224
Sippy Downs	94744
Aroona - Currimundi	100152
Buddina - Minyama	112112
Caloundra - Kings Beach	76024
Golden Beach - Pelican Waters	84188
Moffat Beach - Battery Hill	104780
Parrearra - Warana	106236
Wurtulla - Birtinya	108784
Caloundra West - Baringa	103636
Meridan Plains - Little Mountain (North)	97032
Coolum Beach	107692
Marcoola - Mudjimba	93496
Maroochydore - Kuluin	92768
Mooloolaba - Alexandra Headland	107432
Noosa Heads	115856
Noosaville	93028
Sunshine Beach	113204
Tewantin	80860
Peregian Beach - Marcus Beach	115076
Peregian Springs	106132
Beerwah	90896
Caloundra Hinterland	77896
Glass House Mountains	96720
Landsborough	108836
Maroochy Hinterland	83304
Palmwoods	103740
Bli Bli	99684
Diddillibah - Rosemount	104468
Eumundi - Yandina	101140
Nambour	89128
Noosa Hinterland	90584
Cambooya - Wyreema	112996
Darling Heights	89128
Drayton - Harristown	78780
Gatton	77584
Gowrie (Qld)	111228
Highfields	118768
Lockyer Valley - West	99944
Middle Ridge	125476
Newtown (Qld)	78364
North Toowoomba - Harlaxton	77740
Rangeville	112528
Toowoomba - Central	91780
Toowoomba - East	127868
Toowoomba - West	108836
Wilsonton	73112
Ayr	91832
Burdekin	96044
Charters Towers	86112
Dalrymple	97968
Ingham	73164
Ingham Surrounds	87256
Palm Island	46696
Aitkenvale	92664
Annandale (Qld)	125580
Belgian Gardens - Pallarenda	130208
Bohle Plains	127036
Condon - Rasmussen	83772
Cranbrook	91364
Douglas	125372
Garbutt - West End	96928
Gulliver - Currajong - Vincent	91988
Heatley	79820
Hermit Park - Rosslea	101764
Hyde Park - Pimlico	106392
Kelso	94068
Kirwan - East	82212
Kirwan - West	109148
Magnetic Island	71344
Mount Louisa	117728
Mundingburra	102440
Northern Beaches	97760
Oonoonba	128908
South Townsville - Railway Estate	109356
Townsville - South	113776
Townsville City - North Ward	137540
Wulguru - Roseneath	92248
Burdell - Mount Low	124228
Deeragun - Jensen	100984
Ashfield - Kepnock	81380
Bargara - Burnett Heads	81432
Branyan - Kensington	95992
Bundaberg	69992
Bundaberg East - Kalkie	85384
Bundaberg North - Gooburrum	68276
Bundaberg Surrounds - North	72592
Bundaberg Surrounds - South	65676
Millbank - Avoca	73840
Svensson Heights - Norville	72280
Walkervale - Avenell Heights	73788
Gayndah - Mundubbera	70356
Gin Gin	62556
Kingaroy	80496
Kingaroy Surrounds - North	61880
Kingaroy Surrounds - South	86008
Monto - Eidsvold	65312
Nanango	57928
North Burnett	58500
Cooloola	50336
Gympie - North	70512
Gympie - South	76180
Gympie Surrounds	75764
Kilkivan	70200
Booral - River Heads	78572
Craignish - Dundowran Beach	87308
Pialba - Eli Waters	64428
Point Vernon	65000
Torquay - Scarness - Kawungan	67028
Urangan - Wondunna	69316
Burrum - Fraser	59904
Granville	63960
Maryborough (Qld)	66196
Maryborough Surrounds - South	61152
Tinana	74412
Migratory - Offshore - Shipping (Qld)	143000
No usual address (Qld)	
Adelaide	106912
North Adelaide	137956
Adelaide Hills	112476
Aldgate - Stirling	140816
Hahndorf - Echunga	121316
Lobethal - Woodside	107380
Mount Barker	108680
Mount Barker Surrounds	109096
Nairne	108004
Uraidla - Summertown	129480
Burnside - Wattle Park	138164
Beaumont - Glen Osmond	143988
Toorak Gardens	138736
Athelstone	117884
Paradise - Newton	98384
Rostrevor - Magill	110968
Norwood (SA)	124176
Payneham - Felixstow	108940
St Peters - Marden	136604
Nailsworth - Broadview	129480
Prospect	129376
Walkerville	143624
Goodwood - Millswood	139672
Unley - Parkside	140764
Gawler - North	108940
Gawler - South	90792
Lewiston - Two Wells	106756
Craigmore - Blakeview	94224
Davoren Park	70460
Elizabeth	54860
Elizabeth East	74360
Munno Para West - Angle Vale	95108
One Tree Hill	123552
Smithfield - Elizabeth North	60372
Virginia - Waterloo Corner	91156
Enfield - Blair Athol	91884
Windsor Gardens	104572
Northgate - Northfield	109096
Valley View - Gilles Plains	90168
Dry Creek - North	
Ingle Farm	85592
Para Hills	88140
Parafield	
Parafield Gardens	78624
Paralowie	85488
Salisbury	68380
Salisbury East	85072
Salisbury North	74308
Mawson Lakes - Globe Derby Park	113828
Pooraka - Cavan	78416
Golden Grove	113984
Greenwith	119028
Highbury - Dernancourt	116012
Hope Valley - Modbury	87568
Modbury Heights	104208
Redwood Park	109616
St Agnes - Ridgehaven	100672
Brighton (SA)	120484
Glenelg (SA)	123136
Edwardstown	104312
Hallett Cove	110396
Marino - Seaview Downs	114712
Mitchell Park	91208
Morphettville	112996
Sheidow Park - Trott Park	111748
Warradale	99008
Belair	144924
Bellevue Heights	111852
Blackwood	132860
Colonel Light Gardens	136864
Mitcham (SA)	148408
Panorama	106756
Aberfoyle Park	108472
Aldinga	83564
Christie Downs	69316
Christies Beach	80028
Clarendon	119808
Coromandel Valley	129012
Flagstaff Hill	118560
Hackham - Onkaparinga Hills	85592
Hackham West - Huntfield Heights	70980
Happy Valley	101764
Happy Valley Reservoir	71500
Lonsdale	97500
McLaren Vale	105560
Morphett Vale - East	80912
Morphett Vale - West	73268
Reynella	89648
Willunga	105300
Woodcroft	104988
Seaford - Seaford Meadows	92404
Seaford Rise - Moana	99528
Beverley	112424
Flinders Park	104884
Henley Beach	123084
Hindmarsh - Brompton	111800
Royal Park - Hendon - Albert Park	98904
Seaton - Grange	101816
West Lakes	107224
Woodville - Cheltenham	100100
Dry Creek - South	
Largs Bay - Semaphore	115024
North Haven	96252
Port Adelaide	90376
The Parks	81640
Torrens Island	46800
Adelaide Airport	
Fulham	126776
Lockleys	113620
Plympton	106132
Richmond (SA)	108784
West Beach	122720
Barossa - Angaston	96980
Light	97240
Lyndoch	108368
Mallala	86320
Nuriootpa	90324
Tanunda	101816
Clare	90428
Gilbert Valley	81952
Goyder	66820
Wakefield - Barunga West	74308
Jamestown	78260
Peterborough - Mount Remarkable	68276
Port Pirie	75296
Port Pirie Surrounds	78988
Kadina	77376
Moonta	65312
Wallaroo	60632
Yorke Peninsula - North	69836
Yorke Peninsula - South	65780
Ceduna	96616
Eyre Peninsula	86060
Kimba - Cleve - Franklin Harbour	75712
Le Hunte - Elliston	91312
Port Lincoln	91000
West Coast (SA)	74620
Western	37700
Whyalla	87308
Whyalla - North	
APY Lands	38428
Coober Pedy	71760
Quorn - Lake Gilles	76856
Outback	82576
Port Augusta	85852
Roxby Downs	180284
Goolwa - Port Elliot	63804
Kangaroo Island	78052
Strathalbyn	81692
Strathalbyn Surrounds	92924
Victor Harbor	64844
Yankalilla	71344
Grant	100256
Kingston - Robe	82160
Millicent	73580
Naracoorte	90064
Naracoorte Surrounds	100776
Penola	86684
Tatiara	95108
Wattle Range	88816
Mount Gambier - East	92664
Mount Gambier - West	87776
Barmera	81120
Berri	71084
Karoonda - Lameroo	77792
Loxton	85176
Loxton Surrounds	77844
Mannum	63596
Murray Bridge	71448
Murray Bridge Surrounds	79144
Renmark	69940
Renmark Surrounds	92872
The Coorong	71344
Waikerie	70876
Migratory - Offshore - Shipping (SA)	
No usual address (SA)	
Augusta	88036
Busselton Surrounds	110760
Margaret River	103272
Busselton - East	91468
Busselton - West	90480
Australind - Leschenault	111488
Capel	98020
College Grove - Carey Park	75452
Collie	84136
Dardanup	117208
Davenport	129948
Eaton - Pelican Point	107276
Harvey	97448
East Bunbury - Glen Iris	88556
Waroona	88452
Dalyellup	118872
Gelorup - Stratham	129688
South Bunbury - Bunbury	108420
Withers - Usher	73840
Bridgetown - Boyup Brook	84188
Donnybrook - Balingup	87776
Manjimup	87620
Pemberton	74932
Dawesville - Bouvard	89024
Falcon - Wannanup	86320
Greenfields	69732
Halls Head - Erskine	92768
Mandurah	66508
Mandurah - East	87724
Mandurah - North	110188
Mandurah - South	72020
Pinjarra	88920
City Beach	238784
Claremont (WA)	164008
Cottesloe	238836
Floreat	222040
Mosman Park - Peppermint Grove	197912
Nedlands - Dalkeith - Crawley	195936
Swanbourne - Mount Claremont	213720
Kings Park (WA)	253448
Mount Hawthorn - Leederville	175084
Mount Lawley - Inglewood	162084
North Perth	164892
Subiaco - Shenton Park	168428
Wembley - West Leederville - Glendalough	145704
East Perth	133744
Perth (North) - Highgate	135720
Perth (West) - Northbridge	131820
Bassendean - Eden Hill - Ashfield	118456
Bayswater - Embleton - Bedford	134420
Maylands	124072
Morley	98904
Noranda	105924
Chidlow	117104
Glen Forrest - Darlington	137176
Helena Valley - Koongamia	121524
Malmalling - Reservoir	71448
Mundaring	119132
Swan View - Greenmount - Midvale	98904
Avon Valley National Park	103948
Ballajura	99528
Beechboro	102648
Bullsbrook	109460
Gidgegannup	132652
Hazelmere - Guildford	126880
Lockridge - Kiara	109512
Malaga	364000
Melaleuca - Lexia	117000
Middle Swan - Herne Hill	99684
Midland - Guildford	93600
Stratton - Jane Brook	108888
The Vines	125060
Walyunga National Park	
Aveley	119392
Brabham - Henley Brook	117520
Ellenbrook	107328
Craigie - Beldon	112424
Currambine - Kinross	126724
Duncraig	146484
Greenwood - Warwick	119184
Heathridge - Connolly	117728
Hillarys	149604
Iluka - Burns Beach	175084
Joondalup - Edgewater	115180
Kingsley	124852
Mullaloo - Kallaroo	139412
Ocean Reef	143468
Padbury	124280
Sorrento - Marmion	158340
Woodvale	137956
Balcatta - Hamersley	109252
Balga - Mirrabooka	75972
Herdsman	
Innaloo - Doubleview	142428
Karrinyup - Gwelup - Carine	156312
Nollamara - Westminster	91208
Osborne Park Industrial	112632
Scarborough	145080
Stirling - Osborne Park	120588
Trigg - North Beach - Watermans Bay	161824
Tuart Hill - Joondanna	115440
Wembley Downs - Churchlands - Woodlands	163124
Yokine - Coolbinia - Menora	127920
Dianella - North	122148
Dianella - South	111696
Alexander Heights - Koondoola	87516
Butler - Merriwa - Ridgewood	96096
Carramar	117728
Clarkson	104572
Girrawheen	73944
Marangaroo	91676
Mindarie - Quinns Rocks - Jindalee	135044
Neerabup National Park	46800
Tapping - Ashby - Sinagra	125216
Alkimos - Eglinton	115232
Carabooda - Pinjar	117468
Two Rocks	96824
Yanchep	103324
Hocking - Pearsall	120744
Landsdale	130572
Madeley - Darch	126880
Wanneroo - Sinagra	107380
Armadale - Wungong - Brookdale	83200
Ashendon - Lesley	
Camillo - Champion Lakes	82784
Kelmscott	88400
Mount Nasura - Mount Richon - Bedfordale	114868
Roleystone	125788
Seville Grove	98020
Harrisdale	129532
Piara Waters - Forrestdale	131144
Belmont - Ascot - Redcliffe	111488
East Victoria Park - Carlisle	133120
Kewdale Commercial	
Perth Airport	
Victoria Park - Lathlain - Burswood	128128
Cloverdale	98644
Kewdale	101608
Rivervale	116792
Bentley - Wilson - St James	102076
Canning Vale - West	126100
Canning Vale Commercial	
Cannington - Queens Park	98176
Parkwood - Ferndale - Lynwood	98748
Riverton - Shelley - Rossmoyne	127036
Welshpool	364000
Willetton	123708
Beckenham - Kenwick - Langford	91312
Canning Vale - East	122512
Gosnells	80600
Huntingdale - Southern River	117312
Maddington - Orange Grove - Martin	87828
Thornlie	94900
Forrestfield - Wattle Grove	111332
High Wycombe	109824
Kalamunda - Maida Vale - Gooseberry Hill	119704
Lesmurdie - Bickley - Carmel	124800
Byford	115284
Mundijong	121576
Serpentine - Jarrahdale	116064
Como	132912
Manning - Waterford	141440
South Perth - Kensington	156364
Banjup	139204
Bibra Industrial	143000
Bibra Lake	
Coogee	130520
Coolbellup	110396
Hamilton Hill	96928
Henderson	221000
North Coogee	169780
South Lake - Cockburn Central	108628
Spearwood	100724
Success - Hammond Park	130104
Yangebup	116116
Beeliar - Wattleup	124800
Jandakot	129636
East Fremantle	165256
Fremantle	146744
Fremantle - South	124124
O'Connor (WA)	
Wellard (West) - Bertram	114764
Calista	79092
Hope Valley - Postans	97500
Kwinana Industrial	46800
Parmelia - Orelia	80236
Casuarina - Wandi	125684
Applecross - Ardross	164736
Bateman	136760
Bicton - Palmyra	139204
Booragoon	145236
Bull Creek	123656
Leeming	135356
Melville	157404
Murdoch - Kardinya	113932
Willagee	124436
Winthrop	125060
Cooloongup	76960
Port Kennedy	109824
Rockingham	85540
Rockingham Lakes	23400
Safety Bay - Shoalwater	95992
Singleton - Golden Bay - Secret Harbour	128440
Waikiki	100672
Warnbro	92768
Baldivis - North	113984
Baldivis - South	121524
Karnup	113984
Albany	90636
Albany Surrounds	98748
Bayonet Head - Lower King	88868
Denmark	77532
Gnowangerup	102960
Katanning	85748
Kojonup	98280
Little Grove - Elleker	94900
McKail - Willyung	89700
Plantagenet	77532
Stirling Range National Park	
Chittering	117416
Cunderdin	91416
Dowerin	88348
Gingin - Dandaragan	86008
Merredin	96460
Moora	106652
Mukinbudin	86892
Northam	84812
Toodyay	82108
York - Beverley	77116
Brookton	87256
Kulin	101244
Murray	107848
Narrogin	93704
Wagin	94328
Broome	136396
Derby - West Kimberley	53872
Halls Creek	40820
Kununurra	108264
Roebuck	52884
East Pilbara	39104
Newman	174668
Port Hedland	204880
South Hedland	157248
Ashburton (WA)	172120
Karratha	181844
Roebourne	170820
Esperance	104884
Esperance Surrounds	104208
Carnarvon	98696
Exmouth	109564
Boulder	123500
Kalgoorlie	152048
Kalgoorlie - North	157508
Kalgoorlie Airport	
Kambalda - Coolgardie - Norseman	114348
Leinster - Leonora	62660
Trafalgar (WA)	
Geraldton	85176
Geraldton - East	98644
Geraldton - North	114348
Geraldton - South	118248
Irwin	83096
Meekatharra	70252
Morawa	87568
Northampton - Mullewa - Greenough	85228
Migratory - Offshore - Shipping (WA)	71500
No usual address (WA)	
Bridgewater - Gagebrook	59020
Brighton - Pontville	98124
Old Beach - Otago	110500
Bellerive - Rosny	105404
Cambridge	127140
Geilston Bay - Risdon	112528
Howrah - Tranmere	114088
Lindisfarne - Rose Bay	104208
Mornington - Warrane	80028
Risdon Vale	68536
Rokeby	80184
South Arm	114140
Austins Ferry - Granton	105924
Berriedale - Chigwell	81692
Claremont (Tas.)	82732
Derwent Park - Lutana	78884
Glenorchy	74828
Montrose - Rosetta	91572
Moonah	91988
New Norfolk	76128
West Moonah	89180
Kingston - Huntingfield	99216
Kingston Beach - Blackmans Bay	111644
Margate - Snug	110344
Mount Wellington	
Taroona - Bonnet Hill	124904
Hobart	115544
Lenah Valley - Mount Stuart	122512
Mount Nelson - Dynnyrne	120432
New Town	108628
Sandy Bay	125684
South Hobart - Fern Tree	119288
West Hobart	129636
Dodges Ferry - Lewisham	88088
Sorell - Richmond	91728
Invermay	77532
Kings Meadows - Punchbowl	88556
Launceston	113672
Legana	101660
Mowbray	70460
Newnham - Mayfield	69264
Newstead	110084
Norwood (Tas.)	97916
Prospect Vale - Blackstone	97188
Ravenswood	57408
Riverside	101244
South Launceston	97708
Summerhill - Prospect	92196
Trevallyn	109772
Waverley - St Leonards	84292
West Launceston	105820
Youngtown - Relbia	95784
Beauty Point - Beaconsfield	63544
Deloraine	74152
Grindelwald - Lanena	86112
Hadspen - Carrick	102232
Westbury	77636
Dilston - Lilydale	95420
George Town	66352
Longford	79456
Northern Midlands	74100
Perth - Evandale	93236
St Helens - Scamander	58760
Flinders and Cape Barren Islands	80184
Scottsdale - Bridport	70668
Central Highlands	72956
Derwent Valley	85228
Southern Midlands	83252
Wilderness - East	
Bruny Island - Kettering	80912
Cygnet	69212
Geeveston - Dover	71500
Huonville - Franklin	89648
Forestier - Tasman	61048
Triabunna - Bicheno	67080
Acton - Upper Burnie	72540
Burnie - Ulverstone Surrounds	89960
Burnie - Wivenhoe	73996
Parklands - Camdale	91624
Penguin - Sulphur Creek	90220
Romaine - Havenview	84708
Somerset	76076
Ulverstone	75400
West Ulverstone	70460
Wynyard	77844
Devonport	75660
East Devonport	66612
Latrobe	77220
Miandetta - Don	93756
Port Sorell	81068
Quoiba - Spreyton	92768
Sheffield - Railton	76648
Turners Beach - Forth	99736
King Island	89388
North West	87152
Smithton	80808
Waratah	82940
West Coast (Tas.)	73112
Wilderness - West	
Migratory - Offshore - Shipping (Tas.)	
No usual address (Tas.)	
Darwin Airport	
Darwin City	124956
East Point	
Fannie Bay - The Gardens	142376
Larrakeyah	140140
Ludmilla - The Narrows	119912
Parap	140244
Stuart Park	139464
Woolner - Bayview - Winnellie	165620
