SA2_NAME16	OnlyEnglishSpokenHome	persons
Braidwood	0	180
Braidwood	1	3789
Karabar	0	1228
Karabar	1	6750
Queanbeyan	0	2615
Queanbeyan	1	8097
Queanbeyan - East	0	1037
Queanbeyan - East	1	3788
Queanbeyan West - Jerrabomberra	0	1597
Queanbeyan West - Jerrabomberra	1	10701
Googong	0	1126
Googong	1	4879
Queanbeyan Surrounds	0	804
Queanbeyan Surrounds	1	14835
Bombala	0	68
Bombala	1	2162
Cooma	0	609
Cooma	1	5588
Cooma Surrounds	0	143
Cooma Surrounds	1	3026
Jindabyne - Berridale	0	485
Jindabyne - Berridale	1	6989
Batemans Bay	0	450
Batemans Bay	1	7555
Batemans Bay - South	0	478
Batemans Bay - South	1	7808
Bega - Tathra	0	348
Bega - Tathra	1	7898
Bega-Eden Hinterland	0	206
Bega-Eden Hinterland	1	8673
Broulee - Tomakin	0	99
Broulee - Tomakin	1	3485
Deua - Wadbilliga	1	32
Eden	0	113
Eden	1	2998
Eurobodalla Hinterland	0	85
Eurobodalla Hinterland	1	3072
Merimbula - Tura Beach	0	433
Merimbula - Tura Beach	1	10475
Moruya - Tuross Head	0	219
Moruya - Tuross Head	1	7665
Narooma - Bermagui	0	386
Narooma - Bermagui	1	8780
Goulburn	0	1648
Goulburn	1	21034
Goulburn Surrounds	0	490
Goulburn Surrounds	1	12212
Yass	0	279
Yass	1	6149
Yass Surrounds	0	488
Yass Surrounds	1	11529
Young	0	773
Young	1	9544
Young Surrounds	0	224
Young Surrounds	1	6787
Avoca Beach - Copacabana	0	373
Avoca Beach - Copacabana	1	6894
Box Head - MacMasters Beach	0	507
Box Head - MacMasters Beach	1	10127
Calga - Kulnura	0	423
Calga - Kulnura	1	3908
Erina - Green Point	0	1235
Erina - Green Point	1	12628
Gosford - Springfield	0	3480
Gosford - Springfield	1	16526
Kariong	0	698
Kariong	1	5575
Kincumber - Picketts Valley	0	365
Kincumber - Picketts Valley	1	6898
Narara	0	810
Narara	1	6160
Niagara Park - Lisarow	0	577
Niagara Park - Lisarow	1	7421
Point Clare - Koolewong	0	690
Point Clare - Koolewong	1	5624
Saratoga - Davistown	0	237
Saratoga - Davistown	1	6672
Terrigal - North Avoca	0	1068
Terrigal - North Avoca	1	13120
Umina - Booker Bay - Patonga	0	1648
Umina - Booker Bay - Patonga	1	21615
Wamberal - Forresters Beach	0	526
Wamberal - Forresters Beach	1	9770
Woy Woy - Blackwall	0	1260
Woy Woy - Blackwall	1	12254
Wyoming	0	1097
Wyoming	1	9726
Bateau Bay - Killarney Vale	0	869
Bateau Bay - Killarney Vale	1	20537
Blue Haven - San Remo	0	503
Blue Haven - San Remo	1	10273
Budgewoi - Buff Point - Halekulani	0	269
Budgewoi - Buff Point - Halekulani	1	8889
Chittaway Bay - Tumbi Umbi	0	683
Chittaway Bay - Tumbi Umbi	1	14764
Gorokan - Kanwal - Charmhaven	0	1244
Gorokan - Kanwal - Charmhaven	1	19491
Jilliby - Yarramalong	0	106
Jilliby - Yarramalong	1	3167
Lake Munmorah - Mannering Park	0	283
Lake Munmorah - Mannering Park	1	10098
Ourimbah - Fountaindale	0	367
Ourimbah - Fountaindale	1	4370
Summerland Point - Gwandalan	0	244
Summerland Point - Gwandalan	1	5944
The Entrance	0	1165
The Entrance	1	13609
Toukley - Norah Head	0	372
Toukley - Norah Head	1	8913
Tuggerah - Kangy Angy	0	585
Tuggerah - Kangy Angy	1	4432
Warnervale - Wadalba	0	2072
Warnervale - Wadalba	1	17032
Wyong	0	889
Wyong	1	7575
Bathurst - East	0	630
Bathurst - East	1	11147
Bathurst Surrounds	0	125
Bathurst Surrounds	1	6181
Oberon	0	250
Oberon	1	3940
Bathurst - South	0	931
Bathurst - South	1	8513
Bathurst - West	0	698
Bathurst - West	1	13002
Condobolin	0	219
Condobolin	1	5383
Cowra	0	400
Cowra	1	8245
Cowra Surrounds	0	145
Cowra Surrounds	1	4982
Forbes	0	215
Forbes	1	8907
Grenfell	0	55
Grenfell	1	3287
Parkes (NSW)	0	430
Parkes (NSW)	1	9779
Parkes Surrounds	0	66
Parkes Surrounds	1	2875
West Wyalong	0	151
West Wyalong	1	4873
Lithgow	0	605
Lithgow	1	10707
Lithgow Surrounds	0	295
Lithgow Surrounds	1	7484
Mudgee	0	541
Mudgee	1	11305
Mudgee Surrounds - East	0	98
Mudgee Surrounds - East	1	2952
Mudgee Surrounds - West	0	256
Mudgee Surrounds - West	1	9822
Blayney	0	121
Blayney	1	6927
Orange	0	1183
Orange	1	16592
Orange - North	0	1918
Orange - North	1	19929
Orange Surrounds	0	235
Orange Surrounds	1	10854
Grafton	0	591
Grafton	1	17425
Grafton Surrounds	0	358
Grafton Surrounds	1	14271
Maclean - Yamba - Iluka	0	538
Maclean - Yamba - Iluka	1	15957
Bellingen	0	287
Bellingen	1	5366
Coffs Harbour - North	0	1976
Coffs Harbour - North	1	14915
Coffs Harbour - South	0	1434
Coffs Harbour - South	1	8881
Coramba - Nana Glen - Bucca	0	179
Coramba - Nana Glen - Bucca	1	3490
Dorrigo	0	96
Dorrigo	1	2846
Korora - Emerald Beach	0	592
Korora - Emerald Beach	1	9308
Sawtell - Boambee	0	892
Sawtell - Boambee	1	18140
Urunga	0	131
Urunga	1	4453
Woolgoolga - Arrawarra	0	2135
Woolgoolga - Arrawarra	1	11552
Bourke - Brewarrina	0	139
Bourke - Brewarrina	1	2723
Cobar	0	181
Cobar	1	3339
Coonamble	0	81
Coonamble	1	3309
Nyngan - Warren	0	156
Nyngan - Warren	1	4001
Walgett - Lightning Ridge	0	280
Walgett - Lightning Ridge	1	3819
Broken Hill	0	596
Broken Hill	1	15480
Far West	0	37
Far West	1	1845
Coonabarabran	0	187
Coonabarabran	1	6608
Dubbo - East	0	788
Dubbo - East	1	8891
Dubbo - South	0	2273
Dubbo - South	1	15832
Dubbo - West	0	800
Dubbo - West	1	8584
Dubbo Surrounds	0	51
Dubbo Surrounds	1	5362
Gilgandra	0	67
Gilgandra	1	3817
Narromine	0	123
Narromine	1	5455
Wellington	0	252
Wellington	1	6876
Branxton - Greta - Pokolbin	0	457
Branxton - Greta - Pokolbin	1	11824
Cessnock	0	625
Cessnock	1	20213
Cessnock Surrounds	0	186
Cessnock Surrounds	1	8479
Dungog	0	91
Dungog	1	9027
Kurri Kurri - Abermain	0	519
Kurri Kurri - Abermain	1	19132
Singleton	0	705
Singleton	1	15368
Singleton Surrounds	0	93
Singleton Surrounds	1	4787
Maitland	0	498
Maitland	1	7764
Maitland - North	0	258
Maitland - North	1	8213
East Maitland - Metford	0	1225
East Maitland - Metford	1	15963
Rutherford (North) - Aberglasslyn	0	996
Rutherford (North) - Aberglasslyn	1	15988
Rutherford (South) - Telarah	0	330
Rutherford (South) - Telarah	1	7196
Tenambit - East Maitland	0	289
Tenambit - East Maitland	1	9426
Thornton - Millers Forest	0	1258
Thornton - Millers Forest	1	14236
Anna Bay	0	182
Anna Bay	1	5903
Lemon Tree Passage - Tanilba Bay	0	212
Lemon Tree Passage - Tanilba Bay	1	6333
Nelson Bay Peninsula	0	1279
Nelson Bay Peninsula	1	19565
Raymond Terrace	0	559
Raymond Terrace	1	13101
Seaham - Woodville	0	106
Seaham - Woodville	1	5376
Tea Gardens - Hawks Nest	0	216
Tea Gardens - Hawks Nest	1	5171
Williamtown - Medowie - Karuah	0	506
Williamtown - Medowie - Karuah	1	13908
Muswellbrook	0	596
Muswellbrook	1	10665
Muswellbrook Surrounds	0	71
Muswellbrook Surrounds	1	3736
Scone	0	400
Scone	1	5292
Scone Surrounds	0	184
Scone Surrounds	1	7436
Dapto - Avondale	0	1774
Dapto - Avondale	1	21450
Horsley - Kembla Grange	0	1518
Horsley - Kembla Grange	1	10341
Port Kembla Industrial	1	5
Unanderra - Mount Kembla	0	2313
Unanderra - Mount Kembla	1	12378
Berkeley - Lake Heights - Cringila	0	3991
Berkeley - Lake Heights - Cringila	1	9438
Port Kembla - Warrawong	0	2847
Port Kembla - Warrawong	1	6222
Windang - Primbee	0	368
Windang - Primbee	1	3624
Illawarra Catchment Reserve	0	4
Illawarra Catchment Reserve	1	4
Albion Park - Macquarie Pass	0	1248
Albion Park - Macquarie Pass	1	17112
Albion Park Rail	0	426
Albion Park Rail	1	6161
