SA2_NAME16	HomeCensusNight	persons
Braidwood	0	243
Braidwood	1	4102
Karabar	0	291
Karabar	1	8220
Queanbeyan	0	410
Queanbeyan	1	10932
Queanbeyan - East	0	204
Queanbeyan - East	1	4881
Queanbeyan West - Jerrabomberra	0	393
Queanbeyan West - Jerrabomberra	1	12351
Googong	0	151
Googong	1	6075
Queanbeyan Surrounds	0	712
Queanbeyan Surrounds	1	15824
Bombala	0	137
Bombala	1	2320
Cooma	0	286
Cooma	1	6474
Cooma Surrounds	0	233
Cooma Surrounds	1	3242
Jindabyne - Berridale	0	528
Jindabyne - Berridale	1	7510
Batemans Bay	0	393
Batemans Bay	1	8190
Batemans Bay - South	0	461
Batemans Bay - South	1	8484
Bega - Tathra	0	465
Bega - Tathra	1	8406
Bega-Eden Hinterland	0	486
Bega-Eden Hinterland	1	9077
Broulee - Tomakin	0	238
Broulee - Tomakin	1	3552
Deua - Wadbilliga	0	10
Deua - Wadbilliga	1	30
Eden	0	209
Eden	1	3212
Eurobodalla Hinterland	0	227
Eurobodalla Hinterland	1	3303
Merimbula - Tura Beach	0	725
Merimbula - Tura Beach	1	10783
Moruya - Tuross Head	0	425
Moruya - Tuross Head	1	8174
Narooma - Bermagui	0	537
Narooma - Bermagui	1	9346
Goulburn	0	858
Goulburn	1	23707
Goulburn Surrounds	0	637
Goulburn Surrounds	1	13203
Yass	0	274
Yass	1	6494
Yass Surrounds	0	565
Yass Surrounds	1	12149
Young	0	517
Young	1	10488
Young Surrounds	0	440
Young Surrounds	1	7240
Avoca Beach - Copacabana	0	310
Avoca Beach - Copacabana	1	7210
Box Head - MacMasters Beach	0	415
Box Head - MacMasters Beach	1	10627
Calga - Kulnura	0	161
Calga - Kulnura	1	4559
Erina - Green Point	0	426
Erina - Green Point	1	14333
Gosford - Springfield	0	628
Gosford - Springfield	1	20578
Kariong	0	156
Kariong	1	6330
Kincumber - Picketts Valley	0	193
Kincumber - Picketts Valley	1	7424
Narara	0	188
Narara	1	6969
Niagara Park - Lisarow	0	163
Niagara Park - Lisarow	1	8039
Point Clare - Koolewong	0	179
Point Clare - Koolewong	1	6390
Saratoga - Davistown	0	223
Saratoga - Davistown	1	6942
Terrigal - North Avoca	0	483
Terrigal - North Avoca	1	14363
Umina - Booker Bay - Patonga	0	748
Umina - Booker Bay - Patonga	1	23950
Wamberal - Forresters Beach	0	354
Wamberal - Forresters Beach	1	10321
Woy Woy - Blackwall	0	413
Woy Woy - Blackwall	1	13928
Wyoming	0	269
Wyoming	1	11152
Bateau Bay - Killarney Vale	0	630
Bateau Bay - Killarney Vale	1	22197
Blue Haven - San Remo	0	324
Blue Haven - San Remo	1	10969
Budgewoi - Buff Point - Halekulani	0	371
Budgewoi - Buff Point - Halekulani	1	9356
Chittaway Bay - Tumbi Umbi	0	420
Chittaway Bay - Tumbi Umbi	1	15585
Gorokan - Kanwal - Charmhaven	0	663
Gorokan - Kanwal - Charmhaven	1	21701
Jilliby - Yarramalong	0	66
Jilliby - Yarramalong	1	3358
Lake Munmorah - Mannering Park	0	405
Lake Munmorah - Mannering Park	1	10555
Ourimbah - Fountaindale	0	139
Ourimbah - Fountaindale	1	4787
Summerland Point - Gwandalan	0	204
Summerland Point - Gwandalan	1	6289
The Entrance	0	603
The Entrance	1	15237
Toukley - Norah Head	0	364
Toukley - Norah Head	1	9544
Tuggerah - Kangy Angy	0	143
Tuggerah - Kangy Angy	1	5085
Warnervale - Wadalba	0	404
Warnervale - Wadalba	1	19652
Wyong	0	245
Wyong	1	8882
