SA2_NAME16	PrivateDwelling	Sex	persons
Woy Woy - Blackwall	1	F	6990
Woy Woy - Blackwall	1	M	6417
Wyoming	0	F	401
Wyoming	0	M	321
Wyoming	1	F	5505
Wyoming	1	M	5135
Bateau Bay - Killarney Vale	0	F	834
Bateau Bay - Killarney Vale	0	M	628
Bateau Bay - Killarney Vale	1	F	11032
Bateau Bay - Killarney Vale	1	M	10160
Blue Haven - San Remo	0	F	193
Blue Haven - San Remo	0	M	167
Blue Haven - San Remo	1	F	5510
Blue Haven - San Remo	1	M	5278
Budgewoi - Buff Point - Halekulani	0	F	235
Budgewoi - Buff Point - Halekulani	0	M	245
Budgewoi - Buff Point - Halekulani	1	F	4686
Budgewoi - Buff Point - Halekulani	1	M	4451
Chittaway Bay - Tumbi Umbi	0	F	339
Chittaway Bay - Tumbi Umbi	0	M	259
Chittaway Bay - Tumbi Umbi	1	F	7901
Chittaway Bay - Tumbi Umbi	1	M	7373
Gorokan - Kanwal - Charmhaven	0	F	912
Gorokan - Kanwal - Charmhaven	0	M	719
Gorokan - Kanwal - Charmhaven	1	F	10596
Gorokan - Kanwal - Charmhaven	1	M	9960
Jilliby - Yarramalong	0	F	95
Jilliby - Yarramalong	0	M	133
Jilliby - Yarramalong	1	F	1611
Jilliby - Yarramalong	1	M	1639
Lake Munmorah - Mannering Park	0	F	246
Lake Munmorah - Mannering Park	0	M	211
Lake Munmorah - Mannering Park	1	F	5382
Lake Munmorah - Mannering Park	1	M	4967
Ourimbah - Fountaindale	0	F	79
Ourimbah - Fountaindale	0	M	87
Ourimbah - Fountaindale	1	F	2398
Ourimbah - Fountaindale	1	M	2329
Summerland Point - Gwandalan	0	F	138
Summerland Point - Gwandalan	0	M	117
Summerland Point - Gwandalan	1	F	3075
Summerland Point - Gwandalan	1	M	3085
The Entrance	0	F	613
The Entrance	0	M	614
The Entrance	1	F	7640
The Entrance	1	M	7070
Toukley - Norah Head	0	F	420
Toukley - Norah Head	0	M	360
Toukley - Norah Head	1	F	4591
Toukley - Norah Head	1	M	4478
Tuggerah - Kangy Angy	0	F	93
Tuggerah - Kangy Angy	0	M	113
Tuggerah - Kangy Angy	1	F	2613
Tuggerah - Kangy Angy	1	M	2407
Warnervale - Wadalba	0	F	641
