SA2_NAME16	MaxSchoolingCompleted	Sex	persons
Braidwood	Did not go to school	F	10
Braidwood	Did not go to school	M	5
Braidwood	Year 8	F	41
Braidwood	Year 8	M	64
Braidwood	Year 9	F	92
Braidwood	Year 9	M	137
Braidwood	Year 10	F	414
Braidwood	Year 10	M	482
Braidwood	Year 11	F	116
Braidwood	Year 11	M	112
Braidwood	Year 12	F	964
Braidwood	Year 12	M	866
Karabar	Did not go to school	F	27
Karabar	Did not go to school	M	21
Karabar	Year 8	F	188
Karabar	Year 8	M	179
Karabar	Year 9	F	210
Karabar	Year 9	M	203
Karabar	Year 10	F	800
Karabar	Year 10	M	765
Karabar	Year 11	F	222
Karabar	Year 11	M	228
Karabar	Year 12	F	1825
Karabar	Year 12	M	1744
Queanbeyan	Did not go to school	F	52
Queanbeyan	Did not go to school	M	35
Queanbeyan	Year 8	F	221
Queanbeyan	Year 8	M	187
Queanbeyan	Year 9	F	203
Queanbeyan	Year 9	M	219
Queanbeyan	Year 10	F	846
Queanbeyan	Year 10	M	946
Queanbeyan	Year 11	F	271
Queanbeyan	Year 11	M	291
Queanbeyan	Year 12	F	2890
Queanbeyan	Year 12	M	2853
Queanbeyan - East	Did not go to school	F	12
Queanbeyan - East	Did not go to school	M	10
Queanbeyan - East	Year 8	F	66
Queanbeyan - East	Year 8	M	55
Queanbeyan - East	Year 9	F	74
Queanbeyan - East	Year 9	M	98
Queanbeyan - East	Year 10	F	334
Queanbeyan - East	Year 10	M	397
Queanbeyan - East	Year 11	F	117
Queanbeyan - East	Year 11	M	142
Queanbeyan - East	Year 12	F	1351
Queanbeyan - East	Year 12	M	1391
Queanbeyan West - Jerrabomberra	Did not go to school	M	11
Queanbeyan West - Jerrabomberra	Year 8	F	120
Queanbeyan West - Jerrabomberra	Year 8	M	130
Queanbeyan West - Jerrabomberra	Year 9	F	190
Queanbeyan West - Jerrabomberra	Year 9	M	183
Queanbeyan West - Jerrabomberra	Year 10	F	885
Queanbeyan West - Jerrabomberra	Year 10	M	864
Queanbeyan West - Jerrabomberra	Year 11	F	292
Queanbeyan West - Jerrabomberra	Year 11	M	319
Queanbeyan West - Jerrabomberra	Year 12	F	3438
Queanbeyan West - Jerrabomberra	Year 12	M	3247
Googong	Did not go to school	F	4
Googong	Year 8	F	19
Googong	Year 8	M	15
Googong	Year 9	F	47
Googong	Year 9	M	60
Googong	Year 10	F	237
Googong	Year 10	M	276
Googong	Year 11	F	123
Googong	Year 11	M	164
Googong	Year 12	F	1703
Googong	Year 12	M	1516
Queanbeyan Surrounds	Did not go to school	F	9
Queanbeyan Surrounds	Did not go to school	M	13
Queanbeyan Surrounds	Year 8	F	122
Queanbeyan Surrounds	Year 8	M	180
Queanbeyan Surrounds	Year 9	F	254
Queanbeyan Surrounds	Year 9	M	335
Queanbeyan Surrounds	Year 10	F	1068
Queanbeyan Surrounds	Year 10	M	1422
Queanbeyan Surrounds	Year 11	F	371
Queanbeyan Surrounds	Year 11	M	417
Queanbeyan Surrounds	Year 12	F	4383
Queanbeyan Surrounds	Year 12	M	3958
Bombala	Did not go to school	F	5
Bombala	Did not go to school	M	4
Bombala	Year 8	F	46
Bombala	Year 8	M	84
Bombala	Year 9	F	99
Bombala	Year 9	M	99
Bombala	Year 10	F	271
Bombala	Year 10	M	318
Bombala	Year 11	F	81
Bombala	Year 11	M	77
Bombala	Year 12	F	423
Bombala	Year 12	M	322
Cooma	Did not go to school	F	17
Cooma	Did not go to school	M	17
Cooma	Year 8	F	142
Cooma	Year 8	M	141
Cooma	Year 9	F	192
Cooma	Year 9	M	202
Cooma	Year 10	F	772
Cooma	Year 10	M	780
Cooma	Year 11	F	188
Cooma	Year 11	M	188
Cooma	Year 12	F	1322
Cooma	Year 12	M	1134
Cooma Surrounds	Year 8	F	35
Cooma Surrounds	Year 8	M	75
Cooma Surrounds	Year 9	F	98
Cooma Surrounds	Year 9	M	109
Cooma Surrounds	Year 10	F	357
Cooma Surrounds	Year 10	M	488
Cooma Surrounds	Year 11	F	98
Cooma Surrounds	Year 11	M	108
Cooma Surrounds	Year 12	F	677
Cooma Surrounds	Year 12	M	598
Jindabyne - Berridale	Did not go to school	F	6
Jindabyne - Berridale	Did not go to school	M	10
Jindabyne - Berridale	Year 8	F	63
Jindabyne - Berridale	Year 8	M	82
Jindabyne - Berridale	Year 9	F	121
Jindabyne - Berridale	Year 9	M	148
Jindabyne - Berridale	Year 10	F	558
Jindabyne - Berridale	Year 10	M	806
Jindabyne - Berridale	Year 11	F	214
Jindabyne - Berridale	Year 11	M	249
Jindabyne - Berridale	Year 12	F	2015
Jindabyne - Berridale	Year 12	M	1935
Batemans Bay	Did not go to school	F	8
Batemans Bay	Did not go to school	M	12
Batemans Bay	Year 8	F	180
Batemans Bay	Year 8	M	202
Batemans Bay	Year 9	F	316
Batemans Bay	Year 9	M	309
Batemans Bay	Year 10	F	1215
Batemans Bay	Year 10	M	1177
Batemans Bay	Year 11	F	273
Batemans Bay	Year 11	M	278
Batemans Bay	Year 12	F	1402
Batemans Bay	Year 12	M	1259
Batemans Bay - South	Did not go to school	F	8
Batemans Bay - South	Did not go to school	M	12
Batemans Bay - South	Year 8	F	172
Batemans Bay - South	Year 8	M	176
Batemans Bay - South	Year 9	F	347
Batemans Bay - South	Year 9	M	293
Batemans Bay - South	Year 10	F	1171
Batemans Bay - South	Year 10	M	1068
Batemans Bay - South	Year 11	F	290
Batemans Bay - South	Year 11	M	300
Batemans Bay - South	Year 12	F	1716
Batemans Bay - South	Year 12	M	1468
Bega - Tathra	Did not go to school	F	10
Bega - Tathra	Did not go to school	M	11
Bega - Tathra	Year 8	F	155
Bega - Tathra	Year 8	M	177
Bega - Tathra	Year 9	F	266
Bega - Tathra	Year 9	M	250
Bega - Tathra	Year 10	F	998
Bega - Tathra	Year 10	M	1032
Bega - Tathra	Year 11	F	350
Bega - Tathra	Year 11	M	312
Bega - Tathra	Year 12	F	1739
Bega - Tathra	Year 12	M	1411
Bega-Eden Hinterland	Did not go to school	F	4
Bega-Eden Hinterland	Did not go to school	M	15
Bega-Eden Hinterland	Year 8	F	135
Bega-Eden Hinterland	Year 8	M	222
Bega-Eden Hinterland	Year 9	F	255
Bega-Eden Hinterland	Year 9	M	311
Bega-Eden Hinterland	Year 10	F	1073
Bega-Eden Hinterland	Year 10	M	1269
Bega-Eden Hinterland	Year 11	F	320
Bega-Eden Hinterland	Year 11	M	340
Bega-Eden Hinterland	Year 12	F	1873
Bega-Eden Hinterland	Year 12	M	1547
Broulee - Tomakin	Did not go to school	F	6
Broulee - Tomakin	Did not go to school	M	9
