SA2_NAME21	Age5yr	Indigenous	persons
Braidwood	0-4		16
Braidwood	0-4	0	186
Braidwood	0-4	1	12
Braidwood	5-9		19
Braidwood	5-9	0	224
Braidwood	5-9	1	13
Braidwood	10-14		28
Braidwood	10-14	0	193
Braidwood	10-14	1	9
Braidwood	15-19		12
Braidwood	15-19	0	151
Braidwood	15-19	1	11
Braidwood	20-24		8
Braidwood	20-24	0	109
Braidwood	20-24	1	7
Braidwood	25-29		20
Braidwood	25-29	0	146
Braidwood	25-29	1	10
Braidwood	30-34		19
Braidwood	30-34	0	173
Braidwood	30-34	1	8
Braidwood	35-39		25
Braidwood	35-39	0	219
Braidwood	35-39	1	4
Braidwood	40-44		14
Braidwood	40-44	0	182
Braidwood	40-44	1	8
Braidwood	45-49		26
Braidwood	45-49	0	260
Braidwood	45-49	1	7
Braidwood	50-54		32
Braidwood	50-54	0	307
Braidwood	50-54	1	10
Braidwood	55-59		27
Braidwood	55-59	0	325
Braidwood	60-64		39
Braidwood	60-64	0	383
Braidwood	60-64	1	7
Braidwood	65+		83
Braidwood	65+	0	1017
Braidwood	65+	1	4
Karabar	0-4		29
Karabar	0-4	0	431
Karabar	0-4	1	63
Karabar	5-9		31
Karabar	5-9	0	427
Karabar	5-9	1	71
Karabar	10-14		46
Karabar	10-14	0	442
Karabar	10-14	1	74
Karabar	15-19		24
Karabar	15-19	0	405
Karabar	15-19	1	68
Karabar	20-24		29
Karabar	20-24	0	438
Karabar	20-24	1	52
Karabar	25-29		41
Karabar	25-29	0	547
Karabar	25-29	1	45
Karabar	30-34		46
Karabar	30-34	0	559
Karabar	30-34	1	37
Karabar	35-39		39
Karabar	35-39	0	511
Karabar	35-39	1	40
Karabar	40-44		37
Karabar	40-44	0	491
Karabar	40-44	1	28
Karabar	45-49		30
Karabar	45-49	0	483
Karabar	45-49	1	40
Karabar	50-54		16
Karabar	50-54	0	547
Karabar	50-54	1	26
Karabar	55-59		39
Karabar	55-59	0	514
Karabar	55-59	1	25
Karabar	60-64		20
Karabar	60-64	0	475
Karabar	60-64	1	27
Karabar	65+		66
Karabar	65+	0	1149
Karabar	65+	1	28
Queanbeyan	0-4		24
Queanbeyan	0-4	0	602
Queanbeyan	0-4	1	38
Queanbeyan	5-9		30
Queanbeyan	5-9	0	520
Queanbeyan	5-9	1	39
Queanbeyan	10-14		17
Queanbeyan	10-14	0	432
