SA2_NAME16	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Braidwood	0	1	529
Braidwood	0	2	31
Braidwood	1	2	685
Braidwood	1	3	178
Braidwood	1	4	179
Braidwood	1	5	77
Braidwood	1	6	42
Karabar	0	1	755
Karabar	0	2	50
Karabar	0	3	13
Karabar	0	4	3
Karabar	1	2	921
Karabar	1	3	530
Karabar	1	4	504
Karabar	1	5	196
Karabar	1	6	94
Queanbeyan	0	1	2059
Queanbeyan	0	2	140
Queanbeyan	0	3	14
Queanbeyan	0	4	14
Queanbeyan	1	2	1316
Queanbeyan	1	3	609
Queanbeyan	1	4	484
Queanbeyan	1	5	187
Queanbeyan	1	6	93
Queanbeyan - East	0	1	924
Queanbeyan - East	0	2	72
Queanbeyan - East	0	3	14
Queanbeyan - East	0	4	6
Queanbeyan - East	1	2	609
Queanbeyan - East	1	3	317
Queanbeyan - East	1	4	221
Queanbeyan - East	1	5	78
Queanbeyan - East	1	6	33
Queanbeyan West - Jerrabomberra	0	1	728
Queanbeyan West - Jerrabomberra	0	2	49
Queanbeyan West - Jerrabomberra	0	3	14
Queanbeyan West - Jerrabomberra	0	4	4
Queanbeyan West - Jerrabomberra	1	2	1236
Queanbeyan West - Jerrabomberra	1	3	813
Queanbeyan West - Jerrabomberra	1	4	953
Queanbeyan West - Jerrabomberra	1	5	385
Queanbeyan West - Jerrabomberra	1	6	127
Googong	0	1	167
Googong	0	2	12
Googong	0	3	4
Googong	1	2	526
Googong	1	3	429
Googong	1	4	545
Googong	1	5	177
Googong	1	6	67
Queanbeyan Surrounds	0	1	760
Queanbeyan Surrounds	0	2	55
Queanbeyan Surrounds	0	3	5
Queanbeyan Surrounds	1	2	1909
Queanbeyan Surrounds	1	3	907
Queanbeyan Surrounds	1	4	1034
Queanbeyan Surrounds	1	5	467
Queanbeyan Surrounds	1	6	241
Bombala	0	1	343
Bombala	0	2	18
Bombala	0	3	4
Bombala	0	4	3
Bombala	0	6	4
Bombala	1	2	372
Bombala	1	3	85
Bombala	1	4	90
Bombala	1	5	54
Bombala	1	6	19
Cooma	0	1	944
Cooma	0	2	70
Cooma	0	3	8
Cooma	0	4	3
Cooma	1	2	913
Cooma	1	3	345
Cooma	1	4	270
Cooma	1	5	127
Cooma	1	6	56
Cooma Surrounds	0	1	340
Cooma Surrounds	0	2	14
Cooma Surrounds	1	2	503
Cooma Surrounds	1	3	167
Cooma Surrounds	1	4	152
Cooma Surrounds	1	5	67
Cooma Surrounds	1	6	38
Jindabyne - Berridale	0	1	704
Jindabyne - Berridale	0	2	130
Jindabyne - Berridale	0	3	45
Jindabyne - Berridale	0	4	31
Jindabyne - Berridale	0	5	3
Jindabyne - Berridale	0	6	13
Jindabyne - Berridale	1	2	825
Jindabyne - Berridale	1	3	371
Jindabyne - Berridale	1	4	390
Jindabyne - Berridale	1	5	171
Jindabyne - Berridale	1	6	57
Batemans Bay	0	1	1129
Batemans Bay	0	2	87
Batemans Bay	0	3	13
Batemans Bay	0	4	5
Batemans Bay	1	2	1297
Batemans Bay	1	3	374
Batemans Bay	1	4	307
Batemans Bay	1	5	159
Batemans Bay	1	6	98
Batemans Bay - South	0	1	1123
Batemans Bay - South	0	2	70
Batemans Bay - South	0	3	5
Batemans Bay - South	0	4	4
Batemans Bay - South	1	2	1560
Batemans Bay - South	1	3	390
Batemans Bay - South	1	4	352
Batemans Bay - South	1	5	132
Batemans Bay - South	1	6	62
Bega - Tathra	0	1	1114
Bega - Tathra	0	2	83
Bega - Tathra	0	3	11
Bega - Tathra	1	2	1271
Bega - Tathra	1	3	427
Bega - Tathra	1	4	391
Bega - Tathra	1	5	174
Bega - Tathra	1	6	81
Bega-Eden Hinterland	0	1	965
Bega-Eden Hinterland	0	2	83
Bega-Eden Hinterland	0	3	3
Bega-Eden Hinterland	1	2	1497
Bega-Eden Hinterland	1	3	439
Bega-Eden Hinterland	1	4	398
Bega-Eden Hinterland	1	5	196
Bega-Eden Hinterland	1	6	112
Broulee - Tomakin	0	1	444
Broulee - Tomakin	0	2	26
Broulee - Tomakin	0	3	5
Broulee - Tomakin	1	2	594
Broulee - Tomakin	1	3	174
Broulee - Tomakin	1	4	172
Broulee - Tomakin	1	5	63
Broulee - Tomakin	1	6	26
Deua - Wadbilliga	1	2	5
Eden	0	1	465
Eden	0	2	38
Eden	0	3	3
Eden	1	2	529
Eden	1	3	143
Eden	1	4	110
Eden	1	5	60
Eden	1	6	34
Eurobodalla Hinterland	0	1	341
Eurobodalla Hinterland	0	2	35
Eurobodalla Hinterland	1	2	563
Eurobodalla Hinterland	1	3	146
Eurobodalla Hinterland	1	4	145
Eurobodalla Hinterland	1	5	60
Eurobodalla Hinterland	1	6	33
Merimbula - Tura Beach	0	1	1580
Merimbula - Tura Beach	0	2	113
Merimbula - Tura Beach	0	3	8
Merimbula - Tura Beach	0	4	3
Merimbula - Tura Beach	1	2	1943
Merimbula - Tura Beach	1	3	523
Merimbula - Tura Beach	1	4	439
Merimbula - Tura Beach	1	5	167
Merimbula - Tura Beach	1	6	85
Moruya - Tuross Head	0	1	1094
Moruya - Tuross Head	0	2	83
Moruya - Tuross Head	0	3	6
Moruya - Tuross Head	1	2	1510
Moruya - Tuross Head	1	3	379
Moruya - Tuross Head	1	4	319
Moruya - Tuross Head	1	5	127
Moruya - Tuross Head	1	6	59
Narooma - Bermagui	0	1	1397
Narooma - Bermagui	0	2	96
Narooma - Bermagui	0	3	9
Narooma - Bermagui	1	2	1809
Narooma - Bermagui	1	3	367
Narooma - Bermagui	1	4	302
Narooma - Bermagui	1	5	135
Narooma - Bermagui	1	6	86
Goulburn	0	1	3099
Goulburn	0	2	210
Goulburn	0	3	35
Goulburn	0	4	7
Goulburn	0	5	5
Goulburn	0	6	5
Goulburn	1	2	2990
Goulburn	1	3	1232
Goulburn	1	4	1131
Goulburn	1	5	518
Goulburn	1	6	257
Goulburn Surrounds	0	1	1280
Goulburn Surrounds	0	2	76
Goulburn Surrounds	0	3	4
Goulburn Surrounds	1	2	1942
Goulburn Surrounds	1	3	616
Goulburn Surrounds	1	4	605
Goulburn Surrounds	1	5	329
Goulburn Surrounds	1	6	196
Yass	0	1	692
Yass	0	2	29
Yass	0	3	5
Yass	1	2	830
Yass	1	3	378
Yass	1	4	334
Yass	1	5	173
Yass	1	6	80
Yass Surrounds	0	1	677
Yass Surrounds	0	2	58
Yass Surrounds	0	3	3
Yass Surrounds	1	2	1469
Yass Surrounds	1	3	635
Yass Surrounds	1	4	751
Yass Surrounds	1	5	391
Yass Surrounds	1	6	192
Young	0	1	1306
Young	0	2	94
Young	0	3	11
Young	1	2	1393
Young	1	3	514
Young	1	4	455
Young	1	5	275
Young	1	6	166
Young Surrounds	0	1	931
Young Surrounds	0	2	62
