SA2_NAME16	HomeCensusNight	Sex	persons
Braidwood	0	F	100
Braidwood	0	M	141
Braidwood	1	F	2014
Braidwood	1	M	2089
Karabar	0	F	154
Karabar	0	M	137
Karabar	1	F	4098
Karabar	1	M	4123
Queanbeyan	0	F	196
Queanbeyan	0	M	210
Queanbeyan	1	F	5442
Queanbeyan	1	M	5491
Queanbeyan - East	0	F	77
Queanbeyan - East	0	M	131
Queanbeyan - East	1	F	2365
Queanbeyan - East	1	M	2519
Queanbeyan West - Jerrabomberra	0	F	184
Queanbeyan West - Jerrabomberra	0	M	207
Queanbeyan West - Jerrabomberra	1	F	6227
Queanbeyan West - Jerrabomberra	1	M	6121
Googong	0	F	65
Googong	0	M	87
Googong	1	F	3068
Googong	1	M	3004
Queanbeyan Surrounds	0	F	338
Queanbeyan Surrounds	0	M	373
Queanbeyan Surrounds	1	F	7797
Queanbeyan Surrounds	1	M	8032
Bombala	0	F	66
Bombala	0	M	69
Bombala	1	F	1162
Bombala	1	M	1159
Cooma	0	F	148
Cooma	0	M	131
Cooma	1	F	3169
Cooma	1	M	3301
Cooma Surrounds	0	F	98
Cooma Surrounds	0	M	129
Cooma Surrounds	1	F	1558
Cooma Surrounds	1	M	1683
Jindabyne - Berridale	0	F	264
Jindabyne - Berridale	0	M	265
Jindabyne - Berridale	1	F	3579
Jindabyne - Berridale	1	M	3927
Batemans Bay	0	F	174
Batemans Bay	0	M	216
Batemans Bay	1	F	4210
Batemans Bay	1	M	3979
Batemans Bay - South	0	F	210
Batemans Bay - South	0	M	250
Batemans Bay - South	1	F	4437
Batemans Bay - South	1	M	4047
Bega - Tathra	0	F	228
Bega - Tathra	0	M	235
Bega - Tathra	1	F	4334
Bega - Tathra	1	M	4076
Bega-Eden Hinterland	0	F	230
Bega-Eden Hinterland	0	M	258
Bega-Eden Hinterland	1	F	4455
Bega-Eden Hinterland	1	M	4616
Broulee - Tomakin	0	F	125
Broulee - Tomakin	0	M	111
Broulee - Tomakin	1	F	1840
Broulee - Tomakin	1	M	1710
Deua - Wadbilliga	0	F	3
Deua - Wadbilliga	0	M	10
Deua - Wadbilliga	1	F	11
Deua - Wadbilliga	1	M	15
Eden	0	F	98
Eden	0	M	111
Eden	1	F	1653
Eden	1	M	1560
Eurobodalla Hinterland	0	F	101
Eurobodalla Hinterland	0	M	125
Eurobodalla Hinterland	1	F	1624
Eurobodalla Hinterland	1	M	1677
Merimbula - Tura Beach	0	F	356
Merimbula - Tura Beach	0	M	366
Merimbula - Tura Beach	1	F	5614
Merimbula - Tura Beach	1	M	5172
Moruya - Tuross Head	0	F	193
Moruya - Tuross Head	0	M	233
Moruya - Tuross Head	1	F	4114
Moruya - Tuross Head	1	M	4054
Narooma - Bermagui	0	F	272
Narooma - Bermagui	0	M	267
Narooma - Bermagui	1	F	4809
Narooma - Bermagui	1	M	4540
Goulburn	0	F	402
Goulburn	0	M	449
Goulburn	1	F	11951
Goulburn	1	M	11759
Goulburn Surrounds	0	F	284
Goulburn Surrounds	0	M	352
Goulburn Surrounds	1	F	6430
Goulburn Surrounds	1	M	6775
Yass	0	F	145
Yass	0	M	126
Yass	1	F	3347
Yass	1	M	3144
Yass Surrounds	0	F	266
Yass Surrounds	0	M	297
Yass Surrounds	1	F	6117
Yass Surrounds	1	M	6031
Young	0	F	250
Young	0	M	261
Young	1	F	5464
Young	1	M	5026
Young Surrounds	0	F	220
Young Surrounds	0	M	225
Young Surrounds	1	F	3565
Young Surrounds	1	M	3672
Avoca Beach - Copacabana	0	F	149
Avoca Beach - Copacabana	0	M	167
Avoca Beach - Copacabana	1	F	3642
Avoca Beach - Copacabana	1	M	3566
Box Head - MacMasters Beach	0	F	202
Box Head - MacMasters Beach	0	M	216
Box Head - MacMasters Beach	1	F	5418
Box Head - MacMasters Beach	1	M	5201
Calga - Kulnura	0	F	78
Calga - Kulnura	0	M	88
Calga - Kulnura	1	F	2195
Calga - Kulnura	1	M	2361
Erina - Green Point	0	F	226
Erina - Green Point	0	M	206
Erina - Green Point	1	F	7638
Erina - Green Point	1	M	6693
Gosford - Springfield	0	F	317
Gosford - Springfield	0	M	315
Gosford - Springfield	1	F	10582
Gosford - Springfield	1	M	9993
Kariong	0	F	53
Kariong	0	M	104
Kariong	1	F	3161
Kariong	1	M	3170
Kincumber - Picketts Valley	0	F	95
Kincumber - Picketts Valley	0	M	95
Kincumber - Picketts Valley	1	F	4054
Kincumber - Picketts Valley	1	M	3372
Narara	0	F	95
Narara	0	M	89
Narara	1	F	3560
Narara	1	M	3414
Niagara Park - Lisarow	0	F	86
Niagara Park - Lisarow	0	M	81
Niagara Park - Lisarow	1	F	4098
Niagara Park - Lisarow	1	M	3945
Point Clare - Koolewong	0	F	97
Point Clare - Koolewong	0	M	86
Point Clare - Koolewong	1	F	3269
Point Clare - Koolewong	1	M	3115
Saratoga - Davistown	0	F	103
Saratoga - Davistown	0	M	121
Saratoga - Davistown	1	F	3562
Saratoga - Davistown	1	M	3377
Terrigal - North Avoca	0	F	229
Terrigal - North Avoca	0	M	255
Terrigal - North Avoca	1	F	7307
Terrigal - North Avoca	1	M	7055
Umina - Booker Bay - Patonga	0	F	378
