SA2_NAME21	OnlyEnglishSpokenHome	Sex	persons
Braidwood	0	F	89
Braidwood	0	M	97
Braidwood	1	F	1852
Braidwood	1	M	1939
Karabar	0	F	638
Karabar	0	M	591
Karabar	1	F	3341
Karabar	1	M	3412
Queanbeyan	0	F	1286
Queanbeyan	0	M	1329
Queanbeyan	1	F	4030
Queanbeyan	1	M	4071
Queanbeyan - East	0	F	491
Queanbeyan - East	0	M	550
Queanbeyan - East	1	F	1836
Queanbeyan - East	1	M	1946
Queanbeyan West - Jerrabomberra	0	F	799
Queanbeyan West - Jerrabomberra	0	M	800
Queanbeyan West - Jerrabomberra	1	F	5389
Queanbeyan West - Jerrabomberra	1	M	5313
Googong	0	F	577
Googong	0	M	548
Googong	1	F	2447
Googong	1	M	2429
Queanbeyan Surrounds	0	F	416
Queanbeyan Surrounds	0	M	386
Queanbeyan Surrounds	1	F	7290
Queanbeyan Surrounds	1	M	7543
Bombala	0	F	37
Bombala	0	M	32
Bombala	1	F	1078
Bombala	1	M	1085
Cooma	0	F	306
Cooma	0	M	305
Cooma	1	F	2845
Cooma	1	M	2749
Cooma Surrounds	0	F	80
Cooma Surrounds	0	M	66
Cooma Surrounds	1	F	1440
Cooma Surrounds	1	M	1587
Jindabyne - Berridale	0	F	256
Jindabyne - Berridale	0	M	228
Jindabyne - Berridale	1	F	3317
Jindabyne - Berridale	1	M	3670
Batemans Bay	0	F	229
Batemans Bay	0	M	216
Batemans Bay	1	F	3867
Batemans Bay	1	M	3685
Batemans Bay - South	0	F	263
Batemans Bay - South	0	M	216
Batemans Bay - South	1	F	4052
Batemans Bay - South	1	M	3752
Bega - Tathra	0	F	194
Bega - Tathra	0	M	158
Bega - Tathra	1	F	4053
Bega - Tathra	1	M	3850
Bega-Eden Hinterland	0	F	115
Bega-Eden Hinterland	0	M	89
Bega-Eden Hinterland	1	F	4257
Bega-Eden Hinterland	1	M	4416
Broulee - Tomakin	0	F	54
Broulee - Tomakin	0	M	47
Broulee - Tomakin	1	F	1802
Broulee - Tomakin	1	M	1685
Deua - Wadbilliga	1	F	18
Deua - Wadbilliga	1	M	21
Eden	0	F	64
Eden	0	M	48
Eden	1	F	1534
Eden	1	M	1461
Eurobodalla Hinterland	0	F	52
Eurobodalla Hinterland	0	M	35
Eurobodalla Hinterland	1	F	1492
Eurobodalla Hinterland	1	M	1581
Merimbula - Tura Beach	0	F	248
Merimbula - Tura Beach	0	M	185
Merimbula - Tura Beach	1	F	5430
Merimbula - Tura Beach	1	M	5041
Moruya - Tuross Head	0	F	117
Moruya - Tuross Head	0	M	106
Moruya - Tuross Head	1	F	3844
Moruya - Tuross Head	1	M	3824
Narooma - Bermagui	0	F	223
Narooma - Bermagui	0	M	165
Narooma - Bermagui	1	F	4487
Narooma - Bermagui	1	M	4293
Goulburn	0	F	836
Goulburn	0	M	818
Goulburn	1	F	10801
Goulburn	1	M	10237
Goulburn Surrounds	0	F	234
Goulburn Surrounds	0	M	257
Goulburn Surrounds	1	F	5949
Goulburn Surrounds	1	M	6266
Yass	0	F	150
Yass	0	M	134
Yass	1	F	3183
Yass	1	M	2966
Yass Surrounds	0	F	248
Yass Surrounds	0	M	238
Yass Surrounds	1	F	5800
Yass Surrounds	1	M	5733
Young	0	F	375
Young	0	M	395
Young	1	F	5003
Young	1	M	4543
Young Surrounds	0	F	114
Young Surrounds	0	M	108
Young Surrounds	1	F	3347
Young Surrounds	1	M	3438
Avoca Beach - Copacabana	0	F	192
Avoca Beach - Copacabana	0	M	184
Avoca Beach - Copacabana	1	F	3480
Avoca Beach - Copacabana	1	M	3411
Box Head - MacMasters Beach	0	F	277
Box Head - MacMasters Beach	0	M	227
Box Head - MacMasters Beach	1	F	5138
Box Head - MacMasters Beach	1	M	4989
Calga - Kulnura	0	F	194
Calga - Kulnura	0	M	226
Calga - Kulnura	1	F	1893
Calga - Kulnura	1	M	2012
Erina - Green Point	0	F	658
Erina - Green Point	0	M	575
Erina - Green Point	1	F	6657
Erina - Green Point	1	M	5967
Gosford - Springfield	0	F	1834
Gosford - Springfield	0	M	1644
Gosford - Springfield	1	F	8477
Gosford - Springfield	1	M	8048
