SA2_NAME21	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	persons_in_families
Braidwood					29
Braidwood	0	0	0	1	85
Braidwood	0	0	1	0	14
Braidwood	0	1	0	0	137
Braidwood	0	1	0	1	24
Braidwood	0	1	1	0	41
Braidwood	0	1	1	1	13
Braidwood	1	0	0	1	259
Braidwood	1	0	1	0	61
Braidwood	1	0	1	1	69
Braidwood	1	1	0	0	837
Braidwood	1	1	0	1	52
Braidwood	1	1	1	0	200
Braidwood	1	1	1	1	12
Karabar					71
Karabar	0	0	0	1	405
Karabar	0	0	1	0	54
Karabar	0	0	1	1	42
Karabar	0	1	0	0	511
Karabar	0	1	0	1	73
Karabar	0	1	1	0	75
Karabar	0	1	1	1	29
Karabar	1	0	0	1	780
Karabar	1	0	1	0	248
Karabar	1	0	1	1	235
Karabar	1	1	0	0	2017
Karabar	1	1	0	1	184
Karabar	1	1	1	0	380
Karabar	1	1	1	1	66
Queanbeyan					149
Queanbeyan	0	0	0	1	407
Queanbeyan	0	0	1	0	91
Queanbeyan	0	0	1	1	65
Queanbeyan	0	1	0	0	517
Queanbeyan	0	1	0	1	60
Queanbeyan	0	1	1	0	55
Queanbeyan	0	1	1	1	25
Queanbeyan	1	0	0	1	525
Queanbeyan	1	0	1	0	191
Queanbeyan	1	0	1	1	115
Queanbeyan	1	1	0	0	2503
Queanbeyan	1	1	0	1	158
Queanbeyan	1	1	1	0	340
Queanbeyan	1	1	1	1	96
Queanbeyan - East					69
Queanbeyan - East	0	0	0	1	156
Queanbeyan - East	0	0	1	0	29
Queanbeyan - East	0	0	1	1	28
Queanbeyan - East	0	1	0	0	246
Queanbeyan - East	0	1	0	1	14
Queanbeyan - East	0	1	1	0	25
Queanbeyan - East	0	1	1	1	24
Queanbeyan - East	1	0	0	1	264
Queanbeyan - East	1	0	1	0	144
Queanbeyan - East	1	0	1	1	52
Queanbeyan - East	1	1	0	0	1194
Queanbeyan - East	1	1	0	1	41
Queanbeyan - East	1	1	1	0	144
Queanbeyan - East	1	1	1	1	15
Queanbeyan West - Jerrabomberra					61
Queanbeyan West - Jerrabomberra	0	0	0	1	376
Queanbeyan West - Jerrabomberra	0	0	1	0	115
Queanbeyan West - Jerrabomberra	0	0	1	1	69
Queanbeyan West - Jerrabomberra	0	1	0	0	446
Queanbeyan West - Jerrabomberra	0	1	0	1	52
Queanbeyan West - Jerrabomberra	0	1	1	0	118
Queanbeyan West - Jerrabomberra	0	1	1	1	10
Queanbeyan West - Jerrabomberra	1	0	0	1	1090
Queanbeyan West - Jerrabomberra	1	0	1	0	700
Queanbeyan West - Jerrabomberra	1	0	1	1	551
Queanbeyan West - Jerrabomberra	1	1	0	0	3947
Queanbeyan West - Jerrabomberra	1	1	0	1	195
Queanbeyan West - Jerrabomberra	1	1	1	0	926
Queanbeyan West - Jerrabomberra	1	1	1	1	219
Googong					18
Googong	0	0	0	1	66
Googong	0	0	1	0	30
Googong	0	0	1	1	14
Googong	0	1	0	0	214
Googong	0	1	0	1	19
Googong	0	1	1	0	35
Googong	0	1	1	1	8
Googong	1	0	0	1	193
Googong	1	0	1	0	134
Googong	1	0	1	1	147
Googong	1	1	0	0	3244
Googong	1	1	0	1	81
Googong	1	1	1	0	401
Googong	1	1	1	1	64
Queanbeyan Surrounds					65
Queanbeyan Surrounds	0	0	0	1	311
Queanbeyan Surrounds	0	0	1	0	74
Queanbeyan Surrounds	0	0	1	1	44
Queanbeyan Surrounds	0	1	0	0	432
Queanbeyan Surrounds	0	1	0	1	39
Queanbeyan Surrounds	0	1	1	0	117
Queanbeyan Surrounds	0	1	1	1	17
Queanbeyan Surrounds	1	0	0	1	1514
Queanbeyan Surrounds	1	0	1	0	688
Queanbeyan Surrounds	1	0	1	1	539
Queanbeyan Surrounds	1	1	0	0	4550
Queanbeyan Surrounds	1	1	0	1	259
Queanbeyan Surrounds	1	1	1	0	1021
Queanbeyan Surrounds	1	1	1	1	265
Bombala					9
Bombala	0	0	0	1	57
Bombala	0	0	1	0	13
Bombala	0	1	0	0	105
Bombala	0	1	0	1	14
Bombala	0	1	1	0	18
Bombala	0	1	1	1	14
Bombala	1	0	0	1	102
Bombala	1	0	1	0	44
Bombala	1	0	1	1	42
Bombala	1	1	0	0	478
Bombala	1	1	0	1	24
Bombala	1	1	1	0	92
Bombala	1	1	1	1	13
Cooma					37
Cooma	0	0	0	1	257
Cooma	0	0	1	0	60
Cooma	0	0	1	1	41
Cooma	0	1	0	0	321
Cooma	0	1	0	1	19
Cooma	0	1	1	0	49
Cooma	0	1	1	1	27
Cooma	1	0	0	1	424
Cooma	1	0	1	0	93
Cooma	1	0	1	1	77
Cooma	1	1	0	0	1367
Cooma	1	1	0	1	88
Cooma	1	1	1	0	253
Cooma	1	1	1	1	54
Cooma Surrounds					18
Cooma Surrounds	0	0	0	1	90
Cooma Surrounds	0	0	1	0	21
Cooma Surrounds	0	0	1	1	8
Cooma Surrounds	0	1	0	0	74
Cooma Surrounds	0	1	1	0	29
Cooma Surrounds	1	0	0	1	224
Cooma Surrounds	1	0	1	0	98
Cooma Surrounds	1	0	1	1	65
Cooma Surrounds	1	1	0	0	748
Cooma Surrounds	1	1	0	1	43
Cooma Surrounds	1	1	1	0	161
Cooma Surrounds	1	1	1	1	33
Jindabyne - Berridale					30
Jindabyne - Berridale	0	0	0	1	157
Jindabyne - Berridale	0	0	1	0	66
Jindabyne - Berridale	0	0	1	1	19
Jindabyne - Berridale	0	1	0	0	216
Jindabyne - Berridale	0	1	0	1	20
Jindabyne - Berridale	0	1	1	0	46
Jindabyne - Berridale	0	1	1	1	5
Jindabyne - Berridale	1	0	0	1	342
Jindabyne - Berridale	1	0	1	0	238
Jindabyne - Berridale	1	0	1	1	125
Jindabyne - Berridale	1	1	0	0	1683
