SA2_NAME21	medianTotalPersonalIncome
Braidwood	39520
Karabar	50700
Queanbeyan	51792
Queanbeyan - East	57408
Queanbeyan West - Jerrabomberra	70564
Googong	84708
Queanbeyan Surrounds	64636
Bombala	36608
Cooma	40092
Cooma Surrounds	41288
Jindabyne - Berridale	47424
Batemans Bay	30992
Batemans Bay - South	33176
Bega - Tathra	36608
Bega-Eden Hinterland	31356
Broulee - Tomakin	38376
Deua - Wadbilliga	24024
Eden	29796
Eurobodalla Hinterland	33228
Merimbula - Tura Beach	35308
Moruya - Tuross Head	31824
Narooma - Bermagui	30108
Goulburn	38948
Goulburn Surrounds	38220
Yass	45084
Yass Surrounds	58708
Young	34372
Young Surrounds	33592
Avoca Beach - Copacabana	47580
Box Head - MacMasters Beach	40560
Calga - Kulnura	40560
Erina - Green Point	35984
Gosford - Springfield	41392
Kariong	44200
Kincumber - Picketts Valley	35932
Narara	42328
Niagara Park - Lisarow	41496
Point Clare - Koolewong	39780
Saratoga - Davistown	40716
Terrigal - North Avoca	48516
Umina - Booker Bay - Patonga	35256
Wamberal - Forresters Beach	46644
Woy Woy - Blackwall	33384
Wyoming	36244
Bateau Bay - Killarney Vale	37388
Blue Haven - San Remo	35932
Budgewoi - Buff Point - Halekulani	33228
Chittaway Bay - Tumbi Umbi	40924
Gorokan - Kanwal - Charmhaven	32500
Jilliby - Yarramalong	44772
Lake Munmorah - Mannering Park	30888
Ourimbah - Fountaindale	43420
Summerland Point - Gwandalan	34788
The Entrance	34424
Toukley - Norah Head	33228
Tuggerah - Kangy Angy	40768
Warnervale - Wadalba	41080
Wyong	32448
Bathurst - East	41548
Bathurst Surrounds	42848
Oberon	38220
Bathurst - South	36608
Bathurst - West	45500
Condobolin	33540
Cowra	31564
Cowra Surrounds	31252
Forbes	37128
Grenfell	29900
Parkes (NSW)	37856
Parkes Surrounds	32396
West Wyalong	37960
Lithgow	31720
Lithgow Surrounds	34892
Mudgee	40872
Mudgee Surrounds - East	25688
Mudgee Surrounds - West	34528
Wollangambe - Wollemi	
Blayney	39780
Orange	38584
Orange - North	48360
Orange Surrounds	44460
Grafton	31564
Grafton Surrounds	28704
Maclean - Yamba - Iluka	29692
Bellingen	33644
Coffs Harbour - North	34060
Coffs Harbour - South	33696
Coramba - Nana Glen - Bucca	37596
Dorrigo	27664
Korora - Emerald Beach	44096
Sawtell - Boambee	35516
Urunga	31356
Woolgoolga - Arrawarra	35048
Bourke - Brewarrina	40040
Cobar	45760
Coonamble	35100
Nyngan - Warren	39000
Walgett - Lightning Ridge	28444
Broken Hill	33644
Far West	30316
Coonabarabran	28964
Dubbo - East	44200
Dubbo - South	46592
Dubbo - West	44200
Dubbo Surrounds	44876
Gilgandra	32916
Narromine	37544
Wellington	32084
Branxton - Greta - Pokolbin	46644
Cessnock	31772
Cessnock Surrounds	37856
Dungog	36920
Kurri Kurri - Abermain	36348
Singleton	42796
Singleton Surrounds	40456
Maitland	43108
Maitland - North	47892
East Maitland - Metford	39676
Rutherford (North) - Aberglasslyn	40976
