SA2_NAME21	FamilyHousehold	IncomeHousehold.max	households
Queanbeyan West - Jerrabomberra	1	183750	369
Queanbeyan West - Jerrabomberra	1	210000	287
Queanbeyan West - Jerrabomberra	1	Inf	1288
Googong	0		9
Googong	0	15750	4
Googong	0	26250	6
Googong	0	34125	6
Googong	0	52500	8
Googong	0	65625	3
Googong	0	78750	17
Googong	0	91875	26
Googong	0	105000	26
Googong	0	131250	44
Googong	0	157500	3
Googong	0	183750	15
Googong	0	Inf	16
Googong	1		78
Googong	1	0	3
Googong	1	26250	5
Googong	1	34125	4
Googong	1	42000	20
Googong	1	52500	7
Googong	1	65625	19
Googong	1	78750	26
Googong	1	91875	36
Googong	1	105000	52
Googong	1	131250	176
Googong	1	157500	224
Googong	1	183750	248
Googong	1	210000	216
Googong	1	Inf	612
Queanbeyan Surrounds	0		22
Queanbeyan Surrounds	0	0	19
Queanbeyan Surrounds	0	7875	9
Queanbeyan Surrounds	0	15750	13
Queanbeyan Surrounds	0	21000	27
Queanbeyan Surrounds	0	26250	74
Queanbeyan Surrounds	0	34125	57
Queanbeyan Surrounds	0	42000	39
Queanbeyan Surrounds	0	52500	57
Queanbeyan Surrounds	0	65625	102
Queanbeyan Surrounds	0	78750	80
Queanbeyan Surrounds	0	91875	80
Queanbeyan Surrounds	0	105000	49
Queanbeyan Surrounds	0	131250	106
Queanbeyan Surrounds	0	157500	3
Queanbeyan Surrounds	0	183750	34
Queanbeyan Surrounds	0	210000	3
Queanbeyan Surrounds	0	Inf	47
Queanbeyan Surrounds	1		362
Queanbeyan Surrounds	1	0	30
Queanbeyan Surrounds	1	7875	10
Queanbeyan Surrounds	1	15750	11
Queanbeyan Surrounds	1	21000	8
Queanbeyan Surrounds	1	26250	28
Queanbeyan Surrounds	1	34125	43
Queanbeyan Surrounds	1	42000	89
Queanbeyan Surrounds	1	52500	107
Queanbeyan Surrounds	1	65625	147
Queanbeyan Surrounds	1	78750	184
Queanbeyan Surrounds	1	91875	145
Queanbeyan Surrounds	1	105000	182
Queanbeyan Surrounds	1	131250	484
Queanbeyan Surrounds	1	157500	385
Queanbeyan Surrounds	1	183750	426
Queanbeyan Surrounds	1	210000	351
Queanbeyan Surrounds	1	Inf	1577
Bombala	0		20
Bombala	0	0	16
Bombala	0	7875	3
Bombala	0	15750	18
Bombala	0	21000	31
Bombala	0	26250	74
Bombala	0	34125	44
Bombala	0	42000	18
Bombala	0	52500	39
Bombala	0	65625	31
Bombala	0	78750	25
Bombala	0	91875	14
Bombala	0	105000	11
Bombala	0	131250	13
Bombala	0	Inf	7
Bombala	1		46
Bombala	1	0	9
Bombala	1	7875	5
Bombala	1	15750	3
Bombala	1	26250	13
Bombala	1	34125	17
Bombala	1	42000	54
Bombala	1	52500	44
Bombala	1	65625	45
Bombala	1	78750	62
Bombala	1	91875	24
Bombala	1	105000	41
Bombala	1	131250	77
Bombala	1	157500	59
Bombala	1	183750	50
Bombala	1	210000	19
Bombala	1	Inf	46
Cooma	0		52
Cooma	0	0	31
Cooma	0	7875	14
Cooma	0	15750	31
Cooma	0	21000	63
Cooma	0	26250	186
Cooma	0	34125	114
Cooma	0	42000	92
Cooma	0	52500	96
Cooma	0	65625	82
Cooma	0	78750	52
Cooma	0	91875	57
Cooma	0	105000	42
Cooma	0	131250	74
Cooma	0	157500	3
Cooma	0	183750	14
Cooma	0	210000	4
Cooma	0	Inf	24
Cooma	1		148
Cooma	1	0	14
Cooma	1	7875	6
Cooma	1	15750	7
Cooma	1	21000	11
Cooma	1	26250	35
Cooma	1	34125	31
Cooma	1	42000	143
Cooma	1	52500	97
Cooma	1	65625	124
Cooma	1	78750	129
Cooma	1	91875	91
Cooma	1	105000	102
Cooma	1	131250	240
Cooma	1	157500	150
Cooma	1	183750	132
Cooma	1	210000	85
Cooma	1	Inf	160
Cooma Surrounds	0		19
Cooma Surrounds	0	0	14
Cooma Surrounds	0	7875	5
Cooma Surrounds	0	15750	17
Cooma Surrounds	0	21000	34
Cooma Surrounds	0	26250	75
Cooma Surrounds	0	34125	34
Cooma Surrounds	0	42000	27
Cooma Surrounds	0	52500	27
Cooma Surrounds	0	65625	27
Cooma Surrounds	0	78750	20
Cooma Surrounds	0	91875	16
Cooma Surrounds	0	105000	12
Cooma Surrounds	0	131250	17
Cooma Surrounds	0	183750	4
Cooma Surrounds	0	Inf	8
Cooma Surrounds	1		92
Cooma Surrounds	1	0	11
Cooma Surrounds	1	7875	7
Cooma Surrounds	1	15750	3
Cooma Surrounds	1	21000	3
Cooma Surrounds	1	26250	13
Cooma Surrounds	1	34125	16
Cooma Surrounds	1	42000	57
Cooma Surrounds	1	52500	52
Cooma Surrounds	1	65625	56
Cooma Surrounds	1	78750	71
Cooma Surrounds	1	91875	46
Cooma Surrounds	1	105000	48
Cooma Surrounds	1	131250	108
Cooma Surrounds	1	157500	97
Cooma Surrounds	1	183750	76
Cooma Surrounds	1	210000	46
Cooma Surrounds	1	Inf	120
Jindabyne - Berridale	0		63
Jindabyne - Berridale	0	0	28
Jindabyne - Berridale	0	7875	4
Jindabyne - Berridale	0	15750	27
Jindabyne - Berridale	0	21000	49
Jindabyne - Berridale	0	26250	104
Jindabyne - Berridale	0	34125	67
Jindabyne - Berridale	0	42000	57
Jindabyne - Berridale	0	52500	88
Jindabyne - Berridale	0	65625	90
Jindabyne - Berridale	0	78750	65
Jindabyne - Berridale	0	91875	58
Jindabyne - Berridale	0	105000	61
Jindabyne - Berridale	0	131250	82
Jindabyne - Berridale	0	157500	30
Jindabyne - Berridale	0	183750	24
Jindabyne - Berridale	0	210000	3
Jindabyne - Berridale	0	Inf	44
Jindabyne - Berridale	1		164
Jindabyne - Berridale	1	0	9
Jindabyne - Berridale	1	7875	10
Jindabyne - Berridale	1	15750	5
Jindabyne - Berridale	1	21000	4
Jindabyne - Berridale	1	26250	26
Jindabyne - Berridale	1	34125	26
Jindabyne - Berridale	1	42000	69
Jindabyne - Berridale	1	52500	76
Jindabyne - Berridale	1	65625	83
Jindabyne - Berridale	1	78750	129
Jindabyne - Berridale	1	91875	91
Jindabyne - Berridale	1	105000	96
Jindabyne - Berridale	1	131250	271
Jindabyne - Berridale	1	157500	192
Jindabyne - Berridale	1	183750	178
Jindabyne - Berridale	1	210000	103
Jindabyne - Berridale	1	Inf	280
Batemans Bay	0		63
Batemans Bay	0	0	32
Batemans Bay	0	7875	13
Batemans Bay	0	15750	57
Batemans Bay	0	21000	97
Batemans Bay	0	26250	249
Batemans Bay	0	34125	157
Batemans Bay	0	42000	112
Batemans Bay	0	52500	108
Batemans Bay	0	65625	108
Batemans Bay	0	78750	88
Batemans Bay	0	91875	46
Batemans Bay	0	105000	30
Batemans Bay	0	131250	51
Batemans Bay	0	157500	5
Batemans Bay	0	183750	10
Batemans Bay	0	Inf	12
Batemans Bay	1		163
Batemans Bay	1	0	30
Batemans Bay	1	7875	13
Batemans Bay	1	15750	19
Batemans Bay	1	21000	11
Batemans Bay	1	26250	65
Batemans Bay	1	34125	66
Batemans Bay	1	42000	260
Batemans Bay	1	52500	182
Batemans Bay	1	65625	222
Batemans Bay	1	78750	264
Batemans Bay	1	91875	154
Batemans Bay	1	105000	133
Batemans Bay	1	131250	264
Batemans Bay	1	157500	145
Batemans Bay	1	183750	102
Batemans Bay	1	210000	46
Batemans Bay	1	Inf	104
Batemans Bay - South	0		75
Batemans Bay - South	0	0	33
Batemans Bay - South	0	7875	17
Batemans Bay - South	0	15750	36
Batemans Bay - South	0	21000	88
Batemans Bay - South	0	26250	234
Batemans Bay - South	0	34125	144
Batemans Bay - South	0	42000	106
Batemans Bay - South	0	52500	110
Batemans Bay - South	0	65625	106
Batemans Bay - South	0	78750	75
Batemans Bay - South	0	91875	52
Batemans Bay - South	0	105000	43
Batemans Bay - South	0	131250	45
Batemans Bay - South	0	157500	3
Batemans Bay - South	0	183750	8
Batemans Bay - South	0	210000	3
Batemans Bay - South	0	Inf	20
Batemans Bay - South	1		208
Batemans Bay - South	1	0	26
Batemans Bay - South	1	7875	20
Batemans Bay - South	1	15750	6
Batemans Bay - South	1	21000	18
Batemans Bay - South	1	26250	61
Batemans Bay - South	1	34125	59
Batemans Bay - South	1	42000	231
Batemans Bay - South	1	52500	202
Batemans Bay - South	1	65625	241
Batemans Bay - South	1	78750	289
Batemans Bay - South	1	91875	142
Batemans Bay - South	1	105000	156
Batemans Bay - South	1	131250	299
Batemans Bay - South	1	157500	175
Batemans Bay - South	1	183750	132
Batemans Bay - South	1	210000	71
Batemans Bay - South	1	Inf	155
Bega - Tathra	0		63
Bega - Tathra	0	0	38
Bega - Tathra	0	7875	20
Bega - Tathra	0	15750	44
Bega - Tathra	0	21000	76
Bega - Tathra	0	26250	244
Bega - Tathra	0	34125	154
Bega - Tathra	0	42000	109
Bega - Tathra	0	52500	115
Bega - Tathra	0	65625	113
Bega - Tathra	0	78750	61
Bega - Tathra	0	91875	51
Bega - Tathra	0	105000	36
Bega - Tathra	0	131250	55
Bega - Tathra	0	157500	7
Bega - Tathra	0	183750	12
Bega - Tathra	0	Inf	24
Bega - Tathra	1		184
Bega - Tathra	1	0	28
Bega - Tathra	1	7875	12
Bega - Tathra	1	15750	11
Bega - Tathra	1	21000	14
Bega - Tathra	1	26250	47
Bega - Tathra	1	34125	53
Bega - Tathra	1	42000	191
Bega - Tathra	1	52500	163
Bega - Tathra	1	65625	207
Bega - Tathra	1	78750	233
Bega - Tathra	1	91875	148
Bega - Tathra	1	105000	166
Bega - Tathra	1	131250	319
Bega - Tathra	1	157500	188
Bega - Tathra	1	183750	139
Bega - Tathra	1	210000	92
Bega - Tathra	1	Inf	163
Bega-Eden Hinterland	0		54
Bega-Eden Hinterland	0	0	39
Bega-Eden Hinterland	0	7875	20
Bega-Eden Hinterland	0	15750	51
Bega-Eden Hinterland	0	21000	79
Bega-Eden Hinterland	0	26250	259
Bega-Eden Hinterland	0	34125	118
Bega-Eden Hinterland	0	42000	70
Bega-Eden Hinterland	0	52500	105
Bega-Eden Hinterland	0	65625	69
Bega-Eden Hinterland	0	78750	51
Bega-Eden Hinterland	0	91875	44
Bega-Eden Hinterland	0	105000	23
Bega-Eden Hinterland	0	131250	33
Bega-Eden Hinterland	0	157500	6
Bega-Eden Hinterland	0	183750	4
Bega-Eden Hinterland	0	Inf	10
Bega-Eden Hinterland	1		241
Bega-Eden Hinterland	1	0	39
Bega-Eden Hinterland	1	7875	27
Bega-Eden Hinterland	1	15750	17
Bega-Eden Hinterland	1	21000	24
Bega-Eden Hinterland	1	26250	80
Bega-Eden Hinterland	1	34125	72
Bega-Eden Hinterland	1	42000	230
Bega-Eden Hinterland	1	52500	191
Bega-Eden Hinterland	1	65625	239
Bega-Eden Hinterland	1	78750	279
Bega-Eden Hinterland	1	91875	168
Bega-Eden Hinterland	1	105000	182
Bega-Eden Hinterland	1	131250	298
Bega-Eden Hinterland	1	157500	204
Bega-Eden Hinterland	1	183750	131
Bega-Eden Hinterland	1	210000	69
Bega-Eden Hinterland	1	Inf	152
Broulee - Tomakin	0		22
Broulee - Tomakin	0	0	15
Broulee - Tomakin	0	7875	4
Broulee - Tomakin	0	15750	10
