SA2_NAME16	Age	UsualResidence	persons
Batemans Bay - South	0-14	Home	1211
Batemans Bay - South	0-14	Visitor from ACT	12
Batemans Bay - South	0-14	Visitor from NSW	33
Batemans Bay - South	15-24	Home	680
Batemans Bay - South	15-24	Visitor from ACT	7
Batemans Bay - South	15-24	Visitor from NSW	60
Batemans Bay - South	25-34	Home	649
Batemans Bay - South	25-34	Visitor from ACT	18
Batemans Bay - South	25-34	Visitor from NSW	45
Batemans Bay - South	25-34	Visitor from QLD	4
Batemans Bay - South	35-44	Home	736
Batemans Bay - South	35-44	Visitor from ACT	13
Batemans Bay - South	35-44	Visitor from NSW	44
Batemans Bay - South	45-54	Home	1017
Batemans Bay - South	45-54	Visitor from ACT	23
Batemans Bay - South	45-54	Visitor from NSW	53
Batemans Bay - South	45-54	Visitor from QLD	5
Batemans Bay - South	45-54	Visitor from VIC	5
Batemans Bay - South	45-54	Visitor same SA2	3
Batemans Bay - South	55-64	Home	1342
Batemans Bay - South	55-64	Visitor from ACT	46
Batemans Bay - South	55-64	Visitor from NSW	73
Batemans Bay - South	55-64	Visitor from VIC	6
Batemans Bay - South	55-64	Visitor same SA2	3
Batemans Bay - South	65-74	Home	1584
Batemans Bay - South	65-74	Visitor from ACT	38
Batemans Bay - South	65-74	Visitor from NSW	29
Batemans Bay - South	65-74	Visitor from VIC	4
Batemans Bay - South	65-74	Visitor same SA2	3
Batemans Bay - South	75-84	Home	930
Batemans Bay - South	75-84	Visitor from ACT	20
Batemans Bay - South	75-84	Visitor from NSW	34
Batemans Bay - South	85+	Home	333
Batemans Bay - South	85+	Visitor from ACT	7
Batemans Bay - South	85+	Visitor from NSW	9
Bega - Tathra	0-14	Home	1512
Bega - Tathra	0-14	Visitor from ACT	6
Bega - Tathra	0-14	Visitor from NSW	53
Bega - Tathra	0-14	Visitor from VIC	4
Bega - Tathra	0-14	Visitor same SA2	3
Bega - Tathra	15-24	Home	793
Bega - Tathra	15-24	Visitor from ACT	9
Bega - Tathra	15-24	Visitor from NSW	53
Bega - Tathra	15-24	Visitor from VIC	5
Bega - Tathra	15-24	Visitor same SA2	3
Bega - Tathra	25-34	Home	806
Bega - Tathra	25-34	Visitor from ACT	4
Bega - Tathra	25-34	Visitor from NSW	59
Bega - Tathra	25-34	Visitor from VIC	3
Bega - Tathra	35-44	Home	919
Bega - Tathra	35-44	Visitor from ACT	5
Bega - Tathra	35-44	Visitor from NSW	42
Bega - Tathra	45-54	Home	1022
Bega - Tathra	45-54	Visitor from ACT	5
Bega - Tathra	45-54	Visitor from NSW	55
Bega - Tathra	45-54	Visitor from QLD	4
Bega - Tathra	45-54	Visitor from VIC	6
Bega - Tathra	45-54	Visitor same SA2	3
Bega - Tathra	55-64	Home	1313
Bega - Tathra	55-64	Visitor from ACT	5
Bega - Tathra	55-64	Visitor from NSW	61
Bega - Tathra	55-64	Visitor from QLD	5
Bega - Tathra	55-64	Visitor from VIC	8
Bega - Tathra	55-64	Visitor same SA2	10
Bega - Tathra	65-74	Home	1085
Bega - Tathra	65-74	Visitor from ACT	9
Bega - Tathra	65-74	Visitor from NSW	57
Bega - Tathra	65-74	Visitor from QLD	5
Bega - Tathra	65-74	Visitor from VIC	3
Bega - Tathra	65-74	Visitor same SA2	3
Bega - Tathra	75-84	Home	674
Bega - Tathra	75-84	Visitor from ACT	5
Bega - Tathra	75-84	Visitor from NSW	26
Bega - Tathra	75-84	Visitor from VIC	14
Bega - Tathra	85+	Home	279
Bega - Tathra	85+	Visitor from NSW	14
Bega - Tathra	85+	Visitor from VIC	3
Bega-Eden Hinterland	0-14	Home	1441
Bega-Eden Hinterland	0-14	Visitor from ACT	4
Bega-Eden Hinterland	0-14	Visitor from NSW	36
Bega-Eden Hinterland	0-14	Visitor from VIC	5
Bega-Eden Hinterland	0-14	Visitor same SA2	8
Bega-Eden Hinterland	15-24	Home	798
Bega-Eden Hinterland	15-24	Visitor from ACT	5
Bega-Eden Hinterland	15-24	Visitor from NSW	40
Bega-Eden Hinterland	15-24	Visitor from QLD	6
Bega-Eden Hinterland	15-24	Visitor from SA	4
Bega-Eden Hinterland	15-24	Visitor from VIC	5
Bega-Eden Hinterland	25-34	Home	727
Bega-Eden Hinterland	25-34	Visitor from ACT	11
Bega-Eden Hinterland	25-34	Visitor from NSW	39
Bega-Eden Hinterland	25-34	Visitor from QLD	3
Bega-Eden Hinterland	25-34	Visitor from VIC	3
Bega-Eden Hinterland	25-34	Visitor same SA2	6
Bega-Eden Hinterland	35-44	Home	843
Bega-Eden Hinterland	35-44	Visitor from ACT	11
Bega-Eden Hinterland	35-44	Visitor from NSW	28
Bega-Eden Hinterland	35-44	Visitor same SA2	8
Bega-Eden Hinterland	45-54	Home	1201
Bega-Eden Hinterland	45-54	Visitor from ACT	8
Bega-Eden Hinterland	45-54	Visitor from NSW	27
Bega-Eden Hinterland	45-54	Visitor same SA2	10
Bega-Eden Hinterland	55-64	Home	1880
Bega-Eden Hinterland	55-64	Visitor from ACT	17
Bega-Eden Hinterland	55-64	Visitor from NSW	44
Bega-Eden Hinterland	55-64	Visitor from QLD	3
Bega-Eden Hinterland	55-64	Visitor from VIC	3
Bega-Eden Hinterland	55-64	Visitor same SA2	4
Bega-Eden Hinterland	65-74	Home	1556
Bega-Eden Hinterland	65-74	Visitor from ACT	15
Bega-Eden Hinterland	65-74	Visitor from NSW	36
Bega-Eden Hinterland	65-74	Visitor from QLD	3
Bega-Eden Hinterland	65-74	Visitor from VIC	4
Bega-Eden Hinterland	65-74	Visitor same SA2	9
Bega-Eden Hinterland	75-84	Home	500
Bega-Eden Hinterland	75-84	Visitor from ACT	8
Bega-Eden Hinterland	75-84	Visitor from NSW	19
Bega-Eden Hinterland	75-84	Visitor from QLD	3
Bega-Eden Hinterland	75-84	Visitor from VIC	6
Bega-Eden Hinterland	75-84	Visitor same SA2	6
Bega-Eden Hinterland	85+	Home	122
Bega-Eden Hinterland	85+	Visitor from NSW	3
Broulee - Tomakin	0-14	Home	551
Broulee - Tomakin	0-14	Visitor from ACT	5
Broulee - Tomakin	0-14	Visitor from NSW	8
Broulee - Tomakin	15-24	Home	303
Broulee - Tomakin	15-24	Visitor from ACT	8
Broulee - Tomakin	15-24	Visitor from NSW	16
Broulee - Tomakin	25-34	Home	286
Broulee - Tomakin	25-34	Visitor from ACT	7
Broulee - Tomakin	25-34	Visitor from NSW	20
Broulee - Tomakin	35-44	Home	349
Broulee - Tomakin	35-44	Visitor from ACT	8
Broulee - Tomakin	35-44	Visitor from NSW	19
Broulee - Tomakin	35-44	Visitor from QLD	6
Broulee - Tomakin	45-54	Home	418
Broulee - Tomakin	45-54	Visitor from ACT	14
Broulee - Tomakin	45-54	Visitor from NSW	8
Broulee - Tomakin	55-64	Home	550
Broulee - Tomakin	55-64	Visitor from ACT	36
Broulee - Tomakin	55-64	Visitor from NSW	26
Broulee - Tomakin	55-64	Visitor from QLD	4
Broulee - Tomakin	55-64	Visitor same SA2	5
Broulee - Tomakin	65-74	Home	610
Broulee - Tomakin	65-74	Visitor from ACT	38
Broulee - Tomakin	65-74	Visitor from NSW	44
Broulee - Tomakin	65-74	Visitor from QLD	3
Broulee - Tomakin	75-84	Home	332
Broulee - Tomakin	75-84	Visitor from ACT	10
Broulee - Tomakin	75-84	Visitor from NSW	14
Broulee - Tomakin	75-84	Visitor same SA2	3
Broulee - Tomakin	85+	Home	153
Broulee - Tomakin	85+	Visitor from NSW	4
Deua - Wadbilliga	45-54	Home	3
Deua - Wadbilliga	55-64	Home	7
Deua - Wadbilliga	65-74	Home	14
Eden	0-14	Home	520
Eden	0-14	Visitor from ACT	3
Eden	0-14	Visitor from NSW	26
Eden	15-24	Home	272
Eden	15-24	Visitor from NSW	18
Eden	15-24	Visitor from VIC	3
Eden	25-34	Home	240
Eden	25-34	Visitor from ACT	8
Eden	25-34	Visitor from NSW	15
Eden	35-44	Home	272
Eden	35-44	Visitor from ACT	6
Eden	35-44	Visitor from NSW	22
Eden	45-54	Home	384
Eden	45-54	Visitor from ACT	6
Eden	45-54	Visitor from NSW	20
Eden	45-54	Visitor from VIC	11
Eden	45-54	Visitor same SA2	4
Eden	55-64	Home	506
Eden	55-64	Visitor from NSW	29
Eden	55-64	Visitor from VIC	8
Eden	55-64	Visitor same SA2	5
Eden	65-74	Home	573
Eden	65-74	Visitor from ACT	7
Eden	65-74	Visitor from NSW	34
Eden	65-74	Visitor from VIC	11
Eden	65-74	Visitor from WA	7
Eden	65-74	Visitor same SA2	3
Eden	75-84	Home	316
Eden	75-84	Visitor from ACT	4
Eden	75-84	Visitor from NSW	13
Eden	75-84	Visitor from VIC	3
Eden	85+	Home	124
Eden	85+	Visitor from NSW	5
Eden	85+	Visitor same SA2	5
Eurobodalla Hinterland	0-14	Home	440
Eurobodalla Hinterland	0-14	Visitor from NSW	23
Eurobodalla Hinterland	15-24	Home	305
Eurobodalla Hinterland	15-24	Visitor from ACT	5
Eurobodalla Hinterland	15-24	Visitor from NSW	25
