SA2_NAME16	Age	UsualResidence	persons
Braidwood	0-14	Home	672
Braidwood	0-14	Visitor from NSW	18
Braidwood	0-14	Visitor from QLD	3
Braidwood	15-24	Home	272
Braidwood	15-24	Visitor from NSW	26
Braidwood	25-34	Home	342
Braidwood	25-34	Visitor from ACT	10
Braidwood	25-34	Visitor from NSW	23
Braidwood	35-44	Home	433
Braidwood	35-44	Visitor from ACT	6
Braidwood	35-44	Visitor from NSW	18
Braidwood	35-44	Visitor from QLD	3
Braidwood	45-54	Home	612
Braidwood	45-54	Visitor from ACT	5
Braidwood	45-54	Visitor from NSW	35
Braidwood	45-54	Visitor from TAS	5
Braidwood	45-54	Visitor same SA2	3
Braidwood	55-64	Home	730
Braidwood	55-64	Visitor from ACT	8
Braidwood	55-64	Visitor from NSW	52
Braidwood	55-64	Visitor from QLD	5
Braidwood	55-64	Visitor from VIC	3
Braidwood	65-74	Home	610
Braidwood	65-74	Visitor from ACT	9
Braidwood	65-74	Visitor from NSW	35
Braidwood	65-74	Visitor same SA2	3
Braidwood	75-84	Home	352
Braidwood	75-84	Visitor from NSW	15
Braidwood	85+	Home	77
Braidwood	85+	Visitor from NSW	8
Braidwood	85+	Visitor same SA2	3
Karabar	0-14	Home	1602
Karabar	0-14	Visitor from ACT	5
Karabar	0-14	Visitor from NSW	16
Karabar	15-24	Home	966
Karabar	15-24	Visitor from ACT	13
Karabar	15-24	Visitor from NSW	29
Karabar	25-34	Home	1218
Karabar	25-34	Visitor from ACT	7
Karabar	25-34	Visitor from NSW	19
Karabar	35-44	Home	1109
Karabar	35-44	Visitor from ACT	7
Karabar	35-44	Visitor from NSW	10
Karabar	45-54	Home	1105
Karabar	45-54	Visitor from ACT	6
Karabar	45-54	Visitor from NSW	20
Karabar	55-64	Home	1048
Karabar	55-64	Visitor from NSW	15
Karabar	65-74	Home	718
Karabar	65-74	Visitor from NSW	16
Karabar	65-74	Visitor from VIC	4
Karabar	65-74	Visitor same SA2	4
Karabar	75-84	Home	366
Karabar	75-84	Visitor from NSW	9
Karabar	75-84	Visitor same SA2	5
Karabar	85+	Home	90
Queanbeyan	0-14	Home	1709
Queanbeyan	0-14	Visitor from ACT	16
Queanbeyan	0-14	Visitor from NSW	23
Queanbeyan	0-14	Visitor from QLD	3
Queanbeyan	15-24	Home	1076
Queanbeyan	15-24	Visitor from ACT	16
Queanbeyan	15-24	Visitor from NSW	39
Queanbeyan	15-24	Visitor from QLD	5
Queanbeyan	25-34	Home	2277
Queanbeyan	25-34	Visitor from ACT	21
Queanbeyan	25-34	Visitor from NSW	42
Queanbeyan	25-34	Visitor from QLD	3
Queanbeyan	25-34	Visitor from VIC	3
Queanbeyan	35-44	Home	1603
Queanbeyan	35-44	Visitor from ACT	17
Queanbeyan	35-44	Visitor from NSW	25
Queanbeyan	45-54	Home	1336
Queanbeyan	45-54	Visitor from ACT	8
Queanbeyan	45-54	Visitor from NSW	43
Queanbeyan	45-54	Visitor from QLD	7
Queanbeyan	45-54	Visitor from VIC	4
Queanbeyan	45-54	Visitor same SA2	4
Queanbeyan	55-64	Home	1215
Queanbeyan	55-64	Visitor from ACT	3
Queanbeyan	55-64	Visitor from NSW	50
Queanbeyan	55-64	Visitor from QLD	3
Queanbeyan	55-64	Visitor from VIC	7
Queanbeyan	65-74	Home	854
Queanbeyan	65-74	Visitor from ACT	3
Queanbeyan	65-74	Visitor from NSW	26
Queanbeyan	65-74	Visitor from QLD	3
Queanbeyan	65-74	Visitor same SA2	5
Queanbeyan	75-84	Home	524
Queanbeyan	75-84	Visitor from NSW	16
Queanbeyan	75-84	Visitor same SA2	3
Queanbeyan	85+	Home	333
Queanbeyan	85+	Visitor from ACT	6
Queanbeyan	85+	Visitor from NSW	14
Queanbeyan	85+	Visitor same SA2	3
Queanbeyan - East	0-14	Home	769
Queanbeyan - East	0-14	Visitor from ACT	5
Queanbeyan - East	0-14	Visitor from NSW	11
Queanbeyan - East	0-14	Visitor from QLD	3
Queanbeyan - East	15-24	Home	518
Queanbeyan - East	15-24	Visitor from ACT	10
Queanbeyan - East	15-24	Visitor from NSW	26
Queanbeyan - East	25-34	Home	1043
Queanbeyan - East	25-34	Visitor from ACT	8
Queanbeyan - East	25-34	Visitor from NSW	27
Queanbeyan - East	35-44	Home	730
Queanbeyan - East	35-44	Visitor from ACT	4
Queanbeyan - East	35-44	Visitor from NSW	20
Queanbeyan - East	45-54	Home	637
Queanbeyan - East	45-54	Visitor from ACT	3
Queanbeyan - East	45-54	Visitor from NSW	29
Queanbeyan - East	55-64	Home	579
Queanbeyan - East	55-64	Visitor from ACT	4
Queanbeyan - East	55-64	Visitor from NSW	28
Queanbeyan - East	55-64	Visitor from VIC	4
Queanbeyan - East	65-74	Home	370
Queanbeyan - East	65-74	Visitor from NSW	12
Queanbeyan - East	65-74	Visitor from VIC	5
Queanbeyan - East	75-84	Home	184
Queanbeyan - East	85+	Home	52
Queanbeyan West - Jerrabomberra	0-14	Home	2666
Queanbeyan West - Jerrabomberra	0-14	Visitor from ACT	15
Queanbeyan West - Jerrabomberra	0-14	Visitor from NSW	16
Queanbeyan West - Jerrabomberra	15-24	Home	1624
Queanbeyan West - Jerrabomberra	15-24	Visitor from ACT	14
Queanbeyan West - Jerrabomberra	15-24	Visitor from NSW	36
Queanbeyan West - Jerrabomberra	25-34	Home	1415
Queanbeyan West - Jerrabomberra	25-34	Visitor from ACT	24
Queanbeyan West - Jerrabomberra	25-34	Visitor from NSW	22
Queanbeyan West - Jerrabomberra	25-34	Visitor from VIC	8
Queanbeyan West - Jerrabomberra	35-44	Home	1776
Queanbeyan West - Jerrabomberra	35-44	Visitor from ACT	11
Queanbeyan West - Jerrabomberra	35-44	Visitor from NSW	13
Queanbeyan West - Jerrabomberra	45-54	Home	2115
Queanbeyan West - Jerrabomberra	45-54	Visitor from ACT	9
Queanbeyan West - Jerrabomberra	45-54	Visitor from NSW	17
Queanbeyan West - Jerrabomberra	55-64	Home	1601
Queanbeyan West - Jerrabomberra	55-64	Visitor from NSW	15
Queanbeyan West - Jerrabomberra	55-64	Visitor from QLD	3
Queanbeyan West - Jerrabomberra	55-64	Visitor from VIC	4
Queanbeyan West - Jerrabomberra	65-74	Home	760
Queanbeyan West - Jerrabomberra	65-74	Visitor from ACT	3
Queanbeyan West - Jerrabomberra	65-74	Visitor from NSW	16
Queanbeyan West - Jerrabomberra	65-74	Visitor from SA	3
Queanbeyan West - Jerrabomberra	75-84	Home	314
Queanbeyan West - Jerrabomberra	75-84	Visitor from ACT	3
Queanbeyan West - Jerrabomberra	75-84	Visitor from NSW	12
Queanbeyan West - Jerrabomberra	85+	Home	78
Googong	0-14	Home	1857
Googong	0-14	Visitor from ACT	4
Googong	0-14	Visitor from NSW	9
Googong	15-24	Home	472
Googong	15-24	Visitor from ACT	5
Googong	15-24	Visitor from NSW	8
Googong	15-24	Visitor from VIC	3
Googong	25-34	Home	1269
Googong	25-34	Visitor from ACT	11
Googong	25-34	Visitor from NSW	6
Googong	35-44	Home	1311
Googong	35-44	Visitor from ACT	3
Googong	35-44	Visitor from NSW	13
Googong	45-54	Home	678
Googong	45-54	Visitor from NSW	5
Googong	55-64	Home	272
Googong	55-64	Visitor from ACT	4
Googong	55-64	Visitor from NSW	3
Googong	65-74	Home	156
Googong	65-74	Visitor from NSW	7
Googong	75-84	Home	48
Googong	75-84	Visitor from ACT	6
Googong	85+	Home	6
Queanbeyan Surrounds	0-14	Home	3131
Queanbeyan Surrounds	0-14	Visitor from ACT	24
Queanbeyan Surrounds	0-14	Visitor from NSW	40
Queanbeyan Surrounds	15-24	Home	1762
Queanbeyan Surrounds	15-24	Visitor from ACT	28
Queanbeyan Surrounds	15-24	Visitor from NSW	50
Queanbeyan Surrounds	15-24	Visitor from VIC	3
Queanbeyan Surrounds	25-34	Home	1552
Queanbeyan Surrounds	25-34	Visitor from ACT	36
Queanbeyan Surrounds	25-34	Visitor from NSW	48
Queanbeyan Surrounds	25-34	Visitor from QLD	5
Queanbeyan Surrounds	25-34	Visitor from VIC	5
Queanbeyan Surrounds	25-34	Visitor same SA2	4
Queanbeyan Surrounds	35-44	Home	2015
Queanbeyan Surrounds	35-44	Visitor from ACT	23
Queanbeyan Surrounds	35-44	Visitor from NSW	41
Queanbeyan Surrounds	45-54	Home	2602
Queanbeyan Surrounds	45-54	Visitor from ACT	19
Queanbeyan Surrounds	45-54	Visitor from NSW	47
Queanbeyan Surrounds	45-54	Visitor from QLD	6
Queanbeyan Surrounds	45-54	Visitor same SA2	3
Queanbeyan Surrounds	55-64	Home	2412
Queanbeyan Surrounds	55-64	Visitor from ACT	14
Queanbeyan Surrounds	55-64	Visitor from NSW	53
Queanbeyan Surrounds	55-64	Visitor from QLD	8
Queanbeyan Surrounds	55-64	Visitor from VIC	6
Queanbeyan Surrounds	55-64	Visitor same SA2	9
Queanbeyan Surrounds	65-74	Home	1638
Queanbeyan Surrounds	65-74	Visitor from ACT	7
Queanbeyan Surrounds	65-74	Visitor from NSW	36
Queanbeyan Surrounds	65-74	Visitor from TAS	5
Queanbeyan Surrounds	65-74	Visitor from VIC	4
Queanbeyan Surrounds	65-74	Visitor same SA2	9
Queanbeyan Surrounds	75-84	Home	629
Queanbeyan Surrounds	75-84	Visitor from ACT	4
Queanbeyan Surrounds	75-84	Visitor from NSW	24
Queanbeyan Surrounds	75-84	Visitor same SA2	6
Queanbeyan Surrounds	85+	Home	92
Queanbeyan Surrounds	85+	Visitor from NSW	9
Bombala	0-14	Home	394
Bombala	0-14	Visitor from ACT	3
Bombala	0-14	Visitor from NSW	5
Bombala	15-24	Home	201
Bombala	15-24	Visitor from NSW	25
Bombala	15-24	Visitor same SA2	6
Bombala	25-34	Home	225
Bombala	25-34	Visitor from ACT	3
Bombala	25-34	Visitor from NSW	15
Bombala	25-34	Visitor from VIC	7
Bombala	35-44	Home	244
Bombala	35-44	Visitor from ACT	4
Bombala	35-44	Visitor from NSW	5
Bombala	35-44	Visitor from VIC	5
Bombala	45-54	Home	277
Bombala	45-54	Visitor from NSW	12
Bombala	45-54	Visitor from QLD	4
Bombala	55-64	Home	360
Bombala	55-64	Visitor from ACT	5
Bombala	55-64	Visitor from NSW	23
Bombala	65-74	Home	360
Bombala	65-74	Visitor from NSW	11
Bombala	65-74	Visitor from VIC	4
Bombala	75-84	Home	191
Bombala	75-84	Visitor from NSW	6
Bombala	85+	Home	62
Bombala	85+	Visitor from NSW	3
Cooma	0-14	Home	1084
Cooma	0-14	Visitor from ACT	3
Cooma	0-14	Visitor from NSW	15
Cooma	0-14	Visitor same SA2	4
Cooma	15-24	Home	626
Cooma	15-24	Visitor from ACT	3
Cooma	15-24	Visitor from NSW	39
Cooma	15-24	Visitor from VIC	4
Cooma	25-34	Home	806
Cooma	25-34	Visitor from ACT	10
Cooma	25-34	Visitor from NSW	57
Cooma	25-34	Visitor from QLD	5
Cooma	25-34	Visitor from SA	7
Cooma	25-34	Visitor from VIC	5
Cooma	25-34	Visitor same SA2	3
Cooma	35-44	Home	792
Cooma	35-44	Visitor from ACT	4
Cooma	35-44	Visitor from NSW	50
Cooma	35-44	Visitor from WA	4
Cooma	45-54	Home	791
Cooma	45-54	Visitor from NSW	41
Cooma	45-54	Visitor from QLD	3
Cooma	45-54	Visitor from SA	3
Cooma	45-54	Visitor from TAS	5
Cooma	45-54	Visitor from VIC	4
Cooma	45-54	Visitor from WA	5
Cooma	55-64	Home	901
Cooma	55-64	Visitor from ACT	11
Cooma	55-64	Visitor from NSW	42
Cooma	55-64	Visitor from QLD	11
Cooma	55-64	Visitor from VIC	3
Cooma	55-64	Visitor same SA2	5
Cooma	65-74	Home	715
Cooma	65-74	Visitor from ACT	4
Cooma	65-74	Visitor from NSW	27
Cooma	65-74	Visitor from QLD	5
Cooma	75-84	Home	522
Cooma	75-84	Visitor from NSW	11
Cooma	75-84	Visitor same SA2	3
Cooma	85+	Home	235
Cooma	85+	Visitor from NSW	4
Cooma Surrounds	0-14	Home	538
Cooma Surrounds	0-14	Visitor from NSW	10
Cooma Surrounds	15-24	Home	287
Cooma Surrounds	15-24	Visitor from ACT	8
Cooma Surrounds	15-24	Visitor from NSW	22
Cooma Surrounds	15-24	Visitor from QLD	4
Cooma Surrounds	15-24	Visitor from WA	5
Cooma Surrounds	15-24	Visitor same SA2	6
Cooma Surrounds	25-34	Home	256
Cooma Surrounds	25-34	Visitor from ACT	13
Cooma Surrounds	25-34	Visitor from NSW	32
Cooma Surrounds	25-34	Visitor from QLD	8
Cooma Surrounds	25-34	Visitor from SA	12
Cooma Surrounds	25-34	Visitor from VIC	4
Cooma Surrounds	35-44	Home	297
Cooma Surrounds	35-44	Visitor from NSW	27
Cooma Surrounds	35-44	Visitor from NT	4
Cooma Surrounds	35-44	Visitor from QLD	17
Cooma Surrounds	35-44	Visitor from SA	13
Cooma Surrounds	35-44	Visitor from VIC	5
Cooma Surrounds	35-44	Visitor from WA	4
Cooma Surrounds	45-54	Home	538
Cooma Surrounds	45-54	Visitor from ACT	4
Cooma Surrounds	45-54	Visitor from NSW	41
Cooma Surrounds	45-54	Visitor from QLD	14
Cooma Surrounds	45-54	Visitor from TAS	6
Cooma Surrounds	45-54	Visitor from VIC	4
Cooma Surrounds	45-54	Visitor same SA2	3
Cooma Surrounds	55-64	Home	576
Cooma Surrounds	55-64	Visitor from ACT	9
Cooma Surrounds	55-64	Visitor from NSW	24
Cooma Surrounds	55-64	Visitor from QLD	7
Cooma Surrounds	55-64	Visitor from SA	11
Cooma Surrounds	55-64	Visitor from WA	4
Cooma Surrounds	65-74	Home	432
Cooma Surrounds	65-74	Visitor from NSW	19
Cooma Surrounds	75-84	Home	254
Cooma Surrounds	75-84	Visitor from NSW	13
Cooma Surrounds	85+	Home	65
Jindabyne - Berridale	0-14	Home	1251
Jindabyne - Berridale	0-14	Visitor from ACT	113
Jindabyne - Berridale	0-14	Visitor from NSW	671
Jindabyne - Berridale	0-14	Visitor from QLD	12
Jindabyne - Berridale	0-14	Visitor from VIC	11
Jindabyne - Berridale	15-24	Home	989
Jindabyne - Berridale	15-24	Visitor from ACT	51
Jindabyne - Berridale	15-24	Visitor from NSW	892
Jindabyne - Berridale	15-24	Visitor from NT	13
Jindabyne - Berridale	15-24	Visitor from QLD	170
Jindabyne - Berridale	15-24	Visitor from SA	33
Jindabyne - Berridale	15-24	Visitor from TAS	20
Jindabyne - Berridale	15-24	Visitor from VIC	57
Jindabyne - Berridale	15-24	Visitor from WA	44
Jindabyne - Berridale	15-24	Visitor same SA2	8
Jindabyne - Berridale	25-34	Home	1248
Jindabyne - Berridale	25-34	Visitor from ACT	103
Jindabyne - Berridale	25-34	Visitor from NSW	651
Jindabyne - Berridale	25-34	Visitor from QLD	83
Jindabyne - Berridale	25-34	Visitor from SA	34
Jindabyne - Berridale	25-34	Visitor from TAS	16
Jindabyne - Berridale	25-34	Visitor from VIC	47
Jindabyne - Berridale	25-34	Visitor from WA	35
Jindabyne - Berridale	25-34	Visitor same SA2	7
Jindabyne - Berridale	35-44	Home	898
Jindabyne - Berridale	35-44	Visitor from ACT	105
Jindabyne - Berridale	35-44	Visitor from NSW	496
Jindabyne - Berridale	35-44	Visitor from QLD	23
Jindabyne - Berridale	35-44	Visitor from TAS	5
Jindabyne - Berridale	35-44	Visitor from VIC	13
Jindabyne - Berridale	35-44	Visitor same SA2	3
Jindabyne - Berridale	45-54	Home	1121
Jindabyne - Berridale	45-54	Visitor from ACT	92
Jindabyne - Berridale	45-54	Visitor from NSW	632
Jindabyne - Berridale	45-54	Visitor from QLD	37
Jindabyne - Berridale	45-54	Visitor from SA	6
Jindabyne - Berridale	45-54	Visitor from TAS	5
Jindabyne - Berridale	45-54	Visitor from VIC	10
Jindabyne - Berridale	45-54	Visitor from WA	4
Jindabyne - Berridale	55-64	Home	983
Jindabyne - Berridale	55-64	Visitor from ACT	137
Jindabyne - Berridale	55-64	Visitor from NSW	647
Jindabyne - Berridale	55-64	Visitor from QLD	24
Jindabyne - Berridale	55-64	Visitor from SA	10
Jindabyne - Berridale	55-64	Visitor from TAS	6
Jindabyne - Berridale	55-64	Visitor from VIC	16
Jindabyne - Berridale	55-64	Visitor from WA	4
Jindabyne - Berridale	55-64	Visitor same SA2	3
Jindabyne - Berridale	65-74	Home	671
Jindabyne - Berridale	65-74	Visitor from ACT	98
Jindabyne - Berridale	65-74	Visitor from NSW	360
Jindabyne - Berridale	65-74	Visitor from QLD	17
Jindabyne - Berridale	65-74	Visitor from SA	7
Jindabyne - Berridale	65-74	Visitor from TAS	7
Jindabyne - Berridale	65-74	Visitor from VIC	13
Jindabyne - Berridale	75-84	Home	275
Jindabyne - Berridale	75-84	Visitor from ACT	32
Jindabyne - Berridale	75-84	Visitor from NSW	70
Jindabyne - Berridale	75-84	Visitor from QLD	4
Jindabyne - Berridale	75-84	Visitor from SA	3
Jindabyne - Berridale	75-84	Visitor same SA2	4
Jindabyne - Berridale	85+	Home	91
Jindabyne - Berridale	85+	Visitor from NSW	7
Batemans Bay	0-14	Home	1317
Batemans Bay	0-14	Visitor from ACT	7
Batemans Bay	0-14	Visitor from NSW	52
Batemans Bay	0-14	Visitor from VIC	6
Batemans Bay	15-24	Home	720
Batemans Bay	15-24	Visitor from ACT	7
Batemans Bay	15-24	Visitor from NSW	52
Batemans Bay	25-34	Home	724
Batemans Bay	25-34	Visitor from ACT	4
Batemans Bay	25-34	Visitor from NSW	45
Batemans Bay	25-34	Visitor from QLD	7
Batemans Bay	25-34	Visitor from VIC	5
Batemans Bay	35-44	Home	760
Batemans Bay	35-44	Visitor from ACT	13
Batemans Bay	35-44	Visitor from NSW	33
Batemans Bay	35-44	Visitor from QLD	4
Batemans Bay	45-54	Home	947
Batemans Bay	45-54	Visitor from ACT	19
Batemans Bay	45-54	Visitor from NSW	44
Batemans Bay	45-54	Visitor from QLD	10
Batemans Bay	45-54	Visitor from VIC	5
Batemans Bay	45-54	Visitor same SA2	4
Batemans Bay	55-64	Home	1234
Batemans Bay	55-64	Visitor from ACT	34
Batemans Bay	55-64	Visitor from NSW	56
Batemans Bay	55-64	Visitor from QLD	4
Batemans Bay	55-64	Visitor from VIC	7
Batemans Bay	55-64	Visitor same SA2	3
Batemans Bay	65-74	Home	1386
Batemans Bay	65-74	Visitor from ACT	15
Batemans Bay	65-74	Visitor from NSW	37
Batemans Bay	65-74	Visitor from QLD	3
Batemans Bay	65-74	Visitor same SA2	3
Batemans Bay	75-84	Home	787
Batemans Bay	75-84	Visitor from ACT	5
Batemans Bay	75-84	Visitor from NSW	7
Batemans Bay	75-84	Visitor same SA2	4
Batemans Bay	85+	Home	314
Batemans Bay	85+	Visitor from NSW	5
Batemans Bay	85+	Visitor same SA2	3
