SA2_NAME16	medianMortgageRepayment
Braidwood	20784
Karabar	23400
Queanbeyan	20400
Queanbeyan - East	20400
Queanbeyan West - Jerrabomberra	27600
Googong	31200
Queanbeyan Surrounds	29004
Bombala	12996
Cooma	15600
Cooma Surrounds	19524
Jindabyne - Berridale	20748
Batemans Bay	18228
Batemans Bay - South	19200
Bega - Tathra	18204
Bega-Eden Hinterland	15600
Broulee - Tomakin	20796
Deua - Wadbilliga	9096
Eden	18204
Eurobodalla Hinterland	16644
Merimbula - Tura Beach	19200
Moruya - Tuross Head	18204
Narooma - Bermagui	18000
Goulburn	19632
Goulburn Surrounds	20796
Yass	21276
Yass Surrounds	27300
Young	15600
Young Surrounds	12996
Avoca Beach - Copacabana	29256
Box Head - MacMasters Beach	26004
Calga - Kulnura	26004
Erina - Green Point	26004
Gosford - Springfield	22620
Kariong	24960
Kincumber - Picketts Valley	25200
Narara	23916
Niagara Park - Lisarow	24000
Point Clare - Koolewong	24000
Saratoga - Davistown	26004
Terrigal - North Avoca	30000
Umina - Booker Bay - Patonga	24960
Wamberal - Forresters Beach	29208
Woy Woy - Blackwall	24000
Wyoming	23400
Bateau Bay - Killarney Vale	24000
Blue Haven - San Remo	20796
Budgewoi - Buff Point - Halekulani	20796
Chittaway Bay - Tumbi Umbi	24000
Gorokan - Kanwal - Charmhaven	20400
Jilliby - Yarramalong	31200
Lake Munmorah - Mannering Park	20796
Ourimbah - Fountaindale	24000
Summerland Point - Gwandalan	21036
The Entrance	23400
Toukley - Norah Head	23400
Tuggerah - Kangy Angy	22392
Warnervale - Wadalba	26004
Wyong	20280
Bathurst - East	21600
Bathurst Surrounds	22356
Oberon	18204
Bathurst - South	17160
Bathurst - West	20796
Condobolin	10404
Cowra	14556
Cowra Surrounds	13968
Forbes	15084
Grenfell	11436
Parkes (NSW)	15600
Parkes Surrounds	12996
West Wyalong	12996
Lithgow	17544
Lithgow Surrounds	18204
Mudgee	20796
Mudgee Surrounds - East	12996
Mudgee Surrounds - West	19812
Wollangambe - Wollemi	
Blayney	18204
Orange	18120
Orange - North	21324
Orange Surrounds	21276
Grafton	15600
Grafton Surrounds	16380
Maclean - Yamba - Iluka	18204
Bellingen	18204
Coffs Harbour - North	20796
Coffs Harbour - South	20796
Coramba - Nana Glen - Bucca	20796
Dorrigo	14400
Korora - Emerald Beach	24000
Sawtell - Boambee	20400
Urunga	20160
Woolgoolga - Arrawarra	20796
Bourke - Brewarrina	10404
Cobar	13176
Coonamble	10404
Nyngan - Warren	12996
Walgett - Lightning Ridge	10224
Broken Hill	10404
Far West	11184
Coonabarabran	10452
Dubbo - East	18204
Dubbo - South	18804
Dubbo - West	18204
Dubbo Surrounds	20796
Gilgandra	12996
Narromine	14400
Wellington	13200
Branxton - Greta - Pokolbin	23400
Cessnock	18204
Cessnock Surrounds	21948
Dungog	21840
Kurri Kurri - Abermain	19236
Singleton	21120
Singleton Surrounds	26004
Maitland	22464
Maitland - North	26004
East Maitland - Metford	20796
Rutherford (North) - Aberglasslyn	22428
Rutherford (South) - Telarah	19764
Tenambit - East Maitland	20796
Thornton - Millers Forest	24180
Anna Bay	22104
Lemon Tree Passage - Tanilba Bay	18204
Nelson Bay Peninsula	22332
Raymond Terrace	18204
Seaham - Woodville	26004
Tea Gardens - Hawks Nest	19200
Williamtown - Medowie - Karuah	22800
Muswellbrook	18204
Muswellbrook Surrounds	20796
Scone	19500
Scone Surrounds	18000
Dapto - Avondale	23400
Horsley - Kembla Grange	26232
Port Kembla Industrial	
Unanderra - Mount Kembla	24960
Berkeley - Lake Heights - Cringila	21168
Port Kembla - Warrawong	21840
Windang - Primbee	23148
Illawarra Catchment Reserve	19140
Albion Park - Macquarie Pass	26004
Albion Park Rail	21840
Kiama	26004
Kiama Downs - Minnamurra	27600
Kiama Hinterland - Gerringong	26004
Shellharbour - Flinders	26400
Shellharbour - Oak Flats	23400
Warilla	21840
Balgownie - Fairy Meadow	26628
Corrimal - Tarrawanna - Bellambi	26004
Figtree - Keiraville	27000
Helensburgh	30144
Thirroul - Austinmer - Coalcliff	31200
Woonona - Bulli - Russell Vale	28188
Wollongong - East	23844
Wollongong - West	24000
Bulahdelah - Stroud	18456
Forster	20544
Forster-Tuncurry Surrounds	18000
Tuncurry	15864
Kempsey	15600
Kempsey Surrounds	15684
Macksville - Scotts Head	16584
Nambucca Heads	15600
Nambucca Heads Surrounds	16800
South West Rocks	18204
Lord Howe Island	16800
Laurieton - Bonny Hills	20796
Port Macquarie - West	21840
Port Macquarie Surrounds	20016
Wauchope	20796
Port Macquarie - East	21036
Port Macquarie - South	21768
Gloucester	15600
Old Bar - Manning Point - Red Head	20796
Taree	15600
Taree Surrounds	18000
Wingham	16452
Albury - East	19500
Albury - North	15600
Albury - South	18204
Albury Surrounds	16644
Lavington	15600
Hay	10728
Wentworth - Buronga	15600
Wentworth-Balranald Region	12996
Corowa	14556
Corowa Surrounds	15600
Deniliquin	12996
Deniliquin Surrounds	12996
Moama	19656
Tocumwal - Finley - Jerilderie	14124
Armidale	18000
Armidale Surrounds - North	13128
Armidale Surrounds - South	17112
Walcha	12672
Glen Innes	12996
Inverell	15000
Inverell Surrounds - East	12000
Inverell Surrounds - West	12996
Tenterfield	12996
Moree	16032
Moree Surrounds	10404
Narrabri	17316
Narrabri Surrounds	13776
Gunnedah	18000
Gunnedah Surrounds	15600
Quirindi	13596
Tamworth - East	17424
Tamworth - North	18516
Tamworth - West	16644
Tamworth Surrounds	19080
Belmont - Bennetts Green	24108
Belmont South - Blacksmiths	21600
Charlestown - Dudley	24000
Glendale - Cardiff - Hillsborough	22620
Mount Hutton - Windale	21264
Redhead	27600
Swansea - Caves Beach	24960
Valentine - Eleebana	26004
Warners Bay - Boolaroo	25080
Bolton Point - Teralba	20796
Bonnells Bay - Silverwater	21396
Edgeworth - Cameron Park	24000
Morisset - Cooranbong	24000
Toronto - Awaba	20796
Wangi Wangi - Rathmines	22656
West Wallsend - Barnsley - Killingworth	21576
Adamstown - Kotara	26004
Beresfield - Hexham	17400
