SA2_NAME16	Age	Sex	persons
Braidwood	0-4	F	98
Braidwood	0-4	M	111
Braidwood	5-14	F	210
Braidwood	5-14	M	278
Braidwood	15-19	F	85
Braidwood	15-19	M	88
Braidwood	20-24	F	52
Braidwood	20-24	M	68
Braidwood	25-34	F	185
Braidwood	25-34	M	181
Braidwood	35-44	F	230
Braidwood	35-44	M	222
Braidwood	45-54	F	316
Braidwood	45-54	M	329
Braidwood	55-64	F	388
Braidwood	55-64	M	396
Braidwood	65-74	F	315
Braidwood	65-74	M	320
Braidwood	75-84	F	186
Braidwood	75-84	M	189
Braidwood	85+	F	49
Braidwood	85+	M	42
Karabar	0-4	F	252
Karabar	0-4	M	276
Karabar	5-14	F	495
Karabar	5-14	M	595
Karabar	15-19	F	249
Karabar	15-19	M	241
Karabar	20-24	F	237
Karabar	20-24	M	282
Karabar	25-34	F	632
Karabar	25-34	M	634
Karabar	35-44	F	577
Karabar	35-44	M	552
Karabar	45-54	F	591
Karabar	45-54	M	558
Karabar	55-64	F	556
Karabar	55-64	M	542
Karabar	65-74	F	377
Karabar	65-74	M	378
Karabar	75-84	F	228
Karabar	75-84	M	158
Karabar	85+	F	60
Karabar	85+	M	41
Queanbeyan	0-4	F	349
Queanbeyan	0-4	M	318
Queanbeyan	5-14	F	516
Queanbeyan	5-14	M	551
Queanbeyan	15-19	F	180
Queanbeyan	15-19	M	252
Queanbeyan	20-24	F	335
Queanbeyan	20-24	M	362
Queanbeyan	25-34	F	1185
Queanbeyan	25-34	M	1177
Queanbeyan	35-44	F	797
Queanbeyan	35-44	M	849
Queanbeyan	45-54	F	640
Queanbeyan	45-54	M	749
Queanbeyan	55-64	F	608
Queanbeyan	55-64	M	655
Queanbeyan	65-74	F	477
Queanbeyan	65-74	M	445
Queanbeyan	75-84	F	324
Queanbeyan	75-84	M	229
Queanbeyan	85+	F	227
Queanbeyan	85+	M	117
Queanbeyan - East	0-4	F	164
Queanbeyan - East	0-4	M	163
Queanbeyan - East	5-14	F	216
Queanbeyan - East	5-14	M	253
Queanbeyan - East	15-19	F	83
Queanbeyan - East	15-19	M	102
Queanbeyan - East	20-24	F	187
Queanbeyan - East	20-24	M	157
Queanbeyan - East	25-34	F	526
Queanbeyan - East	25-34	M	568
Queanbeyan - East	35-44	F	364
Queanbeyan - East	35-44	M	386
Queanbeyan - East	45-54	F	318
Queanbeyan - East	45-54	M	347
Queanbeyan - East	55-64	F	277
Queanbeyan - East	55-64	M	342
Queanbeyan - East	65-74	F	181
Queanbeyan - East	65-74	M	207
Queanbeyan - East	75-84	F	102
Queanbeyan - East	75-84	M	100
Queanbeyan - East	85+	F	36
Queanbeyan - East	85+	M	23
Queanbeyan West - Jerrabomberra	0-4	F	421
Queanbeyan West - Jerrabomberra	0-4	M	416
Queanbeyan West - Jerrabomberra	5-14	F	896
Queanbeyan West - Jerrabomberra	5-14	M	984
Queanbeyan West - Jerrabomberra	15-19	F	459
Queanbeyan West - Jerrabomberra	15-19	M	469
Queanbeyan West - Jerrabomberra	20-24	F	362
Queanbeyan West - Jerrabomberra	20-24	M	384
Queanbeyan West - Jerrabomberra	25-34	F	769
Queanbeyan West - Jerrabomberra	25-34	M	713
Queanbeyan West - Jerrabomberra	35-44	F	927
Queanbeyan West - Jerrabomberra	35-44	M	880
Queanbeyan West - Jerrabomberra	45-54	F	1146
Queanbeyan West - Jerrabomberra	45-54	M	1026
Queanbeyan West - Jerrabomberra	55-64	F	809
Queanbeyan West - Jerrabomberra	55-64	M	862
Queanbeyan West - Jerrabomberra	65-74	F	415
Queanbeyan West - Jerrabomberra	65-74	M	403
Queanbeyan West - Jerrabomberra	75-84	F	171
Queanbeyan West - Jerrabomberra	75-84	M	158
Queanbeyan West - Jerrabomberra	85+	F	39
Queanbeyan West - Jerrabomberra	85+	M	35
Googong	0-4	F	386
Googong	0-4	M	445
Googong	5-14	F	522
Googong	5-14	M	514
Googong	15-19	F	121
Googong	15-19	M	148
Googong	20-24	F	113
Googong	20-24	M	116
Googong	25-34	F	726
Googong	25-34	M	573
Googong	35-44	F	666
Googong	35-44	M	680
Googong	45-54	F	348
Googong	45-54	M	354
Googong	55-64	F	151
Googong	55-64	M	138
Googong	65-74	F	81
