SA2_NAME21	CountryOfBirth	Sex	persons
Braidwood		F	231
Braidwood		M	238
Braidwood	AUS	F	1646
Braidwood	AUS	M	1782
Braidwood	CAN	F	7
Braidwood	DEU	F	14
Braidwood	DEU	M	10
Braidwood	EGY	M	3
Braidwood	FRA	M	7
Braidwood	GBR	F	115
Braidwood	GBR	M	96
Braidwood	GRC	M	3
Braidwood	IDN	F	4
Braidwood	IND	M	8
Braidwood	IRL	F	4
Braidwood	IRL	M	4
Braidwood	MYS	F	3
Braidwood	NLD	F	13
Braidwood	NLD	M	5
Braidwood	NPL	M	4
Braidwood	NZL	F	34
Braidwood	NZL	M	34
Braidwood	PHL	F	14
Braidwood	PHL	M	5
Braidwood	POL	F	3
Braidwood	POL	M	4
Braidwood	THA	F	3
Braidwood	USA	F	12
Braidwood	USA	M	9
Braidwood	ZAF	F	4
Braidwood	ZAF	M	8
Karabar		F	374
Karabar		M	349
Karabar	AUS	F	3230
Karabar	AUS	M	3287
Karabar	BGD	F	3
Karabar	BGD	M	7
Karabar	BIH	F	7
Karabar	BIH	M	4
Karabar	CAN	F	3
Karabar	CAN	M	4
Karabar	CHL	F	3
Karabar	CHN	F	14
Karabar	CHN	M	15
Karabar	DEU	F	21
Karabar	DEU	M	15
Karabar	EGY	F	3
Karabar	EGY	M	3
Karabar	FJI	F	14
Karabar	FJI	M	15
Karabar	FRA	M	4
Karabar	GBR	F	76
Karabar	GBR	M	86
Karabar	GRC	F	12
Karabar	GRC	M	6
Karabar	HKG	F	4
Karabar	HKG	M	3
Karabar	HRV	F	26
Karabar	HRV	M	24
Karabar	IDN	F	9
Karabar	IND	F	57
Karabar	IND	M	73
Karabar	IRL	F	7
Karabar	IRL	M	10
Karabar	IRN	M	3
Karabar	ITA	F	39
Karabar	ITA	M	44
Karabar	JPN	F	6
Karabar	KHM	F	3
Karabar	KOR	F	5
Karabar	LBN	F	4
Karabar	LBN	M	3
Karabar	MKD	F	90
Karabar	MKD	M	95
Karabar	MLT	F	6
Karabar	MLT	M	4
Karabar	MMR	F	3
Karabar	MYS	F	7
Karabar	MYS	M	12
Karabar	NLD	F	5
Karabar	NLD	M	4
Karabar	NPL	F	23
Karabar	NPL	M	28
Karabar	NZL	F	50
Karabar	NZL	M	65
Karabar	PHL	F	59
Karabar	PHL	M	30
Karabar	PNG	F	7
Karabar	PNG	M	3
Karabar	POL	F	3
Karabar	POL	M	7
Karabar	SGP	M	5
Karabar	THA	F	20
Karabar	USA	F	22
Karabar	USA	M	11
Karabar	VNM	F	18
Karabar	VNM	M	5
Karabar	WSM	F	12
Karabar	WSM	M	10
Karabar	ZAF	F	6
Karabar	ZAF	M	5
Queanbeyan		F	455
Queanbeyan		M	464
Queanbeyan	AFG	F	3
Queanbeyan	AFG	M	7
Queanbeyan	AUS	F	3838
Queanbeyan	AUS	M	3858
Queanbeyan	BGD	F	34
Queanbeyan	BGD	M	43
Queanbeyan	BIH	F	3
Queanbeyan	BIH	M	4
Queanbeyan	BRA	F	14
Queanbeyan	CAN	F	16
Queanbeyan	CAN	M	12
Queanbeyan	CHN	F	36
Queanbeyan	CHN	M	19
Queanbeyan	DEU	F	25
