SA2_NAME21	Age	persons
Braidwood	0-4	207
Braidwood	5-14	487
Braidwood	15-19	173
Braidwood	20-24	122
Braidwood	25-34	369
Braidwood	35-44	455
Braidwood	45-54	641
Braidwood	55-64	785
Braidwood	65-74	643
Braidwood	75-84	380
Braidwood	85+	88
Karabar	0-4	526
Karabar	5-14	1088
Karabar	15-19	490
Karabar	20-24	515
Karabar	25-34	1265
Karabar	35-44	1133
Karabar	45-54	1148
Karabar	55-64	1094
Karabar	65-74	752
Karabar	75-84	385
Karabar	85+	99
Queanbeyan	0-4	669
Queanbeyan	5-14	1067
Queanbeyan	15-19	433
Queanbeyan	20-24	689
Queanbeyan	25-34	2368
Queanbeyan	35-44	1647
Queanbeyan	45-54	1393
Queanbeyan	55-64	1259
Queanbeyan	65-74	926
Queanbeyan	75-84	552
Queanbeyan	85+	347
Queanbeyan - East	0-4	319
Queanbeyan - East	5-14	469
Queanbeyan - East	15-19	184
Queanbeyan - East	20-24	343
Queanbeyan - East	25-34	1093
Queanbeyan - East	35-44	744
Queanbeyan - East	45-54	660
Queanbeyan - East	55-64	619
Queanbeyan - East	65-74	390
Queanbeyan - East	75-84	201
Queanbeyan - East	85+	58
Queanbeyan West - Jerrabomberra	0-4	835
Queanbeyan West - Jerrabomberra	5-14	1878
Queanbeyan West - Jerrabomberra	15-19	927
Queanbeyan West - Jerrabomberra	20-24	746
Queanbeyan West - Jerrabomberra	25-34	1479
Queanbeyan West - Jerrabomberra	35-44	1806
Queanbeyan West - Jerrabomberra	45-54	2169
Queanbeyan West - Jerrabomberra	55-64	1670
Queanbeyan West - Jerrabomberra	65-74	821
Queanbeyan West - Jerrabomberra	75-84	328
Queanbeyan West - Jerrabomberra	85+	79
Googong	0-4	838
Googong	5-14	1040
Googong	15-19	265
Googong	20-24	228
Googong	25-34	1299
Googong	35-44	1347
Googong	45-54	700
Googong	55-64	291
Googong	65-74	169
Googong	75-84	49
Googong	85+	6
Queanbeyan Surrounds	0-4	915
Queanbeyan Surrounds	5-14	2293
Queanbeyan Surrounds	15-19	1038
Queanbeyan Surrounds	20-24	816
Queanbeyan Surrounds	25-34	1628
Queanbeyan Surrounds	35-44	2079
Queanbeyan Surrounds	45-54	2694
Queanbeyan Surrounds	55-64	2560
Queanbeyan Surrounds	65-74	1751
Queanbeyan Surrounds	75-84	659
Queanbeyan Surrounds	85+	109
Bombala	0-4	103
Bombala	5-14	301
Bombala	15-19	117
Bombala	20-24	102
Bombala	25-34	236
Bombala	35-44	250
Bombala	45-54	287
Bombala	55-64	396
Bombala	65-74	386
Bombala	75-84	200
Bombala	85+	76
Cooma	0-4	388
Cooma	5-14	719
Cooma	15-19	324
Cooma	20-24	326
Cooma	25-34	860
Cooma	35-44	819
Cooma	45-54	829
Cooma	55-64	943
Cooma	65-74	765
Cooma	75-84	545
Cooma	85+	244
Cooma Surrounds	0-4	138
Cooma Surrounds	5-14	407
Cooma Surrounds	15-19	180
Cooma Surrounds	20-24	135
Cooma Surrounds	25-34	286
Cooma Surrounds	35-44	318
Cooma Surrounds	45-54	560
Cooma Surrounds	55-64	629
Cooma Surrounds	65-74	477
Cooma Surrounds	75-84	283
Cooma Surrounds	85+	66
Jindabyne - Berridale	0-4	310
Jindabyne - Berridale	5-14	985
Jindabyne - Berridale	15-19	528
Jindabyne - Berridale	20-24	554
Jindabyne - Berridale	25-34	1326
Jindabyne - Berridale	35-44	939
Jindabyne - Berridale	45-54	1198
Jindabyne - Berridale	55-64	1069
Jindabyne - Berridale	65-74	738
Jindabyne - Berridale	75-84	289
Jindabyne - Berridale	85+	88
Batemans Bay	0-4	394
Batemans Bay	5-14	943
Batemans Bay	15-19	425
Batemans Bay	20-24	327
Batemans Bay	25-34	751
Batemans Bay	35-44	790
Batemans Bay	45-54	1000
Batemans Bay	55-64	1323
Batemans Bay	65-74	1484
Batemans Bay	75-84	823
Batemans Bay	85+	319
Batemans Bay - South	0-4	360
Batemans Bay - South	5-14	873
Batemans Bay - South	15-19	417
Batemans Bay - South	20-24	307
Batemans Bay - South	25-34	700
Batemans Bay - South	35-44	763
Batemans Bay - South	45-54	1073
Batemans Bay - South	55-64	1432
Batemans Bay - South	65-74	1703
Batemans Bay - South	75-84	976
Batemans Bay - South	85+	345
Bega - Tathra	0-4	432
Bega - Tathra	5-14	1127
Bega - Tathra	15-19	461
Bega - Tathra	20-24	380
Bega - Tathra	25-34	847
Bega - Tathra	35-44	968
Bega - Tathra	45-54	1066
Bega - Tathra	55-64	1413
Bega - Tathra	65-74	1178
Bega - Tathra	75-84	704
Bega - Tathra	85+	287
Bega-Eden Hinterland	0-4	419
Bega-Eden Hinterland	5-14	1073
Bega-Eden Hinterland	15-19	515
Bega-Eden Hinterland	20-24	340
Bega-Eden Hinterland	25-34	778
Bega-Eden Hinterland	35-44	896
Bega-Eden Hinterland	45-54	1259
Bega-Eden Hinterland	55-64	1999
Bega-Eden Hinterland	65-74	1641
Bega-Eden Hinterland	75-84	525
Bega-Eden Hinterland	85+	121
Broulee - Tomakin	0-4	154
Broulee - Tomakin	5-14	417
Broulee - Tomakin	15-19	197
Broulee - Tomakin	20-24	119
Broulee - Tomakin	25-34	296
Broulee - Tomakin	35-44	380
Broulee - Tomakin	45-54	452
Broulee - Tomakin	55-64	610
Broulee - Tomakin	65-74	651
Broulee - Tomakin	75-84	350
Broulee - Tomakin	85+	163
Deua - Wadbilliga	45-54	9
Deua - Wadbilliga	55-64	10
Deua - Wadbilliga	65-74	18
Deua - Wadbilliga	75-84	3
Eden	0-4	154
Eden	5-14	385
Eden	15-19	162
Eden	20-24	127
Eden	25-34	260
Eden	35-44	283
Eden	45-54	409
Eden	55-64	548
Eden	65-74	631
Eden	75-84	327
Eden	85+	136
Eurobodalla Hinterland	0-4	140
Eurobodalla Hinterland	5-14	326
Eurobodalla Hinterland	15-19	186
Eurobodalla Hinterland	20-24	140
