SA2_NAME16	PrivateDwelling	persons
Braidwood	0	535
Braidwood	1	3878
Karabar	0	460
Karabar	1	7950
Queanbeyan	0	943
Queanbeyan	1	10410
Queanbeyan - East	0	302
Queanbeyan - East	1	4800
Queanbeyan West - Jerrabomberra	0	358
Queanbeyan West - Jerrabomberra	1	12260
Googong	0	153
Googong	1	6004
Queanbeyan Surrounds	0	1018
Queanbeyan Surrounds	1	15393
Bombala	0	312
Bombala	1	2155
Cooma	0	802
Cooma	1	6076
Cooma Surrounds	0	515
Cooma Surrounds	1	3062
Jindabyne - Berridale	0	5999
Jindabyne - Berridale	1	7489
Batemans Bay	0	889
Batemans Bay	1	7805
Batemans Bay - South	0	1033
Batemans Bay - South	1	8060
Bega - Tathra	0	806
Bega - Tathra	1	8156
Bega-Eden Hinterland	0	701
Bega-Eden Hinterland	1	8796
Broulee - Tomakin	0	422
Broulee - Tomakin	1	3450
Deua - Wadbilliga	0	5
Deua - Wadbilliga	1	26
Eden	0	501
Eden	1	2980
Eurobodalla Hinterland	0	467
Eurobodalla Hinterland	1	3092
Merimbula - Tura Beach	0	1318
Merimbula - Tura Beach	1	10388
Moruya - Tuross Head	0	885
Moruya - Tuross Head	1	7801
Narooma - Bermagui	0	1239
Narooma - Bermagui	1	8842
Goulburn	0	2907
Goulburn	1	22077
Goulburn Surrounds	0	1374
Goulburn Surrounds	1	12517
Yass	0	684
Yass	1	6216
Yass Surrounds	0	749
Yass Surrounds	1	11854
Young	0	841
Young	1	10119
Young Surrounds	0	775
Young Surrounds	1	6909
Avoca Beach - Copacabana	0	549
Avoca Beach - Copacabana	1	7042
Box Head - MacMasters Beach	0	590
Box Head - MacMasters Beach	1	10560
Calga - Kulnura	0	385
Calga - Kulnura	1	4319
Erina - Green Point	0	940
Erina - Green Point	1	13649
Gosford - Springfield	0	1631
Gosford - Springfield	1	19804
Kariong	0	235
Kariong	1	6236
Kincumber - Picketts Valley	0	419
Kincumber - Picketts Valley	1	7159
Narara	0	161
Narara	1	6953
Niagara Park - Lisarow	0	261
Niagara Park - Lisarow	1	7892
Point Clare - Koolewong	0	321
Point Clare - Koolewong	1	6191
Saratoga - Davistown	0	204
Saratoga - Davistown	1	6863
Terrigal - North Avoca	0	761
Terrigal - North Avoca	1	14116
Umina - Booker Bay - Patonga	0	1652
Umina - Booker Bay - Patonga	1	23123
Wamberal - Forresters Beach	0	321
Wamberal - Forresters Beach	1	10207
Woy Woy - Blackwall	0	987
Woy Woy - Blackwall	1	13415
Wyoming	0	729
Wyoming	1	10635
Bateau Bay - Killarney Vale	0	1465
Bateau Bay - Killarney Vale	1	21186
Blue Haven - San Remo	0	367
Blue Haven - San Remo	1	10788
Budgewoi - Buff Point - Halekulani	0	477
Budgewoi - Buff Point - Halekulani	1	9142
Chittaway Bay - Tumbi Umbi	0	598
Chittaway Bay - Tumbi Umbi	1	15274
Gorokan - Kanwal - Charmhaven	0	1629
Gorokan - Kanwal - Charmhaven	1	20562
Jilliby - Yarramalong	0	226
Jilliby - Yarramalong	1	3245
Lake Munmorah - Mannering Park	0	458
Lake Munmorah - Mannering Park	1	10347
Ourimbah - Fountaindale	0	173
Ourimbah - Fountaindale	1	4730
Summerland Point - Gwandalan	0	257
Summerland Point - Gwandalan	1	6159
The Entrance	0	1222
The Entrance	1	14711
Toukley - Norah Head	0	778
Toukley - Norah Head	1	9068
Tuggerah - Kangy Angy	0	205
Tuggerah - Kangy Angy	1	5023
Warnervale - Wadalba	0	1196
Warnervale - Wadalba	1	19026
Wyong	0	650
Wyong	1	8474
Bathurst - East	0	753
Bathurst - East	1	11461
Bathurst Surrounds	0	640
Bathurst Surrounds	1	6242
Oberon	0	790
Oberon	1	4079
Bathurst - South	0	2379
Bathurst - South	1	8661
Bathurst - West	0	757
Bathurst - West	1	13562
Condobolin	0	896
Condobolin	1	5472
Cowra	0	826
Cowra	1	8468
Cowra Surrounds	0	676
Cowra Surrounds	1	5061
Forbes	0	1186
Forbes	1	8962
Grenfell	0	271
Grenfell	1	3245
Parkes (NSW)	0	984
Parkes (NSW)	1	9971
Parkes Surrounds	0	362
Parkes Surrounds	1	2896
West Wyalong	0	824
West Wyalong	1	4929
Lithgow	0	1223
Lithgow	1	11147
Lithgow Surrounds	0	852
Lithgow Surrounds	1	7685
Mudgee	0	1081
Mudgee	1	11683
Mudgee Surrounds - East	0	396
Mudgee Surrounds - East	1	3053
Mudgee Surrounds - West	0	1202
Mudgee Surrounds - West	1	9997
Blayney	0	543
Blayney	1	6896
Orange	0	2636
Orange	1	16969
Orange - North	0	1170
Orange - North	1	21613
Orange Surrounds	0	803
Orange Surrounds	1	10988
Grafton	0	1732
Grafton	1	17600
Grafton Surrounds	0	2397
Grafton Surrounds	1	14459
Maclean - Yamba - Iluka	0	2210
Maclean - Yamba - Iluka	1	16089
Bellingen	0	581
Bellingen	1	5625
Coffs Harbour - North	0	1500
Coffs Harbour - North	1	16768
Coffs Harbour - South	0	1870
Coffs Harbour - South	1	9747
Coramba - Nana Glen - Bucca	0	308
Coramba - Nana Glen - Bucca	1	3626
Dorrigo	0	308
Dorrigo	1	2916
Korora - Emerald Beach	0	544
Korora - Emerald Beach	1	9703
Sawtell - Boambee	0	1090
Sawtell - Boambee	1	18981
Urunga	0	641
Urunga	1	4456
Woolgoolga - Arrawarra	0	1198
Woolgoolga - Arrawarra	1	13655
Bourke - Brewarrina	0	810
Bourke - Brewarrina	1	2822
Cobar	0	1111
Cobar	1	3371
Coonamble	0	698
Coonamble	1	3333
Nyngan - Warren	0	667
Nyngan - Warren	1	4107
Walgett - Lightning Ridge	0	1974
Walgett - Lightning Ridge	1	3999
Broken Hill	0	2023
Broken Hill	1	15738
Far West	0	827
Far West	1	1921
Coonabarabran	0	1432
Coonabarabran	1	6664
Dubbo - East	0	1224
Dubbo - East	1	9552
Dubbo - South	0	1915
Dubbo - South	1	17822
Dubbo - West	0	1154
Dubbo - West	1	9269
Dubbo Surrounds	0	513
Dubbo Surrounds	1	5328
Gilgandra	0	662
Gilgandra	1	3782
Narromine	0	871
Narromine	1	5539
Wellington	0	1394
Wellington	1	7028
Branxton - Greta - Pokolbin	0	592
Branxton - Greta - Pokolbin	1	12202
Cessnock	0	2993
Cessnock	1	20430
Cessnock Surrounds	0	524
Cessnock Surrounds	1	8647
Dungog	0	543
