SA3_NAME21	MaxSchoolingCompleted	Sex	persons
Queanbeyan	Did not go to school	F	114
Queanbeyan	Did not go to school	M	95
Queanbeyan	Year 8	F	777
Queanbeyan	Year 8	M	817
Queanbeyan	Year 9	F	1075
Queanbeyan	Year 9	M	1238
Queanbeyan	Year 10	F	4591
Queanbeyan	Year 10	M	5147
Queanbeyan	Year 11	F	1503
Queanbeyan	Year 11	M	1670
Queanbeyan	Year 12	F	16560
Queanbeyan	Year 12	M	15574
Snowy Mountains	Did not go to school	F	23
Snowy Mountains	Did not go to school	M	38
Snowy Mountains	Year 8	F	283
Snowy Mountains	Year 8	M	379
Snowy Mountains	Year 9	F	504
Snowy Mountains	Year 9	M	559
Snowy Mountains	Year 10	F	1953
Snowy Mountains	Year 10	M	2386
Snowy Mountains	Year 11	F	583
Snowy Mountains	Year 11	M	617
Snowy Mountains	Year 12	F	4436
Snowy Mountains	Year 12	M	3990
South Coast	Did not go to school	F	77
South Coast	Did not go to school	M	106
South Coast	Year 8	F	1354
South Coast	Year 8	M	1562
South Coast	Year 9	F	2483
South Coast	Year 9	M	2631
South Coast	Year 10	F	9246
South Coast	Year 10	M	9344
South Coast	Year 11	F	2800
South Coast	Year 11	M	2797
South Coast	Year 12	F	14940
South Coast	Year 12	M	12663
Goulburn - Mulwaree	Did not go to school	F	68
Goulburn - Mulwaree	Did not go to school	M	77
Goulburn - Mulwaree	Year 8	F	725
Goulburn - Mulwaree	Year 8	M	867
Goulburn - Mulwaree	Year 9	F	1279
Goulburn - Mulwaree	Year 9	M	1403
Goulburn - Mulwaree	Year 10	F	4574
Goulburn - Mulwaree	Year 10	M	4971
Goulburn - Mulwaree	Year 11	F	1090
Goulburn - Mulwaree	Year 11	M	1049
Goulburn - Mulwaree	Year 12	F	6824
Goulburn - Mulwaree	Year 12	M	5738
Young - Yass	Did not go to school	F	61
Young - Yass	Did not go to school	M	63
Young - Yass	Year 8	F	570
Young - Yass	Year 8	M	763
Young - Yass	Year 9	F	1093
Young - Yass	Year 9	M	1191
Young - Yass	Year 10	F	4004
Young - Yass	Year 10	M	4331
Young - Yass	Year 11	F	1145
Young - Yass	Year 11	M	1068
Young - Yass	Year 12	F	7763
Young - Yass	Year 12	M	6385
Gosford	Did not go to school	F	240
Gosford	Did not go to school	M	256
Gosford	Year 8	F	2332
Gosford	Year 8	M	2169
Gosford	Year 9	F	5310
Gosford	Year 9	M	4672
Gosford	Year 10	F	19973
Gosford	Year 10	M	18356
Gosford	Year 11	F	4726
Gosford	Year 11	M	5053
Gosford	Year 12	F	39788
Gosford	Year 12	M	35671
Wyong	Did not go to school	F	250
Wyong	Did not go to school	M	294
Wyong	Year 8	F	3030
Wyong	Year 8	M	2970
Wyong	Year 9	F	6383
Wyong	Year 9	M	5899
Wyong	Year 10	F	22649
Wyong	Year 10	M	21787
Wyong	Year 11	F	5033
Wyong	Year 11	M	5353
Wyong	Year 12	F	29178
Wyong	Year 12	M	24889
Bathurst	Did not go to school	F	74
Bathurst	Did not go to school	M	75
Bathurst	Year 8	F	715
Bathurst	Year 8	M	861
Bathurst	Year 9	F	1441
Bathurst	Year 9	M	1459
Bathurst	Year 10	F	5155
Bathurst	Year 10	M	5773
Bathurst	Year 11	F	1358
Bathurst	Year 11	M	1446
Bathurst	Year 12	F	9850
Bathurst	Year 12	M	8123
Lachlan Valley	Did not go to school	F	62
Lachlan Valley	Did not go to school	M	98
Lachlan Valley	Year 8	F	1054
Lachlan Valley	Year 8	M	1538
Lachlan Valley	Year 9	F	1914
Lachlan Valley	Year 9	M	2216
Lachlan Valley	Year 10	F	6879
Lachlan Valley	Year 10	M	7592
Lachlan Valley	Year 11	F	1631
Lachlan Valley	Year 11	M	1526
Lachlan Valley	Year 12	F	8561
Lachlan Valley	Year 12	M	6652
Lithgow - Mudgee	Did not go to school	F	48
Lithgow - Mudgee	Did not go to school	M	67
Lithgow - Mudgee	Year 8	F	892
Lithgow - Mudgee	Year 8	M	1084
Lithgow - Mudgee	Year 9	F	1754
Lithgow - Mudgee	Year 9	M	1832
Lithgow - Mudgee	Year 10	F	5907
Lithgow - Mudgee	Year 10	M	6878
Lithgow - Mudgee	Year 11	F	1321
Lithgow - Mudgee	Year 11	M	1519
Lithgow - Mudgee	Year 12	F	7948
Lithgow - Mudgee	Year 12	M	6218
Orange	Did not go to school	F	89
Orange	Did not go to school	M	127
Orange	Year 8	F	999
Orange	Year 8	M	1169
Orange	Year 9	F	1742
Orange	Year 9	M	1924
Orange	Year 10	F	6625
Orange	Year 10	M	6993
Orange	Year 11	F	1678
Orange	Year 11	M	1661
Orange	Year 12	F	12159
Orange	Year 12	M	9687
Clarence Valley	Did not go to school	F	68
Clarence Valley	Did not go to school	M	72
Clarence Valley	Year 8	F	1014
Clarence Valley	Year 8	M	1301
Clarence Valley	Year 9	F	2137
Clarence Valley	Year 9	M	2215
Clarence Valley	Year 10	F	7563
Clarence Valley	Year 10	M	7366
Clarence Valley	Year 11	F	1633
Clarence Valley	Year 11	M	1685
Clarence Valley	Year 12	F	8266
Clarence Valley	Year 12	M	6943
Coffs Harbour	Did not go to school	F	304
Coffs Harbour	Did not go to school	M	251
Coffs Harbour	Year 8	F	1559
Coffs Harbour	Year 8	M	1727
Coffs Harbour	Year 9	F	3044
Coffs Harbour	Year 9	M	2940
Coffs Harbour	Year 10	F	10746
Coffs Harbour	Year 10	M	10497
Coffs Harbour	Year 11	F	2893
Coffs Harbour	Year 11	M	2927
Coffs Harbour	Year 12	F	18290
Coffs Harbour	Year 12	M	15281
Bourke - Cobar - Coonamble	Did not go to school	F	43
Bourke - Cobar - Coonamble	Did not go to school	M	68
Bourke - Cobar - Coonamble	Year 8	F	410
Bourke - Cobar - Coonamble	Year 8	M	685
Bourke - Cobar - Coonamble	Year 9	F	727
Bourke - Cobar - Coonamble	Year 9	M	815
Bourke - Cobar - Coonamble	Year 10	F	2074
Bourke - Cobar - Coonamble	Year 10	M	2489
Bourke - Cobar - Coonamble	Year 11	F	630
Bourke - Cobar - Coonamble	Year 11	M	594
Bourke - Cobar - Coonamble	Year 12	F	3150
Bourke - Cobar - Coonamble	Year 12	M	2390
Broken Hill and Far West	Did not go to school	F	20
Broken Hill and Far West	Did not go to school	M	39
Broken Hill and Far West	Year 8	F	647
Broken Hill and Far West	Year 8	M	723
Broken Hill and Far West	Year 9	F	995
Broken Hill and Far West	Year 9	M	888
Broken Hill and Far West	Year 10	F	2605
Broken Hill and Far West	Year 10	M	2702
Broken Hill and Far West	Year 11	F	652
Broken Hill and Far West	Year 11	M	716
Broken Hill and Far West	Year 12	F	2591
Broken Hill and Far West	Year 12	M	2055
Dubbo	Did not go to school	F	84
Dubbo	Did not go to school	M	123
Dubbo	Year 8	F	1313
Dubbo	Year 8	M	1661
Dubbo	Year 9	F	2095
Dubbo	Year 9	M	2427
Dubbo	Year 10	F	8061
Dubbo	Year 10	M	8683
Dubbo	Year 11	F	2092
Dubbo	Year 11	M	1917
Dubbo	Year 12	F	13049
Dubbo	Year 12	M	10149
Lower Hunter	Did not go to school	F	111
Lower Hunter	Did not go to school	M	144
Lower Hunter	Year 8	F	1691
Lower Hunter	Year 8	M	1940
Lower Hunter	Year 9	F	3858
Lower Hunter	Year 9	M	3740
Lower Hunter	Year 10	F	12865
Lower Hunter	Year 10	M	14108
Lower Hunter	Year 11	F	3172
Lower Hunter	Year 11	M	3392
Lower Hunter	Year 12	F	14803
Lower Hunter	Year 12	M	12123
Maitland	Did not go to school	F	107
Maitland	Did not go to school	M	132
Maitland	Year 8	F	1322
Maitland	Year 8	M	1292
Maitland	Year 9	F	3082
Maitland	Year 9	M	2712
Maitland	Year 10	F	10741
Maitland	Year 10	M	10705
Maitland	Year 11	F	2634
Maitland	Year 11	M	2923
Maitland	Year 12	F	16082
Maitland	Year 12	M	13476
Port Stephens	Did not go to school	F	93
Port Stephens	Did not go to school	M	101
Port Stephens	Year 8	F	1234
Port Stephens	Year 8	M	1407
Port Stephens	Year 9	F	3039
Port Stephens	Year 9	M	2905
Port Stephens	Year 10	F	10694
Port Stephens	Year 10	M	10572
Port Stephens	Year 11	F	2397
Port Stephens	Year 11	M	2680
Port Stephens	Year 12	F	13014
