SA3_NAME21	FamilyHousehold	IncomeHousehold.max	households
Queanbeyan	0		187
Queanbeyan	0	0	154
Queanbeyan	0	7875	50
Queanbeyan	0	15750	144
Queanbeyan	0	21000	292
Queanbeyan	0	26250	712
Queanbeyan	0	34125	448
Queanbeyan	0	42000	374
Queanbeyan	0	52500	483
Queanbeyan	0	65625	698
Queanbeyan	0	78750	566
Queanbeyan	0	91875	578
Queanbeyan	0	105000	479
Queanbeyan	0	131250	765
Queanbeyan	0	157500	61
Queanbeyan	0	183750	180
Queanbeyan	0	210000	19
Queanbeyan	0	Inf	232
Queanbeyan	1		1191
Queanbeyan	1	0	100
Queanbeyan	1	7875	40
Queanbeyan	1	15750	42
Queanbeyan	1	21000	56
Queanbeyan	1	26250	151
Queanbeyan	1	34125	182
Queanbeyan	1	42000	452
Queanbeyan	1	52500	517
Queanbeyan	1	65625	594
Queanbeyan	1	78750	813
Queanbeyan	1	91875	722
Queanbeyan	1	105000	841
Queanbeyan	1	131250	2009
Queanbeyan	1	157500	1729
Queanbeyan	1	183750	1745
Queanbeyan	1	210000	1332
Queanbeyan	1	Inf	4645
Snowy Mountains	0		158
Snowy Mountains	0	0	92
Snowy Mountains	0	7875	28
Snowy Mountains	0	15750	85
Snowy Mountains	0	21000	173
Snowy Mountains	0	26250	432
Snowy Mountains	0	34125	253
Snowy Mountains	0	42000	193
Snowy Mountains	0	52500	248
Snowy Mountains	0	65625	231
Snowy Mountains	0	78750	160
Snowy Mountains	0	91875	153
Snowy Mountains	0	105000	134
Snowy Mountains	0	131250	193
Snowy Mountains	0	157500	34
Snowy Mountains	0	183750	47
Snowy Mountains	0	210000	13
Snowy Mountains	0	Inf	77
Snowy Mountains	1		450
Snowy Mountains	1	0	43
Snowy Mountains	1	7875	23
Snowy Mountains	1	15750	20
Snowy Mountains	1	21000	19
Snowy Mountains	1	26250	87
Snowy Mountains	1	34125	90
Snowy Mountains	1	42000	323
Snowy Mountains	1	52500	266
Snowy Mountains	1	65625	313
Snowy Mountains	1	78750	391
Snowy Mountains	1	91875	253
Snowy Mountains	1	105000	287
Snowy Mountains	1	131250	691
Snowy Mountains	1	157500	503
Snowy Mountains	1	183750	429
Snowy Mountains	1	210000	250
Snowy Mountains	1	Inf	616
South Coast	0		565
South Coast	0	0	311
South Coast	0	7875	155
South Coast	0	15750	378
South Coast	0	21000	764
South Coast	0	26250	2218
South Coast	0	34125	1394
South Coast	0	42000	892
South Coast	0	52500	970
South Coast	0	65625	897
South Coast	0	78750	560
South Coast	0	91875	421
South Coast	0	105000	288
South Coast	0	131250	384
South Coast	0	157500	34
South Coast	0	183750	83
South Coast	0	210000	6
South Coast	0	Inf	146
South Coast	1		1709
South Coast	1	0	239
South Coast	1	7875	148
South Coast	1	15750	105
South Coast	1	21000	137
South Coast	1	26250	503
South Coast	1	34125	520
South Coast	1	42000	2055
South Coast	1	52500	1658
South Coast	1	65625	1915
South Coast	1	78750	2218
South Coast	1	91875	1300
South Coast	1	105000	1374
South Coast	1	131250	2474
South Coast	1	157500	1564
South Coast	1	183750	1074
South Coast	1	210000	596
South Coast	1	Inf	1253
Goulburn - Mulwaree	0		259
Goulburn - Mulwaree	0	0	158
Goulburn - Mulwaree	0	7875	70
Goulburn - Mulwaree	0	15750	179
Goulburn - Mulwaree	0	21000	335
Goulburn - Mulwaree	0	26250	941
Goulburn - Mulwaree	0	34125	538
Goulburn - Mulwaree	0	42000	310
Goulburn - Mulwaree	0	52500	421
Goulburn - Mulwaree	0	65625	429
Goulburn - Mulwaree	0	78750	259
Goulburn - Mulwaree	0	91875	222
Goulburn - Mulwaree	0	105000	159
Goulburn - Mulwaree	0	131250	269
Goulburn - Mulwaree	0	157500	34
Goulburn - Mulwaree	0	183750	54
Goulburn - Mulwaree	0	210000	5
Goulburn - Mulwaree	0	Inf	78
Goulburn - Mulwaree	1		765
Goulburn - Mulwaree	1	0	103
Goulburn - Mulwaree	1	7875	52
Goulburn - Mulwaree	1	15750	43
Goulburn - Mulwaree	1	21000	54
Goulburn - Mulwaree	1	26250	170
Goulburn - Mulwaree	1	34125	211
Goulburn - Mulwaree	1	42000	688
Goulburn - Mulwaree	1	52500	549
Goulburn - Mulwaree	1	65625	631
Goulburn - Mulwaree	1	78750	830
Goulburn - Mulwaree	1	91875	603
Goulburn - Mulwaree	1	105000	618
Goulburn - Mulwaree	1	131250	1321
Goulburn - Mulwaree	1	157500	976
Goulburn - Mulwaree	1	183750	727
Goulburn - Mulwaree	1	210000	483
Goulburn - Mulwaree	1	Inf	997
Young - Yass	0		221
Young - Yass	0	0	117
Young - Yass	0	7875	51
Young - Yass	0	15750	117
Young - Yass	0	21000	289
Young - Yass	0	26250	786
Young - Yass	0	34125	399
Young - Yass	0	42000	297
Young - Yass	0	52500	362
Young - Yass	0	65625	383
Young - Yass	0	78750	207
Young - Yass	0	91875	173
Young - Yass	0	105000	137
Young - Yass	0	131250	189
Young - Yass	0	157500	32
Young - Yass	0	183750	45
Young - Yass	0	Inf	86
Young - Yass	1		891
Young - Yass	1	0	101
Young - Yass	1	7875	42
Young - Yass	1	15750	53
Young - Yass	1	21000	44
Young - Yass	1	26250	188
Young - Yass	1	34125	181
Young - Yass	1	42000	600
Young - Yass	1	52500	536
Young - Yass	1	65625	620
Young - Yass	1	78750	744
Young - Yass	1	91875	552
Young - Yass	1	105000	583
Young - Yass	1	131250	1141
Young - Yass	1	157500	858
Young - Yass	1	183750	763
Young - Yass	1	210000	505
Young - Yass	1	Inf	1612
Gosford	0		1057
Gosford	0	0	715
Gosford	0	7875	288
Gosford	0	15750	651
Gosford	0	21000	1344
Gosford	0	26250	3823
Gosford	0	34125	2769
Gosford	0	42000	1620
Gosford	0	52500	1772
Gosford	0	65625	1664
Gosford	0	78750	1249
Gosford	0	91875	1012
Gosford	0	105000	817
Gosford	0	131250	1147
Gosford	0	157500	171
Gosford	0	183750	302
Gosford	0	210000	55
Gosford	0	Inf	481
Gosford	1		3082
Gosford	1	0	470
Gosford	1	7875	201
Gosford	1	15750	182
Gosford	1	21000	215
Gosford	1	26250	700
Gosford	1	34125	799
Gosford	1	42000	2858
Gosford	1	52500	2519
Gosford	1	65625	3082
Gosford	1	78750	3640
Gosford	1	91875	2580
Gosford	1	105000	2741
Gosford	1	131250	5877
Gosford	1	157500	4635
Gosford	1	183750	4005
Gosford	1	210000	2544
Gosford	1	Inf	7528
Wyong	0		1037
Wyong	0	0	678
Wyong	0	7875	218
Wyong	0	15750	561
Wyong	0	21000	1388
Wyong	0	26250	3879
Wyong	0	34125	2539
Wyong	0	42000	1355
Wyong	0	52500	1685
Wyong	0	65625	1625
Wyong	0	78750	1055
Wyong	0	91875	828
Wyong	0	105000	598
Wyong	0	131250	787
Wyong	0	157500	106
Wyong	0	183750	166
Wyong	0	210000	41
Wyong	0	Inf	227
Wyong	1		3229
Wyong	1	0	440
Wyong	1	7875	157
Wyong	1	15750	156
Wyong	1	21000	238
Wyong	1	26250	791
Wyong	1	34125	963
Wyong	1	42000	3403
Wyong	1	52500	2834
Wyong	1	65625	3206
Wyong	1	78750	3727
Wyong	1	91875	2727
Wyong	1	105000	2869
Wyong	1	131250	5986
Wyong	1	157500	4401
Wyong	1	183750	3248
Wyong	1	210000	1959
Wyong	1	Inf	4028
Bathurst	0		267
Bathurst	0	0	163
Bathurst	0	7875	69
Bathurst	0	15750	158
Bathurst	0	21000	372
Bathurst	0	26250	910
Bathurst	0	34125	618
Bathurst	0	42000	397
Bathurst	0	52500	528
Bathurst	0	65625	531
Bathurst	0	78750	391
Bathurst	0	91875	349
Bathurst	0	105000	239
Bathurst	0	131250	370
Bathurst	0	157500	55
Bathurst	0	183750	65
Bathurst	0	210000	9
Bathurst	0	Inf	89
Bathurst	1		1042
Bathurst	1	0	99
Bathurst	1	7875	54
Bathurst	1	15750	46
Bathurst	1	21000	64
Bathurst	1	26250	204
Bathurst	1	34125	213
Bathurst	1	42000	718
Bathurst	1	52500	675
Bathurst	1	65625	871
Bathurst	1	78750	959
Bathurst	1	91875	724
Bathurst	1	105000	775
Bathurst	1	131250	1670
Bathurst	1	157500	1320
Bathurst	1	183750	950
Bathurst	1	210000	674
Bathurst	1	Inf	1343
Lachlan Valley	0		484
Lachlan Valley	0	0	235
Lachlan Valley	0	7875	108
Lachlan Valley	0	15750	269
Lachlan Valley	0	21000	584
Lachlan Valley	0	26250	1567
Lachlan Valley	0	34125	747
Lachlan Valley	0	42000	523
Lachlan Valley	0	52500	650
Lachlan Valley	0	65625	610
Lachlan Valley	0	78750	380
Lachlan Valley	0	91875	269
Lachlan Valley	0	105000	194
Lachlan Valley	0	131250	321
Lachlan Valley	0	157500	20
Lachlan Valley	0	183750	53
Lachlan Valley	0	210000	11
Lachlan Valley	0	Inf	99
Lachlan Valley	1		1393
