SA3_NAME16	Age	MaritalStatus	Registered	adults
Queanbeyan	15-19	Married	0	43
Queanbeyan	15-19	Never married		3269
Queanbeyan	20-24	Married	0	531
Queanbeyan	20-24	Married	1	120
Queanbeyan	20-24	Never married		2471
Queanbeyan	25-34	Married	0	2092
Queanbeyan	25-34	Married	1	3519
Queanbeyan	25-34	Never married		3061
Queanbeyan	35-44	Married	0	1266
Queanbeyan	35-44	Married	1	5401
Queanbeyan	35-44	Never married		1939
Queanbeyan	45-54	Married	0	1115
Queanbeyan	45-54	Married	1	5545
Queanbeyan	45-54	Never married		2119
Queanbeyan	55-64	Married	0	733
Queanbeyan	55-64	Married	1	4596
Queanbeyan	55-64	Never married		2148
Queanbeyan	65-74	Married	0	303
Queanbeyan	65-74	Married	1	3080
Queanbeyan	65-74	Never married		1472
Queanbeyan	75-84	Married	0	58
Queanbeyan	75-84	Married	1	1256
Queanbeyan	75-84	Never married		927
Queanbeyan	85+	Married	0	3
Queanbeyan	85+	Married	1	214
Queanbeyan	85+	Never married		345
Snowy Mountains	15-19	Married	0	13
Snowy Mountains	15-19	Never married		969
Snowy Mountains	20-24	Married	0	171
Snowy Mountains	20-24	Married	1	15
Snowy Mountains	20-24	Never married		720
Snowy Mountains	25-34	Married	0	658
Snowy Mountains	25-34	Married	1	512
Snowy Mountains	25-34	Never married		965
Snowy Mountains	35-44	Married	0	374
Snowy Mountains	35-44	Married	1	1093
Snowy Mountains	35-44	Never married		496
Snowy Mountains	45-54	Married	0	363
Snowy Mountains	45-54	Married	1	1445
Snowy Mountains	45-54	Never married		660
Snowy Mountains	55-64	Married	0	294
Snowy Mountains	55-64	Married	1	1502
Snowy Mountains	55-64	Never married		820
Snowy Mountains	65-74	Married	0	142
Snowy Mountains	65-74	Married	1	1190
Snowy Mountains	65-74	Never married		690
Snowy Mountains	75-84	Married	0	39
Snowy Mountains	75-84	Married	1	664
Snowy Mountains	75-84	Never married		436
Snowy Mountains	85+	Married	0	7
Snowy Mountains	85+	Married	1	117
Snowy Mountains	85+	Never married		213
South Coast	15-19	Married	0	61
