SA3_NAME16	Religion	Denomination	Sex	persons
Queanbeyan	(Other)		F	1977
Queanbeyan	(Other)		M	2228
Queanbeyan	(Other)	(Other)	F	138
Queanbeyan	(Other)	(Other)	M	93
Queanbeyan	(Other)	Australian Aboriginal Traditional	F	6
Queanbeyan	(Other)	Australian Aboriginal Traditional	M	8
Queanbeyan	(Other)	Other spiritual beliefs	F	46
Queanbeyan	(Other)	Other spiritual beliefs	M	41
Queanbeyan	(Other)	Secular beliefs	F	110
Queanbeyan	(Other)	Secular beliefs	M	132
Queanbeyan	(Other)	Sikhism	F	327
Queanbeyan	(Other)	Sikhism	M	406
Queanbeyan	Buddhism		F	307
Queanbeyan	Buddhism		M	248
Queanbeyan	Christianity		F	821
Queanbeyan	Christianity		M	769
Queanbeyan	Christianity	(Other)	F	21
Queanbeyan	Christianity	(Other)	M	25
Queanbeyan	Christianity	Anglican	F	4470
Queanbeyan	Christianity	Anglican	M	3872
Queanbeyan	Christianity	Baptist	F	233
Queanbeyan	Christianity	Baptist	M	234
Queanbeyan	Christianity	Brethren	F	103
Queanbeyan	Christianity	Brethren	M	103
Queanbeyan	Christianity	Catholic	F	7975
Queanbeyan	Christianity	Catholic	M	7472
Queanbeyan	Christianity	Churches Of Christ	F	11
Queanbeyan	Christianity	Churches Of Christ	M	3
Queanbeyan	Christianity	Eastern Orthodox	F	764
Queanbeyan	Christianity	Eastern Orthodox	M	810
Queanbeyan	Christianity	Jehovah's Witnesses	F	64
Queanbeyan	Christianity	Jehovah's Witnesses	M	47
Queanbeyan	Christianity	Latter Day Saints	F	52
Queanbeyan	Christianity	Latter Day Saints	M	53
Queanbeyan	Christianity	Lutheran	F	166
Queanbeyan	Christianity	Lutheran	M	134
Queanbeyan	Christianity	Oriental Orthodox	F	24
Queanbeyan	Christianity	Oriental Orthodox	M	24
Queanbeyan	Christianity	Pentecostal	F	268
Queanbeyan	Christianity	Pentecostal	M	218
Queanbeyan	Christianity	Presbyterian Reformed	F	546
Queanbeyan	Christianity	Presbyterian Reformed	M	471
Queanbeyan	Christianity	Protestant (Other)	F	102
Queanbeyan	Christianity	Protestant (Other)	M	108
Queanbeyan	Christianity	Salvation Army	F	44
Queanbeyan	Christianity	Salvation Army	M	55
Queanbeyan	Christianity	Seventh Day Adventist	F	42
Queanbeyan	Christianity	Seventh Day Adventist	M	58
Queanbeyan	Christianity	Uniting Church	F	663
Queanbeyan	Christianity	Uniting Church	M	580
Queanbeyan	Hinduism		F	656
Queanbeyan	Hinduism		M	796
Queanbeyan	Islam		F	399
Queanbeyan	Islam		M	474
Queanbeyan	Judaism		F	18
Queanbeyan	Judaism		M	30
Queanbeyan	No religion		F	11766
Queanbeyan	No religion		M	13194
Snowy Mountains	(Other)		F	839
Snowy Mountains	(Other)		M	1178
