SA3_NAME21	MaxSchoolingCompleted	adults
Queanbeyan	Did not go to school	209
Queanbeyan	Year 8	1597
Queanbeyan	Year 9	2313
Queanbeyan	Year 10	9738
Queanbeyan	Year 11	3174
Queanbeyan	Year 12	32129
Snowy Mountains	Did not go to school	63
Snowy Mountains	Year 8	664
Snowy Mountains	Year 9	1061
Snowy Mountains	Year 10	4335
Snowy Mountains	Year 11	1202
Snowy Mountains	Year 12	8420
South Coast	Did not go to school	183
South Coast	Year 8	2921
South Coast	Year 9	5118
South Coast	Year 10	18592
South Coast	Year 11	5596
South Coast	Year 12	27603
Goulburn - Mulwaree	Did not go to school	140
Goulburn - Mulwaree	Year 8	1590
Goulburn - Mulwaree	Year 9	2677
Goulburn - Mulwaree	Year 10	9543
Goulburn - Mulwaree	Year 11	2139
Goulburn - Mulwaree	Year 12	12560
Young - Yass	Did not go to school	118
Young - Yass	Year 8	1336
Young - Yass	Year 9	2280
Young - Yass	Year 10	8339
Young - Yass	Year 11	2217
Young - Yass	Year 12	14147
Gosford	Did not go to school	498
Gosford	Year 8	4501
Gosford	Year 9	9981
Gosford	Year 10	38330
Gosford	Year 11	9774
Gosford	Year 12	75459
Wyong	Did not go to school	548
Wyong	Year 8	5997
Wyong	Year 9	12279
Wyong	Year 10	44433
Wyong	Year 11	10391
Wyong	Year 12	54065
Bathurst	Did not go to school	148
Bathurst	Year 8	1580
Bathurst	Year 9	2902
Bathurst	Year 10	10926
Bathurst	Year 11	2802
Bathurst	Year 12	17974
Lachlan Valley	Did not go to school	159
Lachlan Valley	Year 8	2588
Lachlan Valley	Year 9	4133
Lachlan Valley	Year 10	14473
Lachlan Valley	Year 11	3160
Lachlan Valley	Year 12	15207
Lithgow - Mudgee	Did not go to school	113
Lithgow - Mudgee	Year 8	1976
Lithgow - Mudgee	Year 9	3587
Lithgow - Mudgee	Year 10	12790
Lithgow - Mudgee	Year 11	2833
Lithgow - Mudgee	Year 12	14170
Orange	Did not go to school	218
Orange	Year 8	2165
Orange	Year 9	3664
Orange	Year 10	13616
Orange	Year 11	3339
Orange	Year 12	21842
Clarence Valley	Did not go to school	142
Clarence Valley	Year 8	2316
Clarence Valley	Year 9	4348
Clarence Valley	Year 10	14927
Clarence Valley	Year 11	3317
Clarence Valley	Year 12	15213
Coffs Harbour	Did not go to school	558
Coffs Harbour	Year 8	3281
Coffs Harbour	Year 9	5985
Coffs Harbour	Year 10	21248
Coffs Harbour	Year 11	5818
Coffs Harbour	Year 12	33578
Bourke - Cobar - Coonamble	Did not go to school	109
Bourke - Cobar - Coonamble	Year 8	1091
Bourke - Cobar - Coonamble	Year 9	1540
Bourke - Cobar - Coonamble	Year 10	4562
Bourke - Cobar - Coonamble	Year 11	1227
Bourke - Cobar - Coonamble	Year 12	5544
Broken Hill and Far West	Did not go to school	65
Broken Hill and Far West	Year 8	1375
Broken Hill and Far West	Year 9	1882
Broken Hill and Far West	Year 10	5311
Broken Hill and Far West	Year 11	1365
Broken Hill and Far West	Year 12	4650
Dubbo	Did not go to school	202
Dubbo	Year 8	2966
Dubbo	Year 9	4525
Dubbo	Year 10	16744
Dubbo	Year 11	4011
Dubbo	Year 12	23199
Lower Hunter	Did not go to school	258
Lower Hunter	Year 8	3630
Lower Hunter	Year 9	7601
Lower Hunter	Year 10	26973
Lower Hunter	Year 11	6562
Lower Hunter	Year 12	26920
Maitland	Did not go to school	235
Maitland	Year 8	2614
Maitland	Year 9	5802
Maitland	Year 10	21454
Maitland	Year 11	5558
Maitland	Year 12	29559
Port Stephens	Did not go to school	194
Port Stephens	Year 8	2641
Port Stephens	Year 9	5946
Port Stephens	Year 10	21268
Port Stephens	Year 11	5079
Port Stephens	Year 12	24535
Upper Hunter	Did not go to school	98
Upper Hunter	Year 8	1303
Upper Hunter	Year 9	2295
Upper Hunter	Year 10	8169
Upper Hunter	Year 11	2019
Upper Hunter	Year 12	8425
Dapto - Port Kembla	Did not go to school	752
Dapto - Port Kembla	Year 8	3941
Dapto - Port Kembla	Year 9	5399
Dapto - Port Kembla	Year 10	19273
Dapto - Port Kembla	Year 11	4734
Dapto - Port Kembla	Year 12	27037
Illawarra Catchment Reserve	Year 11	4
Kiama - Shellharbour	Did not go to school	429
Kiama - Shellharbour	Year 8	3515
Kiama - Shellharbour	Year 9	6347
Kiama - Shellharbour	Year 10	25167
Kiama - Shellharbour	Year 11	6075
Kiama - Shellharbour	Year 12	34919
Wollongong	Did not go to school	732
Wollongong	Year 8	3999
Wollongong	Year 9	6397
Wollongong	Year 10	24034
Wollongong	Year 11	6411
Wollongong	Year 12	64641
Great Lakes	Did not go to school	87
Great Lakes	Year 8	1493
Great Lakes	Year 9	3307
Great Lakes	Year 10	10004
Great Lakes	Year 11	1913
Great Lakes	Year 12	9505
Kempsey - Nambucca	Did not go to school	137
