SA3_NAME16	Age	MaritalStatus	Sex	responses
Queanbeyan	20-24	Married	F	97
Queanbeyan	20-24	Married	M	33
Queanbeyan	20-24	Separated	F	11
Queanbeyan	20-24	Widowed	M	5
Queanbeyan	25-34	Divorced	F	107
Queanbeyan	25-34	Divorced	M	93
Queanbeyan	25-34	Married	F	2219
Queanbeyan	25-34	Married	M	1709
Queanbeyan	25-34	Separated	F	90
Queanbeyan	25-34	Separated	M	49
Queanbeyan	25-34	Widowed	F	4
Queanbeyan	25-34	Widowed	M	3
Queanbeyan	35-44	Divorced	F	332
Queanbeyan	35-44	Divorced	M	239
Queanbeyan	35-44	Married	F	2927
Queanbeyan	35-44	Married	M	2886
Queanbeyan	35-44	Separated	F	190
Queanbeyan	35-44	Separated	M	150
Queanbeyan	35-44	Widowed	F	20
Queanbeyan	35-44	Widowed	M	9
Queanbeyan	45-54	Divorced	F	594
Queanbeyan	45-54	Divorced	M	526
Queanbeyan	45-54	Married	F	2985
Queanbeyan	45-54	Married	M	2888
Queanbeyan	45-54	Separated	F	258
Queanbeyan	45-54	Separated	M	205
Queanbeyan	45-54	Widowed	F	69
Queanbeyan	45-54	Widowed	M	27
Queanbeyan	55-64	Divorced	F	712
Queanbeyan	55-64	Divorced	M	675
Queanbeyan	55-64	Married	F	2445
Queanbeyan	55-64	Married	M	2667
Queanbeyan	55-64	Separated	F	179
Queanbeyan	55-64	Separated	M	197
Queanbeyan	55-64	Widowed	F	209
Queanbeyan	55-64	Widowed	M	60
Queanbeyan	65-74	Divorced	F	460
Queanbeyan	65-74	Divorced	M	469
Queanbeyan	65-74	Married	F	1605
Queanbeyan	65-74	Married	M	1828
Queanbeyan	65-74	Separated	F	79
Queanbeyan	65-74	Separated	M	126
Queanbeyan	65-74	Widowed	F	354
Queanbeyan	65-74	Widowed	M	113
Queanbeyan	75-84	Divorced	F	180
Queanbeyan	75-84	Divorced	M	150
Queanbeyan	75-84	Married	F	600
Queanbeyan	75-84	Married	M	816
Queanbeyan	75-84	Separated	F	34
Queanbeyan	75-84	Separated	M	33
Queanbeyan	75-84	Widowed	F	465
Queanbeyan	75-84	Widowed	M	147
Queanbeyan	85+	Divorced	F	24
Queanbeyan	85+	Divorced	M	37
Queanbeyan	85+	Married	F	73
Queanbeyan	85+	Married	M	188
Queanbeyan	85+	Separated	F	4
Queanbeyan	85+	Separated	M	13
Queanbeyan	85+	Widowed	F	349
Queanbeyan	85+	Widowed	M	77
Snowy Mountains	15-19	Married	F	3
Snowy Mountains	20-24	Married	F	9
Snowy Mountains	20-24	Married	M	5
Snowy Mountains	20-24	Separated	F	3
Snowy Mountains	25-34	Divorced	F	17
Snowy Mountains	25-34	Divorced	M	11
Snowy Mountains	25-34	Married	F	354
Snowy Mountains	25-34	Married	M	266
Snowy Mountains	25-34	Separated	F	25
Snowy Mountains	25-34	Separated	M	17
Snowy Mountains	25-34	Widowed	F	3
Snowy Mountains	35-44	Divorced	F	61
Snowy Mountains	35-44	Divorced	M	67
Snowy Mountains	35-44	Married	F	661
Snowy Mountains	35-44	Married	M	612
Snowy Mountains	35-44	Separated	F	64
Snowy Mountains	35-44	Separated	M	28
Snowy Mountains	35-44	Widowed	F	8
Snowy Mountains	45-54	Divorced	F	218
Snowy Mountains	45-54	Divorced	M	152
Snowy Mountains	45-54	Married	F	855
Snowy Mountains	45-54	Married	M	851
Snowy Mountains	45-54	Separated	F	78
Snowy Mountains	45-54	Separated	M	68
Snowy Mountains	45-54	Widowed	F	17
Snowy Mountains	45-54	Widowed	M	11
Snowy Mountains	55-64	Divorced	F	276
Snowy Mountains	55-64	Divorced	M	250
Snowy Mountains	55-64	Married	F	891
Snowy Mountains	55-64	Married	M	900
Snowy Mountains	55-64	Separated	F	59
Snowy Mountains	55-64	Separated	M	76
Snowy Mountains	55-64	Widowed	F	64
Snowy Mountains	55-64	Widowed	M	31
Snowy Mountains	65-74	Divorced	F	214
Snowy Mountains	65-74	Divorced	M	227
Snowy Mountains	65-74	Married	F	644
Snowy Mountains	65-74	Married	M	765
Snowy Mountains	65-74	Separated	F	33
Snowy Mountains	65-74	Separated	M	72
Snowy Mountains	65-74	Widowed	F	149
Snowy Mountains	65-74	Widowed	M	47
Snowy Mountains	75-84	Divorced	F	52
Snowy Mountains	75-84	Divorced	M	83
Snowy Mountains	75-84	Married	F	333
Snowy Mountains	75-84	Married	M	425
Snowy Mountains	75-84	Separated	F	15
Snowy Mountains	75-84	Separated	M	35
Snowy Mountains	75-84	Widowed	F	225
Snowy Mountains	75-84	Widowed	M	81
Snowy Mountains	85+	Divorced	F	11
Snowy Mountains	85+	Divorced	M	12
Snowy Mountains	85+	Married	F	44
Snowy Mountains	85+	Married	M	101
Snowy Mountains	85+	Separated	F	3
Snowy Mountains	85+	Widowed	F	208
Snowy Mountains	85+	Widowed	M	62
South Coast	15-19	Married	M	3
South Coast	20-24	Married	F	58
South Coast	20-24	Married	M	32
South Coast	20-24	Separated	F	5
South Coast	25-34	Divorced	F	82
South Coast	25-34	Divorced	M	28
South Coast	25-34	Married	F	976
South Coast	25-34	Married	M	713
