SA3_NAME21	EduInstitutionType	Sex	students
Queanbeyan		F	1876
Queanbeyan		M	1948
Queanbeyan	Infants/Primary	F	2587
Queanbeyan	Infants/Primary	M	2934
Queanbeyan	Pre-school	F	618
Queanbeyan	Pre-school	M	711
Queanbeyan	Secondary	F	1995
Queanbeyan	Secondary	M	2109
Queanbeyan	Technical or Further Educational Institution	F	892
Queanbeyan	Technical or Further Educational Institution	M	877
Queanbeyan	University or other tertiary	F	1602
Queanbeyan	University or other tertiary	M	1070
Snowy Mountains		F	819
Snowy Mountains		M	1034
Snowy Mountains	Infants/Primary	F	688
Snowy Mountains	Infants/Primary	M	810
Snowy Mountains	Pre-school	F	175
Snowy Mountains	Pre-school	M	187
Snowy Mountains	Secondary	F	614
Snowy Mountains	Secondary	M	670
Snowy Mountains	Technical or Further Educational Institution	F	322
Snowy Mountains	Technical or Further Educational Institution	M	218
Snowy Mountains	University or other tertiary	F	329
Snowy Mountains	University or other tertiary	M	164
South Coast		F	3039
South Coast		M	2971
South Coast	Infants/Primary	F	2382
South Coast	Infants/Primary	M	2540
South Coast	Pre-school	F	528
South Coast	Pre-school	M	587
South Coast	Secondary	F	1951
South Coast	Secondary	M	2010
South Coast	Technical or Further Educational Institution	F	849
South Coast	Technical or Further Educational Institution	M	693
South Coast	University or other tertiary	F	835
South Coast	University or other tertiary	M	315
Goulburn - Mulwaree		F	1352
Goulburn - Mulwaree		M	1880
Goulburn - Mulwaree	Infants/Primary	F	1424
Goulburn - Mulwaree	Infants/Primary	M	1514
Goulburn - Mulwaree	Pre-school	F	367
Goulburn - Mulwaree	Pre-school	M	391
Goulburn - Mulwaree	Secondary	F	1073
Goulburn - Mulwaree	Secondary	M	1119
Goulburn - Mulwaree	Technical or Further Educational Institution	F	528
Goulburn - Mulwaree	Technical or Further Educational Institution	M	456
Goulburn - Mulwaree	University or other tertiary	F	537
Goulburn - Mulwaree	University or other tertiary	M	304
Young - Yass		F	1297
Young - Yass		M	1339
Young - Yass	Infants/Primary	F	1660
Young - Yass	Infants/Primary	M	1761
Young - Yass	Pre-school	F	380
Young - Yass	Pre-school	M	412
Young - Yass	Secondary	F	1317
Young - Yass	Secondary	M	1275
Young - Yass	Technical or Further Educational Institution	F	537
Young - Yass	Technical or Further Educational Institution	M	399
Young - Yass	University or other tertiary	F	577
Young - Yass	University or other tertiary	M	283
Gosford		F	5298
Gosford		M	4606
Gosford	Infants/Primary	F	6769
Gosford	Infants/Primary	M	7420
Gosford	Pre-school	F	1929
Gosford	Pre-school	M	2191
Gosford	Secondary	F	5626
Gosford	Secondary	M	5738
Gosford	Technical or Further Educational Institution	F	2395
Gosford	Technical or Further Educational Institution	M	2060
Gosford	University or other tertiary	F	3952
Gosford	University or other tertiary	M	2392
Wyong		F	5734
Wyong		M	5078
Wyong	Infants/Primary	F	6586
Wyong	Infants/Primary	M	7004
Wyong	Pre-school	F	1917
Wyong	Pre-school	M	2065
Wyong	Secondary	F	5226
Wyong	Secondary	M	5350
Wyong	Technical or Further Educational Institution	F	2456
Wyong	Technical or Further Educational Institution	M	1952
Wyong	University or other tertiary	F	2891
Wyong	University or other tertiary	M	1582
Bathurst		F	1544
Bathurst		M	2580
Bathurst	Infants/Primary	F	1947
Bathurst	Infants/Primary	M	2093
Bathurst	Pre-school	F	506
Bathurst	Pre-school	M	541
Bathurst	Secondary	F	1708
Bathurst	Secondary	M	1741
Bathurst	Technical or Further Educational Institution	F	731
Bathurst	Technical or Further Educational Institution	M	546
Bathurst	University or other tertiary	F	1080
Bathurst	University or other tertiary	M	610
Lachlan Valley		F	2476
Lachlan Valley		M	2529
Lachlan Valley	Infants/Primary	F	2215
Lachlan Valley	Infants/Primary	M	2269
Lachlan Valley	Pre-school	F	570
Lachlan Valley	Pre-school	M	554
