SA3_NAME16	CoupleFamily	HasChild	IncomeFamily.max	families
Goulburn - Mulwaree	0		65625	199
Goulburn - Mulwaree	0		78750	186
Goulburn - Mulwaree	0		91875	120
Goulburn - Mulwaree	0		105000	94
Goulburn - Mulwaree	0		131250	163
Goulburn - Mulwaree	0		157500	67
Goulburn - Mulwaree	0		183750	43
Goulburn - Mulwaree	0		210000	16
Goulburn - Mulwaree	0		Inf	24
Goulburn - Mulwaree	1	0		624
Goulburn - Mulwaree	1	0	0	100
Goulburn - Mulwaree	1	0	7875	44
Goulburn - Mulwaree	1	0	15750	21
Goulburn - Mulwaree	1	0	21000	15
Goulburn - Mulwaree	1	0	26250	112
Goulburn - Mulwaree	1	0	34125	82
Goulburn - Mulwaree	1	0	42000	527
Goulburn - Mulwaree	1	0	52500	395
Goulburn - Mulwaree	1	0	65625	450
Goulburn - Mulwaree	1	0	78750	668
Goulburn - Mulwaree	1	0	91875	495
Goulburn - Mulwaree	1	0	105000	541
Goulburn - Mulwaree	1	0	131250	1171
Goulburn - Mulwaree	1	0	157500	922
Goulburn - Mulwaree	1	0	183750	656
Goulburn - Mulwaree	1	0	210000	454
Goulburn - Mulwaree	1	0	Inf	891
Goulburn - Mulwaree	1	1	7875	4
Goulburn - Mulwaree	1	1	15750	11
Goulburn - Mulwaree	1	1	26250	18
Goulburn - Mulwaree	1	1	34125	26
Goulburn - Mulwaree	1	1	42000	57
Young - Yass				4
Young - Yass			26250	4
Young - Yass			34125	3
Young - Yass			42000	4
Young - Yass			52500	21
Young - Yass			65625	7
Young - Yass			78750	16
Young - Yass			91875	8
Young - Yass			105000	9
Young - Yass			131250	6
Young - Yass			157500	11
Young - Yass			Inf	9
Young - Yass	0			148
Young - Yass	0		0	29
Young - Yass	0		7875	9
Young - Yass	0		15750	29
Young - Yass	0		21000	30
Young - Yass	0		26250	52
Young - Yass	0		34125	123
Young - Yass	0		42000	116
Young - Yass	0		52500	173
Young - Yass	0		65625	153
Young - Yass	0		78750	114
Young - Yass	0		91875	108
Young - Yass	0		105000	68
Young - Yass	0		131250	139
Young - Yass	0		157500	57
Young - Yass	0		183750	29
Young - Yass	0		210000	15
Young - Yass	0		Inf	37
Young - Yass	1	0		754
Young - Yass	1	0	0	88
Young - Yass	1	0	7875	36
Young - Yass	1	0	15750	23
Young - Yass	1	0	21000	12
Young - Yass	1	0	26250	130
Young - Yass	1	0	34125	76
Young - Yass	1	0	42000	471
Young - Yass	1	0	52500	392
Young - Yass	1	0	65625	489
Young - Yass	1	0	78750	637
Young - Yass	1	0	91875	453
Young - Yass	1	0	105000	517
Young - Yass	1	0	131250	1047
Young - Yass	1	0	157500	796
Young - Yass	1	0	183750	754
Young - Yass	1	0	210000	498
Young - Yass	1	0	Inf	1473
Young - Yass	1	1	7875	3
Young - Yass	1	1	15750	9
Young - Yass	1	1	26250	18
Young - Yass	1	1	34125	20
Young - Yass	1	1	42000	56
Gosford				13
Gosford			0	12
Gosford			15750	5
Gosford			21000	4
Gosford			26250	16
Gosford			34125	10
Gosford			42000	29
Gosford			52500	73
Gosford			65625	84
Gosford			78750	75
Gosford			91875	34
Gosford			105000	37
Gosford			131250	67
Gosford			157500	39
Gosford			183750	16
Gosford			210000	10
Gosford			Inf	17
Gosford	0			679
Gosford	0		0	114
Gosford	0		7875	34
Gosford	0		15750	79
Gosford	0		21000	159
Gosford	0		26250	283
Gosford	0		34125	532
Gosford	0		42000	688
Gosford	0		52500	847
Gosford	0		65625	961
Gosford	0		78750	875
Gosford	0		91875	620
Gosford	0		105000	600
Gosford	0		131250	919
Gosford	0		157500	394
Gosford	0		183750	250
Gosford	0		210000	93
Gosford	0		Inf	258
Gosford	1	0		2374
Gosford	1	0	0	432
Gosford	1	0	7875	169
Gosford	1	0	15750	119
Gosford	1	0	21000	89
Gosford	1	0	26250	451
Gosford	1	0	34125	338
Gosford	1	0	42000	2187
Gosford	1	0	52500	1860
Gosford	1	0	65625	2274
Gosford	1	0	78750	2884
Gosford	1	0	91875	2058
Gosford	1	0	105000	2278
Gosford	1	0	131250	5077
Gosford	1	0	157500	4211
Gosford	1	0	183750	3673
Gosford	1	0	210000	2384
Gosford	1	0	Inf	6807
Gosford	1	1	7875	11
Gosford	1	1	15750	15
Gosford	1	1	21000	16
Gosford	1	1	26250	55
Gosford	1	1	34125	81
Gosford	1	1	42000	211
Wyong				21
Wyong			0	10
Wyong			7875	3
Wyong			15750	3
Wyong			21000	8
Wyong			26250	15
Wyong			34125	24
Wyong			42000	49
Wyong			52500	83
Wyong			65625	95
Wyong			78750	92
Wyong			91875	52
Wyong			105000	46
Wyong			131250	65
Wyong			157500	29
