SA3_NAME16	HomeCensusNight	persons
Queanbeyan	0	2401
Queanbeyan	1	62391
Snowy Mountains	0	1180
Snowy Mountains	1	19540
South Coast	0	4180
South Coast	1	72553
Goulburn - Mulwaree	0	1494
Goulburn - Mulwaree	1	36915
Young - Yass	0	1787
Young - Yass	1	36369
Gosford	0	5317
Gosford	1	173108
Wyong	0	4985
Wyong	1	163185
Bathurst	0	2034
Bathurst	1	47114
Lachlan Valley	0	2627
Lachlan Valley	1	52053
Lithgow - Mudgee	0	2013
Lithgow - Mudgee	1	45859
Orange	0	2536
Orange	1	58733
Clarence Valley	0	2475
Clarence Valley	1	51190
Coffs Harbour	0	3993
Coffs Harbour	1	88473
Bourke - Cobar - Coonamble	0	1330
Bourke - Cobar - Coonamble	1	20275
Broken Hill and Far West	0	1116
Broken Hill and Far West	1	18766
Dubbo	0	3669
Dubbo	1	70413
Lower Hunter	0	3369
Lower Hunter	1	94555
Maitland	0	2855
Maitland	1	84168
Port Stephens	0	3448
Port Stephens	1	72960
Upper Hunter	0	1087
Upper Hunter	1	29497
Dapto - Port Kembla	0	2010
Dapto - Port Kembla	1	77808
Illawarra Catchment Reserve	1	9
Kiama - Shellharbour	0	3265
Kiama - Shellharbour	1	95990
Wollongong	0	4548
Wollongong	1	130220
Great Lakes	0	1686
Great Lakes	1	31625
Kempsey - Nambucca	0	2257
Kempsey - Nambucca	1	48895
Lord Howe Island	0	62
Lord Howe Island	1	388
Port Macquarie	0	3702
Port Macquarie	1	83073
Taree - Gloucester	0	2655
Taree - Gloucester	1	54691
Albury	0	2807
Albury	1	64233
Lower Murray	0	701
Lower Murray	1	12357
Upper Murray exc. Albury	0	2514
Upper Murray exc. Albury	1	40930
Armidale	0	1950
Armidale	1	35590
Inverell - Tenterfield	0	1866
Inverell - Tenterfield	1	36865
Moree - Narrabri	0	1140
Moree - Narrabri	1	23574
Tamworth - Gunnedah	0	3245
Tamworth - Gunnedah	1	81328
Lake Macquarie - East	0	4546
Lake Macquarie - East	1	121948
Lake Macquarie - West	0	3401
Lake Macquarie - West	1	81624
Newcastle	0	7723
Newcastle	1	171277
Richmond Valley - Coastal	0	3927
Richmond Valley - Coastal	1	83846
Richmond Valley - Hinterland	0	2623
Richmond Valley - Hinterland	1	69273
Tweed Valley	0	4051
Tweed Valley	1	93340
Griffith - Murrumbidgee (West)	0	1932
Griffith - Murrumbidgee (West)	1	47629
Tumut - Tumbarumba	0	734
