SA3_NAME16	AgeChild	CoupleFamily	ParentsBornAus	children
Queanbeyan	0-4	0		16
Queanbeyan	0-4	0	Both	314
Queanbeyan	0-4	0	Father only	15
Queanbeyan	0-4	0	Mother only	44
Queanbeyan	0-4	0	Neither	24
Queanbeyan	0-4	1		10
Queanbeyan	0-4	1	Both	2430
Queanbeyan	0-4	1	Father only	329
Queanbeyan	0-4	1	Mother only	284
Queanbeyan	0-4	1	Neither	580
Queanbeyan	5-9	0		14
Queanbeyan	5-9	0	Both	452
Queanbeyan	5-9	0	Father only	38
Queanbeyan	5-9	0	Mother only	65
Queanbeyan	5-9	0	Neither	33
Queanbeyan	5-9	1		15
Queanbeyan	5-9	1	Both	2306
Queanbeyan	5-9	1	Father only	287
Queanbeyan	5-9	1	Mother only	230
Queanbeyan	5-9	1	Neither	508
Queanbeyan	10-12	0		7
Queanbeyan	10-12	0	Both	298
Queanbeyan	10-12	0	Father only	23
Queanbeyan	10-12	0	Mother only	36
Queanbeyan	10-12	0	Neither	43
Queanbeyan	10-12	1		5
Queanbeyan	10-12	1	Both	1423
Queanbeyan	10-12	1	Father only	155
Queanbeyan	10-12	1	Mother only	167
Queanbeyan	10-12	1	Neither	235
Queanbeyan	13-14	0		12
Queanbeyan	13-14	0	Both	198
Queanbeyan	13-14	0	Father only	29
Queanbeyan	13-14	0	Mother only	30
Queanbeyan	13-14	0	Neither	12
Queanbeyan	13-14	1		7
Queanbeyan	13-14	1	Both	879
Queanbeyan	13-14	1	Father only	95
Queanbeyan	13-14	1	Mother only	98
Queanbeyan	13-14	1	Neither	150
Queanbeyan	15-17	0	Both	227
Queanbeyan	15-17	0	Father only	21
Queanbeyan	15-17	0	Mother only	45
Queanbeyan	15-17	0	Neither	30
Queanbeyan	15-17	1		8
Queanbeyan	15-17	1	Both	1109
Queanbeyan	15-17	1	Father only	132
Queanbeyan	15-17	1	Mother only	119
Queanbeyan	15-17	1	Neither	178
Queanbeyan	18-20	0	Both	76
Queanbeyan	18-20	0	Father only	5
Queanbeyan	18-20	0	Mother only	4
Queanbeyan	18-20	0	Neither	9
Queanbeyan	18-20	1	Both	352
Queanbeyan	18-20	1	Father only	56
Queanbeyan	18-20	1	Mother only	58
Queanbeyan	18-20	1	Neither	96
Queanbeyan	21-24	0	Both	37
Queanbeyan	21-24	0	Father only	7
Queanbeyan	21-24	0	Mother only	5
Queanbeyan	21-24	0	Neither	6
Queanbeyan	21-24	1	Both	142
Queanbeyan	21-24	1	Father only	20
Queanbeyan	21-24	1	Mother only	25
Queanbeyan	21-24	1	Neither	24
Snowy Mountains	0-4	0	Both	81
Snowy Mountains	0-4	0	Mother only	12
Snowy Mountains	0-4	1		4
Snowy Mountains	0-4	1	Both	617
Snowy Mountains	0-4	1	Father only	47
Snowy Mountains	0-4	1	Mother only	41
Snowy Mountains	0-4	1	Neither	60
Snowy Mountains	5-9	0		9
Snowy Mountains	5-9	0	Both	141
Snowy Mountains	5-9	0	Father only	3
Snowy Mountains	5-9	0	Mother only	20
Snowy Mountains	5-9	0	Neither	9
Snowy Mountains	5-9	1		7
Snowy Mountains	5-9	1	Both	659
Snowy Mountains	5-9	1	Father only	52
Snowy Mountains	5-9	1	Mother only	49
Snowy Mountains	5-9	1	Neither	54
Snowy Mountains	10-12	0		9
Snowy Mountains	10-12	0	Both	113
Snowy Mountains	10-12	0	Father only	9
Snowy Mountains	10-12	0	Mother only	3
Snowy Mountains	10-12	0	Neither	6
Snowy Mountains	10-12	1		7
Snowy Mountains	10-12	1	Both	429
Snowy Mountains	10-12	1	Father only	48
Snowy Mountains	10-12	1	Mother only	40
Snowy Mountains	10-12	1	Neither	35
Snowy Mountains	13-14	0	Both	86
Snowy Mountains	13-14	0	Father only	7
Snowy Mountains	13-14	0	Mother only	11
Snowy Mountains	13-14	0	Neither	3
Snowy Mountains	13-14	1	Both	306
Snowy Mountains	13-14	1	Father only	29
Snowy Mountains	13-14	1	Mother only	30
Snowy Mountains	13-14	1	Neither	16
Snowy Mountains	15-17	0	Both	100
Snowy Mountains	15-17	0	Father only	12
Snowy Mountains	15-17	0	Mother only	12
Snowy Mountains	15-17	0	Neither	3
Snowy Mountains	15-17	1		5
Snowy Mountains	15-17	1	Both	311
Snowy Mountains	15-17	1	Father only	48
Snowy Mountains	15-17	1	Mother only	35
Snowy Mountains	15-17	1	Neither	27
Snowy Mountains	18-20	0	Both	7
Snowy Mountains	18-20	1	Both	50
Snowy Mountains	18-20	1	Father only	5
Snowy Mountains	18-20	1	Neither	4
Snowy Mountains	21-24	0	Both	10
Snowy Mountains	21-24	0	Mother only	3
Snowy Mountains	21-24	1	Both	29
Snowy Mountains	21-24	1	Neither	6
South Coast	0-4	0		21
South Coast	0-4	0	Both	456
South Coast	0-4	0	Father only	22
South Coast	0-4	0	Mother only	43
South Coast	0-4	0	Neither	3
South Coast	0-4	1		6
South Coast	0-4	1	Both	1956
South Coast	0-4	1	Father only	130
South Coast	0-4	1	Mother only	120
South Coast	0-4	1	Neither	111
South Coast	5-9	0		28
South Coast	5-9	0	Both	670
South Coast	5-9	0	Father only	52
South Coast	5-9	0	Mother only	40
South Coast	5-9	0	Neither	11
South Coast	5-9	1		7
South Coast	5-9	1	Both	2086
South Coast	5-9	1	Father only	188
South Coast	5-9	1	Mother only	162
South Coast	5-9	1	Neither	105
South Coast	10-12	0		19
South Coast	10-12	0	Both	526
South Coast	10-12	0	Father only	30
South Coast	10-12	0	Mother only	57
South Coast	10-12	0	Neither	8
South Coast	10-12	1		11
South Coast	10-12	1	Both	1372
South Coast	10-12	1	Father only	118
South Coast	10-12	1	Mother only	102
South Coast	10-12	1	Neither	55
South Coast	13-14	0		12
South Coast	13-14	0	Both	376
South Coast	13-14	0	Father only	33
South Coast	13-14	0	Mother only	32
South Coast	13-14	0	Neither	9
South Coast	13-14	1		5
South Coast	13-14	1	Both	892
South Coast	13-14	1	Father only	78
South Coast	13-14	1	Mother only	87
South Coast	13-14	1	Neither	41
South Coast	15-17	0		10
South Coast	15-17	0	Both	402
South Coast	15-17	0	Father only	23
South Coast	15-17	0	Mother only	42
South Coast	15-17	0	Neither	21
South Coast	15-17	1		6
South Coast	15-17	1	Both	991
South Coast	15-17	1	Father only	72
South Coast	15-17	1	Mother only	86
South Coast	15-17	1	Neither	59
South Coast	18-20	0		4
South Coast	18-20	0	Both	53
South Coast	18-20	0	Father only	7
South Coast	18-20	0	Mother only	16
South Coast	18-20	0	Neither	4
South Coast	18-20	1	Both	190
South Coast	18-20	1	Father only	22
South Coast	18-20	1	Mother only	22
South Coast	18-20	1	Neither	15
South Coast	21-24	0	Both	18
South Coast	21-24	0	Father only	4
South Coast	21-24	1	Both	35
South Coast	21-24	1	Father only	5
South Coast	21-24	1	Mother only	9
South Coast	21-24	1	Neither	3
Goulburn - Mulwaree	0-4	0		6
Goulburn - Mulwaree	0-4	0	Both	306
Goulburn - Mulwaree	0-4	0	Father only	4
Goulburn - Mulwaree	0-4	0	Mother only	18
Goulburn - Mulwaree	0-4	0	Neither	4
Goulburn - Mulwaree	0-4	1		5
Goulburn - Mulwaree	0-4	1	Both	1349
Goulburn - Mulwaree	0-4	1	Father only	64
Goulburn - Mulwaree	0-4	1	Mother only	69
Goulburn - Mulwaree	0-4	1	Neither	160
Goulburn - Mulwaree	5-9	0		4
Goulburn - Mulwaree	5-9	0	Both	422
Goulburn - Mulwaree	5-9	0	Father only	19
Goulburn - Mulwaree	5-9	0	Mother only	32
Goulburn - Mulwaree	5-9	0	Neither	13
Goulburn - Mulwaree	5-9	1		16
Goulburn - Mulwaree	5-9	1	Both	1319
Goulburn - Mulwaree	5-9	1	Father only	82
Goulburn - Mulwaree	5-9	1	Mother only	67
Goulburn - Mulwaree	5-9	1	Neither	125
Goulburn - Mulwaree	10-12	0		9
Goulburn - Mulwaree	10-12	0	Both	271
Goulburn - Mulwaree	10-12	0	Father only	22
Goulburn - Mulwaree	10-12	0	Mother only	21
Goulburn - Mulwaree	10-12	0	Neither	19
Goulburn - Mulwaree	10-12	1		3
Goulburn - Mulwaree	10-12	1	Both	779
Goulburn - Mulwaree	10-12	1	Father only	56
Goulburn - Mulwaree	10-12	1	Mother only	43
Goulburn - Mulwaree	10-12	1	Neither	55
Goulburn - Mulwaree	13-14	0		3
Goulburn - Mulwaree	13-14	0	Both	179
Goulburn - Mulwaree	13-14	0	Father only	12
Goulburn - Mulwaree	13-14	0	Mother only	8
Goulburn - Mulwaree	13-14	0	Neither	13
Goulburn - Mulwaree	13-14	1	Both	553
Goulburn - Mulwaree	13-14	1	Father only	38
Goulburn - Mulwaree	13-14	1	Mother only	25
Goulburn - Mulwaree	13-14	1	Neither	30
Goulburn - Mulwaree	15-17	0		3
Goulburn - Mulwaree	15-17	0	Both	189
Goulburn - Mulwaree	15-17	0	Father only	17
Goulburn - Mulwaree	15-17	0	Mother only	11
