SA3_NAME21	AgeStudent	Sex	students
Queanbeyan	0-4	F	568
Queanbeyan	0-4	M	616
Queanbeyan	5-14	F	3704
Queanbeyan	5-14	M	4143
Queanbeyan	15-19	F	1327
Queanbeyan	15-19	M	1409
Queanbeyan	20-24	F	630
Queanbeyan	20-24	M	569
Queanbeyan	25+	F	1790
Queanbeyan	25+	M	1233
Snowy Mountains	0-4	F	145
Snowy Mountains	0-4	M	160
Snowy Mountains	5-14	F	1032
Snowy Mountains	5-14	M	1206
Snowy Mountains	15-19	F	386
Snowy Mountains	15-19	M	387
Snowy Mountains	20-24	F	154
Snowy Mountains	20-24	M	117
Snowy Mountains	25+	F	496
Snowy Mountains	25+	M	238
South Coast	0-4	F	436
South Coast	0-4	M	459
South Coast	5-14	F	3492
South Coast	5-14	M	3674
South Coast	15-19	F	1183
South Coast	15-19	M	1296
South Coast	20-24	F	310
South Coast	20-24	M	237
South Coast	25+	F	1335
South Coast	25+	M	590
Goulburn - Mulwaree	0-4	F	309
Goulburn - Mulwaree	0-4	M	322
Goulburn - Mulwaree	5-14	F	2024
Goulburn - Mulwaree	5-14	M	2183
Goulburn - Mulwaree	15-19	F	713
Goulburn - Mulwaree	15-19	M	727
Goulburn - Mulwaree	20-24	F	249
Goulburn - Mulwaree	20-24	M	207
Goulburn - Mulwaree	25+	F	752
Goulburn - Mulwaree	25+	M	441
Young - Yass	0-4	F	309
Young - Yass	0-4	M	330
Young - Yass	5-14	F	2381
Young - Yass	5-14	M	2482
Young - Yass	15-19	F	857
Young - Yass	15-19	M	849
Young - Yass	20-24	F	271
Young - Yass	20-24	M	187
Young - Yass	25+	F	775
Young - Yass	25+	M	343
Gosford	0-4	F	1552
Gosford	0-4	M	1711
Gosford	5-14	F	9922
Gosford	5-14	M	10680
Gosford	15-19	F	3917
Gosford	15-19	M	3996
Gosford	20-24	F	1828
Gosford	20-24	M	1603
Gosford	25+	F	4041
Gosford	25+	M	2202
Wyong	0-4	F	1542
Wyong	0-4	M	1651
Wyong	5-14	F	9550
Wyong	5-14	M	10157
Wyong	15-19	F	3535
Wyong	15-19	M	3533
Wyong	20-24	F	1486
Wyong	20-24	M	1232
Wyong	25+	F	3494
Wyong	25+	M	1734
Bathurst	0-4	F	427
Bathurst	0-4	M	441
Bathurst	5-14	F	2882
Bathurst	5-14	M	3033
Bathurst	15-19	F	1142
Bathurst	15-19	M	1151
Bathurst	20-24	F	566
Bathurst	20-24	M	431
Bathurst	25+	F	1080
Bathurst	25+	M	577
Lachlan Valley	0-4	F	465
Lachlan Valley	0-4	M	423
Lachlan Valley	5-14	F	3164
Lachlan Valley	5-14	M	3285
Lachlan Valley	15-19	F	980
Lachlan Valley	15-19	M	1011
Lachlan Valley	20-24	F	328
Lachlan Valley	20-24	M	211
Lachlan Valley	25+	F	835
Lachlan Valley	25+	M	340
Lithgow - Mudgee	0-4	F	352
Lithgow - Mudgee	0-4	M	357
Lithgow - Mudgee	5-14	F	2732
Lithgow - Mudgee	5-14	M	2879
Lithgow - Mudgee	15-19	F	846
Lithgow - Mudgee	15-19	M	861
Lithgow - Mudgee	20-24	F	236
Lithgow - Mudgee	20-24	M	224
Lithgow - Mudgee	25+	F	891
Lithgow - Mudgee	25+	M	425
Orange	0-4	F	572
Orange	0-4	M	615
Orange	5-14	F	4024
Orange	5-14	M	4345
Orange	15-19	F	1354
Orange	15-19	M	1383
Orange	20-24	F	536
Orange	20-24	M	364
Orange	25+	F	1421
Orange	25+	M	806
Clarence Valley	0-4	F	379
Clarence Valley	0-4	M	382
Clarence Valley	5-14	F	2635
Clarence Valley	5-14	M	2867
Clarence Valley	15-19	F	847
Clarence Valley	15-19	M	900
Clarence Valley	20-24	F	243
Clarence Valley	20-24	M	171
Clarence Valley	25+	F	970
Clarence Valley	25+	M	416
Coffs Harbour	0-4	F	722
Coffs Harbour	0-4	M	724
Coffs Harbour	5-14	F	5265
Coffs Harbour	5-14	M	5470
Coffs Harbour	15-19	F	1848
Coffs Harbour	15-19	M	1785
Coffs Harbour	20-24	F	646
Coffs Harbour	20-24	M	489
Coffs Harbour	25+	F	2197
Coffs Harbour	25+	M	1172
Bourke - Cobar - Coonamble	0-4	F	150
Bourke - Cobar - Coonamble	0-4	M	186
Bourke - Cobar - Coonamble	5-14	F	1117
Bourke - Cobar - Coonamble	5-14	M	1142
Bourke - Cobar - Coonamble	15-19	F	335
Bourke - Cobar - Coonamble	15-19	M	301
Bourke - Cobar - Coonamble	20-24	F	98
Bourke - Cobar - Coonamble	20-24	M	70
Bourke - Cobar - Coonamble	25+	F	360
Bourke - Cobar - Coonamble	25+	M	104
Broken Hill and Far West	0-4	F	145
Broken Hill and Far West	0-4	M	150
Broken Hill and Far West	5-14	F	988
Broken Hill and Far West	5-14	M	1010
Broken Hill and Far West	15-19	F	298
Broken Hill and Far West	15-19	M	287
Broken Hill and Far West	20-24	F	70
Broken Hill and Far West	20-24	M	66
Broken Hill and Far West	25+	F	440
Broken Hill and Far West	25+	M	192
Dubbo	0-4	F	715
Dubbo	0-4	M	732
Dubbo	5-14	F	4339
Dubbo	5-14	M	4562
Dubbo	15-19	F	1338
Dubbo	15-19	M	1331
Dubbo	20-24	F	460
Dubbo	20-24	M	309
Dubbo	25+	F	1460
Dubbo	25+	M	669
Lower Hunter	0-4	F	929
Lower Hunter	0-4	M	947
Lower Hunter	5-14	F	6119
Lower Hunter	5-14	M	6414
Lower Hunter	15-19	F	1909
Lower Hunter	15-19	M	1947
Lower Hunter	20-24	F	743
Lower Hunter	20-24	M	564
Lower Hunter	25+	F	1939
Lower Hunter	25+	M	858
Maitland	0-4	F	948
Maitland	0-4	M	958
Maitland	5-14	F	5803
Maitland	5-14	M	6132
Maitland	15-19	F	1948
Maitland	15-19	M	1901
Maitland	20-24	F	962
Maitland	20-24	M	739
Maitland	25+	F	2142
Maitland	25+	M	1155
Port Stephens	0-4	F	553
Port Stephens	0-4	M	555
Port Stephens	5-14	F	4096
Port Stephens	5-14	M	4308
Port Stephens	15-19	F	1455
Port Stephens	15-19	M	1543
Port Stephens	20-24	F	533
Port Stephens	20-24	M	458
Port Stephens	25+	F	1382
Port Stephens	25+	M	653
Upper Hunter	0-4	F	258
Upper Hunter	0-4	M	263
Upper Hunter	5-14	F	1890
Upper Hunter	5-14	M	2092
Upper Hunter	15-19	F	639
Upper Hunter	15-19	M	660
Upper Hunter	20-24	F	188
Upper Hunter	20-24	M	137
Upper Hunter	25+	F	584
Upper Hunter	25+	M	243
Dapto - Port Kembla	0-4	F	778
Dapto - Port Kembla	0-4	M	795
Dapto - Port Kembla	5-14	F	4699
Dapto - Port Kembla	5-14	M	4930
Dapto - Port Kembla	15-19	F	1792
Dapto - Port Kembla	15-19	M	1791
Dapto - Port Kembla	20-24	F	811
Dapto - Port Kembla	20-24	M	706
Dapto - Port Kembla	25+	F	1568
Dapto - Port Kembla	25+	M	882
Kiama - Shellharbour	0-4	F	920
Kiama - Shellharbour	0-4	M	1036
Kiama - Shellharbour	5-14	F	5715
Kiama - Shellharbour	5-14	M	6202
Kiama - Shellharbour	15-19	F	2314
Kiama - Shellharbour	15-19	M	2213
Kiama - Shellharbour	20-24	F	970
Kiama - Shellharbour	20-24	M	780
Kiama - Shellharbour	25+	F	2003
Kiama - Shellharbour	25+	M	1041
Wollongong	0-4	F	1196
Wollongong	0-4	M	1234
Wollongong	5-14	F	7099
Wollongong	5-14	M	7549
Wollongong	15-19	F	3428
Wollongong	15-19	M	3295
Wollongong	20-24	F	3006
Wollongong	20-24	M	2726
Wollongong	25+	F	3861
Wollongong	25+	M	2787
Great Lakes	0-4	F	196
Great Lakes	0-4	M	174
Great Lakes	5-14	F	1454
Great Lakes	5-14	M	1497
Great Lakes	15-19	F	485
Great Lakes	15-19	M	486
Great Lakes	20-24	F	136
Great Lakes	20-24	M	88
Great Lakes	25+	F	490
Great Lakes	25+	M	200
Kempsey - Nambucca	0-4	F	361
Kempsey - Nambucca	0-4	M	360
Kempsey - Nambucca	5-14	F	2549
Kempsey - Nambucca	5-14	M	2539
Kempsey - Nambucca	15-19	F	867
Kempsey - Nambucca	15-19	M	874
Kempsey - Nambucca	20-24	F	237
Kempsey - Nambucca	20-24	M	167
Kempsey - Nambucca	25+	F	893
Kempsey - Nambucca	25+	M	359
Lord Howe Island	0-4	M	4
Lord Howe Island	5-14	F	27
Lord Howe Island	5-14	M	17
Lord Howe Island	25+	F	5
Lord Howe Island	25+	M	4
Port Macquarie	0-4	F	585
Port Macquarie	0-4	M	664
Port Macquarie	5-14	F	4608
Port Macquarie	5-14	M	4804
Port Macquarie	15-19	F	1855
Port Macquarie	15-19	M	1775
Port Macquarie	20-24	F	773
Port Macquarie	20-24	M	548
Port Macquarie	25+	F	1921
Port Macquarie	25+	M	938
Taree - Gloucester	0-4	F	382
Taree - Gloucester	0-4	M	393
Taree - Gloucester	5-14	F	2857
Taree - Gloucester	5-14	M	3066
Taree - Gloucester	15-19	F	990
Taree - Gloucester	15-19	M	944
Taree - Gloucester	20-24	F	279
Taree - Gloucester	20-24	M	188
Taree - Gloucester	25+	F	994
Taree - Gloucester	25+	M	388
Albury	0-4	F	589
Albury	0-4	M	613
Albury	5-14	F	3862
Albury	5-14	M	4080
Albury	15-19	F	1519
Albury	15-19	M	1416
Albury	20-24	F	702
Albury	20-24	M	488
Albury	25+	F	1593
Albury	25+	M	853
Lower Murray	0-4	F	111
Lower Murray	0-4	M	120
Lower Murray	5-14	F	644
Lower Murray	5-14	M	736
Lower Murray	15-19	F	217
Lower Murray	15-19	M	206
Lower Murray	20-24	F	70
Lower Murray	20-24	M	47
Lower Murray	25+	F	190
Lower Murray	25+	M	83
Upper Murray exc. Albury	0-4	F	297
Upper Murray exc. Albury	0-4	M	305
Upper Murray exc. Albury	5-14	F	2212
Upper Murray exc. Albury	5-14	M	2279
Upper Murray exc. Albury	15-19	F	811
Upper Murray exc. Albury	15-19	M	742
Upper Murray exc. Albury	20-24	F	226
Upper Murray exc. Albury	20-24	M	124
Upper Murray exc. Albury	25+	F	636
Upper Murray exc. Albury	25+	M	230
Armidale	0-4	F	297
Armidale	0-4	M	335
Armidale	5-14	F	2132
Armidale	5-14	M	2072
Armidale	15-19	F	999
Armidale	15-19	M	858
Armidale	20-24	F	647
Armidale	20-24	M	479
Armidale	25+	F	1121
Armidale	25+	M	725
Inverell - Tenterfield	0-4	F	259
Inverell - Tenterfield	0-4	M	251
Inverell - Tenterfield	5-14	F	2028
Inverell - Tenterfield	5-14	M	2068
Inverell - Tenterfield	15-19	F	713
Inverell - Tenterfield	15-19	M	619
Inverell - Tenterfield	20-24	F	173
Inverell - Tenterfield	20-24	M	96
Inverell - Tenterfield	25+	F	643
Inverell - Tenterfield	25+	M	242
Moree - Narrabri	0-4	F	215
Moree - Narrabri	0-4	M	211
Moree - Narrabri	5-14	F	1418
Moree - Narrabri	5-14	M	1443
Moree - Narrabri	15-19	F	389
Moree - Narrabri	15-19	M	339
Moree - Narrabri	20-24	F	146
Moree - Narrabri	20-24	M	105
Moree - Narrabri	25+	F	392
Moree - Narrabri	25+	M	175
Tamworth - Gunnedah	0-4	F	703
Tamworth - Gunnedah	0-4	M	805
Tamworth - Gunnedah	5-14	F	5193
Tamworth - Gunnedah	5-14	M	5560
Tamworth - Gunnedah	15-19	F	1616
Tamworth - Gunnedah	15-19	M	1768
Tamworth - Gunnedah	20-24	F	529
Tamworth - Gunnedah	20-24	M	364
Tamworth - Gunnedah	25+	F	1713
Tamworth - Gunnedah	25+	M	717
Lake Macquarie - East	0-4	F	1174
Lake Macquarie - East	0-4	M	1253
Lake Macquarie - East	5-14	F	7409
Lake Macquarie - East	5-14	M	7942
Lake Macquarie - East	15-19	F	2734
Lake Macquarie - East	15-19	M	2828
Lake Macquarie - East	20-24	F	1274
Lake Macquarie - East	20-24	M	1236
Lake Macquarie - East	25+	F	2592
Lake Macquarie - East	25+	M	1576
Lake Macquarie - West	0-4	F	804
Lake Macquarie - West	0-4	M	794
Lake Macquarie - West	5-14	F	4822
Lake Macquarie - West	5-14	M	4999
Lake Macquarie - West	15-19	F	1711
Lake Macquarie - West	15-19	M	1674
Lake Macquarie - West	20-24	F	814
Lake Macquarie - West	20-24	M	704
Lake Macquarie - West	25+	F	1782
Lake Macquarie - West	25+	M	972
Newcastle	0-4	F	1475
Newcastle	0-4	M	1559
Newcastle	5-14	F	9201
Newcastle	5-14	M	9833
Newcastle	15-19	F	3993
Newcastle	15-19	M	3887
Newcastle	20-24	F	3925
Newcastle	20-24	M	3335
Newcastle	25+	F	5417
Newcastle	25+	M	3913
Richmond Valley - Coastal	0-4	F	598
Richmond Valley - Coastal	0-4	M	647
Richmond Valley - Coastal	5-14	F	4412
Richmond Valley - Coastal	5-14	M	4662
Richmond Valley - Coastal	15-19	F	1546
Richmond Valley - Coastal	15-19	M	1596
Richmond Valley - Coastal	20-24	F	557
Richmond Valley - Coastal	20-24	M	425
Richmond Valley - Coastal	25+	F	2286
Richmond Valley - Coastal	25+	M	1163
Richmond Valley - Hinterland	0-4	F	500
Richmond Valley - Hinterland	0-4	M	554
Richmond Valley - Hinterland	5-14	F	3929
Richmond Valley - Hinterland	5-14	M	4101
Richmond Valley - Hinterland	15-19	F	1348
Richmond Valley - Hinterland	15-19	M	1418
Richmond Valley - Hinterland	20-24	F	508
Richmond Valley - Hinterland	20-24	M	394
Richmond Valley - Hinterland	25+	F	1663
Richmond Valley - Hinterland	25+	M	840
Tweed Valley	0-4	F	710
Tweed Valley	0-4	M	699
Tweed Valley	5-14	F	5037
Tweed Valley	5-14	M	5442
Tweed Valley	15-19	F	1869
Tweed Valley	15-19	M	1761
Tweed Valley	20-24	F	733
Tweed Valley	20-24	M	538
Tweed Valley	25+	F	2145
Tweed Valley	25+	M	1001
Griffith - Murrumbidgee (West)	0-4	F	410
Griffith - Murrumbidgee (West)	0-4	M	387
Griffith - Murrumbidgee (West)	5-14	F	2950
Griffith - Murrumbidgee (West)	5-14	M	3050
Griffith - Murrumbidgee (West)	15-19	F	1072
Griffith - Murrumbidgee (West)	15-19	M	1084
Griffith - Murrumbidgee (West)	20-24	F	287
Griffith - Murrumbidgee (West)	20-24	M	259
Griffith - Murrumbidgee (West)	25+	F	890
Griffith - Murrumbidgee (West)	25+	M	438
Tumut - Tumbarumba	0-4	F	149
Tumut - Tumbarumba	0-4	M	111
Tumut - Tumbarumba	5-14	F	822
Tumut - Tumbarumba	5-14	M	887
Tumut - Tumbarumba	15-19	F	302
Tumut - Tumbarumba	15-19	M	274
Tumut - Tumbarumba	20-24	F	77
Tumut - Tumbarumba	20-24	M	54
Tumut - Tumbarumba	25+	F	270
Tumut - Tumbarumba	25+	M	92
Wagga Wagga	0-4	F	919
Wagga Wagga	0-4	M	959
Wagga Wagga	5-14	F	5942
Wagga Wagga	5-14	M	6255
Wagga Wagga	15-19	F	2206
Wagga Wagga	15-19	M	2166
Wagga Wagga	20-24	F	1346
Wagga Wagga	20-24	M	809
Wagga Wagga	25+	F	2234
Wagga Wagga	25+	M	1267
Shoalhaven	0-4	F	791
Shoalhaven	0-4	M	927
Shoalhaven	5-14	F	5303
Shoalhaven	5-14	M	5514
Shoalhaven	15-19	F	1803
Shoalhaven	15-19	M	1863
Shoalhaven	20-24	F	615
Shoalhaven	20-24	M	514
Shoalhaven	25+	F	2018
Shoalhaven	25+	M	983
Southern Highlands	0-4	F	426
Southern Highlands	0-4	M	400
Southern Highlands	5-14	F	2875
Southern Highlands	5-14	M	3006
Southern Highlands	15-19	F	1177
Southern Highlands	15-19	M	1100
Southern Highlands	20-24	F	423
Southern Highlands	20-24	M	323
Southern Highlands	25+	F	1055
Southern Highlands	25+	M	539
Baulkham Hills	0-4	F	1330
Baulkham Hills	0-4	M	1434
Baulkham Hills	5-14	F	10654
Baulkham Hills	5-14	M	11438
Baulkham Hills	15-19	F	4563
Baulkham Hills	15-19	M	4975
Baulkham Hills	20-24	F	2556
Baulkham Hills	20-24	M	2577
Baulkham Hills	25+	F	3338
Baulkham Hills	25+	M	2230
Dural - Wisemans Ferry	0-4	F	211
Dural - Wisemans Ferry	0-4	M	198
Dural - Wisemans Ferry	5-14	F	1703
Dural - Wisemans Ferry	5-14	M	1960
Dural - Wisemans Ferry	15-19	F	868
Dural - Wisemans Ferry	15-19	M	926
Dural - Wisemans Ferry	20-24	F	396
Dural - Wisemans Ferry	20-24	M	424
Dural - Wisemans Ferry	25+	F	479
Dural - Wisemans Ferry	25+	M	283
Hawkesbury	0-4	F	226
Hawkesbury	0-4	M	234
Hawkesbury	5-14	F	1471
Hawkesbury	5-14	M	1647
Hawkesbury	15-19	F	657
Hawkesbury	15-19	M	655
Hawkesbury	20-24	F	268
Hawkesbury	20-24	M	224
Hawkesbury	25+	F	457
Hawkesbury	25+	M	213
Rouse Hill - McGraths Hill	0-4	F	741
Rouse Hill - McGraths Hill	0-4	M	721
Rouse Hill - McGraths Hill	5-14	F	4500
Rouse Hill - McGraths Hill	5-14	M	4798
Rouse Hill - McGraths Hill	15-19	F	1663
Rouse Hill - McGraths Hill	15-19	M	1663
Rouse Hill - McGraths Hill	20-24	F	786
Rouse Hill - McGraths Hill	20-24	M	759
Rouse Hill - McGraths Hill	25+	F	1222
Rouse Hill - McGraths Hill	25+	M	743
Blacktown	0-4	F	1226
Blacktown	0-4	M	1340
Blacktown	5-14	F	8177
Blacktown	5-14	M	8717
Blacktown	15-19	F	3089
Blacktown	15-19	M	3239
Blacktown	20-24	F	2194
Blacktown	20-24	M	2339
Blacktown	25+	F	4025
Blacktown	25+	M	2878
Blacktown - North	0-4	F	1779
Blacktown - North	0-4	M	1846
Blacktown - North	5-14	F	11149
Blacktown - North	5-14	M	11804
Blacktown - North	15-19	F	3578
Blacktown - North	15-19	M	3676
Blacktown - North	20-24	F	1949
Blacktown - North	20-24	M	1837
Blacktown - North	25+	F	3381
Blacktown - North	25+	M	2258
Mount Druitt	0-4	F	964
Mount Druitt	0-4	M	1025
Mount Druitt	5-14	F	8110
Mount Druitt	5-14	M	8265
Mount Druitt	15-19	F	2907
Mount Druitt	15-19	M	2834
Mount Druitt	20-24	F	1473
Mount Druitt	20-24	M	1270
Mount Druitt	25+	F	2543
Mount Druitt	25+	M	1597
Botany	0-4	F	473
Botany	0-4	M	458
Botany	5-14	F	2479
Botany	5-14	M	2630
Botany	15-19	F	1082
Botany	15-19	M	1069
Botany	20-24	F	1337
Botany	20-24	M	1367
Botany	25+	F	2261
Botany	25+	M	1920
Marrickville - Sydenham - Petersham	0-4	F	377
Marrickville - Sydenham - Petersham	0-4	M	397
Marrickville - Sydenham - Petersham	5-14	F	2143
Marrickville - Sydenham - Petersham	5-14	M	2366
Marrickville - Sydenham - Petersham	15-19	F	852
Marrickville - Sydenham - Petersham	15-19	M	899
Marrickville - Sydenham - Petersham	20-24	F	924
Marrickville - Sydenham - Petersham	20-24	M	734
Marrickville - Sydenham - Petersham	25+	F	2077
Marrickville - Sydenham - Petersham	25+	M	1588
Sydney Inner City	0-4	F	960
Sydney Inner City	0-4	M	1028
Sydney Inner City	5-14	F	4110
Sydney Inner City	5-14	M	4206
Sydney Inner City	15-19	F	2497
Sydney Inner City	15-19	M	2090
Sydney Inner City	20-24	F	6832
Sydney Inner City	20-24	M	5969
Sydney Inner City	25+	F	12440
Sydney Inner City	25+	M	10625
Eastern Suburbs - North	0-4	F	1066
Eastern Suburbs - North	0-4	M	1072
Eastern Suburbs - North	5-14	F	6034
Eastern Suburbs - North	5-14	M	6214
Eastern Suburbs - North	15-19	F	2546
Eastern Suburbs - North	15-19	M	2561
Eastern Suburbs - North	20-24	F	1848
Eastern Suburbs - North	20-24	M	1493
Eastern Suburbs - North	25+	F	3993
Eastern Suburbs - North	25+	M	2588
Eastern Suburbs - South	0-4	F	1054
Eastern Suburbs - South	0-4	M	1106
Eastern Suburbs - South	5-14	F	6470
Eastern Suburbs - South	5-14	M	6678
Eastern Suburbs - South	15-19	F	2873
Eastern Suburbs - South	15-19	M	2958
Eastern Suburbs - South	20-24	F	2812
Eastern Suburbs - South	20-24	M	2809
Eastern Suburbs - South	25+	F	4578
Eastern Suburbs - South	25+	M	3501
Bankstown	0-4	F	1684
Bankstown	0-4	M	1824
Bankstown	5-14	F	11590
Bankstown	5-14	M	12272
Bankstown	15-19	F	4985
Bankstown	15-19	M	5056
Bankstown	20-24	F	2838
Bankstown	20-24	M	2757
Bankstown	25+	F	4057
Bankstown	25+	M	3037
Canterbury	0-4	F	1131
Canterbury	0-4	M	1200
Canterbury	5-14	F	7535
Canterbury	5-14	M	8157
Canterbury	15-19	F	3125
Canterbury	15-19	M	3241
Canterbury	20-24	F	2219
Canterbury	20-24	M	2482
Canterbury	25+	F	3767
Canterbury	25+	M	3844
Hurstville	0-4	F	943
Hurstville	0-4	M	1079
Hurstville	5-14	F	6611
Hurstville	5-14	M	7043
Hurstville	15-19	F	2965
Hurstville	15-19	M	3087
Hurstville	20-24	F	2624
Hurstville	20-24	M	2894
Hurstville	25+	F	3649
Hurstville	25+	M	2845
Kogarah - Rockdale	0-4	F	1122
Kogarah - Rockdale	0-4	M	1198
Kogarah - Rockdale	5-14	F	6448
Kogarah - Rockdale	5-14	M	6748
Kogarah - Rockdale	15-19	F	2729
Kogarah - Rockdale	15-19	M	2842
Kogarah - Rockdale	20-24	F	2608
Kogarah - Rockdale	20-24	M	2959
Kogarah - Rockdale	25+	F	5124
Kogarah - Rockdale	25+	M	4077
Canada Bay	0-4	F	712
Canada Bay	0-4	M	808
Canada Bay	5-14	F	4373
Canada Bay	5-14	M	4394
Canada Bay	15-19	F	1860
Canada Bay	15-19	M	1783
Canada Bay	20-24	F	1235
Canada Bay	20-24	M	1192
Canada Bay	25+	F	2476
Canada Bay	25+	M	1697
Leichhardt	0-4	F	544
Leichhardt	0-4	M	579
Leichhardt	5-14	F	3133
Leichhardt	5-14	M	3227
Leichhardt	15-19	F	1047
Leichhardt	15-19	M	1123
Leichhardt	20-24	F	755
Leichhardt	20-24	M	587
Leichhardt	25+	F	1637
Leichhardt	25+	M	1055
Strathfield - Burwood - Ashfield	0-4	F	1073
Strathfield - Burwood - Ashfield	0-4	M	1123
Strathfield - Burwood - Ashfield	5-14	F	6866
Strathfield - Burwood - Ashfield	5-14	M	6838
Strathfield - Burwood - Ashfield	15-19	F	3132
Strathfield - Burwood - Ashfield	15-19	M	3113
Strathfield - Burwood - Ashfield	20-24	F	4241
Strathfield - Burwood - Ashfield	20-24	M	4895
Strathfield - Burwood - Ashfield	25+	F	6443
Strathfield - Burwood - Ashfield	25+	M	5365
Chatswood - Lane Cove	0-4	F	1080
Chatswood - Lane Cove	0-4	M	1215
Chatswood - Lane Cove	5-14	F	7167
Chatswood - Lane Cove	5-14	M	7499
Chatswood - Lane Cove	15-19	F	2798
Chatswood - Lane Cove	15-19	M	3009
Chatswood - Lane Cove	20-24	F	1727
Chatswood - Lane Cove	20-24	M	1888
Chatswood - Lane Cove	25+	F	3573
Chatswood - Lane Cove	25+	M	2312
Hornsby	0-4	F	878
Hornsby	0-4	M	902
Hornsby	5-14	F	5627
Hornsby	5-14	M	6161
Hornsby	15-19	F	2251
Hornsby	15-19	M	2355
Hornsby	20-24	F	1287
Hornsby	20-24	M	1302
Hornsby	25+	F	2545
Hornsby	25+	M	1568
Ku-ring-gai	0-4	F	1103
Ku-ring-gai	0-4	M	1152
Ku-ring-gai	5-14	F	8852
Ku-ring-gai	5-14	M	9294
Ku-ring-gai	15-19	F	4218
Ku-ring-gai	15-19	M	4361
Ku-ring-gai	20-24	F	2177
Ku-ring-gai	20-24	M	2308
Ku-ring-gai	25+	F	2778
Ku-ring-gai	25+	M	1719
North Sydney - Mosman	0-4	F	681
North Sydney - Mosman	0-4	M	727
North Sydney - Mosman	5-14	F	4063
North Sydney - Mosman	5-14	M	4144
North Sydney - Mosman	15-19	F	1637
North Sydney - Mosman	15-19	M	1753
North Sydney - Mosman	20-24	F	1244
North Sydney - Mosman	20-24	M	1144
North Sydney - Mosman	25+	F	3067
North Sydney - Mosman	25+	M	1922
Manly	0-4	F	457
Manly	0-4	M	410
Manly	5-14	F	2522
Manly	5-14	M	2615
Manly	15-19	F	1118
Manly	15-19	M	1055
Manly	20-24	F	555
Manly	20-24	M	538
Manly	25+	F	1038
Manly	25+	M	658
Pittwater	0-4	F	555
Pittwater	0-4	M	600
Pittwater	5-14	F	3959
Pittwater	5-14	M	4100
Pittwater	15-19	F	1728
Pittwater	15-19	M	1814
Pittwater	20-24	F	770
Pittwater	20-24	M	798
Pittwater	25+	F	1188
Pittwater	25+	M	642
Warringah	0-4	F	1497
Warringah	0-4	M	1601
Warringah	5-14	F	9680
Warringah	5-14	M	10501
Warringah	15-19	F	4148
Warringah	15-19	M	4427
Warringah	20-24	F	2107
Warringah	20-24	M	2238
Warringah	25+	F	3569
Warringah	25+	M	2319
Camden	0-4	F	910
Camden	0-4	M	904
Camden	5-14	F	5525
Camden	5-14	M	5716
Camden	15-19	F	2062
Camden	15-19	M	2033
Camden	20-24	F	858
Camden	20-24	M	716
Camden	25+	F	1469
Camden	25+	M	702
Campbelltown (NSW)	0-4	F	1591
Campbelltown (NSW)	0-4	M	1765
Campbelltown (NSW)	5-14	F	11565
Campbelltown (NSW)	5-14	M	12053
Campbelltown (NSW)	15-19	F	4108
Campbelltown (NSW)	15-19	M	4072
Campbelltown (NSW)	20-24	F	2067
Campbelltown (NSW)	20-24	M	1874
Campbelltown (NSW)	25+	F	4175
Campbelltown (NSW)	25+	M	2564
Wollondilly	0-4	F	496
Wollondilly	0-4	M	556
Wollondilly	5-14	F	3003
Wollondilly	5-14	M	3307
Wollondilly	15-19	F	1135
Wollondilly	15-19	M	1144
Wollondilly	20-24	F	446
Wollondilly	20-24	M	325
Wollondilly	25+	F	757
Wollondilly	25+	M	386
Blue Mountains	0-4	F	663
Blue Mountains	0-4	M	659
Blue Mountains	5-14	F	4557
Blue Mountains	5-14	M	4746
Blue Mountains	15-19	F	1810
Blue Mountains	15-19	M	1986
Blue Mountains	20-24	F	736
Blue Mountains	20-24	M	725
Blue Mountains	25+	F	2194
Blue Mountains	25+	M	1150
Penrith	0-4	F	1648
Penrith	0-4	M	1818
Penrith	5-14	F	10300
Penrith	5-14	M	10833
Penrith	15-19	F	3747
Penrith	15-19	M	3619
Penrith	20-24	F	1855
Penrith	20-24	M	1585
