SA3_NAME16	Age5yr	Indigenous	persons
Queanbeyan	0-4		168
Queanbeyan	0-4	0	3902
Queanbeyan	0-4	1	246
Queanbeyan	5-9		197
Queanbeyan	5-9	0	3773
Queanbeyan	5-9	1	236
Queanbeyan	10-14		184
Queanbeyan	10-14	0	3705
Queanbeyan	10-14	1	229
Queanbeyan	15-19		137
Queanbeyan	15-19	0	3152
Queanbeyan	15-19	1	232
Queanbeyan	20-24		151
Queanbeyan	20-24	0	3103
Queanbeyan	20-24	1	203
Queanbeyan	25-29		255
Queanbeyan	25-29	0	3908
Queanbeyan	25-29	1	177
Queanbeyan	30-34		242
Queanbeyan	30-34	0	4763
Queanbeyan	30-34	1	153
Queanbeyan	35-39		225
Queanbeyan	35-39	0	4545
Queanbeyan	35-39	1	131
Queanbeyan	40-44		200
Queanbeyan	40-44	0	3999
Queanbeyan	40-44	1	113
Queanbeyan	45-49		178
Queanbeyan	45-49	0	4263
Queanbeyan	45-49	1	125
Queanbeyan	50-54		191
Queanbeyan	50-54	0	4529
Queanbeyan	50-54	1	130
Queanbeyan	55-59		240
Queanbeyan	55-59	0	4131
Queanbeyan	55-59	1	99
Queanbeyan	60-64		190
Queanbeyan	60-64	0	3536
Queanbeyan	60-64	1	78
Queanbeyan	65+		484
Queanbeyan	65+	0	8198
Queanbeyan	65+	1	93
Snowy Mountains	0-4		35
Snowy Mountains	0-4	0	838
Snowy Mountains	0-4	1	59
Snowy Mountains	5-9		69
Snowy Mountains	5-9	0	975
Snowy Mountains	5-9	1	54
Snowy Mountains	10-14		91
Snowy Mountains	10-14	0	1154
Snowy Mountains	10-14	1	70
Snowy Mountains	15-19		84
Snowy Mountains	15-19	0	1016
Snowy Mountains	15-19	1	51
Snowy Mountains	20-24		82
Snowy Mountains	20-24	0	988
Snowy Mountains	20-24	1	54
Snowy Mountains	25-29		117
Snowy Mountains	25-29	0	1239
Snowy Mountains	25-29	1	56
Snowy Mountains	30-34		98
Snowy Mountains	30-34	0	1168
Snowy Mountains	30-34	1	32
Snowy Mountains	35-39		98
Snowy Mountains	35-39	0	1084
Snowy Mountains	35-39	1	47
Snowy Mountains	40-44		77
Snowy Mountains	40-44	0	987
Snowy Mountains	40-44	1	37
Snowy Mountains	45-49		90
Snowy Mountains	45-49	0	1249
Snowy Mountains	45-49	1	44
Snowy Mountains	50-54		106
Snowy Mountains	50-54	0	1362
