SA3_NAME16	CountryOfBirth	persons
Queanbeyan		4660
Queanbeyan	AFG	20
Queanbeyan	AUS	49706
Queanbeyan	BGD	172
Queanbeyan	BIH	44
Queanbeyan	BRA	39
Queanbeyan	CAN	146
Queanbeyan	CHL	48
Queanbeyan	CHN	218
Queanbeyan	DEU	285
Queanbeyan	EGY	57
Queanbeyan	FJI	180
Queanbeyan	FRA	84
Queanbeyan	GBR	2064
Queanbeyan	GRC	133
Queanbeyan	HKG	51
Queanbeyan	HRV	187
Queanbeyan	IDN	104
Queanbeyan	IND	1350
Queanbeyan	IRL	92
Queanbeyan	IRN	51
Queanbeyan	IRQ	23
Queanbeyan	ITA	365
Queanbeyan	JPN	37
Queanbeyan	KHM	21
Queanbeyan	KOR	72
Queanbeyan	LBN	32
Queanbeyan	LKA	119
Queanbeyan	MKD	572
Queanbeyan	MLT	72
Queanbeyan	MMR	26
Queanbeyan	MUS	18
Queanbeyan	MYS	147
Queanbeyan	NLD	130
Queanbeyan	NPL	513
Queanbeyan	NZL	883
Queanbeyan	PAK	177
Queanbeyan	PHL	646
Queanbeyan	PNG	85
Queanbeyan	POL	71
Queanbeyan	SGP	66
Queanbeyan	THA	132
Queanbeyan	TUR	28
Queanbeyan	TWN	18
Queanbeyan	USA	357
Queanbeyan	VNM	86
Queanbeyan	WSM	39
Queanbeyan	ZAF	298
Queanbeyan	ZWE	72
Snowy Mountains		1945
Snowy Mountains	AUS	16332
Snowy Mountains	BGD	4
Snowy Mountains	BRA	12
Snowy Mountains	CAN	50
Snowy Mountains	CHL	17
Snowy Mountains	CHN	81
Snowy Mountains	DEU	173
Snowy Mountains	EGY	4
Snowy Mountains	FJI	7
Snowy Mountains	FRA	36
Snowy Mountains	GBR	720
Snowy Mountains	GRC	12
Snowy Mountains	HKG	11
Snowy Mountains	HRV	15
Snowy Mountains	IDN	21
Snowy Mountains	IND	84
Snowy Mountains	IRL	44
Snowy Mountains	IRN	14
Snowy Mountains	ITA	90
Snowy Mountains	JPN	7
Snowy Mountains	KOR	24
Snowy Mountains	LBN	26
Snowy Mountains	LKA	30
Snowy Mountains	MKD	3
Snowy Mountains	MLT	7
Snowy Mountains	MYS	26
Snowy Mountains	NLD	80
Snowy Mountains	NPL	29
Snowy Mountains	NZL	286
Snowy Mountains	PAK	32
Snowy Mountains	PHL	65
Snowy Mountains	PNG	15
Snowy Mountains	POL	31
Snowy Mountains	SGP	12
Snowy Mountains	THA	72
Snowy Mountains	TUR	4
Snowy Mountains	TWN	75
Snowy Mountains	USA	94
Snowy Mountains	VNM	16
Snowy Mountains	ZAF	79
Snowy Mountains	ZWE	17
South Coast		7094
South Coast	AUS	60648
South Coast	BGD	8
South Coast	BIH	5
South Coast	BRA	20
South Coast	CAN	163
South Coast	CHL	53
South Coast	CHN	99
South Coast	DEU	547
South Coast	EGY	29
South Coast	FJI	42
South Coast	FRA	87
South Coast	GBR	3918
South Coast	GRC	65
South Coast	HKG	44
South Coast	HRV	138
South Coast	IDN	49
South Coast	IND	258
South Coast	IRL	165
South Coast	IRN	16
South Coast	ITA	171
South Coast	JPN	49
South Coast	KHM	8
South Coast	KOR	26
South Coast	LBN	14
South Coast	LKA	37
South Coast	MKD	20
South Coast	MLT	80
South Coast	MMR	3
South Coast	MUS	14
South Coast	MYS	76
South Coast	NLD	379
South Coast	NPL	95
South Coast	NZL	966
South Coast	PAK	14
South Coast	PHL	287
South Coast	PNG	54
South Coast	POL	58
South Coast	SGP	42
South Coast	THA	137
South Coast	TUR	18
South Coast	TWN	18
South Coast	USA	323
South Coast	VNM	67
South Coast	WSM	14
South Coast	ZAF	264
South Coast	ZWE	38
Goulburn - Mulwaree		3141
Goulburn - Mulwaree	AFG	9
Goulburn - Mulwaree	AUS	31779
Goulburn - Mulwaree	BGD	38
Goulburn - Mulwaree	BIH	4
Goulburn - Mulwaree	BRA	27
Goulburn - Mulwaree	CAN	32
Goulburn - Mulwaree	CHL	21
Goulburn - Mulwaree	CHN	142
Goulburn - Mulwaree	DEU	108
Goulburn - Mulwaree	EGY	20
Goulburn - Mulwaree	FJI	61
Goulburn - Mulwaree	FRA	22
Goulburn - Mulwaree	GBR	1021
Goulburn - Mulwaree	GRC	43
Goulburn - Mulwaree	HKG	15
Goulburn - Mulwaree	HRV	32
Goulburn - Mulwaree	IDN	45
Goulburn - Mulwaree	IND	247
Goulburn - Mulwaree	IRL	50
Goulburn - Mulwaree	IRN	17
Goulburn - Mulwaree	IRQ	15
Goulburn - Mulwaree	ITA	60
Goulburn - Mulwaree	JPN	12
Goulburn - Mulwaree	KHM	10
Goulburn - Mulwaree	KOR	54
Goulburn - Mulwaree	LBN	53
Goulburn - Mulwaree	LKA	22
Goulburn - Mulwaree	MKD	14
Goulburn - Mulwaree	MLT	29
Goulburn - Mulwaree	MMR	10
Goulburn - Mulwaree	MUS	10
Goulburn - Mulwaree	MYS	43
Goulburn - Mulwaree	NLD	86
Goulburn - Mulwaree	NPL	154
Goulburn - Mulwaree	NZL	367
Goulburn - Mulwaree	PAK	33
Goulburn - Mulwaree	PHL	214
Goulburn - Mulwaree	PNG	22
Goulburn - Mulwaree	POL	25
Goulburn - Mulwaree	SGP	17
