SA3_NAME16	Age5yr	ChildrenEverBorn	females
Queanbeyan	15-19		126
Queanbeyan	15-19	0	1541
Queanbeyan	15-19	1	10
Queanbeyan	20-24		129
Queanbeyan	20-24	0	1408
Queanbeyan	20-24	1	102
Queanbeyan	20-24	2	19
Queanbeyan	20-24	3	3
Queanbeyan	20-24	4	3
Queanbeyan	25-29		173
Queanbeyan	25-29	0	1432
Queanbeyan	25-29	1	386
Queanbeyan	25-29	2	200
Queanbeyan	25-29	3	54
Queanbeyan	25-29	4	12
Queanbeyan	30-34		139
Queanbeyan	30-34	0	921
Queanbeyan	30-34	1	602
Queanbeyan	30-34	2	663
Queanbeyan	30-34	3	217
Queanbeyan	30-34	4	40
Queanbeyan	30-34	5	13
Queanbeyan	30-34	6	3
Queanbeyan	35-39		121
Queanbeyan	35-39	0	531
Queanbeyan	35-39	1	438
Queanbeyan	35-39	2	872
Queanbeyan	35-39	3	323
Queanbeyan	35-39	4	97
Queanbeyan	35-39	5	25
Queanbeyan	35-39	6	11
Queanbeyan	40-44		116
Queanbeyan	40-44	0	419
Queanbeyan	40-44	1	343
Queanbeyan	40-44	2	776
Queanbeyan	40-44	3	391
Queanbeyan	40-44	4	124
Queanbeyan	40-44	5	30
Queanbeyan	40-44	6	19
Queanbeyan	45-49		100
Queanbeyan	45-49	0	385
Queanbeyan	45-49	1	298
Queanbeyan	45-49	2	833
Queanbeyan	45-49	3	436
Queanbeyan	45-49	4	140
Queanbeyan	45-49	5	33
Queanbeyan	45-49	6	22
Queanbeyan	50-54		107
Queanbeyan	50-54	0	452
Queanbeyan	50-54	1	301
Queanbeyan	50-54	2	908
Queanbeyan	50-54	3	500
Queanbeyan	50-54	4	156
Queanbeyan	50-54	5	33
Queanbeyan	50-54	6	22
Queanbeyan	55-59		125
Queanbeyan	55-59	0	355
Queanbeyan	55-59	1	254
Queanbeyan	55-59	2	801
Queanbeyan	55-59	3	417
Queanbeyan	55-59	4	145
Queanbeyan	55-59	5	44
Queanbeyan	55-59	6	24
Queanbeyan	60-64		100
Queanbeyan	60-64	0	261
Queanbeyan	60-64	1	206
Queanbeyan	60-64	2	646
Queanbeyan	60-64	3	424
Queanbeyan	60-64	4	181
Queanbeyan	60-64	5	27
Queanbeyan	60-64	6	20
Queanbeyan	65-69		90
Queanbeyan	65-69	0	206
Queanbeyan	65-69	1	144
Queanbeyan	65-69	2	485
Queanbeyan	65-69	3	344
Queanbeyan	65-69	4	147
Queanbeyan	65-69	5	45
Queanbeyan	65-69	6	20
Queanbeyan	70-74		81
Queanbeyan	70-74	0	108
Queanbeyan	70-74	1	115
Queanbeyan	70-74	2	412
Queanbeyan	70-74	3	291
Queanbeyan	70-74	4	119
Queanbeyan	70-74	5	37
Queanbeyan	70-74	6	19
Queanbeyan	75-79		65
Queanbeyan	75-79	0	77
Queanbeyan	75-79	1	69
Queanbeyan	75-79	2	237
Queanbeyan	75-79	3	218
Queanbeyan	75-79	4	99
Queanbeyan	75-79	5	32
Queanbeyan	75-79	6	17
Queanbeyan	80-84		43
Queanbeyan	80-84	0	43
Queanbeyan	80-84	1	36
Queanbeyan	80-84	2	133
Queanbeyan	80-84	3	120
Queanbeyan	80-84	4	87
Queanbeyan	80-84	5	35
Queanbeyan	80-84	6	23
Queanbeyan	85+		48
Queanbeyan	85+	0	21
Queanbeyan	85+	1	41
Queanbeyan	85+	2	100
Queanbeyan	85+	3	107
Queanbeyan	85+	4	79
Queanbeyan	85+	5	39
Queanbeyan	85+	6	27
Snowy Mountains	15-19		72
Snowy Mountains	15-19	0	479
Snowy Mountains	15-19	1	4
Snowy Mountains	20-24		65
Snowy Mountains	20-24	0	424
Snowy Mountains	20-24	1	33
Snowy Mountains	20-24	2	9
Snowy Mountains	25-29		74
Snowy Mountains	25-29	0	443
Snowy Mountains	25-29	1	60
Snowy Mountains	25-29	2	50
Snowy Mountains	25-29	3	13
Snowy Mountains	25-29	4	3
Snowy Mountains	30-34		60
Snowy Mountains	30-34	0	254
Snowy Mountains	30-34	1	102
Snowy Mountains	30-34	2	130
Snowy Mountains	30-34	3	74
Snowy Mountains	30-34	4	13
Snowy Mountains	30-34	5	5
Snowy Mountains	35-39		49
Snowy Mountains	35-39	0	138
Snowy Mountains	35-39	1	91
Snowy Mountains	35-39	2	191
Snowy Mountains	35-39	3	98
Snowy Mountains	35-39	4	33
Snowy Mountains	35-39	5	10
Snowy Mountains	35-39	6	4
Snowy Mountains	40-44		38
Snowy Mountains	40-44	0	87
Snowy Mountains	40-44	1	67
Snowy Mountains	40-44	2	210
Snowy Mountains	40-44	3	108
Snowy Mountains	40-44	4	34
Snowy Mountains	40-44	5	9
Snowy Mountains	40-44	6	6
Snowy Mountains	45-49		56
Snowy Mountains	45-49	0	100
Snowy Mountains	45-49	1	84
Snowy Mountains	45-49	2	248
Snowy Mountains	45-49	3	140
Snowy Mountains	45-49	4	44
Snowy Mountains	45-49	5	4
Snowy Mountains	45-49	6	9
Snowy Mountains	50-54		52
Snowy Mountains	50-54	0	107
Snowy Mountains	50-54	1	98
Snowy Mountains	50-54	2	278
Snowy Mountains	50-54	3	132
Snowy Mountains	50-54	4	49
Snowy Mountains	50-54	5	16
Snowy Mountains	50-54	6	4
Snowy Mountains	55-59		57
Snowy Mountains	55-59	0	107
Snowy Mountains	55-59	1	96
Snowy Mountains	55-59	2	246
Snowy Mountains	55-59	3	148
Snowy Mountains	55-59	4	56
Snowy Mountains	55-59	5	13
Snowy Mountains	55-59	6	14
Snowy Mountains	60-64		44
Snowy Mountains	60-64	0	104
Snowy Mountains	60-64	1	58
Snowy Mountains	60-64	2	251
Snowy Mountains	60-64	3	177
Snowy Mountains	60-64	4	66
Snowy Mountains	60-64	5	17
Snowy Mountains	60-64	6	5
Snowy Mountains	65-69		42
Snowy Mountains	65-69	0	87
Snowy Mountains	65-69	1	54
Snowy Mountains	65-69	2	189
Snowy Mountains	65-69	3	117
Snowy Mountains	65-69	4	52
Snowy Mountains	65-69	5	17
Snowy Mountains	65-69	6	4
Snowy Mountains	70-74		48
Snowy Mountains	70-74	0	57
Snowy Mountains	70-74	1	46
Snowy Mountains	70-74	2	197
Snowy Mountains	70-74	3	114
Snowy Mountains	70-74	4	52
Snowy Mountains	70-74	5	20
Snowy Mountains	70-74	6	11
Snowy Mountains	75-79		36
Snowy Mountains	75-79	0	35
Snowy Mountains	75-79	1	26
Snowy Mountains	75-79	2	119
Snowy Mountains	75-79	3	87
Snowy Mountains	75-79	4	44
Snowy Mountains	75-79	5	19
Snowy Mountains	75-79	6	10
Snowy Mountains	80-84		31
Snowy Mountains	80-84	0	24
Snowy Mountains	80-84	1	11
Snowy Mountains	80-84	2	75
Snowy Mountains	80-84	3	63
Snowy Mountains	80-84	4	39
Snowy Mountains	80-84	5	13
Snowy Mountains	80-84	6	19
Snowy Mountains	85+		33
Snowy Mountains	85+	0	20
Snowy Mountains	85+	1	12
Snowy Mountains	85+	2	55
Snowy Mountains	85+	3	62
Snowy Mountains	85+	4	43
Snowy Mountains	85+	5	25
Snowy Mountains	85+	6	26
South Coast	15-19		245
South Coast	15-19	0	1464
South Coast	15-19	1	11
South Coast	20-24		127
South Coast	20-24	0	913
