SA3_NAME16	BornAust	persons
Queanbeyan	0	11809
Queanbeyan	1	49706
Snowy Mountains	0	2863
Snowy Mountains	1	16332
South Coast	0	9970
South Coast	1	60648
Goulburn - Mulwaree	0	3942
Goulburn - Mulwaree	1	31779
Young - Yass	0	3468
Young - Yass	1	32068
Gosford	0	33796
Gosford	1	136455
Wyong	0	21885
Wyong	1	137260
Bathurst	0	4933
Bathurst	1	41208
Lachlan Valley	0	3099
Lachlan Valley	1	46461
Lithgow - Mudgee	0	4269
Lithgow - Mudgee	1	39769
Orange	0	5691
Orange	1	51817
Clarence Valley	0	4421
Clarence Valley	1	45286
Coffs Harbour	0	13968
Coffs Harbour	1	72657
Bourke - Cobar - Coonamble	0	1299
Bourke - Cobar - Coonamble	1	16519
Broken Hill and Far West	0	999
Broken Hill and Far West	1	16897
Dubbo	0	6185
Dubbo	1	60325
Lower Hunter	0	7195
Lower Hunter	1	85562
Maitland	0	8045
Maitland	1	75672
Port Stephens	0	9410
Port Stephens	1	62964
Upper Hunter	0	2695
Upper Hunter	1	25815
Dapto - Port Kembla	0	16180
Dapto - Port Kembla	1	60150
Illawarra Catchment Reserve	1	7
Kiama - Shellharbour	0	15620
Kiama - Shellharbour	1	79251
Wollongong	0	28904
Wollongong	1	100511
Great Lakes	0	3660
Great Lakes	1	27095
Kempsey - Nambucca	0	4437
Kempsey - Nambucca	1	42159
Lord Howe Island	0	77
Lord Howe Island	1	333
Port Macquarie	0	10674
Port Macquarie	1	71742
Taree - Gloucester	0	5178
Taree - Gloucester	1	47780
Albury	0	7657
Albury	1	55134
Lower Murray	0	938
Lower Murray	1	10360
Upper Murray exc. Albury	0	3057
Upper Murray exc. Albury	1	36432
Armidale	0	4914
Armidale	1	29017
Inverell - Tenterfield	0	2737
Inverell - Tenterfield	1	31968
Moree - Narrabri	0	1250
Moree - Narrabri	1	19363
Tamworth - Gunnedah	0	6370
Tamworth - Gunnedah	1	71377
Lake Macquarie - East	0	13318
Lake Macquarie - East	1	108689
Lake Macquarie - West	0	9514
Lake Macquarie - West	1	72144
Newcastle	0	26101
Newcastle	1	145000
Richmond Valley - Coastal	0	14179
Richmond Valley - Coastal	1	66580
Richmond Valley - Hinterland	0	6595
Richmond Valley - Hinterland	1	58987
Tweed Valley	0	15019
Tweed Valley	1	75640
Griffith - Murrumbidgee (West)	0	8182
Griffith - Murrumbidgee (West)	1	37018
Tumut - Tumbarumba	0	1367
Tumut - Tumbarumba	1	12299
Wagga Wagga	0	9678
Wagga Wagga	1	83318
Shoalhaven	0	14613
Shoalhaven	1	86636
Southern Highlands	0	9492
Southern Highlands	1	40428
Baulkham Hills	0	67588
Baulkham Hills	1	84092
Dural - Wisemans Ferry	0	6415
