SA3_NAME21	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Queanbeyan	0	1	5927
Queanbeyan	0	2	408
Queanbeyan	0	3	67
Queanbeyan	0	4	29
Queanbeyan	0	5	3
Queanbeyan	0	6	5
Queanbeyan	1	2	7195
Queanbeyan	1	3	3777
Queanbeyan	1	4	3926
Queanbeyan	1	5	1568
Queanbeyan	1	6	691
Snowy Mountains	0	1	2337
Snowy Mountains	0	2	226
Snowy Mountains	0	3	58
Snowy Mountains	0	4	42
Snowy Mountains	0	5	3
Snowy Mountains	0	6	19
Snowy Mountains	1	2	2611
Snowy Mountains	1	3	971
Snowy Mountains	1	4	896
Snowy Mountains	1	5	406
Snowy Mountains	1	6	160
South Coast	0	1	9654
South Coast	0	2	706
South Coast	0	3	76
South Coast	0	4	18
South Coast	0	5	4
South Coast	1	2	12583
South Coast	1	3	3372
South Coast	1	4	2935
South Coast	1	5	1270
South Coast	1	6	686
Goulburn - Mulwaree	0	1	4379
Goulburn - Mulwaree	0	2	288
Goulburn - Mulwaree	0	3	37
Goulburn - Mulwaree	0	4	10
Goulburn - Mulwaree	0	5	7
Goulburn - Mulwaree	0	6	5
Goulburn - Mulwaree	1	2	4930
Goulburn - Mulwaree	1	3	1854
Goulburn - Mulwaree	1	4	1737
Goulburn - Mulwaree	1	5	847
Goulburn - Mulwaree	1	6	451
Young - Yass	0	1	3605
Young - Yass	0	2	242
Young - Yass	0	3	25
Young - Yass	0	4	5
Young - Yass	1	2	4803
Young - Yass	1	3	1863
Young - Yass	1	4	1830
Young - Yass	1	5	995
Young - Yass	1	6	527
Gosford	0	1	18975
Gosford	0	2	1589
Gosford	0	3	266
Gosford	0	4	80
Gosford	0	5	15
Gosford	0	6	6
Gosford	1	2	22009
Gosford	1	3	9825
Gosford	1	4	9979
Gosford	1	5	4012
Gosford	1	6	1832
Wyong	0	1	16890
Wyong	0	2	1592
Wyong	0	3	200
Wyong	0	4	64
Wyong	0	5	24
Wyong	0	6	11
Wyong	1	2	19975
Wyong	1	3	9366
Wyong	1	4	8935
Wyong	1	5	4013
Wyong	1	6	2067
Bathurst	0	1	4989
Bathurst	0	2	446
Bathurst	0	3	100
Bathurst	0	4	25
Bathurst	0	5	11
Bathurst	1	2	5916
Bathurst	1	3	2460
Bathurst	1	4	2372
Bathurst	1	5	1099
Bathurst	1	6	542
Lachlan Valley	0	1	6665
Lachlan Valley	0	2	415
Lachlan Valley	0	3	48
Lachlan Valley	0	4	8
Lachlan Valley	0	5	3
Lachlan Valley	1	2	7202
Lachlan Valley	1	3	2591
Lachlan Valley	1	4	2196
Lachlan Valley	1	5	1273
Lachlan Valley	1	6	632
Lithgow - Mudgee	0	1	5735
Lithgow - Mudgee	0	2	419
Lithgow - Mudgee	0	3	57
Lithgow - Mudgee	0	4	13
Lithgow - Mudgee	1	2	6205
Lithgow - Mudgee	1	3	2323
Lithgow - Mudgee	1	4	2156
Lithgow - Mudgee	1	5	1072
Lithgow - Mudgee	1	6	506
Orange	0	1	6155
Orange	0	2	443
Orange	0	3	99
Orange	0	4	41
Orange	0	5	18
Orange	0	6	4
Orange	1	2	7236
Orange	1	3	3144
Orange	1	4	3036
Orange	1	5	1642
Orange	1	6	739
Clarence Valley	0	1	5986
Clarence Valley	0	2	613
Clarence Valley	0	3	52
Clarence Valley	0	4	12
Clarence Valley	0	6	4
Clarence Valley	1	2	7787
Clarence Valley	1	3	2596
Clarence Valley	1	4	2126
Clarence Valley	1	5	988
Clarence Valley	1	6	583
Coffs Harbour	0	1	9761
Coffs Harbour	0	2	1002
Coffs Harbour	0	3	168
Coffs Harbour	0	4	58
Coffs Harbour	0	5	17
Coffs Harbour	0	6	21
Coffs Harbour	1	2	11962
Coffs Harbour	1	3	4766
Coffs Harbour	1	4	4315
Coffs Harbour	1	5	1961
Coffs Harbour	1	6	1109
Bourke - Cobar - Coonamble	0	1	2514
Bourke - Cobar - Coonamble	0	2	184
Bourke - Cobar - Coonamble	0	3	21
Bourke - Cobar - Coonamble	0	4	6
Bourke - Cobar - Coonamble	1	2	2323
Bourke - Cobar - Coonamble	1	3	927
Bourke - Cobar - Coonamble	1	4	747
Bourke - Cobar - Coonamble	1	5	433
Bourke - Cobar - Coonamble	1	6	302
Broken Hill and Far West	0	1	2993
Broken Hill and Far West	0	2	158
Broken Hill and Far West	0	3	20
Broken Hill and Far West	0	4	7
Broken Hill and Far West	0	5	3
Broken Hill and Far West	1	2	2592
Broken Hill and Far West	1	3	1005
Broken Hill and Far West	1	4	803
Broken Hill and Far West	1	5	324
Broken Hill and Far West	1	6	179
Dubbo	0	1	7376
Dubbo	0	2	622
Dubbo	0	3	122
Dubbo	0	4	40
Dubbo	0	5	13
Dubbo	0	6	13
Dubbo	1	2	8323
Dubbo	1	3	3699
Dubbo	1	4	3295
Dubbo	1	5	1751
Dubbo	1	6	922
Lower Hunter	0	1	8267
Lower Hunter	0	2	691
Lower Hunter	0	3	83
Lower Hunter	0	4	9
Lower Hunter	0	5	5
Lower Hunter	0	6	9
Lower Hunter	1	2	11101
Lower Hunter	1	3	5457
Lower Hunter	1	4	5190
Lower Hunter	1	5	2505
Lower Hunter	1	6	1314
Maitland	0	1	6981
Maitland	0	2	622
Maitland	0	3	101
Maitland	0	4	30
Maitland	0	5	16
Maitland	0	6	6
Maitland	1	2	9831
Maitland	1	3	5272
Maitland	1	4	5298
Maitland	1	5	2299
Maitland	1	6	1024
Port Stephens	0	1	7697
Port Stephens	0	2	614
Port Stephens	0	3	66
Port Stephens	0	4	22
Port Stephens	0	5	6
Port Stephens	1	2	11308
Port Stephens	1	3	3820
Port Stephens	1	4	3497
Port Stephens	1	5	1633
Port Stephens	1	6	883
Upper Hunter	0	1	3294
Upper Hunter	0	2	265
Upper Hunter	0	3	39
Upper Hunter	0	4	4
Upper Hunter	0	5	3
