SA3_NAME16	DwellingStructure	DwellingSubtype	NumberBedrooms.min	occupied_private_dwellings
Queanbeyan			1	10
Queanbeyan			2	18
Queanbeyan			3	4
Queanbeyan			4	3
Queanbeyan			5	3
Queanbeyan		1 storey		21
Queanbeyan		1 storey	1	124
Queanbeyan		1 storey	2	851
Queanbeyan		1 storey	3	632
Queanbeyan		1 storey	4	51
Queanbeyan		1 storey	6	3
Queanbeyan		2 storeys or more		20
Queanbeyan		2 storeys or more	1	121
Queanbeyan		2 storeys or more	2	721
Queanbeyan		2 storeys or more	3	654
Queanbeyan		2 storeys or more	4	55
Queanbeyan		2 storeys or more	5	3
Queanbeyan		2 storeys or more	6	3
Queanbeyan	(Other)			3
Queanbeyan	(Other)		0	8
Queanbeyan	(Other)		1	19
Queanbeyan	(Other)		2	16
Queanbeyan	(Other)		3	17
Queanbeyan	(Other)		4	5
Queanbeyan	(Other)		5	5
Queanbeyan	Flat/apartment	1 or 2 storey block		23
Queanbeyan	Flat/apartment	1 or 2 storey block	0	23
Queanbeyan	Flat/apartment	1 or 2 storey block	1	484
Queanbeyan	Flat/apartment	1 or 2 storey block	2	443
Queanbeyan	Flat/apartment	1 or 2 storey block	3	79
Queanbeyan	Flat/apartment	1 or 2 storey block	4	12
Queanbeyan	Flat/apartment	1 or 2 storey block	5	3
Queanbeyan	Flat/apartment	1 or 2 storey block	6	3
Queanbeyan	Flat/apartment	3 storey block		5
Queanbeyan	Flat/apartment	3 storey block	0	13
Queanbeyan	Flat/apartment	3 storey block	1	135
Queanbeyan	Flat/apartment	3 storey block	2	375
Queanbeyan	Flat/apartment	3 storey block	3	25
Queanbeyan	Flat/apartment	4-8 storey block		17
Queanbeyan	Flat/apartment	4-8 storey block	1	216
Queanbeyan	Flat/apartment	4-8 storey block	2	665
Queanbeyan	Flat/apartment	4-8 storey block	3	39
Queanbeyan	Flat/apartment	9 or more storey block	1	17
Queanbeyan	Flat/apartment	9 or more storey block	2	58
Queanbeyan	Flat/apartment	9 or more storey block	3	3
Queanbeyan	Flat/apartment	Attached to a house	1	7
Queanbeyan	Flat/apartment	Attached to a house	2	9
Queanbeyan	Flat/apartment	Attached to a house	3	11
Queanbeyan	Flat/apartment	Attached to a house	4	3
Queanbeyan	Separate house			165
Queanbeyan	Separate house		0	54
Queanbeyan	Separate house		1	275
Queanbeyan	Separate house		2	1178
Queanbeyan	Separate house		3	5899
Queanbeyan	Separate house		4	7612
Queanbeyan	Separate house		5	1871
Queanbeyan	Separate house		6	508
Snowy Mountains				4
Snowy Mountains			0	3
Snowy Mountains			1	13
Snowy Mountains			2	13
Snowy Mountains			3	10
Snowy Mountains			4	4
Snowy Mountains			5	3
Snowy Mountains			6	5
Snowy Mountains		1 storey	1	26
Snowy Mountains		1 storey	2	105
Snowy Mountains		1 storey	3	53
Snowy Mountains		1 storey	4	13
Snowy Mountains		1 storey	6	3
Snowy Mountains		2 storeys or more		3
Snowy Mountains		2 storeys or more	1	12
Snowy Mountains		2 storeys or more	2	51
Snowy Mountains		2 storeys or more	3	82
Snowy Mountains		2 storeys or more	4	21
Snowy Mountains	(Other)			3
Snowy Mountains	(Other)		0	5
Snowy Mountains	(Other)		1	18
Snowy Mountains	(Other)		2	15
Snowy Mountains	(Other)		3	8
Snowy Mountains	(Other)		4	4
Snowy Mountains	(Other)		5	3
Snowy Mountains	(Other)		6	7
Snowy Mountains	Flat/apartment	1 or 2 storey block		12
Snowy Mountains	Flat/apartment	1 or 2 storey block	0	10
Snowy Mountains	Flat/apartment	1 or 2 storey block	1	77
Snowy Mountains	Flat/apartment	1 or 2 storey block	2	205
Snowy Mountains	Flat/apartment	1 or 2 storey block	3	122
Snowy Mountains	Flat/apartment	1 or 2 storey block	4	22
Snowy Mountains	Flat/apartment	1 or 2 storey block	6	6
Snowy Mountains	Flat/apartment	3 storey block	1	15
Snowy Mountains	Flat/apartment	3 storey block	2	17
Snowy Mountains	Flat/apartment	3 storey block	3	18
Snowy Mountains	Flat/apartment	3 storey block	4	8
Snowy Mountains	Flat/apartment	4-8 storey block	1	5
Snowy Mountains	Flat/apartment	Attached to a house	1	4
Snowy Mountains	Flat/apartment	Attached to a house	2	9
Snowy Mountains	Flat/apartment	Attached to a house	3	6
Snowy Mountains	Separate house			107
Snowy Mountains	Separate house		0	38
Snowy Mountains	Separate house		1	201
Snowy Mountains	Separate house		2	851
Snowy Mountains	Separate house		3	3001
Snowy Mountains	Separate house		4	1892
Snowy Mountains	Separate house		5	451
Snowy Mountains	Separate house		6	144
South Coast				12
South Coast			0	7
South Coast			1	22
South Coast			2	36
South Coast			3	30
South Coast			4	20
South Coast			5	4
South Coast		1 storey		46
South Coast		1 storey	0	3
South Coast		1 storey	1	130
South Coast		1 storey	2	815
South Coast		1 storey	3	527
South Coast		1 storey	4	31
South Coast		1 storey	5	3
South Coast		2 storeys or more		26
South Coast		2 storeys or more	0	6
South Coast		2 storeys or more	1	101
South Coast		2 storeys or more	2	441
South Coast		2 storeys or more	3	441
South Coast		2 storeys or more	4	62
South Coast		2 storeys or more	5	7
South Coast		2 storeys or more	6	3
South Coast	(Other)			20
South Coast	(Other)		0	57
South Coast	(Other)		1	183
South Coast	(Other)		2	236
South Coast	(Other)		3	55
South Coast	(Other)		4	15
South Coast	(Other)		5	4
South Coast	Flat/apartment	1 or 2 storey block		35
South Coast	Flat/apartment	1 or 2 storey block	0	15
South Coast	Flat/apartment	1 or 2 storey block	1	178
South Coast	Flat/apartment	1 or 2 storey block	2	887
South Coast	Flat/apartment	1 or 2 storey block	3	348
South Coast	Flat/apartment	1 or 2 storey block	4	28
South Coast	Flat/apartment	1 or 2 storey block	5	4
South Coast	Flat/apartment	3 storey block		3
South Coast	Flat/apartment	3 storey block	1	13
South Coast	Flat/apartment	3 storey block	2	56
South Coast	Flat/apartment	3 storey block	3	23
South Coast	Flat/apartment	4-8 storey block	2	28
South Coast	Flat/apartment	4-8 storey block	3	15
South Coast	Flat/apartment	Attached to a house		3
South Coast	Flat/apartment	Attached to a house	1	11
South Coast	Flat/apartment	Attached to a house	2	10
South Coast	Flat/apartment	Attached to a house	3	7
South Coast	Flat/apartment	Attached to a house	4	4
South Coast	Flat/apartment	Attached to a house	5	3
South Coast	Separate house			413
South Coast	Separate house		0	158
South Coast	Separate house		1	729
South Coast	Separate house		2	3579
South Coast	Separate house		3	12002
South Coast	Separate house		4	7565
South Coast	Separate house		5	1476
South Coast	Separate house		6	350
Goulburn - Mulwaree				12
Goulburn - Mulwaree			1	6
Goulburn - Mulwaree			2	11
Goulburn - Mulwaree			3	8
Goulburn - Mulwaree			4	3
Goulburn - Mulwaree		1 storey		20
Goulburn - Mulwaree		1 storey	0	10
Goulburn - Mulwaree		1 storey	1	137
Goulburn - Mulwaree		1 storey	2	370
Goulburn - Mulwaree		1 storey	3	329
Goulburn - Mulwaree		1 storey	4	44
Goulburn - Mulwaree		1 storey	5	4
Goulburn - Mulwaree		1 storey	6	3
Goulburn - Mulwaree		2 storeys or more	1	3
Goulburn - Mulwaree		2 storeys or more	2	110
Goulburn - Mulwaree		2 storeys or more	3	45
Goulburn - Mulwaree		2 storeys or more	4	9
Goulburn - Mulwaree	(Other)			7
Goulburn - Mulwaree	(Other)		0	8
Goulburn - Mulwaree	(Other)		1	42
Goulburn - Mulwaree	(Other)		2	18
Goulburn - Mulwaree	(Other)		3	12
Goulburn - Mulwaree	(Other)		4	5
Goulburn - Mulwaree	(Other)		5	4
Goulburn - Mulwaree	Flat/apartment	1 or 2 storey block		8
Goulburn - Mulwaree	Flat/apartment	1 or 2 storey block	1	77
Goulburn - Mulwaree	Flat/apartment	1 or 2 storey block	2	179
Goulburn - Mulwaree	Flat/apartment	1 or 2 storey block	3	18
Goulburn - Mulwaree	Flat/apartment	1 or 2 storey block	4	4
Goulburn - Mulwaree	Flat/apartment	3 storey block	1	29
Goulburn - Mulwaree	Flat/apartment	3 storey block	2	34
Goulburn - Mulwaree	Flat/apartment	Attached to a house	1	3
Goulburn - Mulwaree	Flat/apartment	Attached to a house	2	8
Goulburn - Mulwaree	Flat/apartment	Attached to a house	3	4
Goulburn - Mulwaree	Separate house			200
Goulburn - Mulwaree	Separate house		0	44
Goulburn - Mulwaree	Separate house		1	259
Goulburn - Mulwaree	Separate house		2	1426
Goulburn - Mulwaree	Separate house		3	5621
Goulburn - Mulwaree	Separate house		4	4278
Goulburn - Mulwaree	Separate house		5	881
Goulburn - Mulwaree	Separate house		6	238
Young - Yass				14
Young - Yass			1	8
Young - Yass			2	14
Young - Yass			3	19
Young - Yass			4	8
Young - Yass			5	5
Young - Yass			6	4
Young - Yass		1 storey		17
Young - Yass		1 storey	0	3
Young - Yass		1 storey	1	53
Young - Yass		1 storey	2	358
Young - Yass		1 storey	3	163
Young - Yass		1 storey	4	13
Young - Yass		1 storey	5	6
Young - Yass		2 storeys or more	2	20
Young - Yass		2 storeys or more	3	6
Young - Yass	(Other)			3
Young - Yass	(Other)		0	17
Young - Yass	(Other)		1	18
Young - Yass	(Other)		2	13
Young - Yass	(Other)		3	13
Young - Yass	(Other)		4	7
Young - Yass	(Other)		6	4
Young - Yass	Flat/apartment	1 or 2 storey block		14
Young - Yass	Flat/apartment	1 or 2 storey block	0	5
Young - Yass	Flat/apartment	1 or 2 storey block	1	55
Young - Yass	Flat/apartment	1 or 2 storey block	2	108
Young - Yass	Flat/apartment	1 or 2 storey block	3	22
Young - Yass	Flat/apartment	1 or 2 storey block	6	5
Young - Yass	Flat/apartment	Attached to a house	1	3
Young - Yass	Flat/apartment	Attached to a house	2	4
Young - Yass	Flat/apartment	Attached to a house	4	4
Young - Yass	Flat/apartment	Attached to a house	5	3
Young - Yass	Separate house			217
Young - Yass	Separate house		0	41
Young - Yass	Separate house		1	229
Young - Yass	Separate house		2	1348
Young - Yass	Separate house		3	5061
Young - Yass	Separate house		4	4488
Young - Yass	Separate house		5	1159
Young - Yass	Separate house		6	336
Gosford				25
Gosford			0	12
Gosford			1	43
Gosford			2	39
Gosford			3	24
Gosford			4	18
Gosford			6	4
Gosford		1 storey		160
Gosford		1 storey	0	17
Gosford		1 storey	1	301
Gosford		1 storey	2	2827
Gosford		1 storey	3	2468
Gosford		1 storey	4	79
Gosford		1 storey	5	16
Gosford		1 storey	6	12
Gosford		2 storeys or more		67
Gosford		2 storeys or more	0	12
Gosford		2 storeys or more	1	248
Gosford		2 storeys or more	2	964
Gosford		2 storeys or more	3	2149
Gosford		2 storeys or more	4	213
Gosford		2 storeys or more	5	23
Gosford		2 storeys or more	6	4
Gosford	(Other)			23
Gosford	(Other)		0	31
Gosford	(Other)		1	160
Gosford	(Other)		2	276
Gosford	(Other)		3	86
Gosford	(Other)		4	15
Gosford	(Other)		5	9
Gosford	Flat/apartment		0	12
Gosford	Flat/apartment	1 or 2 storey block		95
Gosford	Flat/apartment	1 or 2 storey block	0	66
Gosford	Flat/apartment	1 or 2 storey block	1	581
Gosford	Flat/apartment	1 or 2 storey block	2	1708
Gosford	Flat/apartment	1 or 2 storey block	3	1371
Gosford	Flat/apartment	1 or 2 storey block	4	148
Gosford	Flat/apartment	1 or 2 storey block	5	16
Gosford	Flat/apartment	1 or 2 storey block	6	14
Gosford	Flat/apartment	3 storey block		12
Gosford	Flat/apartment	3 storey block	0	21
Gosford	Flat/apartment	3 storey block	1	69
Gosford	Flat/apartment	3 storey block	2	621
Gosford	Flat/apartment	3 storey block	3	318
Gosford	Flat/apartment	3 storey block	4	19
Gosford	Flat/apartment	4-8 storey block		23
Gosford	Flat/apartment	4-8 storey block	0	21
Gosford	Flat/apartment	4-8 storey block	1	199
Gosford	Flat/apartment	4-8 storey block	2	1155
Gosford	Flat/apartment	4-8 storey block	3	310
Gosford	Flat/apartment	4-8 storey block	4	19
Gosford	Flat/apartment	9 or more storey block		3
Gosford	Flat/apartment	9 or more storey block	1	61
Gosford	Flat/apartment	9 or more storey block	2	247
Gosford	Flat/apartment	9 or more storey block	3	140
Gosford	Flat/apartment	Attached to a house		9
Gosford	Flat/apartment	Attached to a house	1	43
Gosford	Flat/apartment	Attached to a house	2	108
Gosford	Flat/apartment	Attached to a house	3	56
Gosford	Flat/apartment	Attached to a house	4	22
Gosford	Flat/apartment	Attached to a house	5	14
Gosford	Flat/apartment	Attached to a house	6	4
Gosford	Separate house			554
Gosford	Separate house		0	133
Gosford	Separate house		1	950
Gosford	Separate house		2	5932
Gosford	Separate house		3	19443
Gosford	Separate house		4	17468
Gosford	Separate house		5	5147
Gosford	Separate house		6	1143
Wyong				4
Wyong			0	5
Wyong			1	24
Wyong			2	21
Wyong			3	25
Wyong			4	7
Wyong			5	6
Wyong			6	3
Wyong		1 storey		109
Wyong		1 storey	0	43
Wyong		1 storey	1	333
Wyong		1 storey	2	1737
Wyong		1 storey	3	1404
Wyong		1 storey	4	110
Wyong		1 storey	5	17
Wyong		1 storey	6	3
Wyong		2 storeys or more		52
Wyong		2 storeys or more	0	4
Wyong		2 storeys or more	1	225
Wyong		2 storeys or more	2	698
Wyong		2 storeys or more	3	1284
Wyong		2 storeys or more	4	150
Wyong		2 storeys or more	5	13
Wyong		2 storeys or more	6	12
Wyong	(Other)			26
Wyong	(Other)		0	33
Wyong	(Other)		1	121
Wyong	(Other)		2	146
Wyong	(Other)		3	60
Wyong	(Other)		4	10
Wyong	Flat/apartment	1 or 2 storey block		67
Wyong	Flat/apartment	1 or 2 storey block	0	16
Wyong	Flat/apartment	1 or 2 storey block	1	391
Wyong	Flat/apartment	1 or 2 storey block	2	1358
Wyong	Flat/apartment	1 or 2 storey block	3	574
Wyong	Flat/apartment	1 or 2 storey block	4	59
Wyong	Flat/apartment	1 or 2 storey block	5	11
Wyong	Flat/apartment	3 storey block		7
Wyong	Flat/apartment	3 storey block	1	40
Wyong	Flat/apartment	3 storey block	2	337
Wyong	Flat/apartment	3 storey block	3	72
Wyong	Flat/apartment	3 storey block	4	3
Wyong	Flat/apartment	4-8 storey block		7
Wyong	Flat/apartment	4-8 storey block	0	11
Wyong	Flat/apartment	4-8 storey block	1	66
Wyong	Flat/apartment	4-8 storey block	2	544
Wyong	Flat/apartment	4-8 storey block	3	110
Wyong	Flat/apartment	4-8 storey block	4	4
Wyong	Flat/apartment	4-8 storey block	6	4
Wyong	Flat/apartment	9 or more storey block	1	13
Wyong	Flat/apartment	9 or more storey block	2	118
Wyong	Flat/apartment	9 or more storey block	3	11
Wyong	Flat/apartment	Attached to a house		4
Wyong	Flat/apartment	Attached to a house	1	24
Wyong	Flat/apartment	Attached to a house	2	87
Wyong	Flat/apartment	Attached to a house	3	30
Wyong	Flat/apartment	Attached to a house	4	8
Wyong	Flat/apartment	Attached to a house	5	3
Wyong	Separate house			704
Wyong	Separate house		0	119
Wyong	Separate house		1	832
Wyong	Separate house		2	6300
Wyong	Separate house		3	20989
Wyong	Separate house		4	18728
Wyong	Separate house		5	3892
Wyong	Separate house		6	899
Bathurst				4
Bathurst			1	12
Bathurst			2	9
Bathurst			3	10
Bathurst			4	11
Bathurst			6	5
Bathurst		1 storey		31
Bathurst		1 storey	1	162
Bathurst		1 storey	2	693
Bathurst		1 storey	3	387
Bathurst		1 storey	4	56
Bathurst		1 storey	5	5
Bathurst		1 storey	6	3
Bathurst		2 storeys or more		13
Bathurst		2 storeys or more	0	6
Bathurst		2 storeys or more	1	93
Bathurst		2 storeys or more	2	98
Bathurst		2 storeys or more	3	126
Bathurst		2 storeys or more	4	34
Bathurst	(Other)			5
Bathurst	(Other)		0	8
Bathurst	(Other)		1	14
Bathurst	(Other)		2	12
Bathurst	(Other)		3	9
Bathurst	(Other)		5	4
Bathurst	Flat/apartment	1 or 2 storey block		18
Bathurst	Flat/apartment	1 or 2 storey block	0	20
Bathurst	Flat/apartment	1 or 2 storey block	1	148
Bathurst	Flat/apartment	1 or 2 storey block	2	428
Bathurst	Flat/apartment	1 or 2 storey block	3	72
Bathurst	Flat/apartment	1 or 2 storey block	4	10
Bathurst	Flat/apartment	1 or 2 storey block	6	4
Bathurst	Flat/apartment	3 storey block	1	5
Bathurst	Flat/apartment	3 storey block	2	11
Bathurst	Flat/apartment	Attached to a house		5
Bathurst	Flat/apartment	Attached to a house	1	7
Bathurst	Flat/apartment	Attached to a house	2	3
Bathurst	Flat/apartment	Attached to a house	3	5
Bathurst	Flat/apartment	Attached to a house	4	3
Bathurst	Separate house			194
Bathurst	Separate house		0	34
Bathurst	Separate house		1	193
Bathurst	Separate house		2	1195
Bathurst	Separate house		3	6066
Bathurst	Separate house		4	6141
Bathurst	Separate house		5	1284
Bathurst	Separate house		6	315
Lachlan Valley				14
Lachlan Valley			0	6
Lachlan Valley			1	15
Lachlan Valley			2	11
Lachlan Valley			3	34
Lachlan Valley			4	21
Lachlan Valley			5	6
Lachlan Valley			6	4
Lachlan Valley		1 storey		24
Lachlan Valley		1 storey	0	3
Lachlan Valley		1 storey	1	90
Lachlan Valley		1 storey	2	441
Lachlan Valley		1 storey	3	148
Lachlan Valley		1 storey	4	42
Lachlan Valley		1 storey	5	7
Lachlan Valley		2 storeys or more	1	12
Lachlan Valley		2 storeys or more	2	31
Lachlan Valley		2 storeys or more	3	9
Lachlan Valley		2 storeys or more	4	3
Lachlan Valley	(Other)			7
Lachlan Valley	(Other)		0	17
Lachlan Valley	(Other)		1	53
Lachlan Valley	(Other)		2	26
Lachlan Valley	(Other)		3	23
Lachlan Valley	(Other)		4	9
Lachlan Valley	(Other)		5	7
Lachlan Valley	Flat/apartment	1 or 2 storey block		36
Lachlan Valley	Flat/apartment	1 or 2 storey block	0	27
Lachlan Valley	Flat/apartment	1 or 2 storey block	1	150
Lachlan Valley	Flat/apartment	1 or 2 storey block	2	390
Lachlan Valley	Flat/apartment	1 or 2 storey block	3	55
Lachlan Valley	Flat/apartment	1 or 2 storey block	4	17
Lachlan Valley	Flat/apartment	1 or 2 storey block	5	4
Lachlan Valley	Flat/apartment	1 or 2 storey block	6	3
Lachlan Valley	Flat/apartment	3 storey block	1	5
Lachlan Valley	Flat/apartment	3 storey block	2	15
Lachlan Valley	Flat/apartment	Attached to a house	2	5
Lachlan Valley	Separate house			354
Lachlan Valley	Separate house		0	64
Lachlan Valley	Separate house		1	334
Lachlan Valley	Separate house		2	2434
Lachlan Valley	Separate house		3	8771
Lachlan Valley	Separate house		4	5806
Lachlan Valley	Separate house		5	1190
Lachlan Valley	Separate house		6	279
Lithgow - Mudgee				5
Lithgow - Mudgee			0	3
Lithgow - Mudgee			1	18
Lithgow - Mudgee			2	11
Lithgow - Mudgee			3	13
Lithgow - Mudgee			4	10
Lithgow - Mudgee			5	3
Lithgow - Mudgee			6	5
Lithgow - Mudgee		1 storey		42
Lithgow - Mudgee		1 storey	0	20
Lithgow - Mudgee		1 storey	1	139
Lithgow - Mudgee		1 storey	2	546
Lithgow - Mudgee		1 storey	3	370
Lithgow - Mudgee		1 storey	4	26
Lithgow - Mudgee		2 storeys or more	1	20
Lithgow - Mudgee		2 storeys or more	2	51
Lithgow - Mudgee		2 storeys or more	3	35
