SA3_NAME21	MotorVehicles.min	occupied_private_dwellings
Queanbeyan		253
Queanbeyan	0	800
Queanbeyan	1	7178
Queanbeyan	2	9310
Queanbeyan	3	3593
Queanbeyan	4	2455
Snowy Mountains		125
Snowy Mountains	0	317
Snowy Mountains	1	2435
Snowy Mountains	2	2853
Snowy Mountains	3	1207
Snowy Mountains	4	799
South Coast		544
South Coast	0	1300
South Coast	1	11643
South Coast	2	11988
South Coast	3	3859
South Coast	4	1967
Goulburn - Mulwaree		257
Goulburn - Mulwaree	0	796
Goulburn - Mulwaree	1	4726
Goulburn - Mulwaree	2	5134
Goulburn - Mulwaree	3	2199
Goulburn - Mulwaree	4	1426
Young - Yass		257
Young - Yass	0	533
Young - Yass	1	3934
Young - Yass	2	5145
Young - Yass	3	2346
Young - Yass	4	1685
Gosford		941
Gosford	0	4814
Gosford	1	26103
Gosford	2	24414
Gosford	3	7796
Gosford	4	4528
Wyong		942
Wyong	0	3617
Wyong	1	23254
Wyong	2	22873
Wyong	3	7745
Wyong	4	4695
Bathurst		260
Bathurst	0	986
Bathurst	1	5971
Bathurst	2	6649
Bathurst	3	2524
Bathurst	4	1586
Lachlan Valley		426
Lachlan Valley	0	1167
Lachlan Valley	1	7152
Lachlan Valley	2	7488
Lachlan Valley	3	2966
Lachlan Valley	4	1834
Lithgow - Mudgee		393
Lithgow - Mudgee	0	1116
Lithgow - Mudgee	1	6022
Lithgow - Mudgee	2	6510
Lithgow - Mudgee	3	2703
Lithgow - Mudgee	4	1752
Orange		368
Orange	0	1139
Orange	1	7321
Orange	2	8724
Orange	3	3203
Orange	4	1795
Clarence Valley		416
Clarence Valley	0	985
Clarence Valley	1	7708
Clarence Valley	2	7686
Clarence Valley	3	2621
Clarence Valley	4	1334
Coffs Harbour		605
Coffs Harbour	0	1783
Coffs Harbour	1	12993
Coffs Harbour	2	13056
Coffs Harbour	3	4314
Coffs Harbour	4	2386
Bourke - Cobar - Coonamble		272
Bourke - Cobar - Coonamble	0	611
Bourke - Cobar - Coonamble	1	2568
Bourke - Cobar - Coonamble	2	2401
Bourke - Cobar - Coonamble	3	964
Bourke - Cobar - Coonamble	4	641
Broken Hill and Far West		188
Broken Hill and Far West	0	794
Broken Hill and Far West	1	3331
Broken Hill and Far West	2	2552
Broken Hill and Far West	3	812
Broken Hill and Far West	4	406
Dubbo		519
Dubbo	0	1386
Dubbo	1	8868
Dubbo	2	9704
Dubbo	3	3557
Dubbo	4	2136
Lower Hunter		466
Lower Hunter	0	1377
Lower Hunter	1	10300
Lower Hunter	2	13285
Lower Hunter	3	5526
Lower Hunter	4	3696
Maitland		336
Maitland	0	1421
Maitland	1	9623
Maitland	2	12858
Maitland	3	4606
Maitland	4	2632
Port Stephens		395
Port Stephens	0	1157
Port Stephens	1	10643
Port Stephens	2	11200
Port Stephens	3	3775
Port Stephens	4	2398
Upper Hunter		190
Upper Hunter	0	577
Upper Hunter	1	3879
Upper Hunter	2	4256
Upper Hunter	3	1648
Upper Hunter	4	951
Dapto - Port Kembla		415
Dapto - Port Kembla	0	2325
Dapto - Port Kembla	1	9664
Dapto - Port Kembla	2	10595
Dapto - Port Kembla	3	3879
Dapto - Port Kembla	4	2259
Kiama - Shellharbour		434
Kiama - Shellharbour	0	1697
Kiama - Shellharbour	1	11456
Kiama - Shellharbour	2	14357
Kiama - Shellharbour	3	4949
Kiama - Shellharbour	4	3225
Wollongong		577
Wollongong	0	4444
Wollongong	1	19215
Wollongong	2	18455
Wollongong	3	5618
Wollongong	4	3232
Great Lakes		288
Great Lakes	0	763
Great Lakes	1	6008
Great Lakes	2	4791
Great Lakes	3	1512
Great Lakes	4	771
Kempsey - Nambucca		455
